,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2023-05-16,25,7,1
2023-05-17,23,4,0
2023-05-18,16,5,0
2023-05-19,30,2,0
2023-05-20,3,0,0
2023-05-21,0,0,0
2023-05-22,14,1,0
2023-05-23,27,1,0
2023-05-24,20,9,0
2023-05-25,24,4,1
2023-05-26,32,1,0
2023-05-27,6,0,0
2023-05-28,5,0,0
2023-05-29,7,0,0
2023-05-30,18,5,0
2023-05-31,29,3,0
2023-06-01,30,5,0
2023-06-02,20,0,0
2023-06-03,3,0,0
2023-06-04,0,0,0
2023-06-05,11,1,0
2023-06-06,22,6,2
2023-06-07,19,9,0
2023-06-08,20,5,0
2023-06-09,27,0,0
2023-06-10,4,0,0
2023-06-11,10,0,0
2023-06-12,13,0,0
2023-06-13,18,0,6
2023-06-14,14,4,2
2023-06-15,13,8,1
2023-06-16,13,0,0
2023-06-17,1,0,2
2023-06-18,0,0,0
2023-06-19,9,0,5
2023-06-20,25,5,0
2023-06-21,20,6,2
2023-06-22,21,0,4
2023-06-23,22,1,5
2023-06-24,12,0,0
2023-06-25,4,0,0
2023-06-26,16,4,0
2023-06-27,18,3,0
2023-06-28,18,3,0
2023-06-29,15,1,0
2023-06-30,20,1,0
2023-07-01,2,0,0
2023-07-02,0,0,0
2023-07-03,3,0,0
2023-07-04,2,0,0
2023-07-05,13,2,0
2023-07-06,14,5,0
2023-07-07,18,3,0
2023-07-08,10,0,0
2023-07-09,5,0,0
2023-07-10,19,1,2
2023-07-11,30,1,0
2023-07-12,22,5,0
2023-07-13,30,4,0
2023-07-14,34,2,0
2023-07-15,5,0,0
2023-07-16,1,0,0
2023-07-17,29,1,1
2023-07-18,33,2,1
2023-07-19,22,9,0
2023-07-20,32,2,0
2023-07-21,17,0,0
2023-07-22,10,0,0
2023-07-23,6,0,0
2023-07-24,21,0,3
2023-07-25,18,0,0
2023-07-26,23,5,0
2023-07-27,17,0,1
2023-07-28,24,0,0
2023-07-29,10,0,0
2023-07-30,5,0,0
2023-07-31,19,6,0
2023-08-01,16,5,0
2023-08-02,21,5,1
2023-08-03,15,0,3
2023-08-04,21,5,0
2023-08-05,12,0,0
2023-08-06,4,0,0
2023-08-07,18,0,0
2023-08-08,25,0,0
2023-08-09,20,7,0
2023-08-10,34,7,0
2023-08-11,16,0,2
2023-08-12,7,0,0
2023-08-13,5,0,0
2023-08-14,22,3,0
2023-08-15,24,3,0
2023-08-16,24,8,0
2023-08-17,22,1,0
2023-08-18,16,4,0
2023-08-19,2,0,0
2023-08-20,1,0,0
2023-08-21,20,0,0
2023-08-22,28,4,0
2023-08-23,20,5,0
2023-08-24,14,1,0
2023-08-25,23,4,2
2023-08-26,5,0,0
2023-08-27,4,0,1
2023-08-28,24,1,0
2023-08-29,28,3,0
2023-08-30,25,11,0
2023-08-31,42,6,0
2023-09-01,23,8,0
2023-09-02,6,0,1
2023-09-03,3,0,0
2023-09-04,0,0,0
2023-09-05,17,2,0
2023-09-06,23,6,1
2023-09-07,27,2,1
2023-09-08,30,0,0
2023-09-09,12,0,1
2023-09-10,7,0,0
2023-09-11,17,3,0
2023-09-12,30,0,0
2023-09-13,29,10,0
2023-09-14,19,5,1
2023-09-15,11,0,0
2023-09-16,13,0,0
2023-09-17,3,0,0
2023-09-18,23,2,0
2023-09-19,10,5,0
2023-09-20,39,7,0
2023-09-21,23,2,0
2023-09-22,29,3,0
2023-09-23,9,0,0
2023-09-24,12,0,0
2023-09-25,16,0,0
2023-09-26,13,2,0
2023-09-27,12,3,0
2023-09-28,29,6,5
2023-09-29,21,0,2
2023-09-30,15,0,0
2023-10-01,7,0,0
2023-10-02,18,0,1
2023-10-03,20,1,1
2023-10-04,16,9,1
2023-10-05,15,1,0
2023-10-06,15,0,0
2023-10-07,11,0,0
2023-10-08,5,0,0
2023-10-09,24,9,5
2023-10-10,25,5,2
2023-10-11,33,9,0
2023-10-12,22,4,0
2023-10-13,25,1,0
2023-10-14,13,0,3
2023-10-15,9,0,0
2023-10-16,22,0,1
2023-10-17,29,3,0
2023-10-18,32,11,0
2023-10-19,19,4,0
2023-10-20,23,1,0
2023-10-21,7,0,0
2023-10-22,6,0,0
2023-10-23,28,6,1
2023-10-24,23,1,3
2023-10-25,16,10,0
2023-10-26,41,1,0
2023-10-27,26,4,0
2023-10-28,9,0,0
2023-10-29,1,0,0
2023-10-30,5,2,0
2023-10-31,23,2,0
2023-11-01,17,5,0
2023-11-02,36,7,4
2023-11-03,29,1,0
2023-11-04,8,0,0
2023-11-05,3,0,0
2023-11-06,17,3,0
2023-11-07,23,2,0
2023-11-08,18,7,0
2023-11-09,16,6,0
2023-11-10,26,3,0
2023-11-11,5,0,0
2023-11-12,1,0,0
2023-11-13,12,6,0
2023-11-14,19,1,0
2023-11-15,22,9,0
2023-11-16,21,4,0
2023-11-17,8,2,0
2023-11-18,7,0,0
2023-11-19,4,0,1
2023-11-20,17,3,0
2023-11-21,18,4,0
2023-11-22,14,2,2
2023-11-23,7,0,0
2023-11-24,5,0,1
2023-11-25,1,0,7
2023-11-26,1,0,0
2023-11-27,23,4,0
2023-11-28,33,2,0
2023-11-29,28,10,0
2023-11-30,9,2,0
2023-12-01,14,5,0
2023-12-02,10,0,0
2023-12-03,4,0,0
2023-12-04,17,2,0
2023-12-05,23,7,0
2023-12-06,20,8,0
2023-12-07,18,2,0
2023-12-08,17,1,0
2023-12-09,6,0,0
2023-12-10,1,0,0
2023-12-11,20,4,0
2023-12-12,22,4,0
2023-12-13,10,9,0
2023-12-14,29,0,0
2023-12-15,26,0,0
2023-12-16,12,0,0
2023-12-17,2,0,2
2023-12-18,13,4,0
2023-12-19,16,6,1
2023-12-20,18,7,2
2023-12-21,14,3,0
2023-12-22,10,0,2
2023-12-23,2,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,3,0,0
2023-12-27,9,2,0
2023-12-28,3,1,0
2023-12-29,7,0,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,13,0,0
2024-01-03,33,5,2
2024-01-04,23,0,0
2024-01-05,17,2,0
2024-01-06,9,0,0
