,friendica/friendica,mastodon/mastodon,diaspora/diaspora
2020-04-20,7,1,0
2020-04-21,4,1,0
2020-04-22,3,0,0
2020-04-23,5,2,0
2020-04-24,19,0,0
2020-04-25,8,3,0
2020-04-26,17,1,0
2020-04-27,7,3,0
2020-04-28,23,7,0
2020-04-29,7,0,0
2020-04-30,3,1,0
2020-05-01,14,2,0
2020-05-02,10,0,0
2020-05-03,3,4,0
2020-05-04,11,2,0
2020-05-05,29,0,0
2020-05-06,18,0,0
2020-05-07,12,0,0
2020-05-08,6,5,0
2020-05-09,16,2,0
2020-05-10,8,12,0
2020-05-11,8,0,0
2020-05-12,4,5,0
2020-05-13,4,3,0
2020-05-14,10,5,0
2020-05-15,28,5,0
2020-05-16,20,0,0
2020-05-17,17,1,0
2020-05-18,15,0,0
2020-05-19,6,0,0
2020-05-20,5,0,0
2020-05-21,6,0,0
2020-05-22,9,0,0
2020-05-23,0,3,0
2020-05-24,4,1,0
2020-05-25,0,1,0
2020-05-26,6,0,0
2020-05-27,18,0,0
2020-05-28,5,1,0
2020-05-29,8,2,0
2020-05-30,4,0,0
2020-05-31,3,3,0
2020-06-01,3,1,0
2020-06-02,3,3,0
2020-06-03,12,6,0
2020-06-04,7,1,0
2020-06-05,8,3,0
2020-06-06,13,2,0
2020-06-07,14,0,0
2020-06-08,10,4,0
2020-06-09,13,8,0
2020-06-10,17,3,0
2020-06-11,2,0,1
2020-06-12,5,0,0
2020-06-13,3,0,6
2020-06-14,10,2,8
2020-06-15,9,1,0
2020-06-16,7,0,0
2020-06-17,7,2,0
2020-06-18,9,0,0
2020-06-19,4,1,0
2020-06-20,3,3,0
2020-06-21,3,2,0
2020-06-22,1,1,0
2020-06-23,9,4,0
2020-06-24,5,4,2
2020-06-25,10,11,0
2020-06-26,5,2,0
2020-06-27,11,1,0
2020-06-28,14,1,0
2020-06-29,2,6,0
2020-06-30,9,2,0
2020-07-01,4,7,0
2020-07-02,2,1,0
2020-07-03,0,5,0
2020-07-04,3,0,0
2020-07-05,1,1,0
2020-07-06,5,5,0
2020-07-07,3,9,0
2020-07-08,7,6,2
2020-07-09,11,4,0
2020-07-10,7,7,0
2020-07-11,14,1,0
2020-07-12,13,3,0
2020-07-13,10,1,0
2020-07-14,9,4,0
2020-07-15,6,8,0
2020-07-16,15,1,0
2020-07-17,11,3,0
2020-07-18,4,4,0
2020-07-19,18,4,0
2020-07-20,7,3,0
2020-07-21,29,0,0
2020-07-22,8,5,0
2020-07-23,6,2,0
2020-07-24,0,4,0
2020-07-25,5,0,0
2020-07-26,4,2,0
2020-07-27,19,0,0
2020-07-28,11,0,0
2020-07-29,7,0,0
2020-07-30,7,0,0
2020-07-31,15,0,0
2020-08-01,7,1,0
2020-08-02,8,9,0
2020-08-03,18,0,0
2020-08-04,12,0,0
2020-08-05,23,1,0
2020-08-06,9,0,0
2020-08-07,12,1,0
