,apache/solr,elastic/elasticsearch,blevesearch/bleve
2022-06-17,0,26,0
2022-06-18,0,2,0
2022-06-19,0,1,0
2022-06-20,1,23,0
2022-06-21,3,21,0
2022-06-22,2,20,0
2022-06-23,1,31,0
2022-06-24,2,15,0
2022-06-25,0,2,0
2022-06-26,0,0,0
2022-06-27,4,23,0
2022-06-28,1,29,0
2022-06-29,0,25,0
2022-06-30,4,18,0
2022-07-01,3,2,0
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,0,13,0
2022-07-05,2,23,0
2022-07-06,3,13,0
2022-07-07,4,18,1
2022-07-08,2,15,0
2022-07-09,3,1,0
2022-07-10,0,0,0
2022-07-11,1,11,0
2022-07-12,0,28,0
2022-07-13,1,16,1
2022-07-14,1,20,0
2022-07-15,0,4,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,23,0
2022-07-19,3,13,0
2022-07-20,4,13,1
2022-07-21,0,20,0
2022-07-22,0,28,1
2022-07-23,0,1,0
2022-07-24,0,0,0
2022-07-25,1,29,0
2022-07-26,0,30,0
2022-07-27,0,26,0
2022-07-28,0,17,0
2022-07-29,2,17,0
2022-07-30,0,1,0
2022-07-31,0,1,0
2022-08-01,3,27,0
2022-08-02,3,24,0
2022-08-03,2,31,0
2022-08-04,2,25,0
2022-08-05,2,3,0
2022-08-06,0,0,0
2022-08-07,0,1,0
2022-08-08,3,20,0
2022-08-09,0,17,0
2022-08-10,1,10,1
2022-08-11,0,16,0
2022-08-12,0,13,0
2022-08-13,0,2,0
2022-08-14,0,0,0
2022-08-15,2,15,0
2022-08-16,1,16,0
2022-08-17,0,32,0
2022-08-18,2,15,1
2022-08-19,2,0,0
2022-08-20,0,0,1
2022-08-21,0,0,0
2022-08-22,1,20,0
2022-08-23,0,16,0
2022-08-24,3,14,0
2022-08-25,1,11,0
2022-08-26,0,21,0
2022-08-27,0,1,0
2022-08-28,0,0,0
2022-08-29,2,15,0
2022-08-30,3,19,0
2022-08-31,1,12,0
2022-09-01,1,22,0
2022-09-02,2,3,0
2022-09-03,0,0,0
2022-09-04,1,0,0
2022-09-05,0,7,0
2022-09-06,4,17,0
2022-09-07,6,37,0
2022-09-08,0,34,0
2022-09-09,2,23,0
2022-09-10,0,1,0
2022-09-11,1,0,0
2022-09-12,2,25,0
2022-09-13,4,22,1
2022-09-14,3,16,0
2022-09-15,2,22,0
2022-09-16,3,1,0
2022-09-17,1,0,0
2022-09-18,0,0,0
2022-09-19,6,18,0
2022-09-20,5,28,0
2022-09-21,8,18,0
2022-09-22,4,15,0
2022-09-23,6,13,0
2022-09-24,0,1,0
2022-09-25,1,1,0
2022-09-26,0,33,0
2022-09-27,2,28,0
2022-09-28,2,18,0
2022-09-29,1,23,0
2022-09-30,0,17,0
2022-10-01,0,1,0
2022-10-02,2,0,0
2022-10-03,2,15,0
2022-10-04,1,21,0
2022-10-05,0,23,0
2022-10-06,0,15,1
2022-10-07,1,3,0
2022-10-08,0,0,0
2022-10-09,0,1,0
2022-10-10,0,25,1
2022-10-11,3,28,0
2022-10-12,4,31,2
2022-10-13,3,19,0
2022-10-14,8,38,0
2022-10-15,6,1,0
2022-10-16,3,0,0
2022-10-17,6,15,0
2022-10-18,9,21,1
2022-10-19,3,13,2
2022-10-20,13,19,1
2022-10-21,12,4,0
2022-10-22,0,0,0
2022-10-23,2,0,0
2022-10-24,13,15,0
2022-10-25,4,15,0
2022-10-26,27,13,0
2022-10-27,2,6,0
2022-10-28,17,7,0
2022-10-29,0,0,0
2022-10-30,3,0,0
2022-10-31,3,18,0
2022-11-01,4,25,0
2022-11-02,0,20,0
2022-11-03,3,25,0
2022-11-04,4,23,0
2022-11-05,0,3,0
2022-11-06,0,0,0
2022-11-07,0,19,0
2022-11-08,4,31,0
2022-11-09,3,28,0
2022-11-10,9,35,0
2022-11-11,6,9,2
2022-11-12,0,0,0
2022-11-13,3,0,0
2022-11-14,1,24,0
2022-11-15,0,29,0
2022-11-16,0,26,0
2022-11-17,1,22,1
2022-11-18,0,27,1
2022-11-19,0,3,0
2022-11-20,0,1,0
2022-11-21,1,21,0
2022-11-22,1,28,0
2022-11-23,0,24,0
2022-11-24,1,30,0
2022-11-25,5,1,0
2022-11-26,0,0,0
2022-11-27,0,1,0
2022-11-28,7,17,0
2022-11-29,2,14,0
2022-11-30,3,13,1
2022-12-01,1,9,1
2022-12-02,4,11,1
2022-12-03,2,0,0
2022-12-04,0,0,0
2022-12-05,1,20,0
2022-12-06,2,24,0
2022-12-07,8,28,0
2022-12-08,1,19,0
2022-12-09,2,3,0
2022-12-10,0,0,0
2022-12-11,0,3,0
2022-12-12,3,31,0
2022-12-13,1,18,0
2022-12-14,0,25,0
2022-12-15,4,15,1
2022-12-16,3,15,0
2022-12-17,0,2,0
2022-12-18,1,1,0
2022-12-19,0,12,1
2022-12-20,3,18,0
2022-12-21,1,27,0
2022-12-22,3,28,0
2022-12-23,0,12,0
2022-12-24,1,1,0
2022-12-25,0,0,0
2022-12-26,0,6,0
2022-12-27,1,9,0
2022-12-28,0,7,0
2022-12-29,0,3,0
2022-12-30,0,7,0
2022-12-31,3,1,0
2023-01-01,0,0,0
2023-01-02,2,0,0
2023-01-03,0,18,0
2023-01-04,4,24,0
2023-01-05,3,17,0
2023-01-06,5,3,0
2023-01-07,0,0,0
2023-01-08,1,0,0
2023-01-09,6,29,0
2023-01-10,5,24,0
2023-01-11,2,30,0
2023-01-12,3,23,0
2023-01-13,6,34,0
2023-01-14,0,3,0
2023-01-15,0,0,0
2023-01-16,2,24,0
2023-01-17,2,30,1
2023-01-18,4,24,0
2023-01-19,5,32,0
2023-01-20,3,4,1
2023-01-21,3,3,0
2023-01-22,1,1,0
2023-01-23,7,39,0
2023-01-24,1,43,0
2023-01-25,2,31,1
2023-01-26,0,30,0
2023-01-27,1,35,0
2023-01-28,0,1,0
2023-01-29,0,0,0
2023-01-30,3,33,0
2023-01-31,0,26,0
2023-02-01,2,30,0
2023-02-02,3,40,0
2023-02-03,3,3,0
2023-02-04,0,3,0
2023-02-05,0,0,0
2023-02-06,13,37,0
2023-02-07,0,47,0
2023-02-08,4,25,0
2023-02-09,1,27,0
2023-02-10,2,26,0
2023-02-11,0,5,0
2023-02-12,0,1,0
2023-02-13,1,25,0
2023-02-14,4,28,0
2023-02-15,3,13,0
2023-02-16,3,19,0
2023-02-17,1,6,0
2023-02-18,1,1,0
2023-02-19,1,0,0
2023-02-20,2,21,0
2023-02-21,2,26,2
2023-02-22,6,25,0
2023-02-23,3,27,0
2023-02-24,1,14,0
2023-02-25,1,1,0
2023-02-26,3,0,0
2023-02-27,5,18,0
2023-02-28,7,24,0
2023-03-01,17,27,0
2023-03-02,17,26,2
2023-03-03,2,3,0
2023-03-04,1,2,0
2023-03-05,0,0,0
2023-03-06,4,26,0
2023-03-07,5,23,0
2023-03-08,2,35,0
2023-03-09,2,17,0
2023-03-10,1,32,0
2023-03-11,1,3,0
2023-03-12,0,0,0
2023-03-13,4,3,0
2023-03-14,4,7,0
2023-03-15,3,5,0
2023-03-16,4,6,0
2023-03-17,4,1,3
2023-03-18,1,3,0
2023-03-19,0,0,0
2023-03-20,5,22,0
2023-03-21,5,32,0
2023-03-22,1,28,0
2023-03-23,4,20,0
2023-03-24,3,22,0
2023-03-25,0,1,0
2023-03-26,0,2,0
2023-03-27,6,41,0
2023-03-28,1,36,0
2023-03-29,6,29,0
2023-03-30,6,34,0
2023-03-31,3,34,0
2023-04-01,1,0,0
2023-04-02,11,0,0
2023-04-03,7,12,1
2023-04-04,8,23,0
2023-04-05,7,34,1
2023-04-06,9,20,0
2023-04-07,2,6,1
2023-04-08,0,0,0
2023-04-09,0,2,0
2023-04-10,5,16,0
2023-04-11,2,39,0
2023-04-12,8,25,0
2023-04-13,0,24,0
2023-04-14,3,5,0
2023-04-15,2,1,0
2023-04-16,1,0,0
2023-04-17,3,48,0
2023-04-18,2,40,0
2023-04-19,4,22,0
2023-04-20,1,43,0
2023-04-21,1,35,0
2023-04-22,0,4,0
2023-04-23,0,0,0
2023-04-24,5,33,0
2023-04-25,7,24,1
2023-04-26,4,22,0
2023-04-27,2,29,0
2023-04-28,1,20,0
2023-04-29,2,3,0
2023-04-30,2,1,0
2023-05-01,4,13,1
2023-05-02,5,28,0
2023-05-03,2,39,0
2023-05-04,1,33,1
2023-05-05,2,21,0
2023-05-06,0,1,0
2023-05-07,0,2,0
2023-05-08,1,18,0
2023-05-09,3,32,0
2023-05-10,3,25,0
2023-05-11,2,25,0
2023-05-12,3,17,0
2023-05-13,0,1,0
2023-05-14,0,0,0
2023-05-15,5,22,0
2023-05-16,1,31,0
2023-05-17,3,28,0
2023-05-18,2,10,1
2023-05-19,1,1,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,2,29,1
2023-05-23,4,24,0
2023-05-24,0,29,0
2023-05-25,2,29,0
2023-05-26,5,22,0
2023-05-27,0,2,0
2023-05-28,0,2,0
2023-05-29,0,8,0
2023-05-30,4,24,0
2023-05-31,2,16,0
2023-06-01,1,32,0
2023-06-02,0,20,0
2023-06-03,0,3,0
2023-06-04,0,0,0
2023-06-05,2,24,0
2023-06-06,2,32,0
2023-06-07,4,33,0
2023-06-08,2,29,0
2023-06-09,4,20,0
2023-06-10,1,2,0
2023-06-11,1,0,0
2023-06-12,0,27,0
2023-06-13,2,25,1
2023-06-14,10,39,0
2023-06-15,4,22,1
2023-06-16,0,6,0
