,seleniumhq/selenium,cypress-io/cypress,DevExpress/testcafe
2019-06-20,12,2,0
2019-06-21,2,2,0
2019-06-22,0,0,0
2019-06-23,1,0,0
2019-06-24,7,5,0
2019-06-25,0,9,0
2019-06-26,1,4,1
2019-06-27,4,4,0
2019-06-28,3,4,2
2019-06-29,1,9,0
2019-06-30,0,4,0
2019-07-01,12,4,1
2019-07-02,0,4,10
2019-07-03,8,5,0
2019-07-04,25,0,3
2019-07-05,0,0,10
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,12,2,0
2019-07-09,12,13,1
2019-07-10,5,3,4
2019-07-11,10,2,3
2019-07-12,10,6,1
2019-07-13,9,0,0
2019-07-14,0,0,0
2019-07-15,0,4,0
2019-07-16,6,5,1
2019-07-17,8,8,5
2019-07-18,6,6,1
2019-07-19,2,1,0
2019-07-20,6,0,0
2019-07-21,1,0,0
2019-07-22,2,4,2
2019-07-23,0,5,0
2019-07-24,3,1,1
2019-07-25,0,4,2
2019-07-26,4,6,1
2019-07-27,2,0,0
2019-07-28,0,0,0
2019-07-29,0,12,1
2019-07-30,0,4,2
2019-07-31,0,1,2
2019-08-01,13,7,4
2019-08-02,6,2,0
2019-08-03,13,0,0
2019-08-04,0,1,0
2019-08-05,5,8,0
2019-08-06,0,3,11
2019-08-07,0,2,3
2019-08-08,14,1,4
2019-08-09,1,2,1
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,0
2019-08-13,9,1,0
2019-08-14,0,0,1
2019-08-15,0,0,4
2019-08-16,0,0,2
2019-08-17,0,0,0
2019-08-18,1,0,0
2019-08-19,2,0,5
2019-08-20,0,0,1
2019-08-21,0,1,1
2019-08-22,2,1,1
2019-08-23,0,0,0
2019-08-24,9,0,0
2019-08-25,0,0,0
2019-08-26,4,2,0
2019-08-27,12,0,5
2019-08-28,6,0,3
2019-08-29,0,2,2
2019-08-30,2,0,0
2019-08-31,1,0,0
2019-09-01,0,0,0
2019-09-02,1,0,4
2019-09-03,5,1,2
2019-09-04,13,0,2
2019-09-05,8,0,4
2019-09-06,4,0,2
2019-09-07,0,0,0
2019-09-08,2,0,0
2019-09-09,6,7,2
2019-09-10,7,3,3
2019-09-11,5,0,4
2019-09-12,0,1,7
2019-09-13,0,0,1
2019-09-14,0,0,0
2019-09-15,11,0,0
2019-09-16,6,0,4
2019-09-17,2,5,1
2019-09-18,6,0,4
2019-09-19,6,1,0
2019-09-20,2,2,0
2019-09-21,8,0,0
2019-09-22,0,0,0
2019-09-23,1,2,3
2019-09-24,5,4,2
2019-09-25,14,9,1
2019-09-26,6,8,1
2019-09-27,3,4,0
2019-09-28,8,0,0
2019-09-29,12,8,0
2019-09-30,2,2,0
2019-10-01,13,2,0
2019-10-02,5,3,3
2019-10-03,7,2,0
2019-10-04,7,1,0
2019-10-05,5,0,0
2019-10-06,2,0,0
2019-10-07,7,3,0
2019-10-08,1,0,2
2019-10-09,1,4,3
2019-10-10,2,4,3
2019-10-11,5,10,0
2019-10-12,6,2,5
2019-10-13,0,0,0
2019-10-14,4,0,1
2019-10-15,16,2,1
2019-10-16,3,4,4
2019-10-17,9,5,3
2019-10-18,4,1,2
2019-10-19,2,0,0
2019-10-20,0,0,0
2019-10-21,7,2,2
2019-10-22,1,4,1
2019-10-23,0,11,0
2019-10-24,0,5,3
2019-10-25,2,4,0
2019-10-26,1,0,0
2019-10-27,2,0,0
2019-10-28,2,0,2
2019-10-29,3,17,0
2019-10-30,20,9,0
2019-10-31,2,16,2
2019-11-01,3,0,0
2019-11-02,0,0,0
2019-11-03,6,0,0
2019-11-04,3,2,0
2019-11-05,9,1,4
2019-11-06,0,3,3
2019-11-07,2,12,1
2019-11-08,4,11,2
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,10,0,1
2019-11-12,10,1,1
2019-11-13,3,2,0
2019-11-14,1,2,4
2019-11-15,1,5,2
2019-11-16,4,0,0
2019-11-17,5,0,0
2019-11-18,2,3,0
2019-11-19,4,4,2
2019-11-20,1,0,7
2019-11-21,1,0,2
2019-11-22,1,0,2
2019-11-23,2,0,0
2019-11-24,0,0,0
2019-11-25,1,1,1
2019-11-26,0,9,2
2019-11-27,2,11,1
2019-11-28,3,7,0
2019-11-29,6,0,0
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,6,9,1
2019-12-03,2,3,1
2019-12-04,1,5,0
2019-12-05,0,6,0
2019-12-06,1,12,1
2019-12-07,0,0,0
2019-12-08,1,0,0
2019-12-09,0,7,1
2019-12-10,0,3,0
2019-12-11,1,7,0
2019-12-12,0,13,0
2019-12-13,0,1,2
2019-12-14,1,0,0
2019-12-15,0,0,0
2019-12-16,0,3,0
2019-12-17,1,1,4
2019-12-18,0,2,7
2019-12-19,1,5,2
2019-12-20,0,0,2
2019-12-21,1,3,0
2019-12-22,0,1,0
2019-12-23,1,5,0
2019-12-24,0,2,0
2019-12-25,0,0,1
2019-12-26,1,5,0
2019-12-27,1,5,3
2019-12-28,0,1,0
2019-12-29,0,0,0
2019-12-30,0,1,3
2019-12-31,0,0,0
2020-01-01,3,0,0
2020-01-02,2,1,0
2020-01-03,8,1,0
2020-01-04,11,1,0
2020-01-05,0,0,0
2020-01-06,5,2,0
2020-01-07,2,6,0
2020-01-08,10,1,0
2020-01-09,3,9,1
2020-01-10,4,7,2
2020-01-11,1,2,0
2020-01-12,0,0,0
2020-01-13,0,7,1
2020-01-14,0,0,1
2020-01-15,3,4,0
2020-01-16,15,4,2
2020-01-17,0,0,7
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,0,1,0
2020-01-21,1,0,2
2020-01-22,0,2,0
2020-01-23,4,1,3
2020-01-24,0,3,0
2020-01-25,0,2,0
2020-01-26,0,1,0
2020-01-27,1,5,0
2020-01-28,0,0,1
2020-01-29,0,2,2
2020-01-30,2,4,0
2020-01-31,0,5,0
2020-02-01,0,1,0
2020-02-02,0,0,0
2020-02-03,0,6,0
2020-02-04,14,3,4
2020-02-05,0,7,1
2020-02-06,0,7,3
2020-02-07,0,10,2
2020-02-08,1,0,0
2020-02-09,0,0,0
2020-02-10,0,4,1
2020-02-11,0,3,0
2020-02-12,2,4,2
2020-02-13,0,5,0
2020-02-14,2,10,2
