,libbitcoin/libbitcoin-system,bitcoin/bitcoin,bitcoinj/bitcoinj
2023-07-19,0,21,0.0
2023-07-20,0,16,1.0
2023-07-21,0,11,-0.19999999999999996
2023-07-22,0,6,-0.08000000000000007
2023-07-23,0,1,-0.048000000000000036
2023-07-24,0,19,-0.03360000000000001
2023-07-25,0,26,-0.025536000000000014
2023-07-26,0,17,-0.02042880000000001
2023-07-27,0,10,3.98307328
2023-07-28,0,3,1.1856122880000002
2023-07-29,0,0,-0.7324693504000002
2023-07-30,0,3,-0.3520000000000003
2023-07-31,0,7,0.7695999999999998
2023-08-01,0,14,3.630656
2023-08-02,0,7,-1.0127872
2023-08-03,0,25,-0.4765644800000004
2023-08-04,0,6,-0.3170042879999999
2023-08-05,0,15,-0.2385888255999998
2023-08-06,0,1,-0.1475115008
2023-08-07,0,14,-0.09864192000000005
2023-08-08,0,7,24.917905408
2023-08-09,0,8,5.929979801600001
2023-08-10,0,7,5.750122598399999
2023-08-11,0,3,-3.080000000000002
2023-08-12,0,0,-2.368000000000001
2023-08-13,0,1,-1.568000000000001
2023-08-14,0,15,-1.1756160000000007
2023-08-15,0,9,-0.9368448000000005
2023-08-16,0,6,-0.7757107199999987
2023-08-17,4,26,-0.6596945919999985
2023-08-18,0,14,-0.297966694399999
2023-08-19,0,0,-0.1390812159999996
2023-08-20,1,0,-0.012469350399999964
2023-08-21,0,5,0.0
2023-08-22,0,17,0.0
2023-08-23,0,30,15.0
2023-08-24,0,30,-2.999999999999999
2023-08-25,0,11,8.799999999999999
2023-08-26,0,2,-2.72
2023-08-27,0,8,-1.304000000000001
2023-08-28,0,8,-0.8630400000000006
2023-08-29,0,9,-0.6424320000000003
2023-08-30,0,10,-0.5092608000000003
2023-08-31,0,7,-0.4201036799999992
2023-09-01,0,8,8.643692544
2023-09-02,0,1,3.056122880000001
2023-09-03,0,1,-1.844693504
2023-09-04,0,5,-0.8320000000000007
2023-09-05,0,14,2.4576
2023-09-06,0,9,0.0021759999999999557
2023-09-07,0,19,5.2484608
2023-09-08,0,7,-1.67848448
2023-09-09,0,2,-0.842923008
2023-09-10,0,5,-0.5823707135999996
2023-09-11,0,3,-0.3507691519999999
2023-09-12,0,23,22.77557504
2023-09-13,0,28,-4.7826626559999985
2023-09-14,0,21,6.006643916799998
2023-09-15,0,16,-2.8027956223999997
2023-09-16,0,2,7.5123838975999995
2023-09-17,0,0,-2.7713280000000005
2023-09-18,0,1,-1.458662400000001
2023-09-19,0,16,-0.025602560000000718
2023-09-20,0,16,-0.9967477759999988
2023-09-21,0,6,6.2679671808
2023-09-22,0,3,-1.7469608959999994
2023-09-23,0,2,-0.8456952832000003
2023-09-24,0,1,-0.4910254079999997
2023-09-25,0,1,6.6321470464
2023-09-26,0,2,-1.5956787199999998
2023-09-27,0,13,-0.7173893120000006
2023-09-28,0,6,-0.46695639040000025
2023-09-29,0,10,-0.33591398399999967
2023-09-30,0,24,5.7339625472
2023-10-01,0,0,4.6569984
2023-10-02,0,32,6.20151296
2023-10-03,0,29,-1.4687139839999999
2023-10-04,0,31,-1.4168854528000006
2023-10-05,0,29,0.18118399999999957
2023-10-06,0,14,-0.7925888000000003
2023-10-07,0,2,-0.5420211200000002
2023-10-08,0,31,-0.4248529919999998
2023-10-09,0,18,0.6494150656000004
2023-10-10,0,12,-0.43238051839999925
2023-10-11,0,8,0.7854286848000003
2023-10-12,0,15,0.7226039296
2023-10-13,0,27,-0.327987712
2023-10-14,0,0,-0.16600535040000008
2023-10-15,0,3,0.8979712
2023-10-16,0,10,-0.27606272
2023-10-17,0,11,-0.14035251200000004
2023-10-18,0,7,-0.09782487040000001
2023-10-19,0,14,-0.06491443199999997
2023-10-20,0,25,-0.05239306239999991
2023-10-21,0,0,-0.03289815039999998
2023-10-22,0,0,-0.01692672000000001
2023-10-23,0,17,-0.01438771199999994
2023-10-24,0,18,12.9875306496
2023-10-25,0,8,-2.5999999999999996
2023-10-26,0,10,-1.040000000000001
2023-10-27,0,2,-0.6240000000000004
2023-10-28,0,0,-0.43680000000000013
2023-10-29,0,3,-0.33196800000000015
2023-10-30,0,18,-0.26557440000000015
2023-10-31,0,11,-0.22004736000000014
2023-11-01,0,12,-0.1870402559999992
