,flutter/flutter,ionic-team/ionic-framework,NativeScript/NativeScript
2019-05-16,13,0,1
2019-05-17,10,1,2
2019-05-18,3,0,0
2019-05-19,2,0,0
2019-05-20,20,4,1
2019-05-21,22,8,6
2019-05-22,8,12,9
2019-05-23,8,2,1
2019-05-24,9,4,0
2019-05-25,3,0,0
2019-05-26,2,1,0
2019-05-27,2,0,0
2019-05-28,13,0,0
2019-05-29,15,5,0
2019-05-30,31,1,0
2019-05-31,14,1,3
2019-06-01,8,0,0
2019-06-02,1,0,0
2019-06-03,25,7,5
2019-06-04,23,0,2
2019-06-05,14,0,3
2019-06-06,23,0,4
2019-06-07,19,0,2
2019-06-08,13,0,0
2019-06-09,6,0,0
2019-06-10,19,7,1
2019-06-11,18,18,0
2019-06-12,15,10,1
2019-06-13,16,1,1
2019-06-14,16,0,0
2019-06-15,7,0,0
2019-06-16,4,0,0
2019-06-17,5,0,2
2019-06-18,16,0,2
2019-06-19,23,1,0
2019-06-20,19,1,1
2019-06-21,11,4,5
2019-06-22,7,0,0
2019-06-23,4,1,0
2019-06-24,9,1,3
2019-06-25,13,3,8
2019-06-26,14,5,8
2019-06-27,17,5,6
2019-06-28,26,5,9
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,8,6,1
2019-07-02,5,5,0
2019-07-03,13,3,5
2019-07-04,2,0,2
2019-07-05,1,3,0
2019-07-06,0,1,0
2019-07-07,0,0,0
2019-07-08,17,2,2
2019-07-09,16,7,5
2019-07-10,13,8,11
2019-07-11,15,1,1
2019-07-12,16,3,0
2019-07-13,5,0,0
2019-07-14,0,0,0
2019-07-15,7,1,1
2019-07-16,13,0,13
2019-07-17,27,3,11
2019-07-18,14,3,4
2019-07-19,23,1,5
2019-07-20,3,0,1
2019-07-21,6,0,0
2019-07-22,19,5,4
2019-07-23,16,6,0
2019-07-24,17,10,1
2019-07-25,11,6,4
2019-07-26,15,4,4
2019-07-27,9,0,0
2019-07-28,2,0,2
2019-07-29,11,1,1
2019-07-30,16,4,2
2019-07-31,15,1,3
2019-08-01,19,0,4
2019-08-02,19,1,9
2019-08-03,5,0,0
2019-08-04,3,0,0
2019-08-05,8,1,2
2019-08-06,25,9,0
2019-08-07,19,13,6
2019-08-08,18,9,2
2019-08-09,22,0,0
2019-08-10,5,0,0
2019-08-11,0,0,0
2019-08-12,13,2,2
2019-08-13,6,4,2
2019-08-14,23,0,5
2019-08-15,30,1,5
2019-08-16,28,2,1
2019-08-17,5,0,0
2019-08-18,3,0,2
2019-08-19,14,1,5
2019-08-20,32,4,4
2019-08-21,20,6,2
2019-08-22,19,3,4
2019-08-23,16,6,3
2019-08-24,3,0,0
2019-08-25,2,0,0
2019-08-26,14,4,1
2019-08-27,17,11,0
2019-08-28,31,3,4
2019-08-29,15,2,3
2019-08-30,15,3,2
2019-08-31,10,0,0
2019-09-01,0,0,0
2019-09-02,13,0,0
2019-09-03,25,2,0
2019-09-04,5,5,1
2019-09-05,21,4,0
2019-09-06,17,0,0
2019-09-07,5,0,0
2019-09-08,0,0,0
2019-09-09,2,1,0
2019-09-10,21,4,5
2019-09-11,21,2,1
2019-09-12,19,3,3
2019-09-13,16,0,3
2019-09-14,10,0,0
2019-09-15,0,0,0
2019-09-16,27,4,0
2019-09-17,12,0,2
2019-09-18,20,0,1
2019-09-19,20,0,3
2019-09-20,13,7,0
2019-09-21,0,0,0
2019-09-22,0,0,0
2019-09-23,4,0,0
2019-09-24,25,4,1
2019-09-25,21,4,1
2019-09-26,27,3,0
2019-09-27,23,10,1
2019-09-28,7,0,1
2019-09-29,4,0,0
2019-09-30,18,1,1
2019-10-01,14,0,2
2019-10-02,23,7,6
2019-10-03,9,0,1
2019-10-04,28,2,3
2019-10-05,5,0,0
2019-10-06,2,0,0
2019-10-07,13,6,2
2019-10-08,14,8,5
2019-10-09,23,7,3
2019-10-10,35,21,6
2019-10-11,19,4,0
2019-10-12,0,0,0
2019-10-13,1,0,0
2019-10-14,16,10,2
2019-10-15,26,8,6
