,highcharts/highcharts,d3/d3,plotly/plotly.js
2020-08-19,4.0,0,17
2020-08-20,5.2,0,6
2020-08-21,16.48,0,11
2020-08-22,-4.272,0,0
2020-08-23,-1.8624000000000016,4,0
2020-08-24,16.832256,27,0
2020-08-25,8.5602688,4,5
2020-08-26,18.31007232,6,1
2020-08-27,-1.0308295680000006,10,2
2020-08-28,0.290315366399998,1,1
2020-08-29,-3.8142429183999997,2,0
2020-08-30,-1.3849347072000007,0,0
2020-08-31,2.2008166399999993,2,15
2020-09-01,13.849895424,0,11
2020-09-02,-0.6190559231999986,1,23
2020-09-03,0.9976767488000009,0,16
2020-09-04,0.49430906880000025,0,6
2020-09-05,-1.9189274624000001,0,0
2020-09-06,-1.1359646720000005,0,0
2020-09-07,8.210500608,0,4
2020-09-08,0.5744930816000005,0,6
2020-09-09,0.17388912640000043,0,0
2020-09-10,15.5419462656,0,2
2020-09-11,-0.16460840959999956,0,3
2020-09-12,-2.679664537600001,0,0
2020-09-13,-1.501075251200001,0,1
2020-09-14,3.9721011199999996,0,4
2020-09-15,4.210360832000001,0,9
2020-09-16,6.7613256704,0,7
2020-09-17,3.0443470848,0,14
2020-09-18,13.2867633152,0,3
2020-09-19,-2.7108098047999993,0,0
2020-09-20,-2.575637401600001,0,0
2020-09-21,-0.5666304000000011,0,6
2020-09-22,2.65582592,0,6
2020-09-23,3.2206376960000003,2,7
2020-09-24,12.9482013696,0,4
2020-09-25,-1.135835545599999,0,14
2020-09-26,-2.5388089344,0,10
2020-09-27,-1.4788578304000002,0,0
2020-09-28,0.10073937919999953,0,18
2020-09-29,2.1319214079999997,0,14
2020-09-30,-1.2176937984,0,10
2020-10-01,-0.7250031615999999,0,9
2020-10-02,-0.5065425919999991,0,8
2020-10-03,0.6434606080000007,0,2
2020-10-04,-0.3344448511999999,0,0
2020-10-05,1.84178688,0,3
2020-10-06,-0.5131678719999999,0,3
2020-10-07,0.7507675136,0,2
2020-10-08,3.6410559488,0,6
2020-10-09,-0.9676288,0,6
2020-10-10,-0.4359987200000004,0,3
2020-10-11,-0.2808453120000001,0,2
2020-10-12,17.7937412096,0,1
2020-10-13,-1.7513482239999991,0,3
2020-10-14,7.036419379199999,0,12
2020-10-15,-2.9060945920000005,0,6
2020-10-16,13.509179801599998,0,3
2020-10-17,-4.0087254016,0,5
2020-10-18,-1.9211904000000013,0,0
2020-10-19,11.704637439999999,0,7
2020-10-20,-1.580691455999999,0,7
2020-10-21,13.7713957888,0,6
2020-10-22,5.5551398912000005,0,14
2020-10-23,14.821075046399999,0,7
2020-10-24,-5.982983679999999,0,2
2020-10-25,-3.0412866560000014,0,3
2020-10-26,9.08251904,0,3
2020-10-27,0.3584855040000008,0,2
2020-10-28,11.168823500799999,0,4
2020-10-29,-3.4605564927999994,0,6
2020-10-30,2.4534055935999994,0,5
2020-10-31,-2.565356031999999,0,0
2020-11-01,-1.4821784575999999,0,0
2020-11-02,16.10098688,0,7
2020-11-03,1.8944890880000012,0,5
2020-11-04,14.8602034176,0,22
2020-11-05,0.7336239104000004,0,6
2020-11-06,33.2272077824,0,4
2020-11-07,-5.464119910399999,0,0
2020-11-08,-0.21565235200000288,0,0
2020-11-09,25.832424959999997,0,6
2020-11-10,12.297714176000001,0,2
2020-11-11,18.3552090112,0,0
2020-11-12,20.0186351616,0,7
2020-11-13,17.6775415808,0,9
2020-11-14,-11.7446923264,0,0
2020-11-15,-6.419870412800003,0,1
2020-11-16,44.8519056384,0,8
2020-11-17,-4.941496831999997,0,10
2020-11-18,26.993348096,0,13
2020-11-19,6.257438617600002,0,10
2020-11-20,41.3104212992,0,5
2020-11-21,-15.631388159999997,0,7
2020-11-22,-7.686910361600004,0,0
2020-11-23,19.06060032,0,6
2020-11-24,31.471332352000005,0,5
2020-11-25,9.091410534400001,0,10
2020-11-26,26.2981255168,0,13
2020-11-27,40.5549312,0,12
2020-11-28,-9.731085619199998,0,8
2020-11-29,-10.582868070400005,0,8
2020-11-30,79.73961471999999,0,10
2020-12-01,3.1849605120000035,0,2
2020-12-02,65.4692296704,0,8
2020-12-03,-1.077035519999999,2,2
2020-12-04,0.7462556671999963,0,9
2020-12-05,-13.817812172800002,0,0
2020-12-06,-8.497323417600002,0,0
2020-12-07,0.1950112767999972,0,12
2020-12-08,16.267091968000003,2,12
2020-12-09,2.3669395456000046,0,14
2020-12-10,-2.499098111999995,0,4
2020-12-11,-0.5976034303999977,0,15
2020-12-12,-3.0986592255999987,0,0
2020-12-13,-1.7904131072000005,0,0
2020-12-14,8.841710079999999,0,8
2020-12-15,-1.9199749119999998,0,2
2020-12-16,0.2386011136000008,0,0
2020-12-17,0.4579873792000009,0,7
2020-12-18,2.7935794176,0,13
2020-12-19,-1.4523882495999998,0,1
2020-12-20,-0.7629014016000004,0,0
2020-12-21,-0.4999680000000003,0,9
2020-12-22,-0.3871334399999995,0,10
2020-12-23,0.6840637440000004,0,2
2020-12-24,-0.35681341439999986,0,1
2020-12-25,-0.20142100479999991,0,2
2020-12-26,-0.13048954879999972,0,2
2020-12-27,-0.08347740159999986,0,0
