,seleniumhq/selenium,cypress-io/cypress,DevExpress/testcafe
2023-06-20,6,3,0
2023-06-21,1,3,2
2023-06-22,0,1,1
2023-06-23,6,1,4
2023-06-24,0,1,0
2023-06-25,0,0,0
2023-06-26,0,6,2
2023-06-27,15,1,2
2023-06-28,16,6,1
2023-06-29,4,5,1
2023-06-30,0,9,3
2023-07-01,2,0,0
2023-07-02,6,0,0
2023-07-03,1,0,3
2023-07-04,3,0,2
2023-07-05,1,3,0
2023-07-06,1,2,2
2023-07-07,0,4,1
2023-07-08,0,0,0
2023-07-09,0,0,0
2023-07-10,3,2,0
2023-07-11,3,1,0
2023-07-12,12,5,4
2023-07-13,4,2,2
2023-07-14,2,1,1
2023-07-15,0,0,0
2023-07-16,1,0,0
2023-07-17,2,4,1
2023-07-18,0,5,1
2023-07-19,5,4,0
2023-07-20,2,2,1
2023-07-21,16,2,1
2023-07-22,1,0,0
2023-07-23,3,0,0
2023-07-24,27,1,2
2023-07-25,11,5,0
2023-07-26,6,3,0
2023-07-27,9,3,1
2023-07-28,3,0,0
2023-07-29,3,0,2
2023-07-30,4,0,0
2023-07-31,13,3,1
2023-08-01,23,2,0
2023-08-02,5,0,3
2023-08-03,3,0,2
2023-08-04,3,5,0
2023-08-05,8,0,0
2023-08-06,1,1,0
2023-08-07,8,5,4
2023-08-08,13,3,1
2023-08-09,10,1,0
2023-08-10,4,4,0
2023-08-11,10,9,0
2023-08-12,2,0,0
2023-08-13,0,0,0
2023-08-14,20,9,4
2023-08-15,9,13,0
2023-08-16,12,5,3
2023-08-17,0,2,4
2023-08-18,1,4,6
2023-08-19,1,0,0
2023-08-20,0,1,1
2023-08-21,2,7,3
2023-08-22,4,9,6
2023-08-23,11,1,2
2023-08-24,3,4,0
2023-08-25,2,12,3
2023-08-26,8,2,0
2023-08-27,7,1,0
2023-08-28,10,28,0
2023-08-29,11,23,1
2023-08-30,6,3,2
2023-08-31,17,6,4
2023-09-01,7,0,0
2023-09-02,3,0,0
2023-09-03,0,0,0
2023-09-04,12,0,0
2023-09-05,8,1,1
2023-09-06,3,2,1
2023-09-07,2,6,0
2023-09-08,3,1,0
2023-09-09,1,0,0
2023-09-10,1,0,0
2023-09-11,7,2,4
2023-09-12,1,3,5
2023-09-13,4,0,2
2023-09-14,1,1,1
2023-09-15,3,4,0
2023-09-16,13,0,0
2023-09-17,17,0,0
2023-09-18,6,0,0
2023-09-19,4,2,1
2023-09-20,3,4,0
2023-09-21,1,3,0
2023-09-22,3,1,1
2023-09-23,6,0,0
2023-09-24,6,0,0
2023-09-25,16,3,0
2023-09-26,16,0,0
2023-09-27,8,3,0
2023-09-28,0,1,0
2023-09-29,1,1,0
2023-09-30,4,0,0
2023-10-01,0,0,0
2023-10-02,2,2,0
2023-10-03,4,2,0
2023-10-04,5,3,0
2023-10-05,10,2,0
2023-10-06,11,2,0
2023-10-07,6,0,0
2023-10-08,3,0,0
2023-10-09,12,1,0
2023-10-10,19,2,0
2023-10-11,15,5,0
2023-10-12,7,0,3
2023-10-13,1,1,0
2023-10-14,2,0,0
2023-10-15,1,0,0
2023-10-16,9,4,3
2023-10-17,17,2,1
2023-10-18,3,3,0
2023-10-19,3,0,0
2023-10-20,2,0,1
2023-10-21,0,0,0
2023-10-22,3,0,0
2023-10-23,16,2,0
2023-10-24,4,4,1
2023-10-25,4,1,0
2023-10-26,8,4,1
2023-10-27,12,5,2
2023-10-28,0,0,0
2023-10-29,0,0,0
2023-10-30,10,1,1
2023-10-31,16,2,1
2023-11-01,24,1,0
2023-11-02,10,2,1
2023-11-03,10,3,0
2023-11-04,1,0,0
2023-11-05,3,0,0
2023-11-06,6,4,0
2023-11-07,0,5,0
2023-11-08,4,1,0
2023-11-09,9,0,4
2023-11-10,22,0,1
2023-11-11,0,0,0
2023-11-12,2,0,0
2023-11-13,10,2,0
2023-11-14,7,3,0
2023-11-15,1,0,0
2023-11-16,2,5,1
2023-11-17,2,0,0
2023-11-18,0,0,0
2023-11-19,0,0,0
2023-11-20,1,4,1
2023-11-21,3,4,1
2023-11-22,2,4,1
2023-11-23,3,0,0
2023-11-24,2,0,1
2023-11-25,1,0,0
2023-11-26,8,0,0
2023-11-27,6,2,0
2023-11-28,0,2,0
2023-11-29,6,4,1
2023-11-30,0,1,0
2023-12-01,12,0,0
2023-12-02,1,0,0
2023-12-03,4,0,0
2023-12-04,5,0,0
2023-12-05,9,4,0
2023-12-06,17,0,2
2023-12-07,13,0,2
2023-12-08,11,0,0
2023-12-09,3,0,0
2023-12-10,0,0,0
2023-12-11,8,1,1
2023-12-12,4,1,0
2023-12-13,7,1,1
2023-12-14,4,3,0
2023-12-15,3,1,0
2023-12-16,2,0,0
2023-12-17,0,0,0
2023-12-18,12,0,0
2023-12-19,11,4,4
2023-12-20,11,0,1
2023-12-21,6,0,0
2023-12-22,15,2,2
2023-12-23,9,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,7,5,0
2023-12-27,11,0,1
2023-12-28,8,5,0
2023-12-29,1,4,0
2023-12-30,1,0,0
2023-12-31,2,0,0
2024-01-01,7,0,0
