,reactor/reactor-core,Kotlin/kotlinx.coroutines,reactivex/rxjava
2016-06-22,1,3.0,11
2016-06-23,2,2.0999999999999996,10
2016-06-24,3,-1.2149999999999999,7
2016-06-25,0,-0.4934999999999997,10
2016-06-26,0,-0.2989874999999999,4
2016-06-27,1,-0.20964824999999998,3
2016-06-28,0,1.8409966625,2
2016-06-29,0,-0.72671440875,1
2016-06-30,1,-0.314501971546875,0
2016-07-01,3,-0.20738038999531264,1
2016-07-02,0,-0.12107523969843756,1
2016-07-03,0,-0.05944049999999999,0
2016-07-04,4,-0.04656172499999999,0
2016-07-05,4,-0.037914547500000007,3
2016-07-06,0,2.96824656646875,1
2016-07-07,1,2.0728331735343746,0
2016-07-08,2,-1.2149999999999999,0
2016-07-09,0,-0.4934999999999997,0
2016-07-10,0,-0.2989874999999999,0
2016-07-11,0,-0.20964824999999998,1
2016-07-12,7,-0.15900333749999995,1
2016-07-13,0,-0.12671440875,1
2016-07-14,12,-0.10450197154687514,1
2016-07-15,12,-0.0883803899953127,0
2016-07-16,3,-0.04075023969843757,0
2016-07-17,7,1.0,0
2016-07-18,23,-0.30000000000000004,1
2016-07-19,3,-0.10499999999999993,1
2016-07-20,4,-0.05949999999999997,0
2016-07-21,1,-0.0401625,0
2016-07-22,0,-0.029720249999999997,2
2016-07-23,0,-0.023280862499999996,0
2016-07-24,0,-0.018957273750000003,0
2016-07-25,0,-0.015876716765625045,0
2016-07-26,1,-0.013583413232812524,0
2016-07-27,0,3.0,0
2016-07-28,1,-0.9000000000000001,0
2016-07-29,11,-0.3149999999999998,0
2016-07-30,14,-0.1784999999999999,0
2016-07-31,2,-0.1204875,0
2016-08-01,3,-0.08916074999999998,0
2016-08-02,4,-0.06984258749999998,2
2016-08-03,0,-0.05687182125000001,1
2016-08-04,0,-0.04763015029687513,0
2016-08-05,0,-0.04075023969843757,0
2016-08-06,1,0.0,5
2016-08-07,0,0.0,12
2016-08-08,15,0.0,10
2016-08-09,3,0.0,5
2016-08-10,1,0.0,6
2016-08-11,7,0.0,2
2016-08-12,14,0.0,1
2016-08-13,0,0.0,0
2016-08-14,0,0.0,1
2016-08-15,4,0.0,1
2016-08-16,0,0.0,4
2016-08-17,2,0.0,1
2016-08-18,11,0.0,5
2016-08-19,0,0.0,2
2016-08-20,0,0.0,3
2016-08-21,0,0.0,10
2016-08-22,5,0.0,1
2016-08-23,5,0.0,4
2016-08-24,1,0.0,4
2016-08-25,12,0.0,4
2016-08-26,7,0.0,3
2016-08-27,0,0.0,2
2016-08-28,4,0.0,1
2016-08-29,0,0.0,1
2016-08-30,7,0.0,2
2016-08-31,12,0.0,3
2016-09-01,9,0.0,3
2016-09-02,6,0.0,2
2016-09-03,0,0.0,1
2016-09-04,0,0.0,0
2016-09-05,13,0.0,2
2016-09-06,3,0.0,5
2016-09-07,8,0.0,3
2016-09-08,0,0.0,13
2016-09-09,0,0.0,4
2016-09-10,0,0.0,1
2016-09-11,0,0.0,3
2016-09-12,0,0.0,7
2016-09-13,0,0.0,4
2016-09-14,0,0.0,2
2016-09-15,0,0.0,2
