,jetty/jetty.project,apache/httpcomponents-client,square/okhttp
2019-05-25,0,0,13
2019-05-26,1,0,8
2019-05-27,0,0,1
2019-05-28,6,0,12
2019-05-29,8,0,0
2019-05-30,15,1,4
2019-05-31,11,0,1
2019-06-01,0,0,8
2019-06-02,0,0,8
2019-06-03,10,1,2
2019-06-04,10,0,4
2019-06-05,12,1,0
2019-06-06,13,0,1
2019-06-07,8,0,1
2019-06-08,0,0,2
2019-06-09,0,0,1
2019-06-10,20,0,4
2019-06-11,7,0,0
2019-06-12,24,0,0
2019-06-13,8,0,0
2019-06-14,4,1,0
2019-06-15,0,0,2
2019-06-16,2,0,3
2019-06-17,8,0,0
2019-06-18,12,2,1
2019-06-19,8,0,2
2019-06-20,8,0,6
2019-06-21,14,1,10
2019-06-22,1,0,3
2019-06-23,2,0,2
2019-06-24,8,0,5
2019-06-25,7,0,6
2019-06-26,15,1,7
2019-06-27,0,2,4
2019-06-28,7,0,0
2019-06-29,1,0,2
2019-06-30,0,0,1
2019-07-01,14,0,0
2019-07-02,7,0,5
2019-07-03,15,0,3
2019-07-04,12,0,2
2019-07-05,1,0,0
2019-07-06,1,0,5
2019-07-07,1,0,1
2019-07-08,1,0,2
2019-07-09,5,0,0
2019-07-10,3,0,2
2019-07-11,16,0,0
2019-07-12,5,0,0
2019-07-13,1,0,0
2019-07-14,0,4,0
2019-07-15,0,1,1
2019-07-16,2,0,6
2019-07-17,3,0,0
2019-07-18,6,0,0
2019-07-19,4,0,1
2019-07-20,4,0,0
2019-07-21,2,1,0
2019-07-22,20,0,0
2019-07-23,11,0,0
2019-07-24,3,0,2
2019-07-25,3,0,1
2019-07-26,6,3,0
2019-07-27,0,1,0
2019-07-28,0,0,0
2019-07-29,3,0,1
2019-07-30,10,0,1
2019-07-31,12,0,0
2019-08-01,7,0,0
2019-08-02,7,0,1
2019-08-03,0,0,0
2019-08-04,0,0,0
2019-08-05,11,0,0
2019-08-06,2,0,0
2019-08-07,19,0,0
2019-08-08,10,0,2
2019-08-09,4,0,6
2019-08-10,2,0,4
2019-08-11,1,1,1
2019-08-12,7,0,6
2019-08-13,20,0,1
2019-08-14,12,0,5
2019-08-15,7,0,0
2019-08-16,4,0,0
2019-08-17,2,0,1
2019-08-18,2,1,4
2019-08-19,11,0,0
2019-08-20,13,0,0
2019-08-21,6,0,2
2019-08-22,15,1,0
2019-08-23,9,1,2
2019-08-24,0,3,4
2019-08-25,0,0,0
2019-08-26,8,0,0
2019-08-27,25,0,0
2019-08-28,23,0,0
2019-08-29,4,0,0
2019-08-30,4,0,0
2019-08-31,0,0,0
2019-09-01,0,0,0
2019-09-02,2,0,0
2019-09-03,0,0,0
2019-09-04,4,0,3
2019-09-05,14,1,6
2019-09-06,22,0,2
2019-09-07,1,0,3
2019-09-08,0,0,2
2019-09-09,13,0,3
2019-09-10,24,0,5
2019-09-11,21,0,3
2019-09-12,18,0,0
2019-09-13,14,0,0
2019-09-14,0,0,2
2019-09-15,0,0,4
2019-09-16,3,0,1
2019-09-17,15,0,2
