,zurb/foundation-sites,primer/css,twbs/bootstrap
2015-03-20,27,2,0
2015-03-21,0,0,6
2015-03-22,0,0,0
2015-03-23,3,25,3
2015-03-24,24,11,5
2015-03-25,3,3,2
2015-03-26,20,2,18
2015-03-27,10,16,6
2015-03-28,7,20,3
2015-03-29,3,7,17
2015-03-30,3,18,0
2015-03-31,8,8,8
2015-04-01,0,4,2
2015-04-02,7,4,2
2015-04-03,7,0,2
2015-04-04,2,3,4
2015-04-05,0,2,12
2015-04-06,14,1,0
2015-04-07,3,0,16
2015-04-08,19,1,24
2015-04-09,8,5,1
2015-04-10,9,2,1
2015-04-11,3,0,5
2015-04-12,0,0,2
2015-04-13,1,0,12
2015-04-14,12,0,6
2015-04-15,0,16,10
2015-04-16,11,3,8
2015-04-17,1,0,30
2015-04-18,0,0,22
2015-04-19,1,2,7
2015-04-20,8,1,1
2015-04-21,6,0,2
2015-04-22,9,0,8
2015-04-23,3,1,23
2015-04-24,13,0,11
2015-04-25,13,0,12
2015-04-26,0,0,22
2015-04-27,1,0,18
2015-04-28,8,0,15
2015-04-29,4,1,18
2015-04-30,7,2,4
2015-05-01,0,0,2
2015-05-02,1,0,4
2015-05-03,0,0,4
2015-05-04,1,0,4
2015-05-05,14,0,11
2015-05-06,7,1,8
2015-05-07,6,0,2
2015-05-08,10,0,4
2015-05-09,0,0,2
2015-05-10,0,0,2
2015-05-11,3,0,3
2015-05-12,5,1,5
2015-05-13,5,0,11
2015-05-14,6,0,21
2015-05-15,10,0,5
2015-05-16,2,0,6
2015-05-17,0,0,2
2015-05-18,5,0,2
2015-05-19,10,0,0
2015-05-20,5,0,0
2015-05-21,1,6,1
2015-05-22,6,0,2
2015-05-23,0,0,7
2015-05-24,0,0,1
2015-05-25,2,0,0
2015-05-26,0,3,3
2015-05-27,1,1,1
2015-05-28,11,0,7
2015-05-29,6,2,18
2015-05-30,5,2,5
2015-05-31,0,3,1
2015-06-01,0,11,11
2015-06-02,5,0,2
2015-06-03,15,0,2
2015-06-04,5,0,0
2015-06-05,2,0,2
2015-06-06,5,0,0
2015-06-07,1,0,0
2015-06-08,4,0,2
2015-06-09,2,3,9
2015-06-10,1,15,2
2015-06-11,3,0,3
2015-06-12,3,3,0
2015-06-13,0,1,3
2015-06-14,0,0,0
2015-06-15,0,0,1
2015-06-16,3,0,6
2015-06-17,0,0,1
2015-06-18,5,0,11
2015-06-19,12,0,11
2015-06-20,3,0,1
2015-06-21,1,0,1
2015-06-22,4,0,6
2015-06-23,7,1,16
2015-06-24,1,19,0
2015-06-25,2,2,1
2015-06-26,0,0,0
2015-06-27,0,0,2
2015-06-28,0,0,0
2015-06-29,3,0,0
2015-06-30,2,0,0
2015-07-01,1,0,7
2015-07-02,5,0,1
2015-07-03,0,0,4
2015-07-04,0,0,7
2015-07-05,0,0,0
2015-07-06,4,0,0
2015-07-07,2,0,2
2015-07-08,5,0,1
2015-07-09,11,4,1
2015-07-10,3,0,0
2015-07-11,0,0,1
2015-07-12,0,0,1
2015-07-13,3,0,3
2015-07-14,1,0,0
2015-07-15,1,0,0
2015-07-16,0,0,0
2015-07-17,11,0,1
2015-07-18,3,0,8
2015-07-19,2,0,0
2015-07-20,0,6,0
2015-07-21,0,5,0
2015-07-22,0,0,0
2015-07-23,4,0,0
2015-07-24,0,0,1
2015-07-25,0,0,7
2015-07-26,0,0,3
2015-07-27,1,2,3
2015-07-28,17,0,4
2015-07-29,17,3,3
2015-07-30,8,0,0
2015-07-31,13,0,4
2015-08-01,0,0,2
2015-08-02,0,0,0
2015-08-03,7,0,0
2015-08-04,8,0,0
2015-08-05,9,3,31
2015-08-06,11,0,9
2015-08-07,2,0,0
2015-08-08,0,0,8
2015-08-09,3,0,1
2015-08-10,13,0,44
2015-08-11,16,0,13
