,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2023-03-13,2,1,37
2023-03-14,10,0,24
2023-03-15,8,0,24
2023-03-16,8,0,12
2023-03-17,7,1,10
2023-03-18,0,0,5
2023-03-19,2,0,7
2023-03-20,22,0,22
2023-03-21,14,0,7
2023-03-22,7,1,6
2023-03-23,12,4,11
2023-03-24,3,0,7
2023-03-25,1,0,9
2023-03-26,1,2,4
2023-03-27,6,0,26
2023-03-28,5,0,10
2023-03-29,4,3,5
2023-03-30,3,0,13
2023-03-31,6,0,5
2023-04-01,2,0,3
2023-04-02,1,0,7
2023-04-03,3,0,13
2023-04-04,2,1,8
2023-04-05,5,2,7
2023-04-06,6,0,12
2023-04-07,3,0,2
2023-04-08,1,0,1
2023-04-09,0,0,0
2023-04-10,6,0,7
2023-04-11,5,0,10
2023-04-12,5,0,9
2023-04-13,5,0,14
2023-04-14,6,0,10
2023-04-15,3,0,4
2023-04-16,2,0,4
2023-04-17,8,0,10
2023-04-18,8,0,30
2023-04-19,4,0,15
2023-04-20,10,0,17
2023-04-21,4,0,7
2023-04-22,1,0,0
2023-04-23,1,1,3
2023-04-24,2,0,4
2023-04-25,6,3,13
2023-04-26,6,0,19
2023-04-27,4,1,17
2023-04-28,2,3,10
2023-04-29,1,0,6
2023-04-30,1,0,1
2023-05-01,1,0,5
2023-05-02,8,2,11
2023-05-03,2,0,12
2023-05-04,2,1,13
2023-05-05,5,0,10
2023-05-06,1,0,4
2023-05-07,0,0,2
2023-05-08,2,0,11
2023-05-09,8,0,10
2023-05-10,1,0,9
2023-05-11,3,2,5
2023-05-12,4,0,4
2023-05-13,2,0,4
2023-05-14,1,0,2
2023-05-15,4,0,7
2023-05-16,3,0,8
2023-05-17,3,1,9
2023-05-18,4,0,6
2023-05-19,3,0,3
2023-05-20,4,3,0
2023-05-21,1,0,7
2023-05-22,4,0,13
2023-05-23,1,0,8
2023-05-24,11,0,12
2023-05-25,4,0,6
2023-05-26,7,0,3
2023-05-27,0,0,3
2023-05-28,0,0,5
2023-05-29,0,0,3
2023-05-30,5,3,5
2023-05-31,1,0,5
2023-06-01,5,0,3
2023-06-02,3,0,3
2023-06-03,1,0,0
2023-06-04,0,1,0
2023-06-05,5,0,5
2023-06-06,5,0,18
2023-06-07,2,0,4
2023-06-08,6,0,21
2023-06-09,4,0,3
2023-06-10,1,0,5
2023-06-11,1,0,3
2023-06-12,5,0,13
2023-06-13,6,0,13
2023-06-14,2,2,6
2023-06-15,1,0,2
2023-06-16,2,0,8
2023-06-17,1,0,0
2023-06-18,0,0,0
2023-06-19,0,0,11
2023-06-20,5,1,7
2023-06-21,3,0,5
2023-06-22,4,0,3
2023-06-23,5,0,9
2023-06-24,1,0,2
2023-06-25,1,0,3
2023-06-26,9,0,6
2023-06-27,5,0,5
2023-06-28,2,1,8
2023-06-29,4,0,14
2023-06-30,6,0,7
2023-07-01,2,0,0
2023-07-02,0,0,2
2023-07-03,3,0,3
2023-07-04,1,0,1
2023-07-05,2,0,10
2023-07-06,4,0,9
2023-07-07,3,0,12
2023-07-08,1,0,2
2023-07-09,0,3,5
2023-07-10,3,0,9
2023-07-11,1,0,5
2023-07-12,4,0,12
2023-07-13,5,0,9
2023-07-14,2,0,3
2023-07-15,1,0,2
2023-07-16,0,9,2
2023-07-17,2,0,7
2023-07-18,3,0,3
2023-07-19,3,0,4
2023-07-20,7,0,6
2023-07-21,4,0,3
2023-07-22,1,0,4
2023-07-23,1,0,1
2023-07-24,6,0,10
2023-07-25,2,0,20
2023-07-26,3,0,9
2023-07-27,1,1,6
2023-07-28,6,0,7
2023-07-29,1,0,3
2023-07-30,0,2,2
2023-07-31,3,0,19
2023-08-01,2,0,10
2023-08-02,2,0,6
2023-08-03,6,0,7
2023-08-04,2,0,8
2023-08-05,4,0,8
2023-08-06,1,0,3
2023-08-07,7,0,12
2023-08-08,5,4,8
2023-08-09,5,0,11
2023-08-10,1,0,4
2023-08-11,2,0,7
2023-08-12,1,0,3
2023-08-13,0,1,1
2023-08-14,7,1,11
2023-08-15,8,0,8
2023-08-16,8,0,1
2023-08-17,4,0,4
2023-08-18,0,0,7
2023-08-19,1,0,2
2023-08-20,0,0,3
2023-08-21,1,0,5
2023-08-22,3,0,8
2023-08-23,8,0,5
2023-08-24,8,1,12
2023-08-25,2,1,3
2023-08-26,5,3,4
2023-08-27,0,2,0
2023-08-28,11,0,8
2023-08-29,4,0,6
2023-08-30,4,0,11
2023-08-31,2,0,7
2023-09-01,3,0,6
2023-09-02,1,0,6
2023-09-03,1,0,4
2023-09-04,0,1,3
2023-09-05,1,0,7
2023-09-06,4,0,8
2023-09-07,2,0,3
2023-09-08,2,0,7
2023-09-09,1,0,5
2023-09-10,0,0,1
2023-09-11,3,0,14
2023-09-12,5,0,12
2023-09-13,13,0,16
2023-09-14,4,0,7
2023-09-15,4,0,12
2023-09-16,1,0,10
2023-09-17,1,0,2
2023-09-18,2,0,13
2023-09-19,5,0,8
2023-09-20,5,0,9
2023-09-21,6,0,6
2023-09-22,11,0,8
2023-09-23,3,0,5
2023-09-24,1,0,5
2023-09-25,3,0,10
2023-09-26,5,3,13
2023-09-27,3,0,9
2023-09-28,2,0,2
2023-09-29,8,0,4
2023-09-30,1,3,3
2023-10-01,1,0,2
2023-10-02,4,0,15
2023-10-03,3,0,12
2023-10-04,5,0,20
2023-10-05,5,0,12
2023-10-06,2,0,9
2023-10-07,1,2,6
2023-10-08,1,0,7
2023-10-09,3,0,31
2023-10-10,4,0,22
2023-10-11,1,0,15
2023-10-12,4,0,15
2023-10-13,2,0,9
2023-10-14,1,0,5
2023-10-15,1,0,1
2023-10-16,4,1,5
2023-10-17,1,3,13
2023-10-18,1,3,18
2023-10-19,4,0,18
2023-10-20,2,0,6
2023-10-21,1,3,1
2023-10-22,0,0,6
2023-10-23,2,1,5
2023-10-24,5,1,5
2023-10-25,5,6,11
2023-10-26,5,1,11
2023-10-27,3,0,11
2023-10-28,5,0,2
2023-10-29,1,0,4
2023-10-30,4,1,14
2023-10-31,2,0,9
2023-11-01,1,0,8
2023-11-02,3,1,6
2023-11-03,10,0,12
2023-11-04,1,1,4
2023-11-05,1,0,5
