,jetty/jetty.project,apache/httpcomponents-client,square/okhttp
2023-05-25,2,0,0.0
2023-05-26,10,0,0.0
2023-05-27,6,0,9.0
2023-05-28,0,0,0.0999999999999992
2023-05-29,4,0,-0.5050000000000003
2023-05-30,1,0,-0.3015000000000002
2023-05-31,5,0,-0.21446249999999933
2023-06-01,4,0,-0.16571324999999945
2023-06-02,14,0,-0.1345748624999996
2023-06-03,0,0,-0.11300527874999966
2023-06-04,0,0,-0.09720851339062474
2023-06-05,6,0,-0.08515798583906228
2023-06-06,12,0,-0.008398852535937478
2023-06-07,5,0,0.0
2023-06-08,13,0,0.0
2023-06-09,2,0,1.0
2023-06-10,1,0,-0.10000000000000009
2023-06-11,6,0,-0.04500000000000003
2023-06-12,1,0,-0.028500000000000022
2023-06-13,2,0,-0.020662499999999924
2023-06-14,8,0,-0.016116749999999947
2023-06-15,15,0,-0.01316201249999996
2023-06-16,5,0,-0.011093696249999967
2023-06-17,0,0,0.990431686984375
2023-06-18,0,0,-0.10839885253593756
2023-06-19,3,1,-0.04500000000000003
2023-06-20,8,0,-0.028500000000000022
2023-06-21,9,0,-0.020662499999999924
2023-06-22,8,0,-0.016116749999999947
2023-06-23,12,0,-0.01316201249999996
2023-06-24,0,1,-0.011093696249999967
2023-06-25,3,0,-0.009568313015624975
2023-06-26,7,0,-0.008398852535937478
2023-06-27,9,1,0.0
2023-06-28,12,0,0.0
2023-06-29,12,0,0.0
2023-06-30,13,0,0.0
2023-07-01,0,0,1.0
2023-07-02,1,1,-0.10000000000000009
2023-07-03,4,0,-0.04500000000000003
2023-07-04,0,0,-0.028500000000000022
2023-07-05,5,0,-0.020662499999999924
2023-07-06,21,0,-0.016116749999999947
2023-07-07,18,0,-0.01316201249999996
2023-07-08,2,0,-0.011093696249999967
2023-07-09,0,0,0.990431686984375
2023-07-10,4,0,-0.10839885253593756
2023-07-11,5,0,-0.04500000000000003
2023-07-12,3,0,-0.028500000000000022
2023-07-13,3,1,-0.020662499999999924
2023-07-14,12,0,-0.016116749999999947
2023-07-15,5,0,-0.01316201249999996
2023-07-16,3,0,-0.011093696249999967
2023-07-17,11,0,-0.009568313015624975
2023-07-18,3,0,-0.008398852535937478
2023-07-19,5,0,0.0
2023-07-20,2,1,0.0
2023-07-21,1,0,0.0
2023-07-22,0,1,1.0
2023-07-23,0,0,-0.10000000000000009
2023-07-24,2,0,-0.04500000000000003
2023-07-25,0,0,-0.028500000000000022
2023-07-26,15,0,-0.020662499999999924
2023-07-27,2,0,-0.016116749999999947
2023-07-28,3,0,-0.01316201249999996
2023-07-29,0,0,-0.011093696249999967
2023-07-30,0,0,-0.009568313015624975
2023-07-31,28,0,-0.008398852535937478
2023-08-01,15,0,0.0
2023-08-02,3,0,0.0
2023-08-03,0,0,0.0
2023-08-04,0,0,0.0
2023-08-05,2,0,0.0
2023-08-06,1,0,0.0
2023-08-07,7,0,0.0
2023-08-08,7,0,0.0
2023-08-09,2,0,0.0
2023-08-10,2,0,0.0
2023-08-11,5,0,0.0
2023-08-12,1,18,0.0
2023-08-13,0,1,0.0
2023-08-14,3,0,2.0
2023-08-15,11,2,-0.20000000000000018
2023-08-16,6,0,-0.09000000000000007
2023-08-17,11,0,-0.057000000000000044
2023-08-18,16,0,-0.04132499999999985
2023-08-19,0,1,-0.032233499999999894
2023-08-20,1,1,-0.02632402499999992
2023-08-21,8,0,-0.022187392499999934
2023-08-22,12,0,-0.01913662603124995
2023-08-23,11,0,-0.016797705071874957
2023-08-24,29,0,0.0
2023-08-25,35,0,0.0
2023-08-26,3,0,0.0
2023-08-27,1,0,0.0
2023-08-28,4,0,0.0
2023-08-29,28,0,0.0
2023-08-30,0,0,0.0
2023-08-31,8,4,0.0
2023-09-01,3,0,0.0
2023-09-02,4,0,0.0
2023-09-03,3,0,0.0
2023-09-04,2,0,0.0
2023-09-05,0,0,0.0
2023-09-06,1,0,0.0
2023-09-07,1,0,0.0
2023-09-08,0,0,0.0
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,5,0,0.0
2023-09-12,1,0,0.0
2023-09-13,3,0,0.0
2023-09-14,16,0,0.0
2023-09-15,11,0,1.0
2023-09-16,2,0,0.8999999999999999
2023-09-17,0,0,-0.14500000000000013
2023-09-18,9,0,-0.07350000000000005
2023-09-19,2,0,-0.04916249999999994
2023-09-20,7,0,-0.036779249999999875
2023-09-21,3,0,-0.02927876249999991
2023-09-22,4,1,-0.024255708749999928
2023-09-23,2,1,-0.02066200926562494
2023-09-24,0,0,-0.017967165551562456
2023-09-25,6,0,-0.008398852535937478
2023-09-26,10,1,0.0
2023-09-27,17,0,0.0
2023-09-28,10,0,0.0
2023-09-29,1,1,0.0
2023-09-30,0,0,0.0
2023-10-01,4,0,0.0
2023-10-02,1,0,3.0
2023-10-03,3,1,-0.30000000000000027
2023-10-04,2,0,-0.1350000000000001
2023-10-05,9,0,-0.08550000000000006
2023-10-06,4,0,-0.06198749999999977
2023-10-07,1,0,-0.048350249999999845
2023-10-08,1,0,-0.03948603749999988
2023-10-09,13,0,-0.0332810887499999
2023-10-10,15,0,-0.028704939046874926
2023-10-11,1,0,-0.025196557607812434
2023-10-12,5,1,0.0
2023-10-13,6,0,0.0
2023-10-14,0,0,0.0
2023-10-15,0,0,1.0
2023-10-16,11,0,-0.10000000000000009
2023-10-17,14,0,1.955
2023-10-18,12,0,2.7714999999999996
2023-10-19,5,0,-0.41066250000000026
2023-10-20,3,0,-0.20811675000000007
2023-10-21,1,0,-0.13998701249999987
2023-10-22,0,0,-0.10531469624999963
2023-10-23,1,0,-0.08424258801562474
2023-10-24,7,0,-0.0700722825359373
2023-10-25,20,0,-0.052417714781249854
2023-10-26,13,0,-0.04550264411874988
2023-10-27,17,0,-0.025196557607812434
2023-10-28,0,0,0.0
2023-10-29,0,0,0.0
2023-10-30,7,0,0.0
2023-10-31,2,0,0.0
2023-11-01,8,0,0.0
2023-11-02,0,2,0.0
2023-11-03,0,0,0.0
2023-11-04,0,0,0.0
2023-11-05,1,0,0.0
2023-11-06,1,0,0.0
