,apache/solr,blevesearch/bleve,elastic/elasticsearch
2022-07-10,0,0,0
2022-07-11,1,0,11
2022-07-12,0,0,28
2022-07-13,1,1,16
2022-07-14,1,0,20
2022-07-15,0,0,4
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,0,0,23
2022-07-19,3,0,13
2022-07-20,4,1,13
2022-07-21,0,0,20
2022-07-22,0,1,28
2022-07-23,0,0,1
2022-07-24,0,0,0
2022-07-25,1,0,29
2022-07-26,0,0,30
2022-07-27,0,0,26
2022-07-28,0,0,17
2022-07-29,2,0,17
2022-07-30,0,0,1
2022-07-31,0,0,1
2022-08-01,3,0,27
2022-08-02,3,0,24
2022-08-03,2,0,31
2022-08-04,2,0,25
2022-08-05,2,0,3
2022-08-06,0,0,0
2022-08-07,0,0,1
2022-08-08,3,0,20
2022-08-09,0,0,17
2022-08-10,1,1,10
2022-08-11,0,0,16
2022-08-12,0,0,13
2022-08-13,0,0,2
2022-08-14,0,0,0
2022-08-15,2,0,15
2022-08-16,1,0,16
2022-08-17,0,0,32
2022-08-18,2,1,15
2022-08-19,2,0,0
2022-08-20,0,1,0
2022-08-21,0,0,0
2022-08-22,1,0,20
2022-08-23,0,0,16
2022-08-24,3,0,14
2022-08-25,1,0,11
2022-08-26,0,0,21
2022-08-27,0,0,1
2022-08-28,0,0,0
2022-08-29,2,0,15
2022-08-30,3,0,19
2022-08-31,1,0,12
2022-09-01,1,0,22
2022-09-02,2,0,3
2022-09-03,0,0,0
2022-09-04,1,0,0
2022-09-05,0,0,7
2022-09-06,4,0,17
2022-09-07,6,0,37
2022-09-08,0,0,34
2022-09-09,2,0,23
2022-09-10,0,0,1
2022-09-11,1,0,0
2022-09-12,2,0,25
2022-09-13,4,1,22
2022-09-14,3,0,16
2022-09-15,2,0,22
2022-09-16,3,0,1
2022-09-17,1,0,0
2022-09-18,0,0,0
2022-09-19,6,0,18
2022-09-20,5,0,28
2022-09-21,8,0,18
2022-09-22,4,0,15
2022-09-23,6,0,13
2022-09-24,0,0,1
2022-09-25,1,0,1
2022-09-26,0,0,33
2022-09-27,2,0,28
2022-09-28,2,0,18
2022-09-29,1,0,23
2022-09-30,0,0,17
2022-10-01,0,0,1
2022-10-02,2,0,0
2022-10-03,2,0,15
2022-10-04,1,0,21
2022-10-05,0,0,23
2022-10-06,0,1,15
2022-10-07,1,0,3
2022-10-08,0,0,0
2022-10-09,0,0,1
2022-10-10,0,1,25
2022-10-11,3,0,28
2022-10-12,4,2,31
2022-10-13,3,0,19
2022-10-14,8,0,38
2022-10-15,6,0,1
2022-10-16,3,0,0
2022-10-17,6,0,15
2022-10-18,9,1,21
2022-10-19,3,2,13
2022-10-20,13,1,19
2022-10-21,12,0,4
2022-10-22,0,0,0
2022-10-23,2,0,0
2022-10-24,13,0,15
2022-10-25,4,0,15
2022-10-26,27,0,13
2022-10-27,2,0,6
2022-10-28,17,0,7
2022-10-29,0,0,0
2022-10-30,3,0,0
2022-10-31,3,0,18
2022-11-01,4,0,25
2022-11-02,0,0,20
2022-11-03,3,0,25
2022-11-04,4,0,23
2022-11-05,0,0,3
2022-11-06,0,0,0
2022-11-07,0,0,19
2022-11-08,4,0,31
2022-11-09,3,0,28
2022-11-10,9,0,35
2022-11-11,6,2,9
2022-11-12,0,0,0
2022-11-13,3,0,0
2022-11-14,1,0,24
2022-11-15,0,0,29
2022-11-16,0,0,26
2022-11-17,1,1,22
2022-11-18,0,1,27
2022-11-19,0,0,3
2022-11-20,0,0,1
2022-11-21,1,0,21
2022-11-22,1,0,28
2022-11-23,0,0,24
2022-11-24,1,0,30
2022-11-25,5,0,1
2022-11-26,0,0,0
2022-11-27,0,0,1
2022-11-28,7,0,17
2022-11-29,2,0,14
2022-11-30,3,1,13
2022-12-01,1,1,9
2022-12-02,4,1,11
2022-12-03,2,0,0
2022-12-04,0,0,0
2022-12-05,1,0,20
2022-12-06,2,0,24
2022-12-07,8,0,28
2022-12-08,1,0,19
2022-12-09,2,0,3
2022-12-10,0,0,0
2022-12-11,0,0,3
2022-12-12,3,0,31
2022-12-13,1,0,18
2022-12-14,0,0,25
2022-12-15,4,1,15
2022-12-16,3,0,15
2022-12-17,0,0,2
2022-12-18,1,0,1
2022-12-19,0,1,12
2022-12-20,3,0,18
2022-12-21,1,0,27
2022-12-22,3,0,28
2022-12-23,0,0,12
2022-12-24,1,0,1
2022-12-25,0,0,0
2022-12-26,0,0,6
2022-12-27,1,0,9
2022-12-28,0,0,7
2022-12-29,0,0,3
2022-12-30,0,0,7
2022-12-31,3,0,1
2023-01-01,0,0,0
2023-01-02,2,0,0
2023-01-03,0,0,18
2023-01-04,4,0,24
2023-01-05,3,0,17
2023-01-06,5,0,3
2023-01-07,0,0,0
2023-01-08,1,0,0
2023-01-09,6,0,29
2023-01-10,5,0,24
2023-01-11,2,0,30
2023-01-12,3,0,23
2023-01-13,6,0,34
2023-01-14,0,0,3
2023-01-15,0,0,0
2023-01-16,2,0,24
2023-01-17,2,1,30
2023-01-18,4,0,24
2023-01-19,5,0,32
2023-01-20,3,1,4
2023-01-21,3,0,3
2023-01-22,1,0,1
2023-01-23,7,0,39
2023-01-24,1,0,43
2023-01-25,2,1,31
2023-01-26,0,0,30
2023-01-27,1,0,35
2023-01-28,0,0,1
2023-01-29,0,0,0
2023-01-30,3,0,33
2023-01-31,0,0,26
2023-02-01,2,0,30
2023-02-02,3,0,40
2023-02-03,3,0,3
2023-02-04,0,0,3
2023-02-05,0,0,0
2023-02-06,13,0,37
2023-02-07,0,0,47
2023-02-08,4,0,25
2023-02-09,1,0,27
2023-02-10,2,0,26
2023-02-11,0,0,5
2023-02-12,0,0,1
2023-02-13,1,0,25
2023-02-14,4,0,28
2023-02-15,3,0,13
2023-02-16,3,0,19
2023-02-17,1,0,6
2023-02-18,1,0,1
2023-02-19,1,0,0
2023-02-20,2,0,21
2023-02-21,2,2,26
2023-02-22,6,0,25
2023-02-23,3,0,27
2023-02-24,1,0,14
2023-02-25,1,0,1
2023-02-26,3,0,0
2023-02-27,5,0,18
2023-02-28,7,0,24
2023-03-01,17,0,27
2023-03-02,17,2,26
2023-03-03,2,0,3
2023-03-04,1,0,2
2023-03-05,0,0,0
2023-03-06,4,0,26
2023-03-07,5,0,23
2023-03-08,2,0,35
2023-03-09,2,0,17
2023-03-10,1,0,32
2023-03-11,1,0,3
2023-03-12,0,0,0
2023-03-13,4,0,3
2023-03-14,4,0,7
2023-03-15,3,0,5
2023-03-16,4,0,6
2023-03-17,4,3,1
2023-03-18,1,0,3
2023-03-19,0,0,0
2023-03-20,5,0,22
2023-03-21,5,0,32
2023-03-22,1,0,28
2023-03-23,4,0,20
2023-03-24,3,0,22
2023-03-25,0,0,1
2023-03-26,0,0,2
2023-03-27,6,0,41
2023-03-28,1,0,36
2023-03-29,6,0,29
2023-03-30,6,0,34
2023-03-31,3,0,34
2023-04-01,1,0,0
2023-04-02,11,0,0
2023-04-03,7,1,12
2023-04-04,8,0,23
2023-04-05,7,1,34
2023-04-06,9,0,20
2023-04-07,2,1,6
2023-04-08,0,0,0
2023-04-09,0,0,2
2023-04-10,5,0,16
2023-04-11,2,0,39
2023-04-12,8,0,25
2023-04-13,0,0,24
2023-04-14,3,0,5
2023-04-15,2,0,1
2023-04-16,1,0,0
