,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2019-03-13,22,2,39
2019-03-14,16,2,46
2019-03-15,10,4,34
2019-03-16,2,0,12
2019-03-17,0,0,14
2019-03-18,12,4,71
2019-03-19,10,1,51
2019-03-20,6,2,50
2019-03-21,4,2,86
2019-03-22,5,0,60
2019-03-23,2,0,13
2019-03-24,37,0,11
2019-03-25,2,0,72
2019-03-26,9,0,69
2019-03-27,8,0,57
2019-03-28,7,0,32
2019-03-29,6,0,50
2019-03-30,1,0,56
2019-03-31,2,0,24
2019-04-01,5,0,54
2019-04-02,17,1,61
2019-04-03,15,0,103
2019-04-04,19,0,101
2019-04-05,9,0,47
2019-04-06,7,0,20
2019-04-07,2,0,25
2019-04-08,18,0,88
2019-04-09,2,0,56
2019-04-10,4,2,104
2019-04-11,9,0,84
2019-04-12,8,0,60
2019-04-13,3,0,6
2019-04-14,0,0,32
2019-04-15,8,0,68
2019-04-16,15,0,49
2019-04-17,25,0,29
2019-04-18,34,0,18
2019-04-19,16,2,17
2019-04-20,0,0,4
2019-04-21,0,2,6
2019-04-22,4,2,13
2019-04-23,20,0,19
2019-04-24,22,0,12
2019-04-25,26,0,12
2019-04-26,12,1,40
2019-04-27,9,0,2
2019-04-28,5,0,2
2019-04-29,29,0,44
2019-04-30,23,0,14
2019-05-01,19,0,27
2019-05-02,14,0,13
2019-05-03,6,0,20
2019-05-04,0,0,9
2019-05-05,3,0,1
2019-05-06,6,0,25
2019-05-07,10,1,15
2019-05-08,10,0,11
2019-05-09,4,0,12
2019-05-10,7,0,4
2019-05-11,4,0,0
2019-05-12,2,4,0
2019-05-13,11,0,58
2019-05-14,7,0,67
2019-05-15,7,3,34
2019-05-16,4,0,17
2019-05-17,5,0,14
2019-05-18,0,0,0
2019-05-19,0,0,1
2019-05-20,11,0,37
2019-05-21,13,0,16
2019-05-22,17,0,21
2019-05-23,15,0,2
2019-05-24,14,0,38
2019-05-25,0,0,1
2019-05-26,0,3,0
2019-05-27,1,0,1
2019-05-28,6,0,56
2019-05-29,5,0,0
2019-05-30,14,0,32
2019-05-31,33,0,19
2019-06-01,4,0,0
2019-06-02,3,0,0
2019-06-03,7,0,15
2019-06-04,6,0,30
2019-06-05,18,0,25
2019-06-06,22,0,14
2019-06-07,9,1,4
2019-06-08,2,0,12
2019-06-09,7,0,0
2019-06-10,3,0,12
2019-06-11,7,0,18
2019-06-12,6,0,22
2019-06-13,4,0,16
2019-06-14,32,2,14
2019-06-15,1,0,0
2019-06-16,0,0,27
2019-06-17,9,0,16
2019-06-18,8,0,8
2019-06-19,23,0,29
2019-06-20,20,0,9
2019-06-21,19,0,21
2019-06-22,6,0,4
2019-06-23,5,0,0
2019-06-24,8,0,31
2019-06-25,15,0,3
2019-06-26,19,0,43
2019-06-27,17,0,35
2019-06-28,18,0,33
2019-06-29,7,0,3
2019-06-30,8,0,0
2019-07-01,27,0,58
2019-07-02,7,0,18
2019-07-03,14,1,30
2019-07-04,2,0,0
2019-07-05,9,4,2
2019-07-06,0,0,0
2019-07-07,1,0,0
2019-07-08,15,0,41
2019-07-09,5,0,29
2019-07-10,11,0,41
2019-07-11,16,0,30
2019-07-12,17,0,9
2019-07-13,2,0,1
2019-07-14,0,0,0
2019-07-15,11,0,26
2019-07-16,14,0,25
2019-07-17,19,0,27
2019-07-18,11,0,18
2019-07-19,8,0,18
2019-07-20,6,0,0
2019-07-21,1,0,0
2019-07-22,5,0,44
2019-07-23,7,0,20
2019-07-24,5,0,17
2019-07-25,14,0,18
2019-07-26,9,1,14
2019-07-27,1,0,0
2019-07-28,3,0,0
2019-07-29,14,0,15
2019-07-30,9,0,20
2019-07-31,7,0,24
2019-08-01,10,0,25
2019-08-02,16,0,24
2019-08-03,5,5,0
2019-08-04,6,0,0
2019-08-05,9,0,46
2019-08-06,22,0,22
2019-08-07,10,0,23
2019-08-08,11,0,26
2019-08-09,37,0,19
2019-08-10,8,0,0
2019-08-11,0,0,1
2019-08-12,7,0,29
2019-08-13,7,0,20
2019-08-14,16,0,17
2019-08-15,22,0,27
2019-08-16,23,0,22
2019-08-17,4,0,3
2019-08-18,2,0,0
2019-08-19,14,0,65
2019-08-20,10,0,26
2019-08-21,7,0,23
2019-08-22,6,0,26
2019-08-23,9,0,25
2019-08-24,1,0,2
2019-08-25,0,0,2
2019-08-26,11,0,32
2019-08-27,13,0,17
2019-08-28,8,0,2
2019-08-29,7,0,5
2019-08-30,10,0,18
2019-08-31,5,0,0
2019-09-01,0,0,0
2019-09-02,4,0,1
2019-09-03,8,0,24
2019-09-04,18,0,26
2019-09-05,14,0,15
2019-09-06,7,0,15
2019-09-07,3,0,15
2019-09-08,0,0,0
2019-09-09,11,0,18
2019-09-10,8,1,16
2019-09-11,19,0,30
2019-09-12,11,0,4
2019-09-13,7,0,3
2019-09-14,3,3,0
2019-09-15,5,0,0
2019-09-16,9,5,24
2019-09-17,12,0,15
2019-09-18,13,0,12
2019-09-19,6,0,9
2019-09-20,12,0,1
2019-09-21,8,0,0
2019-09-22,0,1,0
2019-09-23,15,0,25
2019-09-24,30,0,77
2019-09-25,18,2,67
2019-09-26,13,0,28
2019-09-27,23,0,33
2019-09-28,0,0,1
2019-09-29,0,0,0
2019-09-30,17,0,6
2019-10-01,14,0,20
2019-10-02,8,0,51
2019-10-03,12,0,45
2019-10-04,16,0,4
2019-10-05,5,0,0
2019-10-06,7,0,0
2019-10-07,3,0,36
2019-10-08,3,2,30
2019-10-09,10,0,29
2019-10-10,7,0,26
2019-10-11,0,0,5
2019-10-12,1,0,0
2019-10-13,6,0,0
2019-10-14,7,0,47
2019-10-15,16,0,26
2019-10-16,29,0,29
2019-10-17,30,0,18
2019-10-18,23,0,14
2019-10-19,8,0,1
2019-10-20,0,0,0
2019-10-21,14,0,3
2019-10-22,8,0,83
2019-10-23,5,0,19
2019-10-24,6,0,25
2019-10-25,5,0,28
2019-10-26,1,0,4
2019-10-27,0,0,1
2019-10-28,6,0,39
2019-10-29,6,0,73
2019-10-30,7,0,32
2019-10-31,4,0,3
2019-11-01,2,0,96
2019-11-02,0,0,0
2019-11-03,0,0,1
2019-11-04,3,0,56
2019-11-05,4,0,78
2019-11-06,2,0,31
2019-11-07,4,0,45
2019-11-08,1,0,17
2019-11-09,1,0,1
2019-11-10,0,1,0
2019-11-11,1,0,35
2019-11-12,3,0,31
2019-11-13,2,0,19
2019-11-14,2,0,13
2019-11-15,5,0,38
2019-11-16,0,0,9
2019-11-17,0,0,0
2019-11-18,3,0,46
2019-11-19,7,0,36
2019-11-20,5,0,24
2019-11-21,8,0,3
2019-11-22,11,0,33
2019-11-23,1,0,7
2019-11-24,0,0,0
2019-11-25,3,0,16
2019-11-26,0,0,28
2019-11-27,7,0,32
2019-11-28,1,0,0
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,1,0
2019-12-02,5,0,10
2019-12-03,2,0,17
2019-12-04,3,0,14
2019-12-05,5,0,5
2019-12-06,4,0,20
2019-12-07,0,0,20
2019-12-08,0,0,1
2019-12-09,2,0,11
2019-12-10,4,0,39
2019-12-11,8,0,1
2019-12-12,1,0,1
2019-12-13,6,0,22
2019-12-14,0,0,0
2019-12-15,1,0,0
2019-12-16,2,0,28
2019-12-17,2,0,15
2019-12-18,13,0,31
2019-12-19,3,0,1
2019-12-20,7,0,37
2019-12-21,4,0,0
2019-12-22,2,0,1
2019-12-23,6,0,52
2019-12-24,1,0,1
2019-12-25,0,0,0
2019-12-26,0,0,45
2019-12-27,1,0,21
2019-12-28,0,0,1
2019-12-29,0,0,0
2019-12-30,1,0,7
2019-12-31,1,0,12
2020-01-01,0,0,0
2020-01-02,3,0,33
2020-01-03,11,0,34
2020-01-04,2,0,0
2020-01-05,0,0,0
2020-01-06,4,0,15
2020-01-07,10,0,17
2020-01-08,8,0,31
2020-01-09,3,0,22
2020-01-10,8,0,14
2020-01-11,0,0,5
2020-01-12,0,0,0
2020-01-13,3,0,19
2020-01-14,2,0,4
2020-01-15,5,0,33
2020-01-16,5,0,28
2020-01-17,9,0,36
2020-01-18,3,0,4
2020-01-19,0,0,0
2020-01-20,0,0,17
2020-01-21,8,1,33
2020-01-22,8,0,35
2020-01-23,9,0,22
2020-01-24,14,2,1
2020-01-25,7,0,19
2020-01-26,0,0,1
2020-01-27,6,0,42
2020-01-28,10,0,28
2020-01-29,14,0,24
2020-01-30,6,0,24
2020-01-31,15,3,23
2020-02-01,0,0,3
2020-02-02,0,0,1
2020-02-03,3,0,17
2020-02-04,3,0,16
2020-02-05,9,0,25
2020-02-06,4,1,32
2020-02-07,4,0,27
2020-02-08,0,0,3
2020-02-09,0,0,2
2020-02-10,2,3,43
2020-02-11,6,0,16
2020-02-12,9,0,27
2020-02-13,4,0,12
2020-02-14,8,3,31
2020-02-15,2,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,2,0,40
2020-02-19,8,0,23
2020-02-20,15,2,26
2020-02-21,17,0,15
2020-02-22,1,0,7
2020-02-23,0,0,1
2020-02-24,11,1,2
2020-02-25,23,0,76
2020-02-26,14,0,54
2020-02-27,24,0,21
2020-02-28,7,0,17
2020-02-29,6,0,0
2020-03-01,0,0,0
2020-03-02,12,0,40
2020-03-03,12,0,14
2020-03-04,9,0,16
2020-03-05,8,0,20
2020-03-06,6,0,36
2020-03-07,3,0,4
2020-03-08,1,0,0
2020-03-09,4,3,12
2020-03-10,9,1,15
2020-03-11,15,0,4
2020-03-12,17,1,22
