,django/django,sinatra/sinatra,rails/rails
2019-09-08,1.0,0,15
2019-09-09,10.0,0,13
2019-09-10,15.0,1,6
2019-09-11,4.0,0,7
2019-09-12,3.0,0,7
2019-09-13,2.0,0,30
2019-09-14,1.0,0,14
2019-09-15,0.0,0,8
2019-09-16,4.0,0,21
2019-09-17,3.0,0,11
2019-09-18,2.0,0,17
2019-09-19,2.0,0,6
2019-09-20,4.0,0,8
2019-09-21,1.0,0,3
2019-09-22,0.0,0,4
2019-09-23,6.0,0,15
2019-09-24,8.0,0,23
2019-09-25,4.0,0,9
2019-09-26,0.0,0,4
2019-09-27,7.0,0,1
2019-09-28,0.0,0,14
2019-09-29,0.0,0,2
2019-09-30,4.0,0,15
2019-10-01,7.0,0,11
2019-10-02,10.0,0,17
2019-10-03,4.0,0,13
2019-10-04,1.0,0,20
2019-10-05,0.0,0,2
2019-10-06,0.0,0,10
2019-10-07,2.0,0,21
2019-10-08,2.0,0,7
2019-10-09,12.0,0,4
2019-10-10,5.0,0,13
2019-10-11,6.0,0,16
2019-10-12,0.0,0,3
2019-10-13,0.0,0,8
2019-10-14,4.0,0,7
2019-10-15,6.0,1,10
2019-10-16,4.0,0,8
2019-10-17,2.0,0,14
2019-10-18,6.0,0,3
2019-10-19,0.0,0,10
2019-10-20,0.0,0,0
2019-10-21,7.0,0,14
2019-10-22,3.0,0,2
2019-10-23,9.0,0,5
2019-10-24,8.0,0,7
2019-10-25,7.0,1,6
2019-10-26,0.0,7,1
2019-10-27,0.0,0,3
2019-10-28,5.0,0,2
2019-10-29,9.0,0,4
2019-10-30,7.0,0,11
2019-10-31,7.0,0,6
2019-11-01,1.0,0,4
2019-11-02,0.0,0,2
2019-11-03,0.0,0,3
2019-11-04,10.0,0,9
2019-11-05,8.0,0,3
2019-11-06,11.0,2,9
2019-11-07,7.0,0,6
2019-11-08,7.0,0,10
2019-11-09,0.0,0,6
2019-11-10,0.0,0,12
2019-11-11,5.0,0,1
2019-11-12,5.0,0,2
2019-11-13,4.0,0,14
2019-11-14,2.0,0,6
2019-11-15,3.0,0,13
2019-11-16,0.0,0,11
2019-11-17,0.0,0,3
2019-11-18,15.0,0,3
2019-11-19,7.0,0,8
2019-11-20,4.0,0,5
2019-11-21,9.0,0,17
2019-11-22,5.0,0,11
2019-11-23,0.0,0,3
2019-11-24,0.0,0,10
2019-11-25,10.0,0,3
2019-11-26,3.0,0,3
2019-11-27,9.0,0,5
2019-11-28,5.0,0,7
2019-11-29,3.0,1,0
