,libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,bitcoin/bitcoin
2023-05-19,0.0,0,10
2023-05-20,0.0,0,14
2023-05-21,0.0,0,1
2023-05-22,0.0,0,13
2023-05-23,0.0,4,6
2023-05-24,0.0,3,7
2023-05-25,0.0,0,13
2023-05-26,0.0,0,15
2023-05-27,0.0,0,3
2023-05-28,0.0,0,1
2023-05-29,0.0,0,17
2023-05-30,0.0,0,18
2023-05-31,0.0,0,11
2023-06-01,0.0,3,7
2023-06-02,0.0,0,10
2023-06-03,0.0,0,1
2023-06-04,0.0,1,4
2023-06-05,0.0,0,7
2023-06-06,0.0,0,1
2023-06-07,0.0,0,4
2023-06-08,0.0,0,12
2023-06-09,0.0,5,4
2023-06-10,0.0,0,2
2023-06-11,0.0,0,0
2023-06-12,0.0,0,17
2023-06-13,0.0,6,10
2023-06-14,0.0,0,20
2023-06-15,0.0,0,14
2023-06-16,0.0,0,5
2023-06-17,0.0,0,2
2023-06-18,0.0,0,1
2023-06-19,0.0,0,10
2023-06-20,0.0,0,13
2023-06-21,0.0,0,19
2023-06-22,0.0,0,10
2023-06-23,0.0,0,34
2023-06-24,0.0,0,0
2023-06-25,0.0,0,0
2023-06-26,0.0,0,7
2023-06-27,0.0,0,21
2023-06-28,0.0,0,24
2023-06-29,0.0,0,22
2023-06-30,0.0,0,16
2023-07-01,0.0,0,3
2023-07-02,0.0,0,0
2023-07-03,0.0,0,7
2023-07-04,0.0,0,5
2023-07-05,0.0,1,0
2023-07-06,0.0,0,13
2023-07-07,0.0,1,18
2023-07-08,0.0,0,1
2023-07-09,0.0,0,1
2023-07-10,0.0,1,12
2023-07-11,0.0,0,8
2023-07-12,0.0,0,10
2023-07-13,0.0,0,9
2023-07-14,0.0,1,10
2023-07-15,0.0,0,0
2023-07-16,0.0,7,3
2023-07-17,0.0,0,12
2023-07-18,0.0,2,10
2023-07-19,0.0,0,21
2023-07-20,0.0,1,16
2023-07-21,0.0,0,11
2023-07-22,0.0,0,6
2023-07-23,0.0,0,1
2023-07-24,0.0,0,19
2023-07-25,0.0,0,26
2023-07-26,0.0,0,17
2023-07-27,0.0,4,10
2023-07-28,0.0,2,3
2023-07-29,0.0,0,0
2023-07-30,0.0,0,3
2023-07-31,0.0,1,7
2023-08-01,0.0,4,14
2023-08-02,0.0,0,7
2023-08-03,0.0,0,25
2023-08-04,0.0,0,6
2023-08-05,0.0,0,15
2023-08-06,0.0,0,1
2023-08-07,0.0,0,14
2023-08-08,0.0,25,7
2023-08-09,0.0,11,8
2023-08-10,0.0,10,7
2023-08-11,0.0,1,3
2023-08-12,0.0,0,0
2023-08-13,0.0,0,1
2023-08-14,0.0,0,15
2023-08-15,0.0,0,9
2023-08-16,0.0,0,6
2023-08-17,4.0,0,26
2023-08-18,-1.5999999999999996,0,14
2023-08-19,-0.48,0,0
2023-08-20,0.744,0,0
2023-08-21,-0.5664000000000001,0,5
2023-08-22,-0.23980800000000008,0,17
2023-08-23,-0.1558528,15,30
2023-08-24,-0.11508224000000003,0,30
2023-08-25,-0.09057484799999999,10,11
2023-08-26,-0.0741558272,0,2
2023-08-27,-0.018370559999999994,0,8
2023-08-28,-0.015155711999999993,0,8
2023-08-29,-0.012798156799999997,0,9
2023-08-30,0.0,0,10
2023-08-31,0.0,0,7
2023-09-01,0.0,9,8
2023-09-02,0.0,5,1
2023-09-03,0.0,0,1
2023-09-04,0.0,0,5
2023-09-05,0.0,3,14
2023-09-06,0.0,1,9
2023-09-07,0.0,6,19
2023-09-08,0.0,0,7
2023-09-09,0.0,0,2
2023-09-10,0.0,0,5
2023-09-11,0.0,0,3
2023-09-12,0.0,23,23
2023-09-13,0.0,0,28
2023-09-14,0.0,8,21
2023-09-15,0.0,0,16
2023-09-16,0.0,9,2
2023-09-17,0.0,0,0
2023-09-18,0.0,0,1
2023-09-19,0.0,1,16
2023-09-20,0.0,0,16
2023-09-21,0.0,7,6
2023-09-22,0.0,0,3
2023-09-23,0.0,0,2
2023-09-24,0.0,0,1
2023-09-25,0.0,7,1
2023-09-26,0.0,0,2
2023-09-27,0.0,0,13
2023-09-28,0.0,0,6
2023-09-29,0.0,0,10
2023-09-30,0.0,6,24
2023-10-01,0.0,6,0
2023-10-02,0.0,8,32
2023-10-03,0.0,1,29
2023-10-04,0.0,0,31
2023-10-05,0.0,1,29
2023-10-06,0.0,0,14
2023-10-07,0.0,0,2
2023-10-08,0.0,0,31
2023-10-09,0.0,1,18
2023-10-10,0.0,0,12
2023-10-11,0.0,1,8
2023-10-12,0.0,1,15
2023-10-13,0.0,0,27
2023-10-14,0.0,0,0
2023-10-15,0.0,1,3
2023-10-16,0.0,0,10
2023-10-17,0.0,0,11
2023-10-18,0.0,0,7
2023-10-19,0.0,0,14
2023-10-20,0.0,0,25
2023-10-21,0.0,0,0
2023-10-22,0.0,0,0
2023-10-23,0.0,0,17
2023-10-24,0.0,13,18
2023-10-25,0.0,0,8
2023-10-26,0.0,0,10
2023-10-27,0.0,0,2
2023-10-28,0.0,0,0
2023-10-29,0.0,0,3
2023-10-30,0.0,0,18
2023-10-31,0.0,0,11
2023-11-01,0.0,0,12
2023-11-02,0.0,0,11
2023-11-03,0.0,0,21
2023-11-04,0.0,0,1
2023-11-05,0.0,0,6
2023-11-06,0.0,0,7
2023-11-07,0.0,0,16
2023-11-08,0.0,0,17
2023-11-09,0.0,0,15
2023-11-10,0.0,2,18
2023-11-11,0.0,0,1
2023-11-12,0.0,0,0
2023-11-13,0.0,0,25
2023-11-14,0.0,0,11
2023-11-15,0.0,0,6
2023-11-16,0.0,2,20
2023-11-17,0.0,0,17
2023-11-18,0.0,0,0
2023-11-19,0.0,3,1
2023-11-20,0.0,0,6
2023-11-21,0.0,1,4
2023-11-22,0.0,0,23
2023-11-23,0.0,0,10
2023-11-24,0.0,0,6
2023-11-25,0.0,0,4
2023-11-26,0.0,0,2
2023-11-27,0.0,0,2
2023-11-28,0.0,0,21
2023-11-29,0.0,0,13
2023-11-30,0.0,0,14
2023-12-01,0.0,0,7
2023-12-02,0.0,0,1
2023-12-03,0.0,0,1
2023-12-04,0.0,0,20
2023-12-05,0.0,1,14
2023-12-06,0.0,0,11
2023-12-07,0.0,0,15
2023-12-08,0.0,1,22
2023-12-09,0.0,0,6
2023-12-10,0.0,0,1
2023-12-11,0.0,0,20
2023-12-12,0.0,0,14
2023-12-13,0.0,0,10
2023-12-14,0.0,0,12
2023-12-15,0.0,0,13
2023-12-16,0.0,0,0
2023-12-17,0.0,0,1
2023-12-18,0.0,4,6
2023-12-19,0.0,2,3
2023-12-20,0.0,3,4
2023-12-21,0.0,0,9
2023-12-22,0.0,0,4
2023-12-23,0.0,0,1
2023-12-24,0.0,0,0
2023-12-25,0.0,0,0
2023-12-26,0.0,0,0
2023-12-27,0.0,0,4
2023-12-28,0.0,0,0
2023-12-29,0.0,0,0
2023-12-30,0.0,0,0
2023-12-31,0.0,0,1
2024-01-01,0.0,0,0
2024-01-02,0.0,0,7
2024-01-03,0.0,0,2
2024-01-04,0.0,0,9
2024-01-05,0.0,0,14
2024-01-06,0.0,0,2
2024-01-07,0.0,0,2
2024-01-08,0.0,0,12
2024-01-09,0.0,0,12
2024-01-10,0.0,1,7
2024-01-11,0.0,0,22
2024-01-12,0.0,0,9
2024-01-13,0.0,0,1
2024-01-14,0.0,0,0
2024-01-15,0.0,0,11
2024-01-16,0.0,2,20
2024-01-17,0.0,0,7
2024-01-18,0.0,0,10
2024-01-19,0.0,0,9
2024-01-20,0.0,0,2
2024-01-21,0.0,0,0
2024-01-22,0.0,0,6
2024-01-23,0.0,0,16
2024-01-24,0.0,0,6
2024-01-25,0.0,0,23
2024-01-26,0.0,0,11
2024-01-27,3.0,0,0
2024-01-28,-1.1999999999999997,0,0
2024-01-29,9.64,0,11
2024-01-30,-4.191999999999999,0,10
2024-01-31,-1.3248000000000002,4,13
2024-02-01,-0.7298560000000001,0,18
2024-02-02,-0.4848896000000005,0,3
2024-02-03,-0.35463168000000017,0,3
2024-02-04,-0.275099136,0,0
2024-02-05,-0.22210007039999993,0,8
2024-02-06,-0.15155711999999993,0,11
2024-02-07,-0.12798156799999996,1,15
2024-02-08,2.0,0,15
2024-02-09,0.20000000000000018,1,21
2024-02-10,-0.6399999999999999,0,3
2024-02-11,-0.248,0,4
2024-02-12,2.8528,0,14
2024-02-13,-0.30150399999999977,0,18
2024-02-14,4.1641216,0,1
2024-02-15,-2.3717043199999996,0,10
2024-02-16,-0.8374819840000001,0,11
2024-02-17,3.5077919744,0,1
2024-02-18,3.0803602432000003,0,1
2024-02-19,-1.7078348799999996,0,4
2024-02-20,0.5653463040000002,0,14
2024-02-21,-0.5518029823999999,0,14
2024-02-22,-0.12038471680000029,0,2
2024-02-23,-0.995203584,0,3
2024-02-24,7.5145497599999995,1,0
2024-02-25,-2.5409428479999994,0,0
2024-02-26,0.3771798528000001,0,15
2024-02-27,3.399197184,0,19
2024-02-28,-2.7212433408,0,24
2024-02-29,0.9316614143999999,0,17
2024-03-01,-0.4448114688,0,25
2024-03-02,-1.0906298368000003,0,3
2024-03-03,-0.5833026560000001,0,1
2024-03-04,-0.4162980864000001,0,11
2024-03-05,1.7635336192,0,16
2024-03-06,0.022746726400000195,0,6
2024-03-07,-0.7636951039999998,0,9
2024-03-08,-0.296681984,0,11
2024-03-09,-0.18795202560000007,0,3
2024-03-10,-0.11430215680000008,1,2
2024-03-11,7.9241216,2,20
2024-03-12,-0.2597043199999991,0,28
2024-03-13,-2.2086819839999996,0,10
2024-03-14,0.08724797439999998,1,12
2024-03-15,0.06240184319999975,1,7
2024-03-16,2.1155839999999997,0,0
2024-03-17,2.3424384000000003,0,5
2024-03-18,-2.2814540799999996,0,28
