,getsentry/sentry,elastic/kibana,grafana/grafana
2021-05-22,0,2,1
2021-05-23,0,0,0
2021-05-24,7,15,19
2021-05-25,27,18,18
2021-05-26,17,40,29
2021-05-27,20,37,35
2021-05-28,6,30,39
2021-05-29,0,3,4
2021-05-30,0,0,0
2021-05-31,15,11,25
2021-06-01,16,31,27
2021-06-02,27,30,30
2021-06-03,14,31,34
2021-06-04,16,33,39
2021-06-05,0,1,1
2021-06-06,0,0,0
2021-06-07,13,24,13
2021-06-08,33,38,11
2021-06-09,30,43,17
2021-06-10,25,41,17
2021-06-11,25,7,18
2021-06-12,2,3,0
2021-06-13,0,0,0
2021-06-14,22,34,18
2021-06-15,36,44,27
2021-06-16,26,50,14
2021-06-17,26,51,24
2021-06-18,16,21,10
2021-06-19,0,0,1
2021-06-20,0,0,0
2021-06-21,34,46,11
2021-06-22,33,60,10
2021-06-23,34,62,15
2021-06-24,25,69,13
2021-06-25,14,10,6
2021-06-26,0,1,1
2021-06-27,0,1,2
2021-06-28,21,59,13
2021-06-29,31,81,12
2021-06-30,48,86,12
2021-07-01,30,48,17
2021-07-02,20,3,13
2021-07-03,0,1,0
2021-07-04,0,0,1
2021-07-05,13,17,14
2021-07-06,38,46,13
2021-07-07,34,42,24
2021-07-08,28,51,15
2021-07-09,35,41,14
2021-07-10,2,4,2
2021-07-11,0,0,2
2021-07-12,42,33,19
2021-07-13,34,43,20
2021-07-14,46,39,19
2021-07-15,38,36,17
2021-07-16,22,35,18
2021-07-17,0,1,2
2021-07-18,0,2,0
2021-07-19,34,31,17
2021-07-20,35,38,16
2021-07-21,40,34,27
2021-07-22,40,43,23
2021-07-23,31,4,11
2021-07-24,1,0,1
2021-07-25,0,2,0
2021-07-26,15,41,18
2021-07-27,28,38,10
2021-07-28,28,48,5
2021-07-29,33,41,22
2021-07-30,23,33,13
2021-07-31,0,1,0
2021-08-01,0,0,0
2021-08-02,18,40,9
2021-08-03,24,46,13
2021-08-04,23,26,26
2021-08-05,25,29,15
2021-08-06,33,5,10
2021-08-07,2,1,0
2021-08-08,0,0,0
2021-08-09,4,32,15
2021-08-10,1,56,16
2021-08-11,2,46,11
2021-08-12,1,45,12
2021-08-13,0,47,18
2021-08-14,1,9,2
2021-08-15,3,4,2
2021-08-16,0,61,11
2021-08-17,15,78,20
2021-08-18,17,44,23
2021-08-19,15,44,20
2021-08-20,9,36,11
2021-08-21,0,2,0
2021-08-22,0,4,0
2021-08-23,16,48,21
2021-08-24,17,47,19
2021-08-25,23,47,15
2021-08-26,32,55,15
2021-08-27,20,15,23
2021-08-28,0,0,1
