,flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework
2023-03-16,23,1,0
2023-03-17,22,5,6
2023-03-18,5,0,0
2023-03-19,5,0,0
2023-03-20,18,0,4
2023-03-21,21,0,1
2023-03-22,26,4,14
2023-03-23,31,2,12
2023-03-24,22,0,13
2023-03-25,4,0,0
2023-03-26,2,0,0
2023-03-27,13,2,8
2023-03-28,28,8,5
2023-03-29,18,0,14
2023-03-30,35,0,6
2023-03-31,23,0,3
2023-04-01,9,0,0
2023-04-02,6,0,0
2023-04-03,18,0,4
2023-04-04,31,1,5
2023-04-05,22,1,7
2023-04-06,31,1,0
2023-04-07,23,0,0
2023-04-08,4,0,0
2023-04-09,4,0,0
2023-04-10,19,0,5
2023-04-11,21,1,5
2023-04-12,29,1,8
2023-04-13,16,1,3
2023-04-14,22,0,3
2023-04-15,12,0,0
2023-04-16,2,0,0
2023-04-17,14,4,5
2023-04-18,29,0,6
2023-04-19,20,0,6
2023-04-20,20,0,4
2023-04-21,22,0,0
2023-04-22,5,1,0
2023-04-23,3,0,0
2023-04-24,17,1,2
2023-04-25,19,2,4
2023-04-26,20,1,13
2023-04-27,22,0,16
2023-04-28,17,0,17
2023-04-29,13,0,0
2023-04-30,5,0,0
2023-05-01,17,2,1
2023-05-02,23,0,3
2023-05-03,22,0,17
2023-05-04,19,1,20
2023-05-05,30,1,5
2023-05-06,11,0,0
2023-05-07,0,0,0
2023-05-08,18,0,7
2023-05-09,9,0,10
2023-05-10,9,1,1
2023-05-11,11,1,9
2023-05-12,13,0,6
2023-05-13,9,0,0
2023-05-14,4,0,0
2023-05-15,20,0,0
2023-05-16,25,1,7
2023-05-17,23,0,4
2023-05-18,16,0,5
2023-05-19,30,0,2
2023-05-20,3,0,0
2023-05-21,0,0,0
2023-05-22,14,0,1
2023-05-23,27,0,1
2023-05-24,20,0,9
2023-05-25,24,1,4
2023-05-26,32,0,1
2023-05-27,6,0,0
2023-05-28,5,0,0
2023-05-29,7,0,0
2023-05-30,18,0,5
2023-05-31,29,0,3
2023-06-01,30,0,5
2023-06-02,20,0,0
2023-06-03,3,0,0
2023-06-04,0,0,0
2023-06-05,11,0,1
2023-06-06,22,2,6
2023-06-07,19,0,9
2023-06-08,20,0,5
2023-06-09,27,0,0
2023-06-10,4,0,0
2023-06-11,10,0,0
2023-06-12,13,0,0
2023-06-13,18,6,0
2023-06-14,14,2,4
2023-06-15,13,1,8
2023-06-16,13,0,0
2023-06-17,1,2,0
2023-06-18,0,0,0
2023-06-19,9,5,0
2023-06-20,25,0,5
2023-06-21,20,2,6
2023-06-22,21,4,0
2023-06-23,22,5,1
2023-06-24,12,0,0
2023-06-25,4,0,0
2023-06-26,16,0,4
2023-06-27,18,0,3
2023-06-28,18,0,3
2023-06-29,15,0,1
2023-06-30,20,0,1
2023-07-01,2,0,0
2023-07-02,0,0,0
2023-07-03,3,0,0
2023-07-04,2,0,0
2023-07-05,13,0,2
2023-07-06,14,0,5
2023-07-07,18,0,3
2023-07-08,10,0,0
2023-07-09,5,0,0
2023-07-10,19,2,1
2023-07-11,30,0,1
2023-07-12,22,0,5
2023-07-13,30,0,4
2023-07-14,34,0,2
2023-07-15,5,0,0
2023-07-16,1,0,0
2023-07-17,29,1,1
2023-07-18,33,1,2
2023-07-19,22,0,9
2023-07-20,32,0,2
2023-07-21,17,0,0
2023-07-22,10,0,0
2023-07-23,6,0,0
2023-07-24,21,3,0
2023-07-25,18,0,0
2023-07-26,23,0,5
2023-07-27,17,1,0
2023-07-28,24,0,0
2023-07-29,10,0,0
2023-07-30,5,0,0
2023-07-31,19,0,6
2023-08-01,16,0,5
2023-08-02,21,1,5
2023-08-03,15,3,0
2023-08-04,21,0,5
2023-08-05,12,0,0
2023-08-06,4,0,0
2023-08-07,18,0,0
2023-08-08,25,0,0
2023-08-09,20,0,7
2023-08-10,34,0,7
2023-08-11,16,2,0
2023-08-12,7,0,0
2023-08-13,5,0,0
2023-08-14,22,0,3
2023-08-15,24,0,3
2023-08-16,24,0,8
2023-08-17,22,0,1
2023-08-18,16,0,4
2023-08-19,2,0,0
2023-08-20,1,0,0
2023-08-21,20,0,0
2023-08-22,28,0,4
2023-08-23,20,0,5
2023-08-24,14,0,1
2023-08-25,23,2,4
2023-08-26,5,0,0
2023-08-27,4,1,0
2023-08-28,24,0,1
2023-08-29,28,0,3
2023-08-30,25,0,11
2023-08-31,42,0,6
2023-09-01,23,0,8
2023-09-02,6,1,0
2023-09-03,3,0,0
2023-09-04,0,0,0
2023-09-05,17,0,2
2023-09-06,23,1,6
2023-09-07,27,1,2
2023-09-08,30,0,0
2023-09-09,12,1,0
2023-09-10,7,0,0
2023-09-11,17,0,3
2023-09-12,30,0,0
2023-09-13,29,0,10
2023-09-14,19,1,5
2023-09-15,11,0,0
2023-09-16,13,0,0
2023-09-17,3,0,0
2023-09-18,23,0,2
2023-09-19,10,0,5
2023-09-20,39,0,7
2023-09-21,23,0,2
2023-09-22,29,0,3
2023-09-23,9,0,0
2023-09-24,12,0,0
2023-09-25,16,0,0
2023-09-26,13,0,2
2023-09-27,12,0,3
2023-09-28,29,5,6
2023-09-29,21,2,0
2023-09-30,15,0,0
2023-10-01,7,0,0
2023-10-02,18,1,0
2023-10-03,20,1,1
2023-10-04,16,1,9
2023-10-05,15,0,1
2023-10-06,15,0,0
2023-10-07,11,0,0
2023-10-08,5,0,0
2023-10-09,24,5,9
2023-10-10,25,2,5
2023-10-11,33,0,9
2023-10-12,22,0,4
2023-10-13,25,0,1
2023-10-14,13,3,0
2023-10-15,9,0,0
2023-10-16,22,1,0
2023-10-17,29,0,3
2023-10-18,32,0,11
2023-10-19,19,0,4
2023-10-20,23,0,1
2023-10-21,7,0,0
2023-10-22,6,0,0
2023-10-23,28,1,6
2023-10-24,23,3,1
2023-10-25,16,0,10
2023-10-26,41,0,1
2023-10-27,26,0,4
2023-10-28,9,0,0
2023-10-29,1,0,0
2023-10-30,5,0,2
2023-10-31,23,0,2
2023-11-01,17,0,5
2023-11-02,36,4,7
2023-11-03,29,0,1
2023-11-04,8,0,0
2023-11-05,3,0,0
2023-11-06,17,0,3
2023-11-07,23,0,2
2023-11-08,18,0,7
2023-11-09,16,0,6
2023-11-10,26,0,3
2023-11-11,5,0,0
2023-11-12,1,0,0
2023-11-13,12,0,6
2023-11-14,19,0,1
2023-11-15,22,0,9
2023-11-16,21,0,4
2023-11-17,8,0,2
2023-11-18,7,0,0
2023-11-19,4,1,0
2023-11-20,17,0,3
2023-11-21,18,0,4
2023-11-22,14,2,2
2023-11-23,7,0,0
2023-11-24,5,1,0
2023-11-25,1,7,0
2023-11-26,1,0,0
2023-11-27,23,0,4
2023-11-28,33,0,2
2023-11-29,28,0,10
2023-11-30,9,0,2
2023-12-01,14,0,5
2023-12-02,10,0,0
2023-12-03,4,0,0
2023-12-04,17,0,2
2023-12-05,23,0,7
2023-12-06,20,0,8
2023-12-07,18,0,2
2023-12-08,17,0,1
2023-12-09,6,0,0
2023-12-10,1,0,0
2023-12-11,20,0,4
2023-12-12,22,0,4
2023-12-13,10,0,9
2023-12-14,29,0,0
2023-12-15,26,0,0
2023-12-16,12,0,0
2023-12-17,2,2,0
2023-12-18,13,0,4
2023-12-19,16,1,6
2023-12-20,18,2,7
2023-12-21,14,0,3
2023-12-22,10,2,0
2023-12-23,2,0,0
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,3,0,0
2023-12-27,9,0,2
2023-12-28,3,0,1
2023-12-29,7,0,0
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,13,0,0
2024-01-03,33,2,5
2024-01-04,23,0,0
2024-01-05,17,0,2
2024-01-06,9,0,0
2024-01-07,3,0,0
2024-01-08,10,0,4
2024-01-09,28,0,4
2024-01-10,28,0,5
2024-01-11,14,0,0
2024-01-12,25,0,0
2024-01-13,3,0,0
2024-01-14,3,0,0
2024-01-15,1,0,2
2024-01-16,15,0,3
2024-01-17,19,0,8
2024-01-18,33,0,2
2024-01-19,20,9,2
2024-01-20,8,0,0
2024-01-21,4,1,0
2024-01-22,23,0,1
2024-01-23,25,0,2
2024-01-24,33,0,5
2024-01-25,26,0,7
2024-01-26,28,0,5
2024-01-27,8,0,0
2024-01-28,0,0,0
