,apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot
2020-10-21,1,1,27
2020-10-22,0,1,8
2020-10-23,2,1,23
2020-10-24,0,0,4
2020-10-25,0,0,3
2020-10-26,3,1,95
2020-10-27,0,2,31
2020-10-28,0,1,59
2020-10-29,0,3,62
2020-10-30,1,1,3
2020-10-31,0,0,0
2020-11-01,0,0,4
2020-11-02,2,3,9
2020-11-03,0,0,34
2020-11-04,0,0,19
2020-11-05,0,0,19
2020-11-06,0,0,6
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,5,0,18
2020-11-10,0,0,25
2020-11-11,1,0,26
2020-11-12,0,0,13
2020-11-13,0,1,0
2020-11-14,0,0,0
2020-11-15,2,0,0
2020-11-16,3,1,3
2020-11-17,9,0,16
2020-11-18,3,0,19
2020-11-19,4,0,0
2020-11-20,1,0,11
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,0,4
2020-11-24,0,0,0
2020-11-25,1,0,10
2020-11-26,2,4,3
2020-11-27,0,0,2
2020-11-28,1,0,0
2020-11-29,0,0,0
2020-11-30,0,0,8
2020-12-01,5,0,1
2020-12-02,5,0,4
2020-12-03,5,0,2
2020-12-04,0,0,8
2020-12-05,0,0,14
2020-12-06,0,0,0
2020-12-07,1,0,44
2020-12-08,7,1,36
2020-12-09,8,1,44
2020-12-10,5,1,60
2020-12-11,8,0,27
2020-12-12,0,1,0
2020-12-13,0,0,0
2020-12-14,1,0,15
2020-12-15,8,1,24
2020-12-16,3,0,26
2020-12-17,0,0,6
2020-12-18,3,0,20
2020-12-19,0,0,10
2020-12-20,0,4,0
2020-12-21,1,0,26
2020-12-22,0,0,19
2020-12-23,5,0,17
2020-12-24,0,0,2
2020-12-25,0,0,0
2020-12-26,0,3,0
2020-12-27,0,3,0
2020-12-28,0,1,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,1,0
2021-01-01,0,1,4
2021-01-02,0,2,0
2021-01-03,0,0,4
2021-01-04,1,1,7
2021-01-05,1,0,17
2021-01-06,0,1,23
2021-01-07,0,0,27
2021-01-08,1,0,13
2021-01-09,5,6,0
2021-01-10,0,0,1
2021-01-11,3,1,39
2021-01-12,2,1,64
2021-01-13,5,0,21
2021-01-14,3,0,37
2021-01-15,1,0,26
2021-01-16,1,0,0
2021-01-17,0,0,3
2021-01-18,3,2,20
2021-01-19,0,0,10
2021-01-20,1,0,54
2021-01-21,0,0,22
2021-01-22,4,0,13
2021-01-23,1,0,1
2021-01-24,1,2,0
2021-01-25,6,1,0
2021-01-26,0,1,13
2021-01-27,0,0,12
2021-01-28,2,1,19
2021-01-29,0,0,21
2021-01-30,0,0,4
2021-01-31,1,0,9
2021-02-01,3,4,6
2021-02-02,5,0,18
2021-02-03,0,0,2
2021-02-04,0,0,10
2021-02-05,1,0,3
2021-02-06,0,4,0
2021-02-07,0,1,0
2021-02-08,0,0,0
2021-02-09,0,0,28
2021-02-10,0,0,36
2021-02-11,0,0,13
2021-02-12,2,1,74
2021-02-13,0,0,0
2021-02-14,0,0,6
2021-02-15,0,0,31
2021-02-16,0,0,38
2021-02-17,0,0,54
2021-02-18,0,0,38
2021-02-19,0,0,8
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,0,0,13
2021-02-23,1,0,5
2021-02-24,0,1,9
2021-02-25,0,0,29
2021-02-26,0,0,13
2021-02-27,2,4,6
2021-02-28,0,2,0
2021-03-01,1,0,19
2021-03-02,1,0,0
2021-03-03,0,0,13
2021-03-04,5,0,12
2021-03-05,2,0,35
2021-03-06,0,0,7
2021-03-07,0,4,0
2021-03-08,8,0,6
2021-03-09,3,1,17
2021-03-10,0,0,23
2021-03-11,2,1,21
2021-03-12,6,0,4
2021-03-13,3,0,4
2021-03-14,2,1,3
2021-03-15,1,0,31
2021-03-16,2,0,70
2021-03-17,0,5,43
2021-03-18,1,1,16
2021-03-19,0,0,9
2021-03-20,1,1,0
2021-03-21,0,2,0
2021-03-22,1,0,8
2021-03-23,3,0,22
2021-03-24,1,0,23
2021-03-25,2,0,3
2021-03-26,2,0,8
2021-03-27,1,0,4
2021-03-28,3,0,0
2021-03-29,0,0,20
2021-03-30,0,0,20
2021-03-31,0,0,8
2021-04-01,0,0,20
2021-04-02,4,0,0
2021-04-03,13,1,0
2021-04-04,1,0,4
2021-04-05,3,1,4
2021-04-06,2,0,20
2021-04-07,8,0,25
2021-04-08,2,0,24
2021-04-09,0,0,78
2021-04-10,1,2,11
2021-04-11,0,0,1
2021-04-12,1,0,37
2021-04-13,2,0,65
2021-04-14,1,0,54
2021-04-15,0,0,33
2021-04-16,2,0,10
2021-04-17,2,0,0
2021-04-18,4,0,0
2021-04-19,1,0,17
2021-04-20,6,0,22
2021-04-21,7,0,8
2021-04-22,7,0,16
2021-04-23,0,0,1
2021-04-24,2,2,3
2021-04-25,3,4,1
2021-04-26,6,0,7
2021-04-27,3,0,23
2021-04-28,1,0,28
2021-04-29,2,0,23
2021-04-30,6,1,26
2021-05-01,2,0,3
2021-05-02,5,0,0
2021-05-03,14,0,2
2021-05-04,0,1,16
2021-05-05,0,1,3
2021-05-06,0,1,10
2021-05-07,0,0,13
2021-05-08,0,0,0
2021-05-09,0,0,0
2021-05-10,1,1,20
2021-05-11,1,0,30
2021-05-12,3,0,21
2021-05-13,0,0,8
2021-05-14,0,1,12
2021-05-15,0,0,8
2021-05-16,0,0,5
2021-05-17,0,0,130
2021-05-18,0,2,24
2021-05-19,4,2,44
2021-05-20,1,4,17
2021-05-21,1,1,1
2021-05-22,0,0,0
2021-05-23,0,1,2
2021-05-24,0,2,6
2021-05-25,0,0,11
2021-05-26,2,0,16
2021-05-27,0,0,10
2021-05-28,3,0,10
2021-05-29,0,1,0
2021-05-30,0,0,0
2021-05-31,0,0,4
2021-06-01,0,2,4
2021-06-02,0,0,11
2021-06-03,1,2,7
2021-06-04,0,1,14
2021-06-05,0,0,5
2021-06-06,0,3,11
2021-06-07,5,0,13
2021-06-08,3,0,24
2021-06-09,1,1,43
2021-06-10,5,1,23
2021-06-11,1,3,24
2021-06-12,0,1,15
2021-06-13,0,0,0
2021-06-14,0,0,38
2021-06-15,0,2,15
2021-06-16,4,5,21
2021-06-17,3,2,18
2021-06-18,0,0,9
2021-06-19,0,0,2
2021-06-20,0,6,0
2021-06-21,0,3,29
2021-06-22,0,2,41
2021-06-23,2,1,32
2021-06-24,2,0,78
2021-06-25,2,0,6
2021-06-26,5,0,0
2021-06-27,0,0,0
2021-06-28,0,0,3
2021-06-29,1,0,13
2021-06-30,2,0,0
2021-07-01,0,0,7
2021-07-02,0,0,3
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,0,0
2021-07-06,0,1,5
2021-07-07,8,0,2
2021-07-08,1,1,38
2021-07-09,0,0,32
2021-07-10,0,1,10
2021-07-11,0,3,11
2021-07-12,0,0,45
2021-07-13,0,0,41
2021-07-14,0,0,25
2021-07-15,1,0,40
2021-07-16,1,0,22
2021-07-17,0,0,0
2021-07-18,0,1,0
2021-07-19,0,0,53
2021-07-20,0,0,17
2021-07-21,0,0,13
2021-07-22,0,0,37
2021-07-23,0,1,18
2021-07-24,0,0,4
2021-07-25,0,0,0
2021-07-26,0,2,27
2021-07-27,0,0,10
2021-07-28,0,1,0
2021-07-29,0,2,19
2021-07-30,0,0,4
2021-07-31,0,1,0
2021-08-01,0,0,0
2021-08-02,0,0,4
2021-08-03,0,0,1
2021-08-04,2,0,8
2021-08-05,0,0,21
2021-08-06,0,0,4
2021-08-07,0,0,3
2021-08-08,0,0,0
2021-08-09,0,0,15
2021-08-10,0,1,23
2021-08-11,0,3,6
2021-08-12,0,0,32
