,scala/scala,jetbrains/kotlin,apache/groovy
2019-07-22,20,17,2
2019-07-23,18,16,1
2019-07-24,4,19,0
2019-07-25,8,59,3
2019-07-26,11,43,0
2019-07-27,2,3,1
2019-07-28,3,0,0
2019-07-29,4,10,0
2019-07-30,2,107,4
2019-07-31,9,21,3
2019-08-01,4,91,0
2019-08-02,6,20,2
2019-08-03,0,7,0
2019-08-04,1,2,4
2019-08-05,12,31,0
2019-08-06,3,57,2
2019-08-07,8,19,1
2019-08-08,5,6,0
2019-08-09,0,13,1
2019-08-10,0,0,1
2019-08-11,0,1,2
2019-08-12,15,22,9
2019-08-13,2,22,7
2019-08-14,0,18,0
2019-08-15,16,18,4
2019-08-16,5,13,1
2019-08-17,2,0,0
2019-08-18,2,0,0
2019-08-19,12,16,3
2019-08-20,7,22,1
2019-08-21,7,18,15
2019-08-22,11,47,0
2019-08-23,7,31,3
2019-08-24,1,1,0
2019-08-25,0,2,0
2019-08-26,7,6,2
2019-08-27,6,86,1
2019-08-28,9,15,0
2019-08-29,6,17,0
2019-08-30,3,91,5
2019-08-31,3,0,1
2019-09-01,1,9,1
2019-09-02,5,64,0
2019-09-03,14,51,1
2019-09-04,9,6,1
2019-09-05,0,40,0
2019-09-06,2,35,1
2019-09-07,2,2,0
2019-09-08,6,1,0
2019-09-09,9,16,1
2019-09-10,5,27,4
2019-09-11,8,25,1
2019-09-12,3,12,2
2019-09-13,3,45,1
2019-09-14,0,0,0
2019-09-15,1,1,0
2019-09-16,4,63,0
2019-09-17,3,39,2
2019-09-18,5,51,9
2019-09-19,4,17,6
2019-09-20,2,25,0
2019-09-21,1,1,1
2019-09-22,2,1,0
2019-09-23,14,30,2
2019-09-24,1,53,0
2019-09-25,21,44,0
2019-09-26,5,17,9
2019-09-27,0,66,7
2019-09-28,0,5,5
2019-09-29,0,27,4
2019-09-30,7,44,1
2019-10-01,7,33,5
2019-10-02,2,46,0
2019-10-03,4,35,1
2019-10-04,2,37,1
2019-10-05,0,6,2
2019-10-06,1,0,0
2019-10-07,0,12,4
2019-10-08,1,69,1
2019-10-09,6,25,0
2019-10-10,3,42,6
2019-10-11,3,49,22
2019-10-12,0,6,2
2019-10-13,0,3,1
2019-10-14,2,41,0
2019-10-15,6,10,1
2019-10-16,7,22,0
2019-10-17,7,50,1
2019-10-18,0,40,4
2019-10-19,2,3,0
2019-10-20,0,1,2
2019-10-21,8,71,3
2019-10-22,10,10,10
2019-10-23,8,43,3
2019-10-24,3,52,0
2019-10-25,4,23,5
2019-10-26,0,3,6
2019-10-27,3,1,4
2019-10-28,4,50,6
2019-10-29,7,87,8
2019-10-30,5,32,7
2019-10-31,4,59,4
2019-11-01,5,61,6
2019-11-02,0,0,13
2019-11-03,1,0,22
2019-11-04,0,5,6
2019-11-05,1,34,4
2019-11-06,5,29,4
2019-11-07,7,40,2
2019-11-08,6,59,0
2019-11-09,1,2,10
2019-11-10,0,4,2
2019-11-11,3,47,7
2019-11-12,6,39,1
2019-11-13,0,31,0
2019-11-14,0,49,3
2019-11-15,4,12,9
2019-11-16,0,1,0
2019-11-17,1,1,5
2019-11-18,4,29,4
2019-11-19,10,70,1
2019-11-20,2,46,4
2019-11-21,3,41,5
2019-11-22,2,42,10
2019-11-23,3,4,9
2019-11-24,0,0,2
2019-11-25,4,57,5
2019-11-26,6,48,4
2019-11-27,5,59,2
2019-11-28,5,45,0
2019-11-29,0,75,8
2019-11-30,2,3,8
2019-12-01,1,2,5
2019-12-02,8,40,8
2019-12-03,4,48,8
2019-12-04,3,13,3
2019-12-05,4,26,2
2019-12-06,2,15,0
2019-12-07,0,0,7
2019-12-08,2,0,0
2019-12-09,10,23,1
2019-12-10,17,39,4
2019-12-11,4,45,8
2019-12-12,10,51,8
2019-12-13,3,29,6
2019-12-14,1,1,3
2019-12-15,1,3,2
2019-12-16,3,70,5
2019-12-17,5,67,3
2019-12-18,0,45,2
2019-12-19,3,58,6
2019-12-20,1,23,7
2019-12-21,0,3,5
2019-12-22,2,1,5
2019-12-23,0,22,4
2019-12-24,1,28,2
2019-12-25,0,76,2
2019-12-26,2,40,4
2019-12-27,0,55,8
2019-12-28,0,3,5
2019-12-29,0,1,4
2019-12-30,0,18,1
2019-12-31,1,5,5
2020-01-01,3,0,1
2020-01-02,2,3,1
2020-01-03,2,8,2
2020-01-04,0,0,8
2020-01-05,1,0,0
2020-01-06,0,2,0
2020-01-07,3,5,1
2020-01-08,5,15,1
2020-01-09,5,64,0
2020-01-10,4,45,7
2020-01-11,0,1,14
2020-01-12,3,1,5
2020-01-13,11,28,1
2020-01-14,7,58,1
2020-01-15,2,47,10
2020-01-16,2,51,7
2020-01-17,20,93,3
2020-01-18,12,4,1
2020-01-19,2,6,7
2020-01-20,6,38,4
2020-01-21,14,54,9
2020-01-22,6,51,7
2020-01-23,6,69,5
2020-01-24,9,119,9
2020-01-25,2,4,6
2020-01-26,0,11,4
2020-01-27,3,54,1
2020-01-28,14,60,3
2020-01-29,2,67,6
2020-01-30,8,44,2
2020-01-31,12,29,6
2020-02-01,2,9,7
2020-02-02,3,1,5
2020-02-03,21,24,6
2020-02-04,15,41,8
2020-02-05,10,44,3
2020-02-06,3,116,0
2020-02-07,2,56,2
2020-02-08,11,3,11
2020-02-09,0,7,1
2020-02-10,3,53,0
2020-02-11,7,107,1
2020-02-12,10,173,8
2020-02-13,16,90,5
