,google/closure-compiler,microsoft/typescript,rescript-lang/rescript-compiler
2018-07-08,0,1,3
2018-07-09,3,9,0
2018-07-10,0,26,1
2018-07-11,4,25,1
2018-07-12,5,17,2
2018-07-13,2,9,0
2018-07-14,0,2,2
2018-07-15,0,0,1
2018-07-16,0,12,3
2018-07-17,8,10,2
2018-07-18,16,17,0
2018-07-19,6,7,1
2018-07-20,0,20,0
2018-07-21,5,4,0
2018-07-22,0,0,0
2018-07-23,3,2,3
2018-07-24,3,16,8
2018-07-25,6,20,1
2018-07-26,5,21,0
2018-07-27,7,11,4
2018-07-28,0,8,6
2018-07-29,0,4,0
2018-07-30,7,13,6
2018-07-31,4,23,5
2018-08-01,10,22,6
2018-08-02,0,15,7
2018-08-03,11,13,2
2018-08-04,0,4,1
2018-08-05,0,2,0
2018-08-06,3,23,5
2018-08-07,3,6,0
2018-08-08,8,13,8
2018-08-09,0,12,1
2018-08-10,27,20,11
2018-08-11,0,2,1
2018-08-12,0,0,2
2018-08-13,0,9,7
2018-08-14,27,10,1
2018-08-15,0,20,9
2018-08-16,4,7,0
2018-08-17,11,14,0
2018-08-18,9,2,6
2018-08-19,0,0,0
2018-08-20,0,12,3
2018-08-21,0,28,0
2018-08-22,0,14,0
2018-08-23,0,5,0
2018-08-24,0,11,0
2018-08-25,0,8,0
2018-08-26,0,4,0
2018-08-27,41,14,9
2018-08-28,6,28,4
2018-08-29,0,39,2
2018-08-30,4,23,1
2018-08-31,7,18,0
2018-09-01,0,1,0
2018-09-02,0,3,0
2018-09-03,0,3,1
2018-09-04,12,13,2
2018-09-05,5,28,2
2018-09-06,7,20,0
2018-09-07,9,15,0
2018-09-08,1,2,0
2018-09-09,0,0,0
2018-09-10,0,17,6
2018-09-11,20,34,8
2018-09-12,2,17,6
2018-09-13,23,22,13
2018-09-14,9,24,2
2018-09-15,0,8,12
2018-09-16,0,2,4
2018-09-17,0,47,11
2018-09-18,26,27,3
2018-09-19,7,4,10
2018-09-20,0,4,1
2018-09-21,17,8,8
2018-09-22,16,0,2
2018-09-23,0,1,1
2018-09-24,0,9,0
2018-09-25,0,7,0
2018-09-26,0,23,0
2018-09-27,27,5,7
2018-09-28,27,10,0
2018-09-29,0,1,0
2018-09-30,0,1,0
2018-10-01,0,22,10
2018-10-02,22,10,15
2018-10-03,0,15,4
2018-10-04,14,18,1
2018-10-05,15,12,3
2018-10-06,0,5,9
2018-10-07,0,5,7
2018-10-08,2,21,3
2018-10-09,5,15,9
2018-10-10,2,11,12
2018-10-11,4,16,6
2018-10-12,6,4,2
2018-10-13,0,0,2
2018-10-14,0,0,0
2018-10-15,2,10,0
2018-10-16,3,10,0
2018-10-17,3,5,0
2018-10-18,0,8,0
2018-10-19,11,7,11
2018-10-20,0,4,4
2018-10-21,0,6,3
2018-10-22,0,16,7
2018-10-23,5,9,5
2018-10-24,4,9,2
2018-10-25,0,12,6
2018-10-26,0,15,7
2018-10-27,0,1,2
2018-10-28,0,3,6
2018-10-29,0,14,4
2018-10-30,29,22,9
2018-10-31,5,46,1
2018-11-01,0,16,3
2018-11-02,7,15,3
2018-11-03,3,4,8
2018-11-04,0,0,2
2018-11-05,4,31,2
2018-11-06,0,17,1
2018-11-07,10,17,0
2018-11-08,6,19,0
2018-11-09,0,31,8
2018-11-10,0,14,1
2018-11-11,0,1,9
2018-11-12,12,23,6
2018-11-13,6,11,5
2018-11-14,5,4,0
2018-11-15,3,17,0
2018-11-16,0,16,0
2018-11-17,9,6,3
2018-11-18,0,0,10
2018-11-19,9,13,0
2018-11-20,4,13,8
2018-11-21,3,8,1
2018-11-22,0,1,8
2018-11-23,0,0,8
2018-11-24,0,0,3
2018-11-25,0,0,12
2018-11-26,5,4,7
