,getsentry/sentry,grafana/grafana,elastic/kibana
2017-05-22,6,9,4
2017-05-23,4,17,20
2017-05-24,4,18,16
2017-05-25,10,5,27
2017-05-26,6,8,15
2017-05-27,0,0,5
2017-05-28,0,0,0
2017-05-29,1,16,1
2017-05-30,23,2,5
2017-05-31,16,5,14
2017-06-01,8,1,5
2017-06-02,15,4,13
2017-06-03,1,2,0
2017-06-04,0,5,0
2017-06-05,6,17,3
2017-06-06,7,8,15
2017-06-07,29,17,5
2017-06-08,14,17,5
2017-06-09,11,1,6
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,4,44,10
2017-06-13,6,10,13
2017-06-14,7,9,11
2017-06-15,5,9,3
2017-06-16,4,10,1
2017-06-17,0,10,0
2017-06-18,0,3,0
2017-06-19,6,20,10
2017-06-20,17,6,13
2017-06-21,19,10,13
2017-06-22,6,17,18
2017-06-23,14,15,12
2017-06-24,1,1,0
2017-06-25,1,3,0
2017-06-26,27,1,9
2017-06-27,21,9,16
2017-06-28,19,5,12
2017-06-29,17,5,13
2017-06-30,13,1,15
2017-07-01,0,0,2
2017-07-02,0,0,0
2017-07-03,11,7,7
2017-07-04,0,10,0
2017-07-05,11,12,7
2017-07-06,21,5,11
2017-07-07,5,4,8
2017-07-08,2,0,0
2017-07-09,0,1,1
2017-07-10,1,3,14
2017-07-11,9,1,20
2017-07-12,14,10,14
2017-07-13,12,1,13
2017-07-14,4,2,19
2017-07-15,0,0,0
2017-07-16,0,0,1
2017-07-17,3,1,10
2017-07-18,12,4,23
2017-07-19,12,3,13
2017-07-20,2,2,16
2017-07-21,7,3,22
2017-07-22,0,0,1
2017-07-23,0,0,0
2017-07-24,9,13,16
2017-07-25,6,1,9
2017-07-26,13,1,18
2017-07-27,21,2,7
2017-07-28,10,1,12
2017-07-29,0,1,1
2017-07-30,0,0,0
2017-07-31,7,25,13
2017-08-01,3,16,27
2017-08-02,2,14,16
2017-08-03,9,9,12
2017-08-04,6,10,14
2017-08-05,2,1,1
2017-08-06,0,0,0
2017-08-07,10,26,14
2017-08-08,8,26,16
2017-08-09,9,17,20
2017-08-10,5,16,16
2017-08-11,3,6,7
2017-08-12,0,0,1
2017-08-13,0,0,0
2017-08-14,9,10,11
2017-08-15,4,15,5
2017-08-16,9,5,14
2017-08-17,5,9,20
2017-08-18,7,11,18
2017-08-19,0,3,2
2017-08-20,2,2,0
2017-08-21,10,10,11
2017-08-22,20,1,9
2017-08-23,16,7,10
2017-08-24,17,14,16
2017-08-25,6,4,25
2017-08-26,1,5,0
2017-08-27,0,0,0
2017-08-28,14,13,14
2017-08-29,7,8,9
2017-08-30,9,2,16
2017-08-31,9,5,7
2017-09-01,6,6,7
2017-09-02,1,1,0
2017-09-03,0,0,3
2017-09-04,0,14,2
2017-09-05,8,8,9
2017-09-06,4,4,7
2017-09-07,10,18,24
2017-09-08,10,10,14
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,6,5,22
2017-09-12,16,18,24
2017-09-13,9,17,18
2017-09-14,6,27,29
2017-09-15,8,23,18
2017-09-16,0,0,0
2017-09-17,1,0,0
2017-09-18,6,40,5
2017-09-19,5,8,16
2017-09-20,15,4,21
2017-09-21,2,30,12
2017-09-22,23,16,15
2017-09-23,0,0,0
2017-09-24,1,9,0
2017-09-25,5,1,0
2017-09-26,12,7,20
2017-09-27,8,11,3
2017-09-28,14,15,20
2017-09-29,8,54,4
2017-09-30,1,0,1
2017-10-01,0,4,0
2017-10-02,8,20,10
2017-10-03,8,11,16
2017-10-04,9,14,8
2017-10-05,7,42,10
2017-10-06,5,6,17
2017-10-07,1,3,0
2017-10-08,0,2,1
2017-10-09,13,11,10
2017-10-10,9,17,9
2017-10-11,13,31,9
2017-10-12,4,41,9
2017-10-13,12,16,4
2017-10-14,0,3,9
2017-10-15,0,2,1
2017-10-16,6,18,0
2017-10-17,4,24,0
2017-10-18,10,18,11
2017-10-19,20,6,1
2017-10-20,13,7,0
2017-10-21,0,0,0
2017-10-22,0,14,1
2017-10-23,8,19,20
2017-10-24,7,32,15
2017-10-25,11,12,19
2017-10-26,10,22,44
2017-10-27,4,6,15
2017-10-28,0,5,0
2017-10-29,0,5,0
2017-10-30,11,8,11
2017-10-31,12,30,15
2017-11-01,10,21,16
2017-11-02,5,8,29
2017-11-03,6,8,15
2017-11-04,0,1,1
2017-11-05,0,0,0
2017-11-06,1,3,33
2017-11-07,2,1,12
2017-11-08,2,4,13
2017-11-09,0,4,14
2017-11-10,0,1,5
2017-11-11,4,2,1
2017-11-12,0,0,0
2017-11-13,12,14,10
2017-11-14,14,10,8
2017-11-15,19,41,12
2017-11-16,7,22,11
2017-11-17,9,23,18
2017-11-18,0,0,1
2017-11-19,1,0,0
2017-11-20,5,18,9
2017-11-21,9,24,21
2017-11-22,3,14,19
2017-11-23,0,20,3
2017-11-24,0,8,0
2017-11-25,0,0,0
2017-11-26,0,1,0
2017-11-27,5,18,12
2017-11-28,8,11,15
2017-11-29,9,15,17
2017-11-30,6,15,15
2017-12-01,8,25,18
2017-12-02,1,7,1
2017-12-03,0,5,0
2017-12-04,6,13,24
2017-12-05,5,22,11
2017-12-06,6,20,18
2017-12-07,5,52,11
2017-12-08,8,39,9
2017-12-09,1,8,1
2017-12-10,0,9,0
2017-12-11,8,35,14
2017-12-12,11,39,25
2017-12-13,11,69,22
2017-12-14,10,36,10
2017-12-15,5,32,26
2017-12-16,0,1,3
2017-12-17,0,0,0
2017-12-18,25,11,12
2017-12-19,19,38,10
2017-12-20,10,18,8
2017-12-21,22,7,9
2017-12-22,2,9,3
2017-12-23,0,2,1
2017-12-24,0,0,3
2017-12-25,0,2,5
2017-12-26,0,7,1
2017-12-27,0,10,0
2017-12-28,0,16,2
2017-12-29,0,3,1
2017-12-30,0,0,1
2017-12-31,1,6,0
2018-01-01,0,3,0
2018-01-02,17,3,6
2018-01-03,6,9,6
2018-01-04,10,6,10
2018-01-05,18,5,7
2018-01-06,2,0,2
2018-01-07,0,0,1
2018-01-08,6,6,13
2018-01-09,18,41,16
2018-01-10,11,18,18
2018-01-11,11,10,9
2018-01-12,6,4,9
2018-01-13,0,0,1
2018-01-14,0,2,0
2018-01-15,0,11,4
2018-01-16,5,31,22
2018-01-17,17,7,9
2018-01-18,20,20,11
2018-01-19,6,10,22
2018-01-20,1,3,0
2018-01-21,0,2,0
2018-01-22,12,13,9
2018-01-23,9,13,10
2018-01-24,16,18,6
2018-01-25,20,35,9
2018-01-26,14,19,6
2018-01-27,0,3,3
2018-01-28,0,1,0
2018-01-29,6,22,12
2018-01-30,8,45,17
2018-01-31,17,58,11
2018-02-01,13,41,11
2018-02-02,14,11,14
2018-02-03,1,6,3
2018-02-04,0,3,1
2018-02-05,5,41,11
2018-02-06,11,13,8
2018-02-07,12,8,11
2018-02-08,16,14,25
2018-02-09,6,17,10
2018-02-10,1,1,0
2018-02-11,0,0,1
2018-02-12,9,16,7
2018-02-13,18,6,16
2018-02-14,7,30,13
2018-02-15,16,21,2
2018-02-16,22,23,5
2018-02-17,2,2,0
2018-02-18,0,2,0
2018-02-19,0,13,3
2018-02-20,10,19,4
2018-02-21,16,29,13
2018-02-22,16,26,9
2018-02-23,7,6,17
2018-02-24,0,1,0
2018-02-25,0,1,2
2018-02-26,7,9,2
2018-02-27,24,13,3
2018-02-28,14,12,0
2018-03-01,11,8,0
2018-03-02,15,2,2
2018-03-03,0,4,3
2018-03-04,0,6,7
2018-03-05,22,6,2
2018-03-06,30,26,2
2018-03-07,25,39,9
2018-03-08,23,14,10
2018-03-09,26,9,15
2018-03-10,0,2,1
2018-03-11,0,1,1
2018-03-12,16,20,11
2018-03-13,21,37,7
2018-03-14,27,26,7
