,commaai/openpilot,carla-simulator/carla,apolloauto/apollo
2017-09-04,0,3,1
2017-09-05,0,7,38
2017-09-06,0,2,43
2017-09-07,0,3,40
2017-09-08,0,0,32
2017-09-09,0,0,8
2017-09-10,0,0,2
2017-09-11,0,0,13
2017-09-12,0,0,42
2017-09-13,0,1,35
2017-09-14,0,4,15
2017-09-15,0,1,14
2017-09-16,0,0,5
2017-09-17,0,0,5
2017-09-18,0,2,19
2017-09-19,0,5,20
2017-09-20,0,0,29
2017-09-21,0,1,20
2017-09-22,0,4,15
2017-09-23,0,0,4
2017-09-24,0,0,0
2017-09-25,0,0,13
2017-09-26,0,4,8
2017-09-27,0,0,16
2017-09-28,0,6,28
2017-09-29,0,0,16
2017-09-30,0,0,7
2017-10-01,2,0,1
2017-10-02,0,0,8
2017-10-03,1,1,12
2017-10-04,1,1,12
2017-10-05,0,0,11
2017-10-06,0,0,5
2017-10-07,0,0,1
2017-10-08,0,0,1
2017-10-09,0,0,13
2017-10-10,0,0,8
2017-10-11,0,2,29
2017-10-12,0,0,7
2017-10-13,0,0,20
2017-10-14,0,0,11
2017-10-15,0,0,2
2017-10-16,0,0,12
2017-10-17,0,0,20
2017-10-18,0,1,15
2017-10-19,0,3,17
2017-10-20,0,2,16
2017-10-21,0,0,3
2017-10-22,0,0,1
2017-10-23,0,0,12
2017-10-24,0,4,28
2017-10-25,0,4,31
2017-10-26,0,8,18
2017-10-27,0,5,34
2017-10-28,0,0,8
2017-10-29,0,0,2
2017-10-30,0,4,13
2017-10-31,1,0,17
2017-11-01,0,0,27
2017-11-02,0,1,25
2017-11-03,0,0,24
2017-11-04,2,0,13
2017-11-05,0,0,5
2017-11-06,0,0,12
2017-11-07,0,3,22
2017-11-08,0,0,19
2017-11-09,0,5,23
2017-11-10,0,7,20
2017-11-11,0,0,11
2017-11-12,0,0,1
2017-11-13,0,5,20
2017-11-14,0,1,28
2017-11-15,0,1,26
2017-11-16,0,6,27
2017-11-17,0,10,17
2017-11-18,0,10,5
2017-11-19,0,0,1
2017-11-20,0,10,20
2017-11-21,0,7,20
2017-11-22,1,4,21
2017-11-23,0,8,5
2017-11-24,0,10,0
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,0,14,14
2017-11-28,0,5,7
2017-11-29,0,5,12
2017-11-30,0,1,13
2017-12-01,0,9,17
2017-12-02,0,0,14
2017-12-03,0,0,14
2017-12-04,0,4,12
2017-12-05,0,11,26
2017-12-06,1,1,27
2017-12-07,0,0,35
2017-12-08,0,0,22
2017-12-09,0,1,8
2017-12-10,0,0,5
2017-12-11,0,1,11
2017-12-12,0,0,11
2017-12-13,0,3,13
2017-12-14,0,5,38
2017-12-15,0,4,24
2017-12-16,0,0,10
2017-12-17,0,0,5
2017-12-18,0,0,15
2017-12-19,0,2,26
2017-12-20,0,6,37
2017-12-21,0,7,35
2017-12-22,0,18,28
2017-12-23,0,0,42
2017-12-24,8,0,35
2017-12-25,0,0,16
2017-12-26,0,0,20
2017-12-27,0,0,31
2017-12-28,0,0,41
2017-12-29,0,0,45
2017-12-30,0,0,40
2017-12-31,0,0,21
2018-01-01,0,0,17
2018-01-02,0,0,18
2018-01-03,0,0,25
2018-01-04,0,0,17
2018-01-05,0,0,14
2018-01-06,0,0,0
2018-01-07,0,0,3
2018-01-08,0,6,6
2018-01-09,0,7,6
2018-01-10,0,2,4
2018-01-11,0,6,5
2018-01-12,0,9,3
2018-01-13,0,0,5
2018-01-14,0,0,1
2018-01-15,0,2,3
2018-01-16,1,2,12
2018-01-17,1,23,18
2018-01-18,5,7,18
2018-01-19,16,1,12
2018-01-20,0,0,3
2018-01-21,0,0,1
2018-01-22,0,23,8
2018-01-23,0,15,15
2018-01-24,0,14,16
2018-01-25,0,4,10
2018-01-26,0,3,19
2018-01-27,0,0,4
2018-01-28,0,0,5
2018-01-29,0,5,6
2018-01-30,5,3,18
2018-01-31,1,4,18
2018-02-01,0,5,15
2018-02-02,0,11,14
2018-02-03,1,8,3
2018-02-04,0,0,4
2018-02-05,1,0,15
2018-02-06,6,1,11
2018-02-07,0,3,10
2018-02-08,0,2,18
2018-02-09,1,1,19
2018-02-10,1,0,10
2018-02-11,0,0,0
2018-02-12,0,4,9
2018-02-13,0,7,25
2018-02-14,0,2,14
2018-02-15,0,0,20
2018-02-16,0,2,8
2018-02-17,0,0,0
2018-02-18,0,0,0
2018-02-19,0,7,0
2018-02-20,0,8,3
2018-02-21,0,2,13
2018-02-22,0,3,25
2018-02-23,0,2,21
2018-02-24,0,12,17
2018-02-25,0,0,1
2018-02-26,1,13,24
2018-02-27,0,12,19
2018-02-28,2,5,42
2018-03-01,0,6,27
2018-03-02,0,5,37
2018-03-03,0,0,27
2018-03-04,0,0,3
2018-03-05,0,0,13
2018-03-06,0,4,41
2018-03-07,0,6,32
2018-03-08,1,0,38
2018-03-09,1,6,29
2018-03-10,0,0,16
2018-03-11,0,0,2
2018-03-12,0,9,10
2018-03-13,0,8,14
2018-03-14,0,4,21
2018-03-15,1,19,42
2018-03-16,0,2,22
2018-03-17,7,0,8
2018-03-18,5,0,5
2018-03-19,0,1,14
2018-03-20,1,8,28
2018-03-21,0,22,18
2018-03-22,2,7,24
2018-03-23,0,3,17
2018-03-24,0,6,4
2018-03-25,0,1,1
2018-03-26,0,9,9
2018-03-27,0,6,19
2018-03-28,0,1,14
2018-03-29,0,6,11
2018-03-30,0,0,14
2018-03-31,3,0,2
2018-04-01,0,0,2
2018-04-02,0,1,12
2018-04-03,0,11,15
2018-04-04,0,9,20
2018-04-05,0,9,29
2018-04-06,0,5,14
2018-04-07,0,1,3
2018-04-08,0,7,4
2018-04-09,0,15,12
2018-04-10,0,9,24
2018-04-11,0,4,24
2018-04-12,0,7,21
2018-04-13,1,4,20
2018-04-14,5,0,13
2018-04-15,0,0,1
2018-04-16,0,1,27
2018-04-17,0,10,31
2018-04-18,0,1,20
2018-04-19,0,6,7
2018-04-20,0,8,8
2018-04-21,0,0,1
2018-04-22,0,0,0
2018-04-23,0,6,3
2018-04-24,0,0,10
2018-04-25,0,0,21
2018-04-26,0,0,11
2018-04-27,0,0,7
2018-04-28,5,0,0
2018-04-29,0,0,1
2018-04-30,0,0,1
2018-05-01,1,0,2
2018-05-02,0,1,8
2018-05-03,0,0,6
2018-05-04,0,0,6
2018-05-05,0,0,1
2018-05-06,0,0,2
2018-05-07,0,1,7
2018-05-08,0,6,7
2018-05-09,0,0,11
2018-05-10,0,0,13
2018-05-11,0,0,16
2018-05-12,0,0,1
2018-05-13,0,0,0
2018-05-14,0,2,2
2018-05-15,0,0,8
2018-05-16,0,0,5
2018-05-17,0,3,4
2018-05-18,0,0,5
2018-05-19,0,0,0
2018-05-20,0,0,3
2018-05-21,0,0,3
2018-05-22,0,1,5
2018-05-23,8,3,4
2018-05-24,0,2,10
2018-05-25,0,0,3
2018-05-26,0,0,3
2018-05-27,0,0,0
2018-05-28,0,1,0
2018-05-29,0,2,6
2018-05-30,1,1,11
2018-05-31,1,0,11
2018-06-01,0,0,19
2018-06-02,0,0,7
2018-06-03,0,0,3
2018-06-04,1,0,12
2018-06-05,0,1,18
2018-06-06,1,3,20
2018-06-07,0,0,26
2018-06-08,0,4,2
2018-06-09,0,0,0
2018-06-10,0,0,1
2018-06-11,0,12,15
2018-06-12,0,4,28
2018-06-13,0,1,8
2018-06-14,0,1,24
2018-06-15,0,3,7
2018-06-16,0,0,4
2018-06-17,5,0,1
2018-06-18,1,1,3
2018-06-19,3,2,29
2018-06-20,0,0,26
2018-06-21,1,0,18
2018-06-22,0,0,7
2018-06-23,0,0,15
2018-06-24,0,0,8
2018-06-25,6,9,7
2018-06-26,0,5,18
2018-06-27,0,2,16
2018-06-28,1,2,17
2018-06-29,0,0,14
2018-06-30,0,0,1
2018-07-01,0,0,3
2018-07-02,0,2,8
2018-07-03,0,3,32
2018-07-04,0,3,12
2018-07-05,0,0,4
2018-07-06,1,3,11
2018-07-07,0,0,6
2018-07-08,0,0,4
2018-07-09,0,0,18
2018-07-10,0,2,11
2018-07-11,0,0,31
2018-07-12,0,0,21
2018-07-13,12,2,24
2018-07-14,1,0,3
2018-07-15,0,4,4
2018-07-16,1,1,2
2018-07-17,0,0,17
2018-07-18,0,0,11
2018-07-19,0,3,14
2018-07-20,2,0,12
2018-07-21,0,0,4
2018-07-22,0,0,0
2018-07-23,0,2,6
2018-07-24,0,3,35
2018-07-25,0,6,7
2018-07-26,0,13,8
2018-07-27,0,14,5
2018-07-28,0,11,8
2018-07-29,0,5,1
2018-07-30,0,15,8
2018-07-31,0,1,10
2018-08-01,0,11,11
2018-08-02,5,8,10
2018-08-03,1,1,5
2018-08-04,0,0,5
2018-08-05,0,0,1
2018-08-06,0,0,13
2018-08-07,0,0,10
2018-08-08,0,0,17
2018-08-09,0,0,12
2018-08-10,0,0,6
2018-08-11,0,0,3
2018-08-12,0,1,1
2018-08-13,0,0,11
2018-08-14,1,0,10
2018-08-15,0,0,10
2018-08-16,0,0,9
2018-08-17,1,0,12
2018-08-18,0,0,10
2018-08-19,0,0,6
2018-08-20,5,10,3
2018-08-21,0,4,10
2018-08-22,1,0,22
2018-08-23,0,9,12
2018-08-24,1,6,14
2018-08-25,1,0,7
2018-08-26,0,0,0
2018-08-27,2,2,2
2018-08-28,1,0,39
2018-08-29,0,4,16
2018-08-30,0,2,9
2018-08-31,0,0,14
2018-09-01,1,0,8
2018-09-02,0,0,4
2018-09-03,6,2,4
2018-09-04,2,0,9
2018-09-05,1,1,26
2018-09-06,1,10,47
2018-09-07,2,1,22
2018-09-08,1,0,9
2018-09-09,1,0,1
2018-09-10,0,2,16
2018-09-11,0,0,25
2018-09-12,0,0,32
2018-09-13,0,0,62
2018-09-14,0,0,63
2018-09-15,0,0,10
2018-09-16,0,0,8
2018-09-17,1,6,46
2018-09-18,1,3,61
2018-09-19,0,0,63
2018-09-20,2,0,40
2018-09-21,0,0,15
2018-09-22,2,0,12
2018-09-23,0,0,6
2018-09-24,0,0,10
2018-09-25,5,0,90
2018-09-26,0,0,98
2018-09-27,2,0,116
2018-09-28,0,0,42
2018-09-29,0,0,20
2018-09-30,0,2,8
2018-10-01,1,1,15
2018-10-02,0,40,23
2018-10-03,0,1,33
2018-10-04,0,0,32
2018-10-05,0,3,32
2018-10-06,0,1,33
2018-10-07,0,10,6
2018-10-08,1,8,13
2018-10-09,0,8,40
2018-10-10,0,14,60
2018-10-11,0,15,44
2018-10-12,0,3,51
2018-10-13,1,6,17
2018-10-14,1,1,9
2018-10-15,0,24,20
2018-10-16,0,6,41
2018-10-17,0,32,48
2018-10-18,0,4,5
2018-10-19,0,23,0
2018-10-20,1,8,0
2018-10-21,5,13,0
2018-10-22,1,10,0
2018-10-23,1,16,0
2018-10-24,2,6,0
2018-10-25,0,7,0
2018-10-26,1,15,0
2018-10-27,0,1,0
2018-10-28,0,5,0
2018-10-29,0,6,0
2018-10-30,2,2,0
2018-10-31,1,16,0
2018-11-01,0,3,0
2018-11-02,0,1,0
2018-11-03,0,2,0
2018-11-04,0,0,0
2018-11-05,0,3,0
2018-11-06,2,0,0
2018-11-07,0,3,0
2018-11-08,1,6,0
2018-11-09,2,5,0
2018-11-10,0,0,0
2018-11-11,0,0,0
2018-11-12,0,4,0
2018-11-13,1,1,0
2018-11-14,0,5,0
2018-11-15,0,27,0
2018-11-16,0,1,0
2018-11-17,8,0,0
2018-11-18,0,0,0
2018-11-19,2,2,0
2018-11-20,1,1,0
2018-11-21,2,0,0
2018-11-22,0,0,0
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,0,0,0
2018-11-26,0,0,0
2018-11-27,0,1,0
2018-11-28,0,4,0
2018-11-29,0,1,0
2018-11-30,1,3,0
2018-12-01,0,0,0
2018-12-02,0,0,0
2018-12-03,0,3,0
2018-12-04,1,2,0
2018-12-05,0,4,0
2018-12-06,0,0,0
2018-12-07,1,0,0
2018-12-08,2,0,0
2018-12-09,0,0,0
2018-12-10,5,4,0
2018-12-11,0,1,0
2018-12-12,0,0,0
2018-12-13,1,20,1619
2018-12-14,0,0,16
2018-12-15,0,5,32
2018-12-16,0,5,3
2018-12-17,1,0,10
2018-12-18,0,2,28
2018-12-19,0,11,16
2018-12-20,0,4,29
2018-12-21,4,13,16
2018-12-22,0,1,5
2018-12-23,0,0,2
2018-12-24,0,0,0
2018-12-25,1,0,3
2018-12-26,0,1,2
2018-12-27,1,0,3
2018-12-28,0,0,2
2018-12-29,1,0,3
2018-12-30,0,0,3
2018-12-31,1,1,0
2019-01-01,0,0,0
2019-01-02,0,0,9
2019-01-03,1,0,17
2019-01-04,0,0,20
2019-01-05,0,0,8
2019-01-06,0,0,4
2019-01-07,0,0,23
2019-01-08,0,2,6
2019-01-09,1,5,18
2019-01-10,0,6,9
2019-01-11,0,7,3
2019-01-12,1,0,5
2019-01-13,0,0,0
2019-01-14,1,3,17
2019-01-15,0,7,23
2019-01-16,0,8,25
2019-01-17,0,8,20
2019-01-18,0,2,10
2019-01-19,0,0,18
2019-01-20,0,0,2
2019-01-21,0,8,4
2019-01-22,1,20,12
2019-01-23,5,11,20
2019-01-24,0,15,20
2019-01-25,0,9,12
2019-01-26,2,21,2
2019-01-27,0,4,3
2019-01-28,0,9,5
2019-01-29,1,29,6
2019-01-30,0,32,9
2019-01-31,0,15,11
2019-02-01,0,4,11
2019-02-02,0,0,8
2019-02-03,0,0,0
2019-02-04,0,5,3
2019-02-05,1,5,7
2019-02-06,0,23,10
2019-02-07,1,12,10
2019-02-08,0,5,14
2019-02-09,0,0,8
2019-02-10,0,0,0
2019-02-11,0,5,7
2019-02-12,0,17,15
2019-02-13,1,1,25
2019-02-14,1,1,21
2019-02-15,0,3,21
2019-02-16,0,0,6
2019-02-17,0,0,1
2019-02-18,0,4,2
2019-02-19,0,2,3
2019-02-20,7,3,6
2019-02-21,1,9,21
2019-02-22,2,9,25
2019-02-23,0,0,6
2019-02-24,0,1,1
2019-02-25,1,8,11
2019-02-26,0,9,15
2019-02-27,0,39,38
2019-02-28,1,61,31
2019-03-01,0,28,36
2019-03-02,0,0,20
2019-03-03,0,0,0
2019-03-04,0,1,14
2019-03-05,0,0,21
2019-03-06,0,0,21
2019-03-07,0,2,28
2019-03-08,0,0,38
2019-03-09,1,0,6
2019-03-10,1,3,11
2019-03-11,3,10,16
2019-03-12,0,5,23
2019-03-13,0,12,45
2019-03-14,0,17,14
2019-03-15,0,25,31
2019-03-16,0,0,5
2019-03-17,0,2,2
2019-03-18,0,20,20
2019-03-19,0,55,8
2019-03-20,0,18,47
2019-03-21,0,19,43
2019-03-22,0,20,20
2019-03-23,0,4,10
2019-03-24,0,1,0
2019-03-25,0,21,13
2019-03-26,7,23,30
2019-03-27,1,11,22
2019-03-28,0,18,28
2019-03-29,1,19,29
2019-03-30,0,33,13
2019-03-31,0,0,22
2019-04-01,0,9,15
2019-04-02,1,5,16
2019-04-03,0,2,95
2019-04-04,0,10,45
2019-04-05,3,1,32
2019-04-06,1,0,8
2019-04-07,0,0,2
2019-04-08,0,6,16
2019-04-09,1,0,24
2019-04-10,1,2,28
2019-04-11,0,2,37
2019-04-12,2,17,26
2019-04-13,1,0,12
2019-04-14,0,0,5
2019-04-15,0,0,16
2019-04-16,2,5,6
2019-04-17,2,1,30
2019-04-18,0,0,28
2019-04-19,0,0,25
2019-04-20,0,0,7
2019-04-21,0,0,1
2019-04-22,0,0,35
2019-04-23,5,1,21
2019-04-24,0,4,45
2019-04-25,0,0,38
2019-04-26,0,11,19
2019-04-27,0,0,10
2019-04-28,0,0,1
2019-04-29,0,10,6
2019-04-30,0,7,27
2019-05-01,0,0,24
2019-05-02,1,16,12
2019-05-03,0,17,11
2019-05-04,0,0,8
2019-05-05,2,0,4
2019-05-06,3,1,15
2019-05-07,1,4,31
2019-05-08,1,5,21
2019-05-09,1,1,39
2019-05-10,0,1,26
2019-05-11,0,0,6
2019-05-12,0,0,0
2019-05-13,0,0,1
2019-05-14,1,1,21
2019-05-15,0,0,17
2019-05-16,5,1,34
2019-05-17,0,0,28
2019-05-18,0,0,6
2019-05-19,0,0,2
2019-05-20,0,1,28
2019-05-21,0,3,21
2019-05-22,1,3,30
2019-05-23,0,4,30
2019-05-24,0,1,36
2019-05-25,0,0,8
2019-05-26,2,0,1
2019-05-27,0,1,7
2019-05-28,1,2,14
2019-05-29,1,23,17
2019-05-30,0,0,28
2019-05-31,4,1,23
2019-06-01,1,0,12
2019-06-02,2,0,3
2019-06-03,0,1,24
2019-06-04,0,3,25
2019-06-05,1,1,31
2019-06-06,8,0,25
2019-06-07,1,0,33
2019-06-08,1,0,6
2019-06-09,0,0,0
2019-06-10,0,0,14
2019-06-11,0,1,27
2019-06-12,0,2,26
2019-06-13,0,18,23
2019-06-14,1,0,18
2019-06-15,0,0,1
2019-06-16,0,0,2
2019-06-17,1,3,33
2019-06-18,0,3,20
2019-06-19,0,2,31
2019-06-20,1,7,19
2019-06-21,0,2,23
2019-06-22,0,0,3
2019-06-23,0,0,0
2019-06-24,0,0,28
2019-06-25,2,1,29
2019-06-26,1,3,25
2019-06-27,0,8,28
2019-06-28,11,1,24
2019-06-29,0,0,12
2019-06-30,0,0,4
2019-07-01,3,2,5
2019-07-02,2,0,4
2019-07-03,2,3,7
2019-07-04,0,5,2
2019-07-05,0,19,2
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,1,81,27
2019-07-09,1,109,3
2019-07-10,0,2,16
2019-07-11,0,4,7
2019-07-12,3,9,7
2019-07-13,1,0,0
2019-07-14,0,0,0
2019-07-15,1,0,5
2019-07-16,0,0,2
2019-07-17,0,0,12
2019-07-18,0,1,13
2019-07-19,0,1,6
2019-07-20,0,0,1
2019-07-21,1,0,0
2019-07-22,7,1,7
2019-07-23,0,0,20
2019-07-24,1,0,8
2019-07-25,1,0,0
2019-07-26,0,1,6
2019-07-27,0,0,2
2019-07-28,0,0,1
2019-07-29,1,0,8
2019-07-30,7,2,11
2019-07-31,0,0,6
2019-08-01,5,2,17
2019-08-02,0,4,19
2019-08-03,0,0,2
2019-08-04,0,0,0
2019-08-05,0,0,6
2019-08-06,0,0,9
2019-08-07,0,0,11
2019-08-08,0,1,12
2019-08-09,0,0,10
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,5
2019-08-13,7,0,4
2019-08-14,0,1,58
2019-08-15,0,0,22
2019-08-16,0,2,22
2019-08-17,0,0,1
2019-08-18,0,0,0
2019-08-19,0,0,16
2019-08-20,0,0,5
2019-08-21,0,0,17
2019-08-22,1,0,18
2019-08-23,0,0,12
2019-08-24,0,0,4
2019-08-25,0,0,5
2019-08-26,0,0,14
2019-08-27,1,0,12
2019-08-28,1,0,11
2019-08-29,0,0,3
2019-08-30,0,0,11
2019-08-31,0,0,0
2019-09-01,0,0,0
2019-09-02,0,2,0
2019-09-03,0,0,11
