,ethereum/go-ethereum,hyperledger/besu,NethermindEth/nethermind
2022-12-09,3,6,9
2022-12-10,1,0,0
2022-12-11,0,4,0
2022-12-12,0,1,1
2022-12-13,3,0,2
2022-12-14,2,0,2
2022-12-15,1,0,4
2022-12-16,0,7,3
2022-12-17,0,0,1
2022-12-18,0,0,0
2022-12-19,2,2,2
2022-12-20,1,4,2
2022-12-21,1,8,1
2022-12-22,0,3,1
2022-12-23,0,7,0
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,0,0
2022-12-27,1,0,9
2022-12-28,2,0,5
2022-12-29,1,1,4
2022-12-30,0,1,2
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,0,1,5
2023-01-03,11,1,9
2023-01-04,0,3,5
2023-01-05,0,2,1
2023-01-06,4,1,2
2023-01-07,0,1,0
2023-01-08,0,0,1
2023-01-09,3,4,5
2023-01-10,7,2,5
2023-01-11,1,5,4
2023-01-12,4,4,6
2023-01-13,3,3,4
2023-01-14,0,0,0
2023-01-15,1,1,0
2023-01-16,7,10,3
2023-01-17,2,6,3
2023-01-18,2,7,10
2023-01-19,2,5,2
2023-01-20,6,5,2
2023-01-21,0,0,5
2023-01-22,0,6,0
2023-01-23,2,5,5
2023-01-24,2,6,5
2023-01-25,2,7,1
2023-01-26,1,1,0
2023-01-27,7,2,1
2023-01-28,0,1,0
2023-01-29,0,0,0
2023-01-30,3,1,1
2023-01-31,4,0,2
2023-02-01,1,4,1
2023-02-02,3,1,2
2023-02-03,2,4,2
2023-02-04,0,1,1
2023-02-05,1,1,0
2023-02-06,9,3,3
2023-02-07,3,1,3
2023-02-08,4,4,4
2023-02-09,8,4,8
2023-02-10,3,2,4
2023-02-11,0,0,0
2023-02-12,0,0,0
2023-02-13,3,1,12
2023-02-14,5,3,6
2023-02-15,4,3,2
2023-02-16,8,2,3
2023-02-17,3,1,2
2023-02-18,0,1,0
2023-02-19,2,0,0
2023-02-20,10,3,4
2023-02-21,5,3,2
2023-02-22,5,3,8
2023-02-23,3,1,3
2023-02-24,0,2,1
2023-02-25,0,1,0
2023-02-26,0,0,0
2023-02-27,1,0,3
2023-02-28,5,1,3
2023-03-01,0,2,1
2023-03-02,1,1,1
2023-03-03,4,5,7
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,5,0,6
2023-03-07,10,6,9
2023-03-08,4,4,3
2023-03-09,5,1,6
2023-03-10,6,1,1
2023-03-11,0,2,3
2023-03-12,0,0,1
2023-03-13,5,9,3
2023-03-14,4,0,4
2023-03-15,1,3,4
2023-03-16,4,4,2
2023-03-17,3,3,0
2023-03-18,0,5,0
2023-03-19,0,2,0
2023-03-20,4,3,4
2023-03-21,6,5,7
2023-03-22,1,8,8
2023-03-23,6,3,2
2023-03-24,2,3,1
2023-03-25,1,0,0
2023-03-26,0,0,0
2023-03-27,3,0,2
2023-03-28,6,2,2
2023-03-29,0,1,1
2023-03-30,7,4,1
2023-03-31,2,2,3
2023-04-01,0,0,0
2023-04-02,0,0,1
2023-04-03,8,3,3
2023-04-04,8,4,3
2023-04-05,2,4,2
2023-04-06,0,1,1
2023-04-07,0,0,3
2023-04-08,1,0,0
2023-04-09,0,1,0
2023-04-10,0,0,2
2023-04-11,0,6,2
2023-04-12,0,1,1
2023-04-13,0,3,2
2023-04-14,0,5,4
2023-04-15,0,0,0
2023-04-16,0,1,0
2023-04-17,4,4,1
2023-04-18,3,4,2
2023-04-19,2,2,3
2023-04-20,5,10,3
2023-04-21,2,5,1
2023-04-22,0,0,0
2023-04-23,0,0,6
2023-04-24,2,0,6
2023-04-25,5,0,3
2023-04-26,5,0,4
2023-04-27,1,0,5
2023-04-28,3,4,2
2023-04-29,0,0,0
2023-04-30,0,0,1
2023-05-01,0,1,3
2023-05-02,7,2,5
2023-05-03,1,0,4
2023-05-04,1,6,5
2023-05-05,3,3,2
2023-05-06,0,0,0
2023-05-07,0,0,0
2023-05-08,3,0,1
2023-05-09,4,2,5
2023-05-10,3,2,4
2023-05-11,7,0,4
2023-05-12,2,2,2
2023-05-13,0,0,0
2023-05-14,0,0,0
2023-05-15,1,3,7
2023-05-16,4,0,1
2023-05-17,6,3,4
2023-05-18,0,3,0
2023-05-19,4,3,1
2023-05-20,0,0,0
2023-05-21,0,1,0
2023-05-22,3,1,3
2023-05-23,4,3,7
2023-05-24,3,0,2
2023-05-25,10,1,3
2023-05-26,0,7,3
2023-05-27,0,0,1
2023-05-28,0,1,0
2023-05-29,2,0,0
2023-05-30,4,6,2
2023-05-31,7,1,1
2023-06-01,3,1,5
2023-06-02,1,3,1
2023-06-03,0,1,2
2023-06-04,0,2,1
2023-06-05,4,1,3
2023-06-06,7,1,4
