,tryghost/ghost,getgrav/grav,WordPress/WordPress
2022-10-02,0,0,1
2022-10-03,24,0,4
2022-10-04,12,4,22
2022-10-05,36,12,4
2022-10-06,25,0,4
2022-10-07,43,0,20
2022-10-08,0,0,3
2022-10-09,0,0,6
2022-10-10,14,1,13
2022-10-11,18,0,37
2022-10-12,17,0,3
2022-10-13,19,0,5
2022-10-14,11,0,2
2022-10-15,0,0,1
2022-10-16,1,0,1
2022-10-17,13,0,11
2022-10-18,15,0,14
2022-10-19,36,0,5
2022-10-20,36,0,5
2022-10-21,42,0,4
2022-10-22,0,0,3
2022-10-23,0,0,1
2022-10-24,16,0,7
2022-10-25,17,2,6
2022-10-26,21,2,2
2022-10-27,47,0,5
2022-10-28,4,0,3
2022-10-29,0,0,6
2022-10-30,10,0,4
2022-10-31,15,0,6
2022-11-01,15,0,4
2022-11-02,17,0,2
2022-11-03,17,0,1
2022-11-04,12,0,3
2022-11-05,2,0,1
2022-11-06,0,0,3
2022-11-07,19,0,5
2022-11-08,9,0,2
2022-11-09,6,0,8
2022-11-10,5,0,10
2022-11-11,11,0,13
2022-11-12,0,0,1
2022-11-13,0,0,3
2022-11-14,10,0,6
2022-11-15,8,0,2
2022-11-16,2,0,5
2022-11-17,38,0,3
2022-11-18,18,0,2
2022-11-19,0,0,1
2022-11-20,0,0,1
2022-11-21,6,0,1
2022-11-22,6,0,5
2022-11-23,15,0,4
2022-11-24,14,0,5
2022-11-25,3,0,1
2022-11-26,0,0,8
2022-11-27,0,0,1
2022-11-28,13,0,2
2022-11-29,10,0,10
2022-11-30,13,0,7
2022-12-01,30,1,7
2022-12-02,28,1,2
2022-12-03,0,0,1
2022-12-04,0,0,3
2022-12-05,12,0,3
2022-12-06,13,0,10
2022-12-07,29,0,3
2022-12-08,41,0,3
2022-12-09,14,0,3
2022-12-10,0,0,1
2022-12-11,0,0,1
2022-12-12,11,0,4
2022-12-13,7,0,5
2022-12-14,23,0,7
2022-12-15,8,0,4
2022-12-16,5,0,2
2022-12-17,0,0,2
2022-12-18,0,0,2
2022-12-19,0,0,4
2022-12-20,2,0,2
