,pytorch/vision,facebookresearch/detectron2,fizyr/keras-retinanet
2019-12-10,2.0,0,0
2019-12-11,0.3999999999999999,0,2
2019-12-12,0.4900000000000001,4,1
2019-12-13,-0.5239999999999999,3,2
2019-12-14,-0.24482499999999988,4,0
2019-12-15,-0.15910299999999997,1,0
2019-12-16,3.8835555250000002,2,0
2019-12-17,-0.29091566000000013,0,0
2019-12-18,-0.7939915697812499,2,0
2019-12-19,5.59499918301875,2,5
2019-12-20,-2.0496101299984377,2,0
2019-12-21,-0.8026269132328121,1,0
2019-12-22,-0.47984369999999976,0,0
2019-12-23,-0.3400849575,1,0
2019-12-24,-0.26078564081250016,0,0
2019-12-25,-0.2098955446968751,0,0
2019-12-26,-0.12732705573281256,4,0
2019-12-27,-0.09526030059375026,3,0
2019-12-28,-0.08150047939687514,0,0
2019-12-29,0.0,2,0
2019-12-30,0.0,1,0
2019-12-31,0.0,1,0
2020-01-01,0.0,0,0
2020-01-02,3.0,1,0
2020-01-03,0.09999999999999987,0,0
2020-01-04,-0.6149999999999998,7,0
2020-01-05,-0.28349999999999986,2,0
2020-01-06,-0.17998749999999997,1,0
2020-01-07,-0.12932324999999997,3,0
2020-01-08,-0.09956283749999997,3,0
2020-01-09,-0.08015268375000001,4,0
2020-01-10,1.9334125759531249,7,0
2020-01-11,-0.6566269564640627,1,0
2020-01-12,-0.2235834132328124,2,0
2020-01-13,1.881,3,1
2020-01-14,1.319675,2,0
2020-01-15,-0.8694405,2,0
2020-01-16,1.6244382750000002,3,0
2020-01-17,3.1627604524999997,0,0
2020-01-18,-1.58151893353125,0,0
2020-01-19,-0.6721690514656247,0,0
2020-01-20,0.5971987275000001,0,0
2020-01-21,0.41024151896874983,2,2
2020-01-22,4.370637015003124,1,0
2020-01-23,-1.8227048239656252,1,1
2020-01-24,-0.7322450285312497,2,0
2020-01-25,-0.4580564435281251,1,0
2020-01-26,-0.30814726543125004,1,0
2020-01-27,7.80916061375,0,0
2020-01-28,-1.5512383030156256,2,0
2020-01-29,4.735753501251563,5,0
2020-01-30,-1.4739669970609377,4,2
2020-01-31,-1.3787170661640622,4,0
2020-02-01,-0.7399244999999997,0,2
2020-02-02,-0.5164421499999999,0,1
2020-02-03,0.6065769475,1,1
2020-02-04,0.38462356712499957,2,0
2020-02-05,-0.6665685276281252,1,0
2020-02-06,-0.29230098757656264,5,1
2020-02-07,-0.19703969616250017,3,1
2020-02-08,-0.08346616323281252,1,0
2020-02-09,-0.05300111249999999,1,0
2020-02-10,3.95776186375,1,15
2020-02-11,-1.2348339905156251,3,0
2020-02-12,-0.44946012999843726,3,0
2020-02-13,1.7484165867671875,4,0
2020-02-14,3.23935,6,0
2020-02-15,-1.5288810000000002,0,0
2020-02-16,-0.6321234499999997,0,0
2020-02-17,-0.39415409499999987,1,0
2020-02-18,-0.28359736706250016,4,1
2020-02-19,-0.21977637793125007,3,0
2020-02-20,-0.1310379975,3,0
2020-02-21,-0.10758252853125011,2,0
2020-02-22,-0.09067369352812522,1,0
2020-02-23,-0.054333652931250094,2,1
2020-02-24,4.0,7,1
2020-02-25,1.7999999999999998,2,2
2020-02-26,-1.3199999999999998,2,0
2020-02-27,0.4470000000000003,0,2
2020-02-28,0.3608500000000001,1,0
2020-02-29,-0.6443684999999999,1,0
2020-03-01,-0.3467841999999999,0,0
2020-03-02,-0.24533418249999997,2,1
2020-03-03,-0.19026143831250017,0,0
2020-03-04,4.845035084271875,0,0
2020-03-05,-1.5829883759484378,3,0
2020-03-06,-0.5598339905156248,1,0
2020-03-07,-0.32696012999843743,0,0
2020-03-08,-0.2143959132328125,0,0
2020-03-09,-0.14860125,5,0
2020-03-10,3.8835956875,2,0
2020-03-11,2.70521363125,2,0
2020-03-12,1.300616416171875,1,0
2020-03-13,2.374082933835938,2,0
2020-03-14,-1.9136499999999999,1,0
2020-03-15,-0.8780309999999996,0,0
2020-03-16,3.42950805,0,0
2020-03-17,2.381236705,4,0
2020-03-18,-1.9480595495625002,1,0
2020-03-19,0.07416420875625018,5,0
2020-03-20,1.1235571017718748,2,0
2020-03-21,-1.0887881067609377,0,0
2020-03-22,-0.5358381029312499,0,0
2020-03-23,2.671884955,0,0
2020-03-24,1.8506187879374996,2,0
2020-03-25,-1.4155618824937501,6,1
2020-03-26,-0.6133526516812497,3,1
2020-03-27,-0.35277876426562493,2,0
2020-03-28,-0.25498509676406256,0,0
2020-03-29,-0.18617016396562502,0,0
2020-03-30,4.87328559125,5,0
2020-03-31,3.3954980284531247,5,0
2020-04-01,1.8866196100046873,5,0
2020-04-02,2.936749760301563,1,0
2020-04-03,2.5816875,3,2
2020-04-04,-2.61241375,0,0
2020-04-05,-1.2481555624999996,0,0
2020-04-06,2.1716158187500003,2,3
2020-04-07,3.4832928474218745,2,0
2020-04-08,-0.30313530749218787,1,0
2020-04-09,0.3538853855234376,3,2
2020-04-10,0.5435088944906248,2,0
2020-04-11,-1.3662738999921875,1,0
2020-04-12,-0.6956859036640624,0,0
2020-04-13,-0.43204163374999993,0,0
2020-04-14,3.671256255953125,1,0
2020-04-15,-0.46405059602656307,4,0
2020-04-16,0.09585322780468752,1,0
2020-04-17,-0.739834807496875,4,0
2020-04-18,-0.384070259996875,1,1
2020-04-19,-0.245710326465625,0,0
2020-04-20,-0.16300619999999996,6,1
2020-04-21,0.8711697924999999,5,0
2020-04-22,-0.40574500331250024,7,0
2020-04-23,0.8058323565531249,4,0
2020-04-24,1.6110398700015625,4,0
2020-04-25,-0.7587459132328125,0,0
2020-04-26,0.7007797500000001,0,0
2020-04-27,1.5175566375,11,0
2020-04-28,1.16599747625,3,0
2020-04-29,2.031901920734375,1,0
2020-04-30,-1.3482649119828123,2,0
2020-05-01,-0.5978365142656248,7,0
2020-05-02,-0.3868832092640625,1,0
2020-05-03,-0.27261382521562505,0,0
2020-05-04,4.810486260734375,3,0
2020-05-05,4.346906018235937,2,0
2020-05-06,-2.440792081246875,3,0
2020-05-07,1.9977030232375004,3,0
2020-05-08,-1.4985627396984376,4,0
