,ansible/ansible,cfengine/core,saltstack/salt
2012-04-05,10,5,20
2012-04-06,6,6,15
2012-04-07,2,2,12
2012-04-08,0,0,7
2012-04-09,1,3,13
2012-04-10,9,16,17
2012-04-11,8,3,14
2012-04-12,14,5,2
2012-04-13,26,2,8
2012-04-14,10,0,5
2012-04-15,1,0,0
2012-04-16,8,5,11
2012-04-17,39,13,10
2012-04-18,20,4,30
2012-04-19,42,4,19
2012-04-20,6,0,42
2012-04-21,15,1,21
2012-04-22,13,1,7
2012-04-23,7,1,14
2012-04-24,34,3,18
2012-04-25,8,20,43
2012-04-26,22,2,23
2012-04-27,22,3,7
2012-04-28,9,0,3
2012-04-29,0,0,13
2012-04-30,0,9,7
2012-05-01,13,2,24
2012-05-02,32,10,52
2012-05-03,13,3,17
2012-05-04,5,3,14
2012-05-05,4,1,16
2012-05-06,17,0,5
2012-05-07,7,8,7
2012-05-08,25,3,9
2012-05-09,5,6,13
2012-05-10,36,4,39
2012-05-11,16,6,13
2012-05-12,2,3,17
2012-05-13,6,0,40
2012-05-14,10,13,22
2012-05-15,8,1,11
2012-05-16,2,0,8
2012-05-17,2,1,15
2012-05-18,0,5,8
2012-05-19,4,21,17
2012-05-20,6,0,10
2012-05-21,0,5,14
2012-05-22,3,5,15
2012-05-23,2,13,34
2012-05-24,1,20,13
2012-05-25,5,8,2
2012-05-26,3,9,19
2012-05-27,2,0,22
2012-05-28,0,0,14
2012-05-29,6,5,12
2012-05-30,9,10,31
2012-05-31,3,7,13
2012-06-01,10,11,7
2012-06-02,0,16,4
2012-06-03,0,1,20
2012-06-04,0,9,19
2012-06-05,3,1,20
2012-06-06,1,5,28
2012-06-07,4,3,9
2012-06-08,5,2,12
2012-06-09,2,0,12
2012-06-10,2,0,9
2012-06-11,3,0,15
2012-06-12,1,6,10
2012-06-13,3,5,13
2012-06-14,12,4,3
2012-06-15,8,7,11
2012-06-16,5,4,18
2012-06-17,4,0,3
2012-06-18,3,2,25
2012-06-19,6,0,53
2012-06-20,14,5,6
2012-06-21,9,3,1
2012-06-22,3,7,33
2012-06-23,1,0,31
2012-06-24,0,1,6
2012-06-25,6,1,21
2012-06-26,4,6,24
2012-06-27,2,15,13
2012-06-28,0,3,4
2012-06-29,3,3,4
2012-06-30,2,3,85
2012-07-01,2,0,30
2012-07-02,8,2,13
2012-07-03,8,1,13
2012-07-04,10,10,9
2012-07-05,2,2,13
2012-07-06,4,3,45
2012-07-07,13,0,2
2012-07-08,2,0,20
2012-07-09,5,5,26
2012-07-10,11,21,16
2012-07-11,9,2,14
2012-07-12,16,9,8
2012-07-13,3,10,43
2012-07-14,12,0,10
2012-07-15,21,0,43
2012-07-16,3,2,16
2012-07-17,10,10,7
2012-07-18,14,26,6
2012-07-19,5,9,13
2012-07-20,36,0,15
2012-07-21,10,0,19
2012-07-22,10,0,12
2012-07-23,11,5,24
2012-07-24,35,9,8
2012-07-25,23,0,7
2012-07-26,32,1,34
2012-07-27,9,10,41
2012-07-28,24,0,12
2012-07-29,7,0,5
2012-07-30,27,0,16
2012-07-31,22,2,38
2012-08-01,40,15,38
2012-08-02,36,0,22
2012-08-03,12,3,18
2012-08-04,0,1,15
2012-08-05,0,10,10
2012-08-06,2,4,15
2012-08-07,29,19,17
2012-08-08,25,7,12
2012-08-09,29,12,12
2012-08-10,46,13,13
2012-08-11,34,4,8
2012-08-12,3,0,0
2012-08-13,12,12,26
2012-08-14,23,9,14
2012-08-15,17,9,26
2012-08-16,0,11,23
2012-08-17,19,33,15
2012-08-18,23,18,25
2012-08-19,9,7,8
2012-08-20,19,16,27
2012-08-21,9,5,7
2012-08-22,14,8,10
2012-08-23,8,5,1
2012-08-24,17,8,19
2012-08-25,3,0,18
2012-08-26,0,1,1
2012-08-27,15,0,18
2012-08-28,34,12,25
2012-08-29,21,1,13
2012-08-30,33,0,33
2012-08-31,10,2,11
2012-09-01,0,2,11
2012-09-02,5,0,9
2012-09-03,0,4,24
2012-09-04,17,3,6
2012-09-05,16,2,18
2012-09-06,12,8,23
2012-09-07,21,2,19
2012-09-08,9,2,4
2012-09-09,1,3,3
2012-09-10,9,4,25
2012-09-11,9,7,9
2012-09-12,11,5,16
2012-09-13,3,5,8
2012-09-14,6,6,8
2012-09-15,0,0,11
2012-09-16,0,0,4
2012-09-17,10,0,13
2012-09-18,6,6,35
2012-09-19,19,9,22
2012-09-20,0,5,29
2012-09-21,4,2,10
2012-09-22,1,0,24
2012-09-23,9,0,24
2012-09-24,6,4,51
2012-09-25,16,33,29
2012-09-26,14,8,31
2012-09-27,14,9,42
2012-09-28,29,21,28
2012-09-29,35,0,12
2012-09-30,39,1,22
2012-10-01,23,5,34
2012-10-02,23,1,35
2012-10-03,13,1,12
2012-10-04,23,3,43
2012-10-05,9,8,51
2012-10-06,5,0,20
2012-10-07,7,0,31
2012-10-08,31,5,32
2012-10-09,15,0,28
2012-10-10,24,4,14
2012-10-11,14,8,25
2012-10-12,43,7,34
2012-10-13,9,0,2
2012-10-14,4,4,10
2012-10-15,8,0,15
2012-10-16,19,0,39
2012-10-17,15,2,11
2012-10-18,24,2,21
2012-10-19,15,7,29
2012-10-20,12,0,8
2012-10-21,12,0,2
2012-10-22,6,8,34
2012-10-23,11,9,21
2012-10-24,23,9,68
2012-10-25,18,1,62
2012-10-26,25,21,43
2012-10-27,6,0,7
2012-10-28,3,0,6
2012-10-29,12,1,47
2012-10-30,14,5,43
2012-10-31,17,5,42
2012-11-01,13,1,43
2012-11-02,4,14,27
2012-11-03,15,0,11
2012-11-04,6,0,32
2012-11-05,3,2,51
2012-11-06,11,2,27
2012-11-07,26,2,39
2012-11-08,10,3,51
2012-11-09,30,3,42
2012-11-10,12,0,26
2012-11-11,5,1,36
2012-11-12,14,2,54
2012-11-13,20,9,51
2012-11-14,9,1,70
2012-11-15,4,10,112
2012-11-16,5,20,75
2012-11-17,15,1,33
2012-11-18,11,4,23
2012-11-19,8,7,37
2012-11-20,6,4,49
2012-11-21,9,8,53
2012-11-22,10,1,33
2012-11-23,8,7,37
2012-11-24,11,5,16
2012-11-25,4,1,17
2012-11-26,15,16,47
2012-11-27,13,3,39
2012-11-28,13,10,33
2012-11-29,1,4,45
2012-11-30,0,7,42
2012-12-01,6,1,26
2012-12-02,11,4,30
2012-12-03,2,4,42
2012-12-04,5,4,57
2012-12-05,5,4,29
