,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-11-05,6,0,0
2019-11-06,2,0,0
2019-11-07,2,5,1
2019-11-08,7,2,0
2019-11-09,0,0,0
2019-11-10,3,0,0
2019-11-11,4,0,0
2019-11-12,3,5,0
2019-11-13,3,2,0
2019-11-14,9,2,0
2019-11-15,6,2,0
2019-11-16,5,0,0
2019-11-17,0,0,0
2019-11-18,5,5,0
2019-11-19,2,0,1
2019-11-20,5,0,1
2019-11-21,14,16,0
2019-11-22,6,9,1
2019-11-23,4,0,0
2019-11-24,5,0,1
2019-11-25,7,4,0
2019-11-26,10,3,1
2019-11-27,6,1,1
2019-11-28,6,11,1
2019-11-29,2,0,0
2019-11-30,3,0,0
2019-12-01,3,2,0
2019-12-02,6,7,1
2019-12-03,9,0,0
2019-12-04,3,0,1
2019-12-05,6,27,1
2019-12-06,10,2,0
2019-12-07,5,0,0
2019-12-08,0,0,0
2019-12-09,4,0,0
2019-12-10,5,0,0
2019-12-11,11,0,1
2019-12-12,7,0,1
2019-12-13,10,0,0
2019-12-14,2,0,0
2019-12-15,8,0,0
2019-12-16,6,0,1
2019-12-17,15,5,0
2019-12-18,7,3,1
2019-12-19,12,5,1
2019-12-20,8,4,0
2019-12-21,4,0,0
2019-12-22,2,2,0
2019-12-23,4,0,0
2019-12-24,4,1,0
2019-12-25,3,0,0
2019-12-26,9,0,0
2019-12-27,9,0,0
2019-12-28,7,0,0
2019-12-29,2,0,0
2019-12-30,7,1,1
2019-12-31,5,0,0
2020-01-01,5,0,0
2020-01-02,7,0,1
2020-01-03,12,0,0
2020-01-04,3,0,1
2020-01-05,2,0,0
2020-01-06,11,0,0
2020-01-07,8,2,0
2020-01-08,8,2,0
2020-01-09,5,0,0
2020-01-10,3,0,0
2020-01-11,3,0,0
2020-01-12,0,0,1
2020-01-13,6,0,0
2020-01-14,3,0,0
2020-01-15,5,2,2
2020-01-16,7,0,0
2020-01-17,13,0,0
2020-01-18,6,0,0
2020-01-19,4,0,0
2020-01-20,6,8,0
2020-01-21,9,0,0
2020-01-22,1,6,1
2020-01-23,8,2,0
2020-01-24,2,0,0
2020-01-25,3,0,0
2020-01-26,3,0,0
2020-01-27,5,5,0
2020-01-28,4,2,0
2020-01-29,5,0,0
2020-01-30,7,0,0
2020-01-31,10,6,1
2020-02-01,5,0,1
2020-02-02,4,0,0
2020-02-03,8,9,2
2020-02-04,9,1,0
2020-02-05,6,1,0
2020-02-06,2,0,0
2020-02-07,2,0,0
2020-02-08,3,0,1
2020-02-09,2,0,0
2020-02-10,12,0,0
2020-02-11,10,7,0
2020-02-12,9,3,0
2020-02-13,6,1,0
2020-02-14,4,7,0
2020-02-15,2,0,0
2020-02-16,4,0,0
2020-02-17,6,0,0
2020-02-18,5,0,0
2020-02-19,6,0,0
2020-02-20,10,0,0
2020-02-21,6,1,0
2020-02-22,5,0,0
2020-02-23,2,0,0
2020-02-24,7,0,0
2020-02-25,9,0,1
2020-02-26,6,0,0
2020-02-27,13,0,1
2020-02-28,11,0,1
2020-02-29,1,0,0
2020-03-01,2,0,0
2020-03-02,6,0,0
2020-03-03,13,0,0
2020-03-04,15,0,0
2020-03-05,2,0,0
2020-03-06,5,0,1
2020-03-07,3,0,1
2020-03-08,3,0,0
2020-03-09,10,2,0
2020-03-10,8,7,1
2020-03-11,11,3,0
2020-03-12,12,5,1
2020-03-13,9,3,0
2020-03-14,6,0,0
2020-03-15,4,0,0
2020-03-16,3,5,0
2020-03-17,9,0,1
2020-03-18,3,1,0
2020-03-19,8,3,0
2020-03-20,10,2,0
2020-03-21,4,0,3
2020-03-22,5,0,1
2020-03-23,17,3,0
2020-03-24,4,1,0
2020-03-25,7,3,1
2020-03-26,8,0,1
2020-03-27,8,0,0
2020-03-28,5,0,0
2020-03-29,6,0,0
2020-03-30,8,0,0
2020-03-31,4,8,0
2020-04-01,8,0,0
2020-04-02,5,0,0
2020-04-03,6,0,0
2020-04-04,5,0,1
2020-04-05,4,0,0
2020-04-06,6,3,0
2020-04-07,6,0,0
2020-04-08,4,0,0
2020-04-09,9,0,1
2020-04-10,8,0,0
2020-04-11,4,0,0
2020-04-12,5,0,0
2020-04-13,6,0,0
2020-04-14,2,1,0
2020-04-15,7,0,1
2020-04-16,19,0,0
2020-04-17,10,2,0
2020-04-18,2,0,0
2020-04-19,5,0,1
2020-04-20,9,5,0
2020-04-21,8,4,0
2020-04-22,5,7,0
2020-04-23,4,3,0
2020-04-24,2,0,0
2020-04-25,5,1,0
2020-04-26,10,0,0
2020-04-27,7,1,0
2020-04-28,10,0,1
2020-04-29,9,0,0
2020-04-30,9,1,0
2020-05-01,11,0,0
2020-05-02,8,0,0
2020-05-03,8,0,0
2020-05-04,7,0,0
2020-05-05,10,13,0
2020-05-06,4,1,0
2020-05-07,9,14,0
2020-05-08,8,9,0
2020-05-09,5,3,0
2020-05-10,1,0,0
2020-05-11,8,3,0
2020-05-12,10,1,1
2020-05-13,3,0,0
2020-05-14,7,0,1
2020-05-15,3,1,0
2020-05-16,4,0,0
2020-05-17,8,0,0
2020-05-18,10,1,0
2020-05-19,4,3,0
2020-05-20,10,0,0
2020-05-21,7,0,0
2020-05-22,4,0,0
2020-05-23,4,0,0
2020-05-24,1,1,0
2020-05-25,5,0,0
2020-05-26,10,0,0
2020-05-27,16,1,0
2020-05-28,9,0,1
2020-05-29,12,0,0
2020-05-30,5,0,1
2020-05-31,0,0,0
2020-06-01,5,3,0
2020-06-02,18,0,0
2020-06-03,10,0,0
2020-06-04,9,1,1
2020-06-05,12,0,0
2020-06-06,7,0,0
2020-06-07,4,0,0
2020-06-08,4,1,0
2020-06-09,21,1,0
2020-06-10,8,2,0
2020-06-11,16,0,1
2020-06-12,7,0,0
2020-06-13,3,0,0
2020-06-14,1,0,0
2020-06-15,7,0,0
2020-06-16,13,0,0
2020-06-17,8,2,0
2020-06-18,10,0,0
2020-06-19,9,0,0
2020-06-20,2,1,1
2020-06-21,8,0,0
2020-06-22,10,0,0
2020-06-23,14,0,0
2020-06-24,10,0,0
2020-06-25,12,1,0
2020-06-26,9,0,0
2020-06-27,4,0,0
2020-06-28,6,0,0
2020-06-29,8,2,0
2020-06-30,11,1,1
2020-07-01,8,0,2
2020-07-02,13,1,0
2020-07-03,5,7,0
2020-07-04,2,0,0
2020-07-05,3,0,0
2020-07-06,7,1,0
2020-07-07,9,1,0
2020-07-08,7,8,0
2020-07-09,17,0,1
2020-07-10,11,1,0
2020-07-11,3,0,0
2020-07-12,4,0,0
2020-07-13,10,0,0
2020-07-14,19,0,0
2020-07-15,8,0,0
2020-07-16,16,3,0
2020-07-17,17,1,0
2020-07-18,6,0,0
2020-07-19,2,0,0
2020-07-20,17,1,0
2020-07-21,9,1,0
2020-07-22,10,0,0
2020-07-23,10,0,1
2020-07-24,22,0,0
2020-07-25,6,1,0
2020-07-26,4,0,0
2020-07-27,16,0,0
2020-07-28,15,0,0
2020-07-29,15,1,0
2020-07-30,15,1,0
2020-07-31,11,1,0
2020-08-01,3,0,0
2020-08-02,2,0,0
2020-08-03,10,2,0
2020-08-04,15,0,1
2020-08-05,11,1,1
2020-08-06,17,0,0
2020-08-07,13,0,0
2020-08-08,6,0,0
2020-08-09,0,0,0
2020-08-10,17,0,0
2020-08-11,16,0,0
2020-08-12,7,0,0
2020-08-13,12,0,0
2020-08-14,11,0,0
2020-08-15,9,0,0
2020-08-16,2,0,0
2020-08-17,8,0,0
2020-08-18,15,0,0
2020-08-19,11,0,0
2020-08-20,12,0,0
2020-08-21,7,0,0
2020-08-22,6,0,0
2020-08-23,4,3,0
2020-08-24,9,0,0
2020-08-25,10,0,0
2020-08-26,20,0,1
2020-08-27,18,1,0
2020-08-28,16,1,0
2020-08-29,8,1,0
2020-08-30,6,0,0
2020-08-31,15,0,0
2020-09-01,16,1,0
2020-09-02,7,0,0
2020-09-03,20,0,0
2020-09-04,21,0,0
2020-09-05,23,0,0
2020-09-06,2,0,0
2020-09-07,10,0,0
2020-09-08,22,0,0
2020-09-09,19,0,0
2020-09-10,13,1,1
2020-09-11,21,0,0
2020-09-12,1,0,0
2020-09-13,4,0,0
2020-09-14,9,0,0
2020-09-15,15,0,0
2020-09-16,13,0,0
2020-09-17,15,0,0
2020-09-18,9,0,0
2020-09-19,6,0,0
2020-09-20,4,1,0
2020-09-21,6,0,0
2020-09-22,14,0,0
2020-09-23,12,2,0
2020-09-24,15,2,0
2020-09-25,10,1,0
2020-09-26,3,0,0
2020-09-27,5,0,0
2020-09-28,12,0,0
2020-09-29,12,1,0
2020-09-30,15,0,0
2020-10-01,10,0,0
2020-10-02,11,1,0
2020-10-03,10,0,0
2020-10-04,1,1,0
2020-10-05,4,0,0
2020-10-06,11,0,0
2020-10-07,6,1,0
2020-10-08,15,0,0
2020-10-09,4,0,0
2020-10-10,6,0,0
2020-10-11,1,1,0
2020-10-12,17,1,1
2020-10-13,7,1,0
2020-10-14,13,0,0
2020-10-15,7,0,0
2020-10-16,10,2,0
2020-10-17,0,0,0
2020-10-18,2,2,0
2020-10-19,11,0,0
2020-10-20,11,0,0
2020-10-21,13,0,0
2020-10-22,13,3,0
2020-10-23,10,0,0
2020-10-24,4,1,0
2020-10-25,1,0,0
2020-10-26,6,0,0
2020-10-27,9,2,0
2020-10-28,13,2,0
2020-10-29,8,0,0
2020-10-30,11,0,0
2020-10-31,2,0,0
2020-11-01,0,0,0
2020-11-02,8,3,0
2020-11-03,13,1,0
2020-11-04,16,0,0
2020-11-05,11,0,0
2020-11-06,11,0,0
2020-11-07,0,0,0
2020-11-08,2,0,0
2020-11-09,11,0,0
2020-11-10,8,0,0
2020-11-11,15,0,0
2020-11-12,14,0,0
2020-11-13,12,0,0
2020-11-14,1,0,0
2020-11-15,3,1,0
2020-11-16,10,3,0
2020-11-17,16,0,0
2020-11-18,18,0,0
2020-11-19,19,0,0
2020-11-20,11,3,0
2020-11-21,2,0,0
2020-11-22,2,0,0
2020-11-23,15,0,0
