,microsoft/typescript,rescript-lang/rescript-compiler,google/closure-compiler
2022-09-08,4,0,2
2022-09-09,3,6,3
2022-09-10,1,4,0
2022-09-11,0,6,1
2022-09-12,8,0,1
2022-09-13,4,5,3
2022-09-14,3,1,2
2022-09-15,6,8,11
2022-09-16,8,2,5
2022-09-17,2,3,1
2022-09-18,1,2,0
2022-09-19,6,15,13
2022-09-20,9,2,11
2022-09-21,8,7,8
2022-09-22,6,1,13
2022-09-23,5,3,3
2022-09-24,1,14,0
2022-09-25,1,0,0
2022-09-26,5,0,3
2022-09-27,2,0,1
2022-09-28,5,2,2
2022-09-29,6,10,3
2022-09-30,3,0,2
2022-10-01,1,4,1
2022-10-02,0,0,0
2022-10-03,4,17,3
2022-10-04,5,0,1
2022-10-05,3,13,1
2022-10-06,2,1,5
2022-10-07,5,0,2
2022-10-08,1,0,0
2022-10-09,0,1,0
2022-10-10,3,0,4
2022-10-11,2,2,2
2022-10-12,1,1,0
2022-10-13,8,1,6
2022-10-14,3,0,4
2022-10-15,1,1,0
2022-10-16,2,6,0
2022-10-17,3,0,1
2022-10-18,5,0,2
2022-10-19,6,1,5
2022-10-20,3,0,3
2022-10-21,5,0,2
2022-10-22,2,0,1
2022-10-23,1,0,0
2022-10-24,2,4,2
2022-10-25,4,0,1
2022-10-26,4,1,2
2022-10-27,2,1,0
2022-10-28,5,9,0
2022-10-29,1,1,0
2022-10-30,1,1,0
2022-10-31,5,9,0
2022-11-01,2,2,2
2022-11-02,7,0,1
2022-11-03,3,3,1
2022-11-04,1,2,2
2022-11-05,2,1,0
2022-11-06,1,0,0
2022-11-07,44,5,4
2022-11-08,8,1,1
2022-11-09,7,4,1
2022-11-10,3,3,4
2022-11-11,5,0,4
2022-11-12,1,19,0
2022-11-13,0,1,0
2022-11-14,1,6,2
2022-11-15,8,1,5
2022-11-16,3,10,3
2022-11-17,4,4,7
2022-11-18,3,1,2
2022-11-19,1,3,1
2022-11-20,2,20,0
2022-11-21,1,2,2
2022-11-22,2,0,2
2022-11-23,1,3,4
2022-11-24,1,7,0
2022-11-25,0,5,0
2022-11-26,0,1,0
2022-11-27,0,2,0
2022-11-28,3,5,2
2022-11-29,6,0,1
2022-11-30,4,1,1
2022-12-01,3,1,2
2022-12-02,3,1,1
2022-12-03,1,0,0
2022-12-04,1,0,0
2022-12-05,7,0,3
2022-12-06,10,2,0
2022-12-07,9,3,2
2022-12-08,4,8,1
2022-12-09,12,2,3
2022-12-10,1,0,0
2022-12-11,1,0,0
2022-12-12,6,2,3
2022-12-13,9,2,4
2022-12-14,2,0,3
2022-12-15,6,1,3
2022-12-16,6,0,1
2022-12-17,2,0,0
2022-12-18,1,0,0
2022-12-19,3,0,1
2022-12-20,7,1,1
2022-12-21,1,0,1
2022-12-22,1,1,1
2022-12-23,0,0,1
2022-12-24,0,0,0
2022-12-25,0,0,0
2022-12-26,0,1,0
2022-12-27,1,0,1
2022-12-28,2,0,1
2022-12-29,0,1,0
2022-12-30,4,0,1
2022-12-31,1,0,0
2023-01-01,0,1,0
2023-01-02,1,0,1
