,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2017-07-07,2,0,0
2017-07-08,3,0,0
2017-07-09,0,1,0
2017-07-10,5,6,0
2017-07-11,6,1,0
2017-07-12,17,2,0
2017-07-13,4,0,0
2017-07-14,0,0,0
2017-07-15,0,0,0
2017-07-16,0,0,0
2017-07-17,14,0,0
2017-07-18,11,1,0
2017-07-19,3,9,0
2017-07-20,4,1,0
2017-07-21,7,0,0
2017-07-22,0,0,0
2017-07-23,0,0,0
2017-07-24,5,4,1
2017-07-25,2,0,0
2017-07-26,0,11,0
2017-07-27,1,5,0
2017-07-28,6,1,0
2017-07-29,0,0,0
2017-07-30,0,0,0
2017-07-31,2,0,0
2017-08-01,2,0,0
2017-08-02,1,0,0
2017-08-03,5,0,0
2017-08-04,4,0,0
2017-08-05,0,4,0
2017-08-06,0,0,0
2017-08-07,18,0,0
2017-08-08,30,0,0
2017-08-09,14,0,0
2017-08-10,24,3,0
2017-08-11,5,0,0
2017-08-12,0,0,0
2017-08-13,0,0,0
2017-08-14,5,0,0
2017-08-15,8,5,0
2017-08-16,30,0,0
2017-08-17,10,4,0
2017-08-18,0,1,0
2017-08-19,0,0,0
2017-08-20,0,0,0
2017-08-21,0,0,0
2017-08-22,0,0,0
2017-08-23,0,0,0
2017-08-24,0,0,0
2017-08-25,1,0,0
2017-08-26,0,0,0
2017-08-27,0,0,0
2017-08-28,0,0,0
2017-08-29,0,0,0
2017-08-30,0,4,0
2017-08-31,0,0,0
2017-09-01,0,6,0
2017-09-02,0,0,0
2017-09-03,0,0,0
2017-09-04,0,0,0
2017-09-05,0,1,0
2017-09-06,1,4,0
2017-09-07,0,3,1
2017-09-08,0,0,1
2017-09-09,0,0,0
2017-09-10,0,2,0
2017-09-11,0,2,0
2017-09-12,0,0,0
2017-09-13,0,2,0
2017-09-14,0,0,0
2017-09-15,0,0,0
2017-09-16,0,0,0
2017-09-17,0,0,0
2017-09-18,1,0,0
2017-09-19,0,0,0
2017-09-20,3,6,0
2017-09-21,3,3,0
2017-09-22,5,1,0
2017-09-23,0,0,0
2017-09-24,0,0,0
2017-09-25,8,0,0
2017-09-26,4,0,0
2017-09-27,2,0,2
2017-09-28,2,0,1
2017-09-29,3,1,0
2017-09-30,0,0,0
2017-10-01,0,0,25
2017-10-02,0,4,0
2017-10-03,6,0,1
2017-10-04,3,0,3
2017-10-05,5,0,0
2017-10-06,6,0,0
2017-10-07,0,3,0
2017-10-08,0,0,0
2017-10-09,0,0,0
2017-10-10,0,0,0
2017-10-11,0,6,0
2017-10-12,2,3,1
2017-10-13,0,1,2
2017-10-14,0,0,0
2017-10-15,0,7,0
2017-10-16,0,2,0
2017-10-17,0,4,0
2017-10-18,16,0,1
2017-10-19,14,0,4
2017-10-20,2,8,1
2017-10-21,0,0,0
2017-10-22,1,0,0
2017-10-23,2,1,0
2017-10-24,19,0,0
2017-10-25,10,0,2
2017-10-26,13,0,0
2017-10-27,1,1,3
2017-10-28,0,0,0
2017-10-29,0,0,0
2017-10-30,8,5,1
2017-10-31,6,5,0
2017-11-01,6,0,1
2017-11-02,1,2,0
2017-11-03,0,0,0
2017-11-04,0,4,0
2017-11-05,0,1,0
2017-11-06,0,0,0
2017-11-07,0,3,2
2017-11-08,0,0,0
2017-11-09,7,4,0
2017-11-10,2,0,0
2017-11-11,1,2,0
2017-11-12,0,0,0
2017-11-13,2,0,0
2017-11-14,2,0,0
2017-11-15,4,0,1
2017-11-16,2,0,0
2017-11-17,3,0,0
2017-11-18,0,0,0
2017-11-19,0,0,0
2017-11-20,0,0,0
2017-11-21,1,1,0
2017-11-22,0,0,0
2017-11-23,0,1,0
2017-11-24,0,1,0
2017-11-25,0,0,0
2017-11-26,0,0,0
2017-11-27,2,0,1
2017-11-28,0,1,0
2017-11-29,0,3,0
2017-11-30,0,6,1
2017-12-01,0,0,0
2017-12-02,0,0,0
2017-12-03,0,0,0
2017-12-04,5,0,0
2017-12-05,3,0,0
2017-12-06,3,0,0
2017-12-07,3,0,2
2017-12-08,2,0,0
2017-12-09,0,0,0
2017-12-10,0,0,0
2017-12-11,1,0,0
2017-12-12,27,0,0
