,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2023-03-16,0,1,23
2023-03-17,6,5,22
2023-03-18,0,0,5
2023-03-19,0,0,5
2023-03-20,4,0,18
2023-03-21,1,0,21
2023-03-22,14,4,26
2023-03-23,12,2,31
2023-03-24,13,0,22
2023-03-25,0,0,4
2023-03-26,0,0,2
2023-03-27,8,2,13
2023-03-28,5,8,28
2023-03-29,14,0,18
2023-03-30,6,0,35
2023-03-31,3,0,23
2023-04-01,0,0,9
2023-04-02,0,0,6
2023-04-03,4,0,18
2023-04-04,5,1,31
2023-04-05,7,1,22
2023-04-06,0,1,31
2023-04-07,0,0,23
2023-04-08,0,0,4
2023-04-09,0,0,4
2023-04-10,5,0,19
2023-04-11,5,1,21
2023-04-12,8,1,29
2023-04-13,3,1,16
2023-04-14,3,0,22
2023-04-15,0,0,12
2023-04-16,0,0,2
2023-04-17,5,4,14
2023-04-18,6,0,29
2023-04-19,6,0,20
2023-04-20,4,0,20
2023-04-21,0,0,22
2023-04-22,0,1,5
2023-04-23,0,0,3
2023-04-24,2,1,17
2023-04-25,4,2,19
2023-04-26,13,1,20
2023-04-27,16,0,22
2023-04-28,17,0,17
2023-04-29,0,0,13
2023-04-30,0,0,5
2023-05-01,1,2,17
2023-05-02,3,0,23
2023-05-03,17,0,22
2023-05-04,20,1,19
2023-05-05,5,1,30
2023-05-06,0,0,11
2023-05-07,0,0,0
2023-05-08,7,0,18
2023-05-09,10,0,9
2023-05-10,1,1,9
2023-05-11,9,1,11
2023-05-12,6,0,13
2023-05-13,0,0,9
2023-05-14,0,0,4
2023-05-15,0,0,20
2023-05-16,7,1,25
2023-05-17,4,0,23
2023-05-18,5,0,16
2023-05-19,2,0,30
2023-05-20,0,0,3
2023-05-21,0,0,0
2023-05-22,1,0,14
2023-05-23,1,0,27
2023-05-24,9,0,20
2023-05-25,4,1,24
2023-05-26,1,0,32
2023-05-27,0,0,6
2023-05-28,0,0,5
2023-05-29,0,0,7
2023-05-30,5,0,18
2023-05-31,3,0,29
2023-06-01,5,0,30
2023-06-02,0,0,20
2023-06-03,0,0,3
2023-06-04,0,0,0
2023-06-05,1,0,11
2023-06-06,6,2,22
2023-06-07,9,0,19
2023-06-08,5,0,20
2023-06-09,0,0,27
2023-06-10,0,0,4
2023-06-11,0,0,10
2023-06-12,0,0,13
2023-06-13,0,6,18
2023-06-14,4,2,14
2023-06-15,8,1,13
2023-06-16,0,0,13
2023-06-17,0,2,1
2023-06-18,0,0,0
2023-06-19,0,5,9
2023-06-20,5,0,25
2023-06-21,6,2,20
2023-06-22,0,4,21
2023-06-23,1,5,22
2023-06-24,0,0,12
2023-06-25,0,0,4
2023-06-26,4,0,16
2023-06-27,3,0,18
2023-06-28,3,0,18
2023-06-29,1,0,15
2023-06-30,1,0,20
2023-07-01,0,0,2
2023-07-02,0,0,0
2023-07-03,0,0,3
2023-07-04,0,0,2
2023-07-05,2,0,13
2023-07-06,5,0,14
2023-07-07,3,0,18
2023-07-08,0,0,10
2023-07-09,0,0,5
2023-07-10,1,2,19
2023-07-11,1,0,30
2023-07-12,5,0,22
2023-07-13,4,0,30
2023-07-14,2,0,34
2023-07-15,0,0,5
2023-07-16,0,0,1
2023-07-17,1,1,29
2023-07-18,2,1,33
2023-07-19,9,0,22
2023-07-20,2,0,32
2023-07-21,0,0,17
2023-07-22,0,0,10
2023-07-23,0,0,6
2023-07-24,0,3,21
2023-07-25,0,0,18
2023-07-26,5,0,23
2023-07-27,0,1,17
2023-07-28,0,0,24
2023-07-29,0,0,10
2023-07-30,0,0,5
2023-07-31,6,0,19
2023-08-01,5,0,16
2023-08-02,5,1,21
2023-08-03,0,3,15
2023-08-04,5,0,21
2023-08-05,0,0,12
2023-08-06,0,0,4
2023-08-07,0,0,18
2023-08-08,0,0,25
2023-08-09,7,0,20
2023-08-10,7,0,34
2023-08-11,0,2,16
2023-08-12,0,0,7
2023-08-13,0,0,5
2023-08-14,3,0,22
2023-08-15,3,0,24
2023-08-16,8,0,24
2023-08-17,1,0,22
2023-08-18,4,0,16
2023-08-19,0,0,2
2023-08-20,0,0,1
2023-08-21,0,0,20
2023-08-22,4,0,28
2023-08-23,5,0,20
2023-08-24,1,0,14
2023-08-25,4,2,23
2023-08-26,0,0,5
2023-08-27,0,1,4
2023-08-28,1,0,24
2023-08-29,3,0,28
2023-08-30,11,0,25
2023-08-31,6,0,42
2023-09-01,8,0,23
2023-09-02,0,1,6
2023-09-03,0,0,3
2023-09-04,0,0,0
2023-09-05,2,0,17
2023-09-06,6,1,23
2023-09-07,2,1,27
2023-09-08,0,0,30
2023-09-09,0,1,12
2023-09-10,0,0,7
2023-09-11,3,0,17
2023-09-12,0,0,30
2023-09-13,10,0,29
2023-09-14,5,1,19
2023-09-15,0,0,11
2023-09-16,0,0,13
2023-09-17,0,0,3
2023-09-18,2,0,23
2023-09-19,5,0,10
2023-09-20,7,0,39
2023-09-21,2,0,23
2023-09-22,3,0,29
2023-09-23,0,0,9
2023-09-24,0,0,12
2023-09-25,0,0,16
2023-09-26,2,0,13
2023-09-27,3,0,12
2023-09-28,6,5,29
2023-09-29,0,2,21
2023-09-30,0,0,15
2023-10-01,0,0,7
2023-10-02,0,1,18
2023-10-03,1,1,20
2023-10-04,9,1,16
2023-10-05,1,0,15
2023-10-06,0,0,15
2023-10-07,0,0,11
2023-10-08,0,0,5
2023-10-09,9,5,24
2023-10-10,5,2,25
2023-10-11,9,0,33
2023-10-12,4,0,22
2023-10-13,1,0,25
2023-10-14,0,3,13
2023-10-15,0,0,9
2023-10-16,0,1,22
2023-10-17,3,0,29
2023-10-18,11,0,32
2023-10-19,4,0,19
2023-10-20,1,0,23
2023-10-21,0,0,7
2023-10-22,0,0,6
2023-10-23,6,1,28
2023-10-24,1,3,23
2023-10-25,10,0,16
2023-10-26,1,0,41
2023-10-27,4,0,26
2023-10-28,0,0,9
2023-10-29,0,0,1
2023-10-30,2,0,5
2023-10-31,2,0,23
2023-11-01,5,0,17
2023-11-02,7,4,36
2023-11-03,1,0,29
2023-11-04,0,0,8
2023-11-05,0,0,3
2023-11-06,3,0,17
2023-11-07,2,0,23
2023-11-08,7,0,18
2023-11-09,6,0,16
2023-11-10,3,0,26
2023-11-11,0,0,5
2023-11-12,0,0,1
2023-11-13,6,0,12
2023-11-14,1,0,19
2023-11-15,9,0,22
2023-11-16,4,0,21
2023-11-17,2,0,8
2023-11-18,0,0,7
2023-11-19,0,1,4
2023-11-20,3,0,17
2023-11-21,4,0,18
2023-11-22,2,2,14
2023-11-23,0,0,7
2023-11-24,0,1,5
2023-11-25,0,7,1
2023-11-26,0,0,1
2023-11-27,4,0,23
2023-11-28,2,0,33
2023-11-29,10,0,28
2023-11-30,2,0,9
2023-12-01,5,0,14
2023-12-02,0,0,10
2023-12-03,0,0,4
2023-12-04,2,0,17
2023-12-05,7,0,23
2023-12-06,8,0,20
2023-12-07,2,0,18
2023-12-08,1,0,17
2023-12-09,0,0,6
2023-12-10,0,0,1
2023-12-11,4,0,20
2023-12-12,4,0,22
2023-12-13,9,0,10
2023-12-14,0,0,29
2023-12-15,0,0,26
2023-12-16,0,0,12
2023-12-17,0,2,2
2023-12-18,4,0,13
2023-12-19,6,1,16
2023-12-20,7,2,18
2023-12-21,3,0,14
2023-12-22,0,2,10
2023-12-23,0,0,2
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,3
2023-12-27,2,0,9
2023-12-28,1,0,3
2023-12-29,0,0,7
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,0,13
2024-01-03,5,2,33
2024-01-04,0,0,23
2024-01-05,2,0,17
2024-01-06,0,0,9
2024-01-07,0,0,3
2024-01-08,4,0,10
2024-01-09,4,0,28
2024-01-10,5,0,28
2024-01-11,0,0,14
2024-01-12,0,0,25
2024-01-13,0,0,3
2024-01-14,0,0,3
2024-01-15,2,0,1
2024-01-16,3,0,15
2024-01-17,8,0,19
2024-01-18,2,0,33
2024-01-19,2,9,20
2024-01-20,0,0,8
2024-01-21,0,1,4
2024-01-22,1,0,23
2024-01-23,2,0,25
2024-01-24,5,0,33
2024-01-25,7,0,26
2024-01-26,5,0,28
2024-01-27,0,0,8
2024-01-28,0,0,0
