,commaai/openpilot,carla-simulator/carla,apolloauto/apollo
2021-07-04,1,5,0.0
2021-07-05,4,0,35.0
2021-07-06,10,1,-9.500000000000002
2021-07-07,6,0,-3.974999999999998
2021-07-08,19,0,-2.187499999999999
2021-07-09,11,0,-1.4651874999999999
2021-07-10,12,0,-1.08037125
2021-07-11,9,0,-0.8445504374999998
2021-07-12,12,2,-0.6867854437500001
2021-07-13,15,11,-0.5746423605468766
2021-07-14,19,0,0.5087038200859366
2021-07-15,12,5,-0.3135834132328126
2021-07-16,8,4,-0.10499999999999993
2021-07-17,8,0,-0.05949999999999997
2021-07-18,3,0,-0.0401625
2021-07-19,11,0,-0.029720249999999997
2021-07-20,4,16,7.9767191375
2021-07-21,4,5,-0.41895727375000025
2021-07-22,9,0,41.54412328323438
2021-07-23,10,11,-10.599583413232814
2021-07-24,7,0,-5.855299999999997
2021-07-25,6,0,-3.1915869999999984
2021-07-26,9,11,-0.1511749
2021-07-27,16,12,1.8033218350000002
2021-07-28,15,24,1.3348338808749998
2021-07-29,11,49,-2.7644260981437503
2021-07-30,17,14,0.4949375313624984
2021-07-31,3,1,-1.6898074193078134
2021-08-01,0,0,-0.5768429646984374
2021-08-02,10,8,1.6310810025000002
2021-08-03,20,0,1.1189690214687498
2021-08-04,11,0,-1.0359432885281252
2021-08-05,8,0,11.50659775500625
2021-08-06,6,1,-3.8915732004312504
2021-08-07,1,2,-1.4315189335312493
2021-08-08,2,0,-0.8471690514656247
2021-08-09,4,0,1.4335737275
2021-08-10,6,3,1.97368901896875
2021-08-11,4,0,0.5517093900031249
2021-08-12,9,0,2.711345888534375
2021-08-13,9,0,8.140654398812499
2021-08-14,0,0,-3.8819289587937504
2021-08-15,2,0,-1.5040474749999992
2021-08-16,5,0,1.0771523650000003
2021-08-17,6,0,-0.25569297978125016
2021-08-18,10,0,-0.013037474262500126
2021-08-19,13,0,0.09485860677031233
2021-08-20,10,0,0.17492856897187492
2021-08-21,3,0,-0.7772038205875005
2021-08-22,6,0,-0.41677860732812516
2021-08-23,5,0,-0.19057815999999997
2021-08-24,5,0,-0.14387431978125007
2021-08-25,4,0,-0.1150019294812501
2021-08-26,5,0,-0.07169826624843757
2021-08-27,2,0,-0.048417403748437574
2021-08-28,4,0,-0.02946012999843757
2021-08-29,3,0,-0.013583413232812524
2021-08-30,15,2,0.0
2021-08-31,22,0,1.0
2021-09-01,13,0,1.7
2021-09-02,11,3,4.295
2021-09-03,7,0,-1.7695
2021-09-04,4,0,0.31583750000000044
2021-09-05,0,0,-0.7075452499999999
2021-09-06,11,0,0.6114661375000001
2021-09-07,20,0,-0.57362024875
2021-09-08,9,0,-0.31535807676562494
2021-09-09,6,6,0.7706565344859374
2021-09-10,8,0,0.5300062272062497
2021-09-11,4,0,0.4784054100859374
2021-09-12,8,0,-0.503657579265625
2021-09-13,6,0,-0.23720318698281243
2021-09-14,19,0,0.8547405332343749
2021-09-15,9,1,-0.4067470257328125
2021-09-16,11,20,-0.17695838624999993
2021-09-17,10,0,-0.11761485301562502
2021-09-18,5,0,-0.08857990374843758
2021-09-19,10,0,-0.05918037999843757
