,reactivex/rxjava,Kotlin/kotlinx.coroutines,reactor/reactor-core
2016-06-22,11,3.0,1
2016-06-23,10,2.0999999999999996,2
2016-06-24,7,-1.2149999999999999,3
2016-06-25,10,-0.4934999999999997,0
2016-06-26,4,-0.2989874999999999,0
2016-06-27,3,-0.20964824999999998,1
2016-06-28,2,1.8409966625,0
2016-06-29,1,-0.72671440875,0
2016-06-30,0,-0.314501971546875,1
2016-07-01,1,-0.20738038999531264,3
2016-07-02,1,-0.12107523969843756,0
2016-07-03,0,-0.05944049999999999,0
2016-07-04,0,-0.04656172499999999,4
2016-07-05,3,-0.037914547500000007,4
2016-07-06,1,2.96824656646875,0
2016-07-07,0,2.0728331735343746,1
2016-07-08,0,-1.2149999999999999,2
2016-07-09,0,-0.4934999999999997,0
2016-07-10,0,-0.2989874999999999,0
2016-07-11,1,-0.20964824999999998,0
2016-07-12,1,-0.15900333749999995,7
2016-07-13,1,-0.12671440875,0
2016-07-14,1,-0.10450197154687514,12
2016-07-15,0,-0.0883803899953127,12
2016-07-16,0,-0.04075023969843757,3
2016-07-17,0,1.0,7
2016-07-18,1,-0.30000000000000004,23
2016-07-19,1,-0.10499999999999993,3
2016-07-20,0,-0.05949999999999997,4
2016-07-21,0,-0.0401625,1
2016-07-22,2,-0.029720249999999997,0
2016-07-23,0,-0.023280862499999996,0
2016-07-24,0,-0.018957273750000003,0
2016-07-25,0,-0.015876716765625045,0
2016-07-26,0,-0.013583413232812524,1
2016-07-27,0,3.0,0
2016-07-28,0,-0.9000000000000001,1
2016-07-29,0,-0.3149999999999998,11
2016-07-30,0,-0.1784999999999999,14
2016-07-31,0,-0.1204875,2
2016-08-01,0,-0.08916074999999998,3
2016-08-02,2,-0.06984258749999998,4
2016-08-03,1,-0.05687182125000001,0
2016-08-04,0,-0.04763015029687513,0
2016-08-05,0,-0.04075023969843757,0
2016-08-06,5,0.0,1
2016-08-07,12,0.0,0
2016-08-08,10,0.0,15
2016-08-09,5,0.0,3
2016-08-10,6,0.0,1
2016-08-11,2,0.0,7
2016-08-12,1,0.0,14
2016-08-13,0,0.0,0
2016-08-14,1,0.0,0
2016-08-15,1,0.0,4
2016-08-16,4,0.0,0
2016-08-17,1,0.0,2
2016-08-18,5,0.0,11
2016-08-19,2,0.0,0
2016-08-20,3,0.0,0
2016-08-21,10,0.0,0
2016-08-22,1,0.0,5
2016-08-23,4,0.0,5
2016-08-24,4,0.0,1
2016-08-25,4,0.0,12
2016-08-26,3,0.0,7
2016-08-27,2,0.0,0
2016-08-28,1,0.0,4
2016-08-29,1,0.0,0
2016-08-30,2,0.0,7
2016-08-31,3,0.0,12
2016-09-01,3,0.0,9
2016-09-02,2,0.0,6
2016-09-03,1,0.0,0
2016-09-04,0,0.0,0
2016-09-05,2,0.0,13
2016-09-06,5,0.0,3
2016-09-07,3,0.0,8
2016-09-08,13,0.0,0
2016-09-09,4,0.0,0
2016-09-10,1,0.0,0
2016-09-11,3,0.0,0
2016-09-12,7,0.0,0
2016-09-13,4,0.0,0
2016-09-14,2,0.0,0
2016-09-15,2,0.0,0
2016-09-16,0,0.0,1
2016-09-17,0,0.0,0
2016-09-18,0,0.0,0
