,godotengine/godot,4ian/GDevelop,MonoGame/MonoGame
2013-04-10,1.0,3,0
2013-04-11,-0.19999999999999996,3,7
2013-04-12,-0.08000000000000007,0,3
2013-04-13,-0.048000000000000036,0,13
2013-04-14,-0.03360000000000001,2,3
2013-04-15,-0.025536000000000014,0,1
2013-04-16,-0.02042880000000001,0,0
2013-04-17,-0.01692672000000001,3,7
2013-04-18,-0.01438771199999994,0,3
2013-04-19,-0.012469350399999964,0,4
2013-04-20,0.0,0,2
2013-04-21,0.0,0,11
2013-04-22,0.0,3,6
2013-04-23,0.0,0,4
2013-04-24,0.0,0,1
2013-04-25,0.0,3,4
2013-04-26,0.0,3,8
2013-04-27,0.0,0,4
2013-04-28,0.0,0,0
2013-04-29,0.0,0,7
2013-04-30,0.0,3,1
2013-05-01,0.0,0,13
2013-05-02,0.0,0,11
2013-05-03,0.0,0,24
2013-05-04,0.0,0,2
2013-05-05,0.0,0,0
2013-05-06,0.0,13,3
2013-05-07,0.0,0,3
2013-05-08,0.0,1,3
2013-05-09,0.0,2,1
2013-05-10,0.0,3,0
2013-05-11,0.0,6,4
2013-05-12,0.0,4,2
2013-05-13,0.0,0,4
2013-05-14,0.0,1,9
2013-05-15,0.0,0,3
2013-05-16,0.0,0,0
2013-05-17,0.0,0,0
2013-05-18,0.0,0,5
2013-05-19,0.0,2,0
2013-05-20,0.0,7,1
2013-05-21,0.0,0,13
2013-05-22,0.0,3,3
2013-05-23,0.0,0,2
2013-05-24,0.0,0,5
2013-05-25,0.0,3,2
2013-05-26,0.0,0,0
2013-05-27,0.0,0,0
2013-05-28,0.0,4,3
2013-05-29,0.0,2,3
2013-05-30,0.0,0,0
2013-05-31,0.0,3,0
2013-06-01,0.0,0,0
2013-06-02,0.0,4,1
2013-06-03,0.0,0,2
2013-06-04,0.0,0,0
2013-06-05,0.0,0,3
2013-06-06,0.0,0,3
2013-06-07,0.0,0,2
2013-06-08,0.0,0,1
2013-06-09,0.0,0,1
2013-06-10,0.0,0,6
2013-06-11,0.0,5,4
2013-06-12,0.0,0,15
2013-06-13,0.0,5,7
2013-06-14,0.0,0,7
2013-06-15,0.0,4,0
2013-06-16,0.0,1,1
2013-06-17,0.0,9,7
2013-06-18,0.0,2,17
2013-06-19,0.0,6,4
2013-06-20,0.0,3,0
2013-06-21,0.0,0,7
2013-06-22,0.0,0,6
2013-06-23,0.0,4,1
2013-06-24,0.0,0,0
2013-06-25,0.0,9,3
2013-06-26,0.0,8,3
2013-06-27,0.0,1,2
2013-06-28,0.0,6,0
2013-06-29,0.0,2,0
2013-06-30,0.0,10,0
2013-07-01,0.0,24,0
2013-07-02,0.0,3,4
2013-07-03,0.0,4,6
2013-07-04,0.0,0,0
2013-07-05,0.0,0,5
2013-07-06,0.0,0,0
2013-07-07,0.0,0,10
2013-07-08,0.0,1,8
2013-07-09,0.0,2,9
2013-07-10,0.0,0,0
2013-07-11,0.0,0,1
2013-07-12,0.0,0,0
2013-07-13,0.0,0,2
2013-07-14,0.0,0,0
2013-07-15,0.0,3,6
2013-07-16,0.0,2,1
2013-07-17,0.0,1,1
2013-07-18,0.0,1,4
2013-07-19,0.0,2,3
2013-07-20,0.0,0,3
2013-07-21,0.0,5,1
2013-07-22,0.0,1,3
2013-07-23,0.0,0,6
2013-07-24,0.0,0,19
2013-07-25,0.0,0,0
2013-07-26,0.0,0,5
2013-07-27,0.0,0,0
2013-07-28,0.0,0,2
2013-07-29,0.0,2,8
2013-07-30,0.0,3,3
2013-07-31,0.0,1,3
2013-08-01,0.0,0,5
2013-08-02,0.0,6,1
2013-08-03,0.0,0,0
2013-08-04,0.0,0,3
2013-08-05,0.0,1,3
2013-08-06,0.0,2,4
2013-08-07,0.0,2,2
2013-08-08,0.0,3,0
2013-08-09,0.0,0,11
2013-08-10,0.0,0,1
2013-08-11,0.0,0,7
2013-08-12,0.0,0,4
2013-08-13,0.0,0,4
2013-08-14,0.0,0,2
2013-08-15,0.0,0,2
2013-08-16,0.0,0,0
2013-08-17,0.0,0,0
2013-08-18,0.0,0,0
2013-08-19,0.0,0,4
2013-08-20,0.0,0,1
2013-08-21,0.0,0,5
