,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2020-09-25,93,1,43
2020-09-26,26,2,19
2020-09-27,7,2,12
2020-09-28,72,0,35
2020-09-29,95,1,59
2020-09-30,121,1,39
2020-10-01,89,3,33
2020-10-02,81,2,39
2020-10-03,33,1,9
2020-10-04,12,0,2
2020-10-05,99,9,26
2020-10-06,126,6,38
2020-10-07,105,5,30
2020-10-08,83,1,51
2020-10-09,88,4,28
2020-10-10,19,0,10
2020-10-11,14,2,3
2020-10-12,70,3,18
2020-10-13,82,2,35
2020-10-14,108,3,40
2020-10-15,121,1,40
2020-10-16,108,2,26
2020-10-17,24,1,10
2020-10-18,9,0,5
2020-10-19,71,1,13
2020-10-20,104,1,25
2020-10-21,123,4,31
2020-10-22,111,3,39
2020-10-23,71,2,26
2020-10-24,24,1,9
2020-10-25,7,3,0
2020-10-26,65,4,17
2020-10-27,86,2,31
2020-10-28,78,0,31
2020-10-29,91,2,50
2020-10-30,86,1,26
2020-10-31,21,2,6
2020-11-01,6,0,3
2020-11-02,48,1,24
2020-11-03,84,2,45
2020-11-04,66,5,37
2020-11-05,77,4,35
2020-11-06,84,3,30
2020-11-07,17,3,13
2020-11-08,9,2,5
2020-11-09,72,3,25
2020-11-10,89,6,43
2020-11-11,92,3,47
2020-11-12,83,3,46
2020-11-13,88,1,47
2020-11-14,20,4,26
2020-11-15,5,0,6
2020-11-16,75,0,23
2020-11-17,92,5,30
2020-11-18,73,5,40
2020-11-19,120,3,39
2020-11-20,87,1,27
2020-11-21,37,0,22
2020-11-22,7,0,3
2020-11-23,65,1,1
2020-11-24,94,2,1
2020-11-25,63,1,11
2020-11-26,47,1,8
2020-11-27,27,2,6
2020-11-28,4,0,1
2020-11-29,4,2,2
2020-11-30,60,2,26
2020-12-01,74,1,39
2020-12-02,93,2,62
2020-12-03,86,2,39
2020-12-04,88,4,35
2020-12-05,18,0,22
2020-12-06,14,0,10
2020-12-07,69,2,16
2020-12-08,89,4,38
2020-12-09,97,2,36
2020-12-10,95,2,59
2020-12-11,78,1,46
2020-12-12,22,1,16
2020-12-13,7,0,1
2020-12-14,50,2,25
