,tesseract-ocr/tesseract,faustomorales/keras-ocr,PaddlePaddle/PaddleOCR
2020-08-01,0,0,0
2020-08-02,0,0,1
2020-08-03,0,0,12
2020-08-04,0,0,8
2020-08-05,0,0,1
2020-08-06,0,0,2
2020-08-07,0,0,0
2020-08-08,0,0,0
2020-08-09,0,0,1
2020-08-10,0,0,6
2020-08-11,0,0,3
2020-08-12,0,0,4
2020-08-13,0,0,2
2020-08-14,0,0,1
2020-08-15,0,0,5
2020-08-16,0,0,16
2020-08-17,0,0,10
2020-08-18,0,0,13
2020-08-19,0,0,12
2020-08-20,0,0,10
2020-08-21,0,0,5
2020-08-22,0,0,4
2020-08-23,0,0,1
2020-08-24,3,0,14
2020-08-25,0,0,6
2020-08-26,0,0,16
2020-08-27,0,0,5
2020-08-28,0,0,3
2020-08-29,1,0,0
2020-08-30,0,0,0
2020-08-31,0,0,2
2020-09-01,0,0,0
2020-09-02,0,0,0
2020-09-03,0,0,0
2020-09-04,0,0,0
2020-09-05,0,0,0
2020-09-06,1,0,0
2020-09-07,1,0,0
2020-09-08,0,0,0
2020-09-09,1,0,0
2020-09-10,1,0,0
2020-09-11,0,0,0
2020-09-12,0,0,0
2020-09-13,0,1,0
2020-09-14,0,0,0
2020-09-15,0,0,0
2020-09-16,0,0,0
2020-09-17,0,0,0
2020-09-18,0,0,0
2020-09-19,0,0,0
2020-09-20,0,0,0
2020-09-21,0,0,0
2020-09-22,0,0,0
2020-09-23,0,0,0
2020-09-24,0,0,0
2020-09-25,0,0,0
2020-09-26,0,0,0
2020-09-27,0,0,0
2020-09-28,0,0,0
2020-09-29,0,0,0
2020-09-30,0,0,0
2020-10-01,1,0,0
2020-10-02,1,0,0
2020-10-03,2,0,0
2020-10-04,1,0,0
2020-10-05,2,0,0
2020-10-06,1,0,0
2020-10-07,2,0,0
2020-10-08,0,0,0
2020-10-09,3,0,0
2020-10-10,3,0,0
2020-10-11,0,0,0
2020-10-12,12,0,0
2020-10-13,0,0,4
2020-10-14,0,0,0
2020-10-15,0,0,0
2020-10-16,0,0,7
2020-10-17,2,0,0
2020-10-18,0,0,0
2020-10-19,2,0,0
2020-10-20,0,0,6
2020-10-21,0,0,0
2020-10-22,0,0,4
2020-10-23,0,0,1
2020-10-24,0,0,0
2020-10-25,0,0,0
2020-10-26,2,0,0
2020-10-27,1,0,3
2020-10-28,2,0,0
2020-10-29,1,0,0
2020-10-30,0,0,0
2020-10-31,1,0,0
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,1
2020-11-05,0,0,5
2020-11-06,0,0,14
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,11
2020-11-10,0,0,5
2020-11-11,0,0,1
2020-11-12,1,0,7
2020-11-13,0,4,2
2020-11-14,0,1,0
2020-11-15,0,0,1
2020-11-16,0,0,3
2020-11-17,0,0,6
2020-11-18,2,0,0
2020-11-19,0,0,0
2020-11-20,0,0,2
2020-11-21,0,0,2
2020-11-22,0,0,0
2020-11-23,1,0,0
2020-11-24,0,0,3
2020-11-25,1,0,0
2020-11-26,5,3,1
2020-11-27,3,0,3
2020-11-28,1,0,1
2020-11-29,0,0,0
2020-11-30,0,0,3
2020-12-01,1,0,6
2020-12-02,0,0,5
2020-12-03,2,0,3
2020-12-04,4,0,1
2020-12-05,1,0,0
2020-12-06,0,0,0
2020-12-07,1,0,10
2020-12-08,2,0,7
2020-12-09,0,0,38
2020-12-10,0,0,19
2020-12-11,3,0,21
2020-12-12,0,0,18
2020-12-13,4,0,7
2020-12-14,0,0,14
2020-12-15,0,0,164
2020-12-16,0,0,59
2020-12-17,0,0,9
2020-12-18,0,0,21
2020-12-19,2,0,10
2020-12-20,3,0,11
2020-12-21,4,0,22
2020-12-22,10,0,6
2020-12-23,10,0,0
2020-12-24,2,0,3
2020-12-25,10,0,2
2020-12-26,24,0,2
2020-12-27,9,0,1
2020-12-28,30,0,3
2020-12-29,10,0,1
2020-12-30,54,0,2
2020-12-31,39,0,2
2021-01-01,5,0,2
2021-01-02,16,0,0
2021-01-03,17,0,0
2021-01-04,12,0,9
2021-01-05,30,0,7
2021-01-06,4,0,3
2021-01-07,11,0,6
2021-01-08,3,0,9
2021-01-09,0,0,2
2021-01-10,5,0,4
2021-01-11,6,0,8
2021-01-12,4,0,3
2021-01-13,2,0,0
2021-01-14,12,0,0
2021-01-15,6,0,0
2021-01-16,3,0,0
2021-01-17,3,0,1
2021-01-18,6,0,4
2021-01-19,3,0,9
2021-01-20,8,0,20
2021-01-21,0,0,10
2021-01-22,4,0,5
2021-01-23,9,0,0
2021-01-24,4,0,1
2021-01-25,0,0,6
2021-01-26,4,0,26
2021-01-27,2,0,9
2021-01-28,0,0,10
2021-01-29,2,0,18
2021-01-30,1,0,0
2021-01-31,4,0,1
2021-02-01,0,0,33
2021-02-02,2,0,12
2021-02-03,4,0,11
2021-02-04,2,0,4
2021-02-05,0,0,9
2021-02-06,0,0,0
2021-02-07,0,0,5
2021-02-08,0,0,8
2021-02-09,0,0,6
2021-02-10,2,0,0
2021-02-11,4,0,0
2021-02-12,2,0,0
2021-02-13,6,0,0
2021-02-14,0,0,0
2021-02-15,2,0,0
2021-02-16,0,0,0
2021-02-17,0,0,0
2021-02-18,0,0,12
2021-02-19,0,0,8
2021-02-20,2,0,2
2021-02-21,0,0,0
2021-02-22,1,0,6
2021-02-23,12,0,0
2021-02-24,0,0,13
2021-02-25,0,0,1
2021-02-26,10,0,3
2021-02-27,3,0,0
2021-02-28,1,0,0
2021-03-01,1,0,1
2021-03-02,0,0,5
2021-03-03,3,0,1
2021-03-04,0,0,2
2021-03-05,3,0,2
2021-03-06,2,0,0
2021-03-07,2,0,0
2021-03-08,2,0,5
2021-03-09,1,0,1
2021-03-10,8,1,2
2021-03-11,2,0,5
2021-03-12,16,0,6
2021-03-13,12,1,0
2021-03-14,10,0,0
2021-03-15,14,0,2
2021-03-16,11,0,4
2021-03-17,37,0,1
2021-03-18,36,0,3
2021-03-19,15,0,2
2021-03-20,12,0,0
2021-03-21,13,0,0
2021-03-22,20,0,3
2021-03-23,7,0,5
2021-03-24,5,1,9
2021-03-25,0,0,0
2021-03-26,2,0,1
2021-03-27,9,0,0
2021-03-28,20,0,0
2021-03-29,12,0,0
2021-03-30,1,0,4
2021-03-31,7,4,3
2021-04-01,10,0,1
2021-04-02,4,0,0
2021-04-03,1,0,0
2021-04-04,1,0,0
2021-04-05,4,0,0
2021-04-06,22,0,1
2021-04-07,9,0,3
2021-04-08,8,0,3
2021-04-09,1,0,61
2021-04-10,1,0,10
2021-04-11,13,0,2
2021-04-12,5,0,28
2021-04-13,0,0,4
2021-04-14,0,0,19
2021-04-15,2,0,11
2021-04-16,0,0,6
2021-04-17,1,0,3
2021-04-18,0,0,0
2021-04-19,3,0,5
2021-04-20,2,0,1
2021-04-21,0,0,4
2021-04-22,3,0,5
2021-04-23,3,0,9
2021-04-24,0,0,4
2021-04-25,0,0,5
2021-04-26,0,0,5
2021-04-27,4,0,11
2021-04-28,0,0,3
2021-04-29,5,0,4
2021-04-30,2,0,1
2021-05-01,0,0,0
2021-05-02,0,0,0
2021-05-03,1,0,0
2021-05-04,2,0,2
2021-05-05,0,0,1
2021-05-06,0,0,0
2021-05-07,2,0,2
2021-05-08,0,0,2
2021-05-09,1,0,0
2021-05-10,2,0,8
2021-05-11,4,0,8
2021-05-12,0,0,11
2021-05-13,3,0,4
2021-05-14,0,0,0
2021-05-15,6,0,0
2021-05-16,4,0,0
2021-05-17,5,0,0
2021-05-18,1,0,4
2021-05-19,0,0,0
2021-05-20,0,0,9
2021-05-21,6,0,12
2021-05-22,0,0,0
2021-05-23,0,0,1
2021-05-24,0,0,7
2021-05-25,0,0,15
2021-05-26,0,0,21
2021-05-27,0,0,0
2021-05-28,0,0,3
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,0,0,0
2021-06-01,0,0,6
2021-06-02,0,0,11
2021-06-03,0,0,13
2021-06-04,0,0,1
2021-06-05,0,0,7
2021-06-06,0,0,1
2021-06-07,0,0,3
2021-06-08,0,0,33
2021-06-09,0,0,29
2021-06-10,0,0,15
2021-06-11,0,0,1
2021-06-12,0,0,0
2021-06-13,0,0,0
2021-06-14,0,5,0
2021-06-15,0,0,2
2021-06-16,1,0,4
2021-06-17,0,1,10
2021-06-18,0,3,3
2021-06-19,0,0,0
2021-06-20,0,0,0
2021-06-21,0,0,6
2021-06-22,0,0,9
2021-06-23,0,0,3
2021-06-24,1,0,8
2021-06-25,0,0,2
2021-06-26,2,0,0
2021-06-27,1,0,0
2021-06-28,1,0,16
2021-06-29,3,0,3
2021-06-30,0,0,11
2021-07-01,0,0,7
2021-07-02,2,0,1
2021-07-03,2,0,2
2021-07-04,2,0,0
2021-07-05,0,0,15
2021-07-06,0,0,28
2021-07-07,0,0,7
2021-07-08,0,0,8
2021-07-09,0,0,7
2021-07-10,1,0,0
2021-07-11,0,0,0
2021-07-12,0,0,2
2021-07-13,0,0,8
2021-07-14,1,0,8
2021-07-15,1,0,5
2021-07-16,1,0,0
2021-07-17,2,0,0
2021-07-18,0,0,0
2021-07-19,0,0,13
2021-07-20,7,0,2
2021-07-21,0,0,11
2021-07-22,1,0,7
2021-07-23,0,0,2
2021-07-24,7,0,2
2021-07-25,2,0,0
2021-07-26,1,0,2
2021-07-27,0,0,14
2021-07-28,0,0,17
2021-07-29,2,0,17
2021-07-30,0,0,3
2021-07-31,0,0,3
