,huggingface/transformers,google/trax,tensorflow/tensor2tensor
2019-10-08,17,14,1
2019-10-09,22,7,0
2019-10-10,26,2,0
2019-10-11,15,1,1
2019-10-12,2,0,1
2019-10-13,3,1,0
2019-10-14,13,0,1
2019-10-15,30,7,0
2019-10-16,8,1,1
2019-10-17,13,5,1
2019-10-18,3,4,2
2019-10-19,1,3,0
2019-10-20,2,1,0
2019-10-21,5,0,0
2019-10-22,11,5,1
2019-10-23,3,2,2
2019-10-24,7,3,1
2019-10-25,0,5,2
2019-10-26,0,0,0
2019-10-27,3,0,0
2019-10-28,9,1,1
2019-10-29,2,2,1
2019-10-30,22,6,0
2019-10-31,7,3,1
2019-11-01,2,9,3
2019-11-02,0,3,1
2019-11-03,1,0,0
2019-11-04,13,3,2
2019-11-05,18,3,1
2019-11-06,11,1,0
2019-11-07,2,3,0
2019-11-08,9,4,0
2019-11-09,2,0,0
2019-11-10,0,0,0
2019-11-11,5,2,1
2019-11-12,12,2,0
2019-11-13,0,5,0
2019-11-14,15,5,0
2019-11-15,2,2,0
2019-11-16,12,0,0
2019-11-17,0,0,0
2019-11-18,7,4,1
2019-11-19,9,5,1
2019-11-20,2,4,0
2019-11-21,6,2,12
2019-11-22,7,4,5
2019-11-23,3,8,1
2019-11-24,0,0,0
2019-11-25,7,2,1
2019-11-26,49,2,2
2019-11-27,31,1,0
2019-11-28,7,0,0
2019-11-29,8,0,0
2019-11-30,2,0,0
2019-12-01,2,0,0
2019-12-02,4,0,0
2019-12-03,41,4,0
2019-12-04,17,0,0
2019-12-05,23,0,1
2019-12-06,10,1,0
2019-12-07,1,0,0
2019-12-08,0,0,0
2019-12-09,14,4,0
2019-12-10,58,6,0
2019-12-11,29,0,0
2019-12-12,15,2,8
2019-12-13,25,0,0
2019-12-14,11,3,0
2019-12-15,2,0,0
2019-12-16,28,2,1
2019-12-17,18,6,2
2019-12-18,33,3,0
2019-12-19,26,8,3
2019-12-20,39,2,1
2019-12-21,45,2,0
2019-12-22,51,0,1
2019-12-23,28,0,0
2019-12-24,15,0,2
2019-12-25,25,0,0
2019-12-26,7,0,0
2019-12-27,7,6,3
2019-12-28,6,0,0
2019-12-29,2,0,0
2019-12-30,0,2,0
2019-12-31,0,1,0
2020-01-01,2,0,0
2020-01-02,0,0,1
2020-01-03,0,0,0
2020-01-04,1,0,0
2020-01-05,4,0,0
2020-01-06,8,2,1
2020-01-07,12,4,0
2020-01-08,5,3,1
2020-01-09,1,1,0
2020-01-10,14,4,8
2020-01-11,8,3,2
2020-01-12,0,2,0
2020-01-13,9,4,1
2020-01-14,17,6,2
2020-01-15,6,8,0
2020-01-16,15,7,0
2020-01-17,3,3,0
2020-01-18,0,0,1
2020-01-19,0,0,0
2020-01-20,4,1,1
2020-01-21,10,3,0
2020-01-22,1,0,0
2020-01-23,33,0,1
