,bitcoin/bitcoin,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system
2023-05-19,10,0,0.0
2023-05-20,14,0,0.0
2023-05-21,1,0,0.0
2023-05-22,13,0,0.0
2023-05-23,6,4,0.0
2023-05-24,7,3,0.0
2023-05-25,13,0,0.0
2023-05-26,15,0,0.0
2023-05-27,3,0,0.0
2023-05-28,1,0,0.0
2023-05-29,17,0,0.0
2023-05-30,18,0,0.0
2023-05-31,11,0,0.0
2023-06-01,7,3,0.0
2023-06-02,10,0,0.0
2023-06-03,1,0,0.0
2023-06-04,4,1,0.0
2023-06-05,7,0,0.0
2023-06-06,1,0,0.0
2023-06-07,4,0,0.0
2023-06-08,12,0,0.0
2023-06-09,4,5,0.0
2023-06-10,2,0,0.0
2023-06-11,0,0,0.0
2023-06-12,17,0,0.0
2023-06-13,10,6,0.0
2023-06-14,20,0,0.0
2023-06-15,14,0,0.0
2023-06-16,5,0,0.0
2023-06-17,2,0,0.0
2023-06-18,1,0,0.0
2023-06-19,10,0,0.0
2023-06-20,13,0,0.0
2023-06-21,19,0,0.0
2023-06-22,10,0,0.0
2023-06-23,34,0,0.0
2023-06-24,0,0,0.0
2023-06-25,0,0,0.0
2023-06-26,7,0,0.0
2023-06-27,21,0,0.0
2023-06-28,24,0,0.0
2023-06-29,22,0,0.0
2023-06-30,16,0,0.0
2023-07-01,3,0,0.0
2023-07-02,0,0,0.0
2023-07-03,7,0,0.0
2023-07-04,5,0,0.0
2023-07-05,0,1,0.0
2023-07-06,13,0,0.0
2023-07-07,18,1,0.0
2023-07-08,1,0,0.0
2023-07-09,1,0,0.0
2023-07-10,12,1,0.0
2023-07-11,8,0,0.0
2023-07-12,10,0,0.0
2023-07-13,9,0,0.0
2023-07-14,10,1,0.0
2023-07-15,0,0,0.0
2023-07-16,3,7,0.0
2023-07-17,12,0,0.0
2023-07-18,10,2,0.0
2023-07-19,21,0,0.0
2023-07-20,16,1,0.0
2023-07-21,11,0,0.0
2023-07-22,6,0,0.0
2023-07-23,1,0,0.0
2023-07-24,19,0,0.0
2023-07-25,26,0,0.0
2023-07-26,17,0,0.0
2023-07-27,10,4,0.0
2023-07-28,3,2,0.0
2023-07-29,0,0,0.0
2023-07-30,3,0,0.0
2023-07-31,7,1,0.0
2023-08-01,14,4,0.0
2023-08-02,7,0,0.0
2023-08-03,25,0,0.0
2023-08-04,6,0,0.0
2023-08-05,15,0,0.0
2023-08-06,1,0,0.0
2023-08-07,14,0,0.0
2023-08-08,7,25,0.0
2023-08-09,8,11,0.0
2023-08-10,7,10,0.0
2023-08-11,3,1,0.0
2023-08-12,0,0,0.0
2023-08-13,1,0,0.0
2023-08-14,15,0,0.0
2023-08-15,9,0,0.0
2023-08-16,6,0,0.0
2023-08-17,26,0,4.0
2023-08-18,14,0,-1.5999999999999996
2023-08-19,0,0,-0.48
2023-08-20,0,0,0.744
2023-08-21,5,0,-0.5664000000000001
2023-08-22,17,0,-0.23980800000000008
2023-08-23,30,15,-0.1558528
2023-08-24,30,0,-0.11508224000000003
2023-08-25,11,10,-0.09057484799999999
2023-08-26,2,0,-0.0741558272
2023-08-27,8,0,-0.018370559999999994
2023-08-28,8,0,-0.015155711999999993
