,gfx-rs/wgpu,vulkano-rs/vulkano,gfx-rs/gfx
2018-11-25,0,1,0.0
2018-11-26,0,0,0.0
2018-11-27,1,0,0.0
2018-11-28,0,1,1.0
2018-11-29,0,0,-0.19999999999999996
2018-11-30,0,2,0.9199999999999999
2018-12-01,0,0,-0.248
2018-12-02,1,0,0.8863999999999999
2018-12-03,0,0,0.726464
2018-12-04,1,1,1.6659712
2018-12-05,0,0,0.4295372799999999
2018-12-06,0,0,-0.4764165120000001
2018-12-07,0,2,-0.26453207040000015
2018-12-08,0,0,-0.17555251200000005
2018-12-09,0,0,0.8655031296
2018-12-10,0,0,0.702291968
2018-12-11,0,1,2.6388606976
2018-12-12,0,0,-0.7861714943999998
2018-12-13,0,0,-0.36092641280000015
2018-12-14,0,0,-0.2156053504000001
2018-12-15,0,0,-0.14676480000000006
2018-12-16,0,0,-0.11396352000000005
2018-12-17,0,0,-0.09260083199999998
2018-12-18,0,1,-0.07763722239999993
2018-12-19,0,0,-0.05563248639999978
2018-12-20,0,0,0.9625919488000001
2018-12-21,0,0,2.8
2018-12-22,0,0,5.32
2018-12-23,0,0,-1.488
2018-12-24,0,0,-0.6576000000000005
2018-12-25,0,0,0.5856639999999997
2018-12-26,0,0,0.5013631999999999
2018-12-27,1,1,2.48857088
2018-12-28,0,0,2.084259328
2018-12-29,0,0,1.9212071936
2018-12-30,0,0,-0.16687032319999973
2018-12-31,0,0,1.1944190976
2019-01-01,0,0,-0.8387635200000002
2019-01-02,0,0,0.5219911679999998
2019-01-03,0,0,3.4548683776
2019-01-04,0,0,0.8595649536000003
2019-01-05,0,1,-0.9708521472
2019-01-06,0,1,0.47604449279999994
2019-01-07,0,0,0.4584147968000001
2019-01-08,0,0,0.48898242560000005
2019-01-09,0,0,1.4973473791999998
2019-01-10,0,0,-0.6845521920000001
2019-01-11,0,0,0.6289903616000001
2019-01-12,6,0,-0.4542176255999998
2019-01-13,0,0,-0.23503022080000008
2019-01-14,4,0,3.8491847679999998
2019-01-15,1,1,-0.9182413823999998
2019-01-16,2,0,2.5937534976
2019-01-17,1,0,3.1463264256
2019-01-18,2,0,2.7837345792
2019-01-19,0,1,-1.3805317120000002
2019-01-20,4,0,1.2930154495999995
