,seaweedfs/seaweedfs,ceph/ceph,minio/minio
2023-01-31,1,10.0,4
2023-02-01,5,15.0,2
2023-02-02,1,15.0,3
2023-02-03,0,3.0,2
2023-02-04,0,0.0,1
2023-02-05,0,2.0,1
2023-02-06,3,5.0,7
2023-02-07,6,21.0,5
2023-02-08,0,50.0,8
2023-02-09,2,15.0,6
2023-02-10,7,8.0,7
2023-02-11,0,1.0,1
2023-02-12,0,8.0,0
2023-02-13,0,25.0,7
2023-02-14,0,43.0,4
2023-02-15,1,22.0,2
2023-02-16,0,26.0,5
2023-02-17,3,20.0,7
2023-02-18,4,9.0,2
2023-02-19,2,7.0,0
2023-02-20,2,31.0,3
2023-02-21,3,15.0,1
2023-02-22,5,41.0,12
2023-02-23,0,33.0,1
2023-02-24,0,12.0,3
2023-02-25,1,19.0,5
2023-02-26,0,6.0,1
2023-02-27,0,33.0,9
2023-02-28,3,84.0,2
2023-03-01,0,30.0,1
2023-03-02,3,25.0,2
2023-03-03,0,19.0,3
2023-03-04,0,2.0,2
2023-03-05,0,4.0,1
2023-03-06,0,22.0,3
2023-03-07,1,53.0,3
2023-03-08,4,33.0,3
2023-03-09,1,19.0,3
2023-03-10,0,27.0,2
2023-03-11,0,8.0,1
2023-03-12,0,13.0,1
2023-03-13,2,32.0,3
2023-03-14,1,22.0,1
2023-03-15,4,32.0,5
2023-03-16,2,12.0,3
2023-03-17,1,10.0,3
2023-03-18,0,0.0,1
2023-03-19,0,4.0,0
2023-03-20,7,3.0,7
2023-03-21,1,17.0,5
2023-03-22,1,18.0,4
2023-03-23,0,16.0,4
2023-03-24,0,18.0,3
2023-03-25,1,3.0,1
2023-03-26,4,2.0,1
2023-03-27,0,20.0,2
2023-03-28,0,12.0,1
2023-03-29,1,40.0,3
2023-03-30,0,44.0,5
2023-03-31,1,27.0,6
2023-04-01,0,1.0,0
2023-04-02,0,2.0,0
2023-04-03,2,17.0,1
2023-04-04,1,19.0,7
2023-04-05,1,22.0,3
2023-04-06,0,21.0,8
2023-04-07,0,7.0,11
2023-04-08,0,4.0,0
2023-04-09,0,9.0,1
2023-04-10,2,21.0,1
2023-04-11,1,24.0,2
2023-04-12,6,25.0,6
2023-04-13,0,6.0,5
2023-04-14,1,14.0,3
2023-04-15,0,4.0,4
2023-04-16,1,7.0,0
