,primer/css,zurb/foundation-sites,twbs/bootstrap
2019-06-20,10,0,0
2019-06-21,8,0,0
2019-06-22,0,0,2
2019-06-23,0,0,0
2019-06-24,0,0,2
2019-06-25,0,0,2
2019-06-26,0,0,3
2019-06-27,3,0,0
2019-06-28,0,0,0
2019-06-29,0,0,0
2019-06-30,0,0,0
2019-07-01,2,0,0
2019-07-02,6,0,2
2019-07-03,8,3,0
2019-07-04,1,0,0
2019-07-05,0,0,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,0,0,1
2019-07-09,0,1,2
2019-07-10,0,0,2
2019-07-11,0,0,0
2019-07-12,0,0,4
2019-07-13,0,0,1
2019-07-14,0,0,5
2019-07-15,1,0,4
2019-07-16,11,0,1
2019-07-17,17,0,23
2019-07-18,5,0,1
2019-07-19,3,0,6
2019-07-20,0,0,2
2019-07-21,0,0,1
2019-07-22,10,0,33
2019-07-23,2,2,25
2019-07-24,0,13,8
2019-07-25,0,2,16
2019-07-26,0,13,3
2019-07-27,0,0,1
2019-07-28,0,0,3
2019-07-29,2,0,9
2019-07-30,7,0,2
2019-07-31,2,0,2
2019-08-01,2,0,5
2019-08-02,1,0,4
2019-08-03,0,0,3
2019-08-04,0,0,7
2019-08-05,8,0,1
2019-08-06,3,0,1
2019-08-07,27,2,2
2019-08-08,10,0,5
2019-08-09,11,0,1
2019-08-10,1,0,0
2019-08-11,0,0,0
2019-08-12,18,11,2
2019-08-13,12,7,1
2019-08-14,10,1,2
2019-08-15,2,2,0
2019-08-16,1,0,5
2019-08-17,0,0,4
2019-08-18,0,0,9
2019-08-19,2,0,1
2019-08-20,9,0,0
2019-08-21,9,0,0
2019-08-22,9,0,6
2019-08-23,8,0,7
2019-08-24,0,0,0
2019-08-25,0,2,1
2019-08-26,4,0,2
2019-08-27,9,0,9
2019-08-28,0,1,1
2019-08-29,0,0,5
2019-08-30,0,0,10
2019-08-31,0,0,1
2019-09-01,1,0,0
2019-09-02,0,0,5
2019-09-03,1,0,1
2019-09-04,10,0,0
2019-09-05,39,0,2
2019-09-06,3,0,9
2019-09-07,0,0,1
2019-09-08,0,0,0
2019-09-09,4,0,0
2019-09-10,46,0,0
2019-09-11,4,1,0
2019-09-12,13,0,0
2019-09-13,2,0,2
2019-09-14,0,0,0
2019-09-15,0,0,2
2019-09-16,3,0,7
2019-09-17,0,0,0
2019-09-18,1,0,0
2019-09-19,1,0,0
2019-09-20,2,0,0
2019-09-21,4,0,0
2019-09-22,0,0,0
2019-09-23,4,0,0
2019-09-24,1,0,5
2019-09-25,16,0,0
2019-09-26,7,0,1
2019-09-27,1,0,3
2019-09-28,0,0,0
2019-09-29,0,0,0
2019-09-30,1,0,0
2019-10-01,10,0,1
2019-10-02,7,0,7
2019-10-03,1,0,6
2019-10-04,0,0,0
2019-10-05,0,7,0
2019-10-06,0,3,0
2019-10-07,15,0,1
2019-10-08,0,1,3
2019-10-09,0,1,1
2019-10-10,9,0,1
2019-10-11,3,0,0
2019-10-12,0,0,4
2019-10-13,0,1,0
2019-10-14,2,1,1
2019-10-15,1,0,0
2019-10-16,1,0,2
2019-10-17,0,0,2
2019-10-18,0,0,3
2019-10-19,0,2,0
2019-10-20,0,2,1
2019-10-21,4,3,0
2019-10-22,10,12,6
2019-10-23,13,1,0
2019-10-24,12,4,0
2019-10-25,11,2,3
2019-10-26,0,15,1
2019-10-27,0,1,1
2019-10-28,1,1,3
2019-10-29,0,3,0
2019-10-30,0,0,0
2019-10-31,49,0,7
2019-11-01,10,0,1
2019-11-02,0,8,0
2019-11-03,0,4,0
2019-11-04,19,0,7
2019-11-05,15,0,0
2019-11-06,2,2,0
2019-11-07,4,2,6
2019-11-08,11,0,1
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,0,0,0
2019-11-12,3,0,2
2019-11-13,2,0,0
2019-11-14,4,0,0
2019-11-15,12,0,1
2019-11-16,0,0,0
2019-11-17,0,14,0
2019-11-18,1,0,1
2019-11-19,3,0,0
2019-11-20,1,0,0
2019-11-21,3,0,1
2019-11-22,1,0,1
2019-11-23,0,0,0
2019-11-24,0,0,3
2019-11-25,0,0,5
2019-11-26,2,0,2
2019-11-27,0,0,1
2019-11-28,0,0,4
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,0,0,1
2019-12-02,0,0,0
2019-12-03,0,1,0
2019-12-04,3,0,1
2019-12-05,0,13,0
2019-12-06,0,1,2
2019-12-07,0,2,0
2019-12-08,1,2,1
2019-12-09,0,0,1
2019-12-10,0,0,0
2019-12-11,0,1,1
2019-12-12,3,1,0
2019-12-13,0,8,2
2019-12-14,0,0,5
