,plotly/plotly.js,highcharts/highcharts,d3/d3
2020-09-19,0,2,0
2020-09-20,0,0,0
2020-09-21,6,1,0
2020-09-22,6,4,0
2020-09-23,7,5,2
2020-09-24,4,15,0
2020-09-25,14,3,0
2020-09-26,10,0,0
2020-09-27,0,0,0
2020-09-28,18,1,0
2020-09-29,14,3,0
2020-09-30,10,0,0
2020-10-01,9,0,0
2020-10-02,8,0,0
2020-10-03,2,1,0
2020-10-04,0,0,0
2020-10-05,3,2,0
2020-10-06,3,0,0
2020-10-07,2,1,0
2020-10-08,6,4,0
2020-10-09,6,0,0
2020-10-10,3,0,0
2020-10-11,2,0,0
2020-10-12,1,18,0
2020-10-13,3,2,0
2020-10-14,12,9,0
2020-10-15,6,0,0
2020-10-16,3,15,0
2020-10-17,5,0,0
2020-10-18,0,0,0
2020-10-19,7,13,0
2020-10-20,7,2,0
2020-10-21,6,16,0
2020-10-22,14,10,0
2020-10-23,7,19,0
2020-10-24,2,0,0
2020-10-25,3,0,0
2020-10-26,3,11,0
2020-10-27,2,4,0
2020-10-28,4,14,0
2020-10-29,6,1,0
2020-10-30,5,5,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,7,17,0
2020-11-03,5,6,0
2020-11-04,22,18,0
2020-11-05,6,6,0
2020-11-06,4,37,0
2020-11-07,0,4,0
2020-11-08,0,5,0
2020-11-09,6,30,0
2020-11-10,2,21,0
2020-11-11,0,27,0
2020-11-12,7,30,0
2020-11-13,9,29,0
2020-11-14,0,0,0
2020-11-15,1,0,0
2020-11-16,8,49,0
2020-11-17,10,8,0
2020-11-18,13,35,0
2020-11-19,10,18,0
2020-11-20,5,51,0
2020-11-21,7,0,0
2020-11-22,0,0,0
2020-11-23,6,24,0
2020-11-24,5,40,0
2020-11-25,10,22,0
2020-11-26,13,37,0
2020-11-27,12,54,0
2020-11-28,8,8,0
2020-11-29,8,0,0
2020-11-30,10,86,0
2020-12-01,2,25,0
2020-12-02,8,81,0
2020-12-03,2,24,2
2020-12-04,9,18,0
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,12,6,0
2020-12-08,12,22,2
2020-12-09,14,11,0
2020-12-10,4,4,0
2020-12-11,15,4,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,8,10,0
2020-12-15,2,1,0
2020-12-16,0,2,0
2020-12-17,7,2,0
2020-12-18,13,4,0
2020-12-19,1,0,0
2020-12-20,0,0,0
2020-12-21,9,0,0
2020-12-22,10,0,0
2020-12-23,2,1,0
2020-12-24,1,0,0
2020-12-25,2,0,0
2020-12-26,2,0,0
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,20,1,0
2021-01-05,14,37,0
2021-01-06,6,4,0
2021-01-07,12,5,0
2021-01-08,7,11,0
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,4,7,0
2021-01-12,3,6,0
2021-01-13,5,16,0
2021-01-14,16,4,0
2021-01-15,17,0,0
2021-01-16,4,0,0
2021-01-17,0,0,0
2021-01-18,6,16,0
2021-01-19,12,0,0
