,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2022-07-22,2,28,0.0
2022-07-23,0,1,0.0
2022-07-24,1,0,0.0
2022-07-25,1,29,0.0
2022-07-26,2,30,0.0
2022-07-27,1,26,0.0
2022-07-28,1,17,5.0
2022-07-29,0,17,0.0
2022-07-30,0,1,0.0
2022-07-31,0,1,0.0
2022-08-01,1,27,0.0
2022-08-02,4,24,2.0
2022-08-03,1,31,1.0
2022-08-04,4,25,2.0
2022-08-05,3,3,0.0
2022-08-06,0,0,0.0
2022-08-07,2,1,0.0
2022-08-08,2,20,1.0
2022-08-09,1,17,0.0
2022-08-10,2,10,18.0
2022-08-11,0,16,3.0
2022-08-12,0,13,3.0
2022-08-13,1,2,0.0
2022-08-14,0,0,0.0
2022-08-15,0,15,0.0
2022-08-16,3,16,3.0
2022-08-17,2,32,52.0
2022-08-18,2,15,16.0
2022-08-19,1,0,1.0
2022-08-20,0,0,0.0
2022-08-21,0,0,0.0
2022-08-22,0,20,20.0
2022-08-23,0,16,13.0
2022-08-24,1,14,8.0
2022-08-25,2,11,0.0
2022-08-26,0,21,0.0
2022-08-27,2,1,1.0
2022-08-28,0,0,0.0
2022-08-29,2,15,3.0
2022-08-30,2,19,1.0
2022-08-31,2,12,5.0
2022-09-01,2,22,8.0
2022-09-02,2,3,3.0
2022-09-03,2,0,2.0
2022-09-04,0,0,3.0
2022-09-05,1,7,2.0
2022-09-06,2,17,2.0
2022-09-07,1,37,15.0
2022-09-08,2,34,3.0
2022-09-09,2,23,1.0
2022-09-10,1,1,0.0
2022-09-11,3,0,0.0
2022-09-12,1,25,1.0
2022-09-13,1,22,4.0
2022-09-14,1,16,4.0
2022-09-15,3,22,0.0
2022-09-16,1,1,0.0
2022-09-17,2,0,0.0
2022-09-18,0,0,0.0
2022-09-19,0,18,1.0
2022-09-20,2,28,0.0
2022-09-21,3,18,6.0
2022-09-22,2,15,4.0
2022-09-23,0,13,0.0
2022-09-24,0,1,0.0
2022-09-25,1,1,0.0
2022-09-26,0,33,0.0
2022-09-27,0,28,0.0
2022-09-28,0,18,1.0
2022-09-29,2,23,3.0
2022-09-30,0,17,1.0
2022-10-01,0,1,1.0
2022-10-02,0,0,2.0
2022-10-03,0,15,7.0
2022-10-04,0,21,8.0
2022-10-05,1,23,6.0
2022-10-06,1,15,12.0
2022-10-07,3,3,2.0
2022-10-08,0,0,0.0
2022-10-09,0,1,3.0
2022-10-10,0,25,5.0
2022-10-11,2,28,2.0
2022-10-12,0,31,11.0
2022-10-13,0,19,8.0
2022-10-14,0,38,4.0
2022-10-15,2,1,0.0
2022-10-16,0,0,0.0
2022-10-17,1,15,11.0
2022-10-18,3,21,15.0
2022-10-19,1,13,12.0
2022-10-20,1,19,3.0
2022-10-21,1,4,0.0
2022-10-22,0,0,0.0
2022-10-23,0,0,0.0
2022-10-24,1,15,7.0
2022-10-25,1,15,9.0
2022-10-26,0,13,80.0
2022-10-27,0,6,376.0
2022-10-28,0,7,6.0
2022-10-29,0,0,1.0
2022-10-30,1,0,4.0
2022-10-31,3,18,7.0
2022-11-01,1,25,0.0
2022-11-02,1,20,1.0
2022-11-03,1,25,5.0
2022-11-04,0,23,2.0
2022-11-05,0,3,0.0
2022-11-06,1,0,0.0
2022-11-07,0,19,0.0
2022-11-08,1,31,10.0
2022-11-09,2,28,1.0
2022-11-10,0,35,4.0
2022-11-11,1,9,0.0
2022-11-12,0,0,2.0
2022-11-13,0,0,2.0
2022-11-14,1,24,3.0
2022-11-15,2,29,4.0
2022-11-16,1,26,1.0
2022-11-17,2,22,8.0
2022-11-18,1,27,0.0
2022-11-19,1,3,0.0
2022-11-20,0,1,0.0
2022-11-21,0,21,1.0
2022-11-22,0,28,0.0
2022-11-23,1,24,3.0
2022-11-24,2,30,6.0
2022-11-25,1,1,0.0
2022-11-26,0,0,3.0
2022-11-27,0,1,0.0
2022-11-28,0,17,11.0
2022-11-29,0,14,2.0
2022-11-30,2,13,7.0
2022-12-01,1,9,14.0
2022-12-02,0,11,0.0
2022-12-03,2,0,8.0
2022-12-04,0,0,3.0
2022-12-05,0,20,11.0
2022-12-06,1,24,11.0
2022-12-07,2,28,18.0
2022-12-08,2,19,13.0
2022-12-09,1,3,2.0
2022-12-10,1,0,1.0
2022-12-11,0,3,4.0
2022-12-12,0,31,7.0
2022-12-13,2,18,13.0
2022-12-14,2,25,8.0
2022-12-15,5,15,3.0
2022-12-16,0,15,3.0
2022-12-17,0,2,0.0
2022-12-18,1,1,0.0
2022-12-19,2,12,14.0
2022-12-20,4,18,7.0
2022-12-21,3,27,13.0
2022-12-22,1,28,17.0
2022-12-23,2,12,0.0
2022-12-24,0,1,0.0
2022-12-25,1,0,1.0
2022-12-26,0,6,3.0
2022-12-27,0,9,0.0
2022-12-28,1,7,0.0
2022-12-29,1,3,0.0
2022-12-30,0,7,0.0
2022-12-31,0,1,0.0
2023-01-01,1,0,0.0
2023-01-02,2,0,5.0
2023-01-03,7,18,3.0
2023-01-04,1,24,9.0
2023-01-05,4,17,14.0
2023-01-06,3,3,1.0
2023-01-07,1,0,0.0
2023-01-08,0,0,0.0
2023-01-09,8,29,8.0
2023-01-10,4,24,6.0
2023-01-11,4,30,13.0
2023-01-12,0,23,9.0
2023-01-13,1,34,1.0
2023-01-14,0,3,0.0
2023-01-15,1,0,0.0
2023-01-16,2,24,10.0
2023-01-17,5,30,16.0
2023-01-18,3,24,16.0
2023-01-19,5,32,18.0
2023-01-20,1,4,0.0
2023-01-21,4,3,0.0
2023-01-22,1,1,0.0
2023-01-23,0,39,12.0
2023-01-24,1,43,8.0
2023-01-25,3,31,18.0
2023-01-26,4,30,4.0
2023-01-27,4,35,0.0
2023-01-28,1,1,0.0
2023-01-29,0,0,0.0
2023-01-30,5,33,5.0
2023-01-31,2,26,26.0
2023-02-01,0,30,9.0
2023-02-02,3,40,15.0
2023-02-03,3,3,0.0
2023-02-04,5,3,0.0
2023-02-05,3,0,0.0
2023-02-06,3,37,9.0
2023-02-07,2,47,0.0
2023-02-08,0,25,9.0
2023-02-09,5,27,5.0
2023-02-10,3,26,2.0
2023-02-11,0,5,0.0
2023-02-12,2,1,0.0
2023-02-13,1,25,13.0
2023-02-14,2,28,14.0
2023-02-15,2,13,2.0
2023-02-16,33,19,13.0
2023-02-17,3,6,1.0
2023-02-18,2,1,0.0
2023-02-19,0,0,0.0
2023-02-20,4,21,19.0
2023-02-21,4,26,8.0
2023-02-22,3,25,16.0
2023-02-23,0,27,21.0
2023-02-24,1,14,0.0
2023-02-25,0,1,0.0
2023-02-26,3,0,0.0
2023-02-27,4,18,2.0
2023-02-28,1,24,1.0
2023-03-01,2,27,1.0
2023-03-02,3,26,0.0
2023-03-03,9,3,3.0
2023-03-04,0,2,0.0
2023-03-05,3,0,0.0
2023-03-06,3,26,9.0
2023-03-07,2,23,4.0
2023-03-08,0,35,10.0
2023-03-09,0,17,15.0
2023-03-10,54,32,0.0
2023-03-11,2,3,0.0
2023-03-12,0,0,0.0
2023-03-13,2,3,3.0
2023-03-14,3,7,2.0
2023-03-15,2,5,6.0
2023-03-16,8,6,1.0
2023-03-17,0,1,0.0
2023-03-18,4,3,0.0
2023-03-19,4,0,0.0
2023-03-20,2,22,75.0
2023-03-21,0,32,3.0
2023-03-22,3,28,2.0
2023-03-23,3,20,8.0
2023-03-24,0,22,0.0
2023-03-25,1,1,0.0
2023-03-26,0,2,1.0
2023-03-27,0,41,8.0
2023-03-28,1,36,6.0
2023-03-29,1,29,11.0
2023-03-30,0,34,25.0
2023-03-31,2,34,1.0
2023-04-01,1,0,0.0
2023-04-02,4,0,0.0
2023-04-03,2,12,16.0
2023-04-04,0,23,12.0
2023-04-05,6,34,12.0
2023-04-06,1,20,25.0
2023-04-07,2,6,6.0
2023-04-08,0,0,0.0
2023-04-09,0,2,0.0
2023-04-10,4,16,0.0
2023-04-11,3,39,1.0
2023-04-12,1,25,16.0
2023-04-13,2,24,16.0
2023-04-14,0,5,0.0
2023-04-15,0,1,0.0
2023-04-16,0,0,0.0
2023-04-17,2,48,0.0
2023-04-18,3,40,4.0
2023-04-19,2,22,0.0
2023-04-20,1,43,0.0
2023-04-21,1,35,0.0
2023-04-22,1,4,0.0
2023-04-23,0,0,0.0
2023-04-24,1,33,8.0
2023-04-25,1,24,7.0
2023-04-26,0,22,9.0
2023-04-27,0,29,3.0
2023-04-28,1,20,1.0
2023-04-29,1,3,4.0
2023-04-30,0,1,0.0
2023-05-01,6,13,0.0
2023-05-02,2,28,18.0
2023-05-03,3,39,33.0
2023-05-04,8,33,14.0
2023-05-05,0,21,0.0
2023-05-06,4,1,1.0
2023-05-07,2,2,0.0
2023-05-08,4,18,3.0
2023-05-09,4,32,0.0
2023-05-10,4,25,6.0
2023-05-11,2,25,1.0
2023-05-12,59,17,0.0
2023-05-13,3,1,0.0
2023-05-14,3,0,0.0
2023-05-15,3,22,7.0
2023-05-16,57,31,10.0
2023-05-17,19,28,2.0
2023-05-18,4,10,0.0
2023-05-19,5,1,0.0
2023-05-20,2,0,0.0
2023-05-21,0,0,0.0
2023-05-22,5,29,2.0
2023-05-23,8,24,4.0
2023-05-24,7,29,4.0
2023-05-25,8,29,11.0
2023-05-26,5,22,0.0
2023-05-27,2,2,0.0
2023-05-28,0,2,0.0
2023-05-29,2,8,11.0
2023-05-30,8,24,2.0
2023-05-31,80,16,0.0
2023-06-01,6,32,0.0
2023-06-02,2,20,0.0
2023-06-03,2,3,0.0
2023-06-04,1,0,0.0
2023-06-05,7,24,1.0
2023-06-06,2,32,3.0
2023-06-07,4,33,1.0
2023-06-08,3,29,3.0
2023-06-09,0,20,0.0
2023-06-10,0,2,0.0
2023-06-11,0,0,0.0
2023-06-12,1,27,1.0
2023-06-13,3,25,0.0
2023-06-14,7,39,3.0
2023-06-15,5,22,0.0
2023-06-16,15,6,0.0
2023-06-17,5,1,0.0
2023-06-18,4,3,0.0
2023-06-19,7,17,1.0
2023-06-20,4,36,7.0
2023-06-21,3,16,1.0
2023-06-22,5,36,14.0
2023-06-23,6,16,3.0
2023-06-24,2,7,0.0
2023-06-25,0,1,0.0
2023-06-26,84,29,23.0
2023-06-27,42,27,43.0
2023-06-28,4,28,39.0
2023-06-29,2,34,28.0
2023-06-30,6,21,2.0
2023-07-01,5,2,1.0
2023-07-02,5,3,0.0
2023-07-03,10,19,9.0
2023-07-04,14,20,2.0
2023-07-05,0,20,2.0
2023-07-06,10,20,10.0
2023-07-07,10,33,0.0
2023-07-08,5,2,0.0
2023-07-09,2,2,0.0
2023-07-10,4,36,6.0
2023-07-11,6,34,0.0
2023-07-12,4,29,6.0
2023-07-13,4,22,4.0
2023-07-14,2,20,11.0
2023-07-15,0,3,0.0
2023-07-16,0,0,0.0
2023-07-17,0,19,2.0
2023-07-18,6,29,6.0
2023-07-19,3,22,1.0
2023-07-20,5,27,3.0
2023-07-21,5,4,0.0
