,carla-simulator/carla,apolloauto/apollo,commaai/openpilot
2021-10-04,1,0.0,20
2021-10-05,5,0.0,7
2021-10-06,0,0.0,7
2021-10-07,0,0.0,24
2021-10-08,0,0.0,11
2021-10-09,0,1.0,4
2021-10-10,0,-0.19999999999999996,10
2021-10-11,1,-0.08000000000000007,10
2021-10-12,0,0.952,11
2021-10-13,0,-0.23359999999999997,8
2021-10-14,0,-0.10553600000000009,13
2021-10-15,0,-0.06842880000000004,11
2021-10-16,0,-0.050526720000000025,9
2021-10-17,0,-0.03992371199999995,2
2021-10-18,6,0.9671018496,15
2021-10-19,0,-0.21692671999999996,10
2021-10-20,0,-0.09438771200000001,12
2021-10-21,0,-0.060469350399999997,12
2021-10-22,0,-0.03360000000000001,4
2021-10-23,0,-0.025536000000000014,8
2021-10-24,0,-0.02042880000000001,1
2021-10-25,0,0.9830732799999999,10
2021-10-26,4,-0.2143877119999999,13
2021-10-27,1,1.9075306496,11
2021-10-28,1,-0.44799999999999995,14
2021-10-29,0,-0.19360000000000016,18
2021-10-30,0,-0.12153600000000009,7
2021-10-31,0,-0.08762880000000003,3
2021-11-01,0,0.9320012799999999,12
2021-11-02,0,0.7447546880000001,11
2021-11-03,1,-0.3263227904,1
2021-11-04,0,0.843224576,14
2021-11-05,17,-0.3065387007999999,7
2021-11-06,0,-0.1391360000000001,0
2021-11-07,0,-0.09396480000000007,1
2021-11-08,9,0.92904448,13
2021-11-09,11,-0.2568504319999999,10
2021-11-10,3,-0.12728586239999998,14
2021-11-11,1,0.9226039295999999,11
2021-11-12,0,-0.24798771199999992,16
2021-11-13,0,-0.11800535040000004,7
2021-11-14,0,-0.06842880000000004,5
2021-11-15,3,-0.050526720000000025,6
2021-11-16,0,0.960076288,19
2021-11-17,0,-0.23289815039999995,29
2021-11-18,0,-0.09692672000000008,22
2021-11-19,2,0.9376122880000001,15
2021-11-20,0,0.7539306496,5
2021-11-21,0,-0.30553600000000003,7
2021-11-22,0,3.8515712,5
2021-11-23,0,-0.8985267199999999,5
2021-11-24,0,-0.39352371200000025,13
2021-11-25,0,0.7495658495999998,2
2021-11-26,0,1.62824448,10
2021-11-27,0,-0.613458432,3
2021-11-28,0,-0.31657226240000014,6
2021-11-29,0,0.7902237695999998,18
2021-11-30,0,0.6497131520000002,11
2021-12-01,0,0.5986217984000001,10
2021-12-02,0,3.61421568,15
2021-12-03,0,-1.009841152,7
2021-12-04,0,-0.4683807744000002,6
2021-12-05,0,-0.2965035008000001,12
2021-12-06,0,-0.19729152000000008,10
2021-12-07,0,-0.153887232,11
2021-12-08,0,-0.12549898239999996,15
2021-12-09,0,-0.09456394239999993,11
2021-12-10,0,-0.07002019839999972,2
2021-12-11,0,1.9501225984000001,8
2021-12-12,0,-0.3999999999999999,5
2021-12-13,0,-0.16000000000000014,7
2021-12-14,0,-0.09600000000000007,20
2021-12-15,0,-0.06720000000000002,15
2021-12-16,0,-0.05107200000000003,9
2021-12-17,0,5.9591424,4
2021-12-18,0,-1.2338534399999999,3
2021-12-19,0,-0.5087754240000003,1
2021-12-20,0,-0.31293870080000014,2
2021-12-21,0,-0.20160000000000006,6
2021-12-22,0,-0.15321600000000007,3
2021-12-23,0,-0.12257280000000007,2
2021-12-24,0,2.89843968,4
2021-12-25,0,-0.6863262719999995,0
2021-12-26,0,-0.3148161024,0
2021-12-27,0,2.856,5
2021-12-28,0,0.29920000000000013,6
2021-12-29,0,-0.5166080000000002,1
2021-12-30,0,-0.2852864000000002,0
2021-12-31,0,-0.19958016000000012,1
2022-01-01,0,-0.15337113599999988,5
2022-01-02,0,-0.12423045119999994,8
2022-01-03,0,-0.07120896000000004,11
2022-01-04,0,-0.06008985599999983,40
2022-01-05,0,-0.05179576319999983,13
2022-01-06,0,-0.012469350399999964,8
2022-01-07,0,0.0,8
2022-01-08,0,0.0,2
2022-01-09,0,0.0,2
2022-01-10,0,0.0,16
2022-01-11,7,0.0,7
2022-01-12,0,0.0,11
2022-01-13,0,0.0,13
2022-01-14,0,1.0,22
2022-01-15,0,-0.19999999999999996,3
2022-01-16,0,-0.08000000000000007,2
2022-01-17,0,-0.048000000000000036,8
2022-01-18,0,-0.03360000000000001,9
2022-01-19,0,-0.025536000000000014,8
2022-01-20,0,-0.02042880000000001,6
2022-01-21,0,-0.01692672000000001,5
2022-01-22,0,-0.01438771199999994,6
2022-01-23,0,-0.012469350399999964,0
2022-01-24,0,0.0,7
2022-01-25,0,0.0,12
2022-01-26,0,0.0,8
2022-01-27,0,0.0,16
2022-01-28,0,0.0,15
2022-01-29,0,0.0,3
2022-01-30,0,0.0,7
2022-01-31,0,0.0,5
2022-02-01,0,0.0,4
2022-02-02,0,0.0,2
2022-02-03,7,0.0,5
2022-02-04,0,0.0,1
2022-02-05,0,0.0,5
2022-02-06,0,0.0,5
2022-02-07,0,0.0,4
2022-02-08,16,0.0,4
2022-02-09,0,0.0,6
2022-02-10,0,0.0,9
2022-02-11,0,0.0,11
2022-02-12,0,0.0,1
2022-02-13,0,0.0,1
2022-02-14,0,1.0,3
2022-02-15,0,-0.19999999999999996,5
