,apache/httpcomponents-client,jetty/jetty.project,square/okhttp
2023-08-25,0,35,0.0
2023-08-26,0,3,0.0
2023-08-27,0,1,0.0
2023-08-28,0,4,0.0
2023-08-29,0,28,0.0
2023-08-30,0,0,0.0
2023-08-31,4,8,0.0
2023-09-01,0,3,0.0
2023-09-02,0,4,0.0
2023-09-03,0,3,0.0
2023-09-04,0,2,0.0
2023-09-05,0,0,0.0
2023-09-06,0,1,0.0
2023-09-07,0,1,0.0
2023-09-08,0,0,0.0
2023-09-09,0,0,0.0
2023-09-10,0,0,0.0
2023-09-11,0,5,0.0
2023-09-12,0,1,0.0
2023-09-13,0,3,0.0
2023-09-14,0,16,0.0
2023-09-15,0,11,1.0
2023-09-16,0,2,0.8999999999999999
2023-09-17,0,0,-0.14500000000000013
2023-09-18,0,9,-0.07350000000000005
2023-09-19,0,2,-0.04916249999999994
2023-09-20,0,7,-0.036779249999999875
2023-09-21,0,3,-0.02927876249999991
2023-09-22,1,4,-0.024255708749999928
2023-09-23,1,2,-0.02066200926562494
2023-09-24,0,0,-0.017967165551562456
2023-09-25,0,6,-0.008398852535937478
2023-09-26,1,10,0.0
2023-09-27,0,17,0.0
2023-09-28,0,10,0.0
2023-09-29,1,1,0.0
2023-09-30,0,0,0.0
2023-10-01,0,4,0.0
2023-10-02,0,1,3.0
2023-10-03,1,3,-0.30000000000000027
2023-10-04,0,2,-0.1350000000000001
2023-10-05,0,9,-0.08550000000000006
2023-10-06,0,4,-0.06198749999999977
2023-10-07,0,1,-0.048350249999999845
2023-10-08,0,1,-0.03948603749999988
2023-10-09,0,13,-0.0332810887499999
2023-10-10,0,15,-0.028704939046874926
2023-10-11,0,1,-0.025196557607812434
2023-10-12,1,5,0.0
2023-10-13,0,6,0.0
2023-10-14,0,0,0.0
2023-10-15,0,0,1.0
2023-10-16,0,11,-0.10000000000000009
2023-10-17,0,14,1.955
2023-10-18,0,12,2.7714999999999996
2023-10-19,0,5,-0.41066250000000026
2023-10-20,0,3,-0.20811675000000007
2023-10-21,0,1,-0.13998701249999987
2023-10-22,0,0,-0.10531469624999963
2023-10-23,0,1,-0.08424258801562474
2023-10-24,0,7,-0.0700722825359373
2023-10-25,0,20,-0.052417714781249854
2023-10-26,0,13,-0.04550264411874988
2023-10-27,0,17,-0.025196557607812434
2023-10-28,0,0,0.0
2023-10-29,0,0,0.0
2023-10-30,0,7,0.0
2023-10-31,0,2,0.0
2023-11-01,0,8,0.0
2023-11-02,2,0,0.0
2023-11-03,0,0,0.0
2023-11-04,0,0,0.0
2023-11-05,0,1,0.0
2023-11-06,0,1,0.0
2023-11-07,0,3,0.0
2023-11-08,0,3,0.0
2023-11-09,0,4,1.0
2023-11-10,0,0,-0.10000000000000009
2023-11-11,0,2,-0.04500000000000003
2023-11-12,0,0,-0.028500000000000022
2023-11-13,0,4,-0.020662499999999924
2023-11-14,0,2,-0.016116749999999947
2023-11-15,0,7,-0.01316201249999996
2023-11-16,0,1,-0.011093696249999967
2023-11-17,0,4,-0.009568313015624975
2023-11-18,0,2,-0.008398852535937478
2023-11-19,1,4,0.0
2023-11-20,0,4,2.0
2023-11-21,0,2,-0.20000000000000018
2023-11-22,0,1,-0.09000000000000007
2023-11-23,1,7,-0.057000000000000044
2023-11-24,0,0,-0.04132499999999985
2023-11-25,0,0,-0.032233499999999894
2023-11-26,0,0,-0.02632402499999992
2023-11-27,0,6,0.9778126075000001
2023-11-28,3,5,-0.11913662603125004
2023-11-29,1,15,-0.061797705071874987
2023-11-30,1,8,-0.028500000000000022
2023-12-01,0,19,-0.020662499999999924
2023-12-02,1,0,0.9838832500000001
2023-12-03,1,0,1.8868379874999999
2023-12-04,0,5,1.7439063037499998
2023-12-05,0,3,-0.3280683130156252
2023-12-06,4,13,-0.17606135253593752
2023-12-07,0,2,0.8855582500000001
2023-12-08,0,1,-0.1867205124999998
2023-12-09,0,4,-0.11465122124999982
2023-12-10,1,0,-0.08657973051562486
2023-12-11,1,3,0.9296146289328127
2023-12-12,0,8,-0.15205108110312493
2023-12-13,77,14,-0.07495971757187495
2023-12-14,0,9,-0.03959369624999999
2023-12-15,2,15,-0.0302308130156249
2023-12-16,0,0,-0.024515602535937424
2023-12-17,0,3,4.9868379875
2023-12-18,0,2,1.4889063037499994
2023-12-19,0,4,0.5654316869843747
2023-12-20,0,4,0.6591011474640622
2023-12-21,0,0,1.6946875000000001
2023-12-22,0,0,-0.3954087499999998
2023-12-23,5,0,1.7627939375000004
2023-12-24,4,0,4.62442824375
2023-12-25,0,0,-0.7306327200781251
2023-12-26,3,0,-0.3996200974609374
2023-12-27,0,0,-0.24760873933749977
2023-12-28,0,0,-0.1757005580515619
2023-12-29,1,1,-0.1344432535671871
