,sindresorhus/type-fest,microsoft/TypeScript,definitelytyped/definitelytyped
2023-06-13,0,6,13
2023-06-14,2,2,6
2023-06-15,0,1,2
2023-06-16,0,2,8
2023-06-17,0,1,0
2023-06-18,0,0,0
2023-06-19,0,0,11
2023-06-20,1,5,7
2023-06-21,0,3,5
2023-06-22,0,4,3
2023-06-23,0,5,9
2023-06-24,0,1,2
2023-06-25,0,1,3
2023-06-26,0,9,6
2023-06-27,0,5,5
2023-06-28,1,2,8
2023-06-29,0,4,14
2023-06-30,0,6,7
2023-07-01,0,2,0
2023-07-02,0,0,2
2023-07-03,0,3,3
2023-07-04,0,1,1
2023-07-05,0,2,10
2023-07-06,0,4,9
2023-07-07,0,3,12
2023-07-08,0,1,2
2023-07-09,3,0,5
2023-07-10,0,3,9
2023-07-11,0,1,5
2023-07-12,0,4,12
2023-07-13,0,5,9
2023-07-14,0,2,3
2023-07-15,0,1,2
2023-07-16,9,0,2
2023-07-17,0,2,7
2023-07-18,0,3,3
2023-07-19,0,3,4
2023-07-20,0,7,6
2023-07-21,0,4,3
2023-07-22,0,1,4
2023-07-23,0,1,1
2023-07-24,0,6,10
2023-07-25,0,2,20
2023-07-26,0,3,9
2023-07-27,1,1,6
2023-07-28,0,6,7
2023-07-29,0,1,3
2023-07-30,2,0,2
2023-07-31,0,3,19
2023-08-01,0,2,10
2023-08-02,0,2,6
2023-08-03,0,6,7
2023-08-04,0,2,8
2023-08-05,0,4,8
2023-08-06,0,1,3
2023-08-07,0,7,12
2023-08-08,4,5,8
2023-08-09,0,5,11
2023-08-10,0,1,4
2023-08-11,0,2,7
2023-08-12,0,1,3
2023-08-13,1,0,1
2023-08-14,1,7,11
2023-08-15,0,8,8
2023-08-16,0,8,1
2023-08-17,0,4,4
2023-08-18,0,0,7
2023-08-19,0,1,2
2023-08-20,0,0,3
2023-08-21,0,1,5
2023-08-22,0,3,8
2023-08-23,0,8,5
2023-08-24,1,8,12
2023-08-25,1,2,3
2023-08-26,3,5,4
2023-08-27,2,0,0
2023-08-28,0,11,8
2023-08-29,0,4,6
2023-08-30,0,4,11
2023-08-31,0,2,7
2023-09-01,0,3,6
2023-09-02,0,1,6
2023-09-03,0,1,4
2023-09-04,1,0,3
2023-09-05,0,1,7
2023-09-06,0,4,8
2023-09-07,0,2,3
2023-09-08,0,2,7
2023-09-09,0,1,5
2023-09-10,0,0,1
2023-09-11,0,3,14
2023-09-12,0,5,12
2023-09-13,0,13,16
2023-09-14,0,4,7
2023-09-15,0,4,12
2023-09-16,0,1,10
2023-09-17,0,1,2
2023-09-18,0,2,13
2023-09-19,0,5,8
2023-09-20,0,5,9
2023-09-21,0,6,6
2023-09-22,0,11,8
2023-09-23,0,3,5
2023-09-24,0,1,5
2023-09-25,0,3,10
2023-09-26,3,5,13
2023-09-27,0,3,9
2023-09-28,0,2,2
2023-09-29,0,8,4
2023-09-30,3,1,3
2023-10-01,0,1,2
2023-10-02,0,4,15
2023-10-03,0,3,12
2023-10-04,0,5,20
2023-10-05,0,5,12
2023-10-06,0,2,9
2023-10-07,2,1,6
2023-10-08,0,1,7
2023-10-09,0,3,31
