,DevExpress/testcafe,seleniumhq/selenium,cypress-io/cypress
2023-07-20,1,2.0,2
2023-07-21,1,15.6,2
2023-07-22,0,-2.3599999999999994,0
2023-07-23,0,1.4239999999999988,0
2023-07-24,2,25.4848,1
2023-07-25,0,4.723328,5
2023-07-26,0,1.012966399999998,3
2023-07-27,1,5.1369497599999985,3
2023-07-28,0,-1.111839744000001,0
2023-07-29,2,-0.0004272128000000208,0
2023-07-30,0,1.4292489215999993,0
2023-07-31,1,10.6230132736,3
2023-08-01,0,18.8707330048,2
2023-08-02,3,-1.7897648127999979,0
2023-08-03,2,-1.112124006400001,0
2023-08-04,0,0.040683929599999225,5
2023-08-05,0,5.5273493504,0
2023-08-06,0,-2.1531804672000003,1
2023-08-07,4,6.002651340799999,5
2023-08-08,1,10.030215782400001,3
2023-08-09,0,5.727653068800001,1
2023-08-10,0,-0.13268817920000053,4
2023-08-11,0,7.1619435519999985,9
2023-08-12,0,-1.6775017472,0
2023-08-13,0,-2.3928348672000004,0
2023-08-14,4,18.4551093248,9
2023-08-15,0,3.913949593600001,13
2023-08-16,3,7.7396625407999995,5
2023-08-17,4,-4.7090455551999995,2
2023-08-18,6,-1.456369152000001,4
2023-08-19,0,-0.8167279616,0
2023-08-20,1,-1.475068928,1
2023-08-21,3,1.0182356991999995,7
2023-08-22,6,2.833159680000001,9
2023-08-23,2,9.398866944000002,1
2023-08-24,0,0.05315850240000142,4
2023-08-25,3,0.07381227519999967,12
2023-08-26,0,6.615213568,2
2023-08-27,0,4.5565413376,1
2023-08-28,0,7.3542660096,28
2023-08-29,1,7.5909928959999995,23
2023-08-30,2,2.0141581312,3
2023-08-31,4,13.700732006399999,6
2023-09-01,0,1.6996381696,0
2023-09-02,0,-1.017558835200001,0
2023-09-03,0,-2.921311436800001,0
2023-09-04,0,10.1051312128,0
2023-09-05,1,4.246758707200001,1
2023-09-06,1,-0.5713602560000002,2
2023-09-07,0,-0.5468529664000004,6
2023-09-08,0,1.0736193536000005,1
2023-09-09,0,-0.8427051007999995,0
2023-09-10,0,-0.21668218880000012,0
2023-09-11,4,6.0282329088,2
2023-09-12,5,-1.0492247039999993,3
2023-09-13,2,2.7254203392000003,0
2023-09-14,1,-0.5131937791999999,1
2023-09-15,0,2.0338715648,4
2023-09-16,0,11.8101906432,0
2023-09-17,0,13.7403399168,0
2023-09-18,0,1.114483097599999,0
2023-09-19,1,0.47783874559999884,2
2023-09-20,0,0.200783155199999,4
2023-09-21,0,-1.2594013184000001,3
2023-09-22,1,1.3516683263999993,1
2023-09-23,0,4.265414553599999,0
2023-09-24,0,3.6742806528000007,0
2023-09-25,0,13.4758238208,3
2023-09-26,0,11.478365491200002,0
2023-09-27,0,2.7502160895999994,3
2023-09-28,0,-4.174069657600001,1
2023-09-29,0,-1.3239647232000014,1
2023-09-30,0,2.1900583935999993,0
2023-10-01,0,-2.1095314432,0
2023-10-02,0,0.6688813055999998,2
2023-10-03,0,2.635122585600001,2
2023-10-04,0,3.3149372416000014,3
2023-10-05,0,8.1468158976,2
2023-10-06,0,8.1424032768,2
2023-10-07,0,2.4924334079999997,0
2023-10-08,0,0.05897820159999956,0
2023-10-09,0,9.7628739584,1
2023-10-10,0,15.248413696,2
2023-10-11,0,9.242092851199999,5
2023-10-12,3,1.134184038399999,0
