,rescript-lang/rescript-compiler,google/closure-compiler,microsoft/typescript
2018-10-08,3,2,21
2018-10-09,9,5,15
2018-10-10,12,2,11
2018-10-11,6,4,16
2018-10-12,2,6,4
2018-10-13,2,0,0
2018-10-14,0,0,0
2018-10-15,0,2,10
2018-10-16,0,3,10
2018-10-17,0,3,5
2018-10-18,0,0,8
2018-10-19,11,11,7
2018-10-20,4,0,4
2018-10-21,3,0,6
2018-10-22,7,0,16
2018-10-23,5,5,9
2018-10-24,2,4,9
2018-10-25,6,0,12
2018-10-26,7,0,15
2018-10-27,2,0,1
2018-10-28,6,0,3
2018-10-29,4,0,14
2018-10-30,9,29,22
2018-10-31,1,5,46
2018-11-01,3,0,16
2018-11-02,3,7,15
2018-11-03,8,3,4
2018-11-04,2,0,0
2018-11-05,2,4,31
2018-11-06,1,0,17
2018-11-07,0,10,17
2018-11-08,0,6,19
2018-11-09,8,0,31
2018-11-10,1,0,14
2018-11-11,9,0,1
2018-11-12,6,12,23
2018-11-13,5,6,11
2018-11-14,0,5,4
2018-11-15,0,3,17
2018-11-16,0,0,16
2018-11-17,3,9,6
2018-11-18,10,0,0
2018-11-19,0,9,13
2018-11-20,8,4,13
2018-11-21,1,3,8
2018-11-22,8,0,1
2018-11-23,8,0,0
2018-11-24,3,0,0
2018-11-25,12,0,0
2018-11-26,7,5,4
2018-11-27,2,0,0
2018-11-28,8,6,8
2018-11-29,3,0,4
2018-11-30,11,8,9
2018-12-01,2,0,9
2018-12-02,16,0,0
2018-12-03,10,0,7
2018-12-04,5,7,13
2018-12-05,3,0,13
2018-12-06,0,2,26
2018-12-07,1,17,6
2018-12-08,0,1,9
2018-12-09,1,0,5
2018-12-10,6,0,11
2018-12-11,0,2,20
2018-12-12,5,0,5
2018-12-13,9,11,7
2018-12-14,5,0,3
2018-12-15,3,6,0
2018-12-16,1,0,4
2018-12-17,8,9,9
2018-12-18,0,5,19
2018-12-19,0,9,11
2018-12-20,0,0,25
2018-12-21,5,17,14
2018-12-22,3,0,1
2018-12-23,0,0,1
2018-12-24,0,0,0
2018-12-25,2,0,1
2018-12-26,0,5,3
2018-12-27,12,0,3
2018-12-28,11,2,10
2018-12-29,10,0,1
2018-12-30,2,0,0
2018-12-31,5,0,14
2019-01-01,11,0,4
2019-01-02,6,0,1
2019-01-03,1,2,15
2019-01-04,18,3,4
2019-01-05,3,0,0
2019-01-06,11,0,1
2019-01-07,0,7,4
2019-01-08,0,6,5
2019-01-09,15,5,13
2019-01-10,2,2,13
2019-01-11,7,12,18
2019-01-12,0,0,2
2019-01-13,0,0,1
2019-01-14,18,10,11
2019-01-15,6,7,18
2019-01-16,9,5,15
2019-01-17,5,7,19
2019-01-18,6,8,8
2019-01-19,0,0,12
2019-01-20,17,0,4
2019-01-21,10,0,0
2019-01-22,16,13,7
2019-01-23,10,7,7
2019-01-24,11,0,30
2019-01-25,13,11,38
2019-01-26,0,8,6
2019-01-27,0,0,4
2019-01-28,16,0,15
2019-01-29,1,15,15
2019-01-30,17,8,21
2019-01-31,7,3,21
2019-02-01,0,4,31
2019-02-02,0,3,13
2019-02-03,0,0,10
2019-02-04,6,2,19
2019-02-05,5,0,12
2019-02-06,7,15,23
2019-02-07,9,8,32
2019-02-08,7,14,7
2019-02-09,9,0,1
2019-02-10,1,0,7
2019-02-11,2,0,18
2019-02-12,4,12,0
2019-02-13,6,7,7
2019-02-14,9,4,9
2019-02-15,9,13,8
2019-02-16,1,0,1
2019-02-17,2,0,1
2019-02-18,5,0,2
2019-02-19,3,5,11
2019-02-20,6,0,14
2019-02-21,12,19,14
2019-02-22,3,5,15
2019-02-23,4,0,6
2019-02-24,0,0,0
2019-02-25,6,4,10
2019-02-26,0,6,21
2019-02-27,10,4,12
2019-02-28,0,8,16
2019-03-01,13,4,19
2019-03-02,11,0,7
2019-03-03,6,0,1
2019-03-04,0,3,8
2019-03-05,4,14,13
2019-03-06,3,9,10
2019-03-07,2,11,6
2019-03-08,0,6,19
2019-03-09,0,2,11
2019-03-10,0,0,2
2019-03-11,4,11,9
2019-03-12,0,0,15
2019-03-13,14,3,22
2019-03-14,16,7,16
2019-03-15,0,0,10
2019-03-16,0,11,2
2019-03-17,0,0,0
2019-03-18,3,0,12
2019-03-19,7,11,10
2019-03-20,1,10,6
2019-03-21,4,6,4
2019-03-22,0,3,5
2019-03-23,5,0,2
2019-03-24,12,0,37
2019-03-25,12,3,2
2019-03-26,1,4,9
2019-03-27,12,10,8
2019-03-28,1,10,7
2019-03-29,4,0,6
2019-03-30,3,0,1
2019-03-31,1,0,2
2019-04-01,6,0,5
2019-04-02,15,0,17
2019-04-03,0,17,15
2019-04-04,1,4,19
2019-04-05,1,8,9
2019-04-06,2,0,7
2019-04-07,3,0,2
2019-04-08,13,4,18
2019-04-09,2,6,2
2019-04-10,2,5,4
2019-04-11,5,11,9
2019-04-12,1,4,8
2019-04-13,0,0,3
2019-04-14,0,0,0
2019-04-15,14,10,8
2019-04-16,11,2,15
2019-04-17,5,0,25
2019-04-18,9,12,34
2019-04-19,0,12,16
2019-04-20,5,6,0
2019-04-21,5,0,0
2019-04-22,10,0,4
2019-04-23,7,0,20
2019-04-24,0,14,22
2019-04-25,2,13,26
2019-04-26,5,2,12
2019-04-27,2,0,9
2019-04-28,13,0,5
2019-04-29,7,3,29
2019-04-30,1,10,23
2019-05-01,0,9,19
2019-05-02,0,9,14
2019-05-03,0,4,6
2019-05-04,0,0,0
2019-05-05,0,0,3
2019-05-06,0,12,6
2019-05-07,0,10,10
2019-05-08,0,6,10
2019-05-09,0,6,4
2019-05-10,0,6,7
2019-05-11,0,0,4
2019-05-12,0,0,2
2019-05-13,0,10,11
2019-05-14,0,10,7
2019-05-15,0,2,7
2019-05-16,0,12,4
2019-05-17,0,9,5
2019-05-18,0,0,0
2019-05-19,1,0,0
2019-05-20,12,7,11
2019-05-21,4,11,13
2019-05-22,0,0,17
2019-05-23,0,6,15
2019-05-24,0,7,14
2019-05-25,0,9,0
2019-05-26,0,0,0
2019-05-27,3,0,1
2019-05-28,11,0,6
2019-05-29,14,10,5
2019-05-30,2,10,14
2019-05-31,7,6,33
2019-06-01,0,0,4
2019-06-02,0,0,3
2019-06-03,13,2,7
2019-06-04,7,9,6
2019-06-05,10,0,18
2019-06-06,4,6,22
2019-06-07,0,1,9
2019-06-08,1,1,2
2019-06-09,4,0,7
2019-06-10,7,0,3
2019-06-11,6,6,7
2019-06-12,11,1,6
2019-06-13,16,0,4
2019-06-14,8,9,32
2019-06-15,0,0,1
2019-06-16,4,0,0
2019-06-17,5,3,9
2019-06-18,13,6,8
2019-06-19,1,4,23
2019-06-20,15,4,20
2019-06-21,8,1,19
2019-06-22,0,0,6
2019-06-23,0,0,5
2019-06-24,9,3,8
2019-06-25,4,3,15
2019-06-26,4,12,19
2019-06-27,5,8,17
2019-06-28,2,2,18
2019-06-29,6,0,7
2019-06-30,0,0,8
2019-07-01,7,8,27
2019-07-02,3,4,7
2019-07-03,4,4,14
2019-07-04,14,0,2
2019-07-05,10,0,9
2019-07-06,0,0,0
2019-07-07,13,0,1
2019-07-08,6,8,15
2019-07-09,11,5,5
2019-07-10,7,0,11
2019-07-11,9,11,16
2019-07-12,6,0,17
2019-07-13,9,14,2
2019-07-14,0,0,0
2019-07-15,16,0,11
2019-07-16,5,0,14
2019-07-17,5,15,19
2019-07-18,9,7,11
2019-07-19,14,5,8
2019-07-20,0,0,6
2019-07-21,5,0,1
2019-07-22,13,3,5
2019-07-23,2,6,7
2019-07-24,3,8,5
2019-07-25,7,3,14
2019-07-26,8,11,9
2019-07-27,0,0,1
