,microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped
2020-04-09,13,0,17
2020-04-10,9,0,18
2020-04-11,2,0,24
2020-04-12,0,0,1
2020-04-13,8,0,41
2020-04-14,3,0,1
2020-04-15,9,0,32
2020-04-16,1,0,14
2020-04-17,2,0,41
2020-04-18,0,0,1
2020-04-19,3,0,0
2020-04-20,11,0,3
2020-04-21,14,1,3
2020-04-22,10,0,3
2020-04-23,4,0,36
2020-04-24,14,0,6
2020-04-25,3,0,0
2020-04-26,0,0,46
2020-04-27,4,0,83
2020-04-28,7,0,7
2020-04-29,6,0,4
2020-04-30,9,0,5
2020-05-01,0,0,10
2020-05-02,1,0,1
2020-05-03,0,0,3
2020-05-04,9,0,46
2020-05-05,5,0,17
2020-05-06,14,2,11
2020-05-07,8,0,10
2020-05-08,8,0,8
2020-05-09,1,0,5
2020-05-10,0,0,6
2020-05-11,13,0,23
2020-05-12,14,0,44
2020-05-13,2,0,66
2020-05-14,4,0,37
2020-05-15,4,0,35
2020-05-16,23,0,0
2020-05-17,1,0,4
2020-05-18,7,0,34
2020-05-19,15,0,90
2020-05-20,17,0,26
2020-05-21,15,2,33
2020-05-22,19,0,9
2020-05-23,5,0,4
2020-05-24,0,0,3
2020-05-25,7,0,4
2020-05-26,14,2,16
2020-05-27,8,0,46
2020-05-28,2,0,12
2020-05-29,39,0,18
2020-05-30,4,0,25
2020-05-31,2,0,2
2020-06-01,16,0,16
2020-06-02,6,0,9
2020-06-03,7,0,13
2020-06-04,8,0,39
2020-06-05,9,0,11
2020-06-06,0,0,3
2020-06-07,0,0,1
2020-06-08,0,0,15
2020-06-09,7,2,22
2020-06-10,7,0,20
2020-06-11,5,0,15
2020-06-12,6,0,30
2020-06-13,4,0,4
2020-06-14,0,0,4
2020-06-15,4,0,5
2020-06-16,13,0,26
2020-06-17,12,0,13
2020-06-18,11,0,9
2020-06-19,15,0,3
2020-06-20,1,0,2
2020-06-21,1,0,23
2020-06-22,8,0,14
2020-06-23,14,0,44
2020-06-24,8,0,59
2020-06-25,5,0,31
2020-06-26,13,0,16
2020-06-27,0,2,3
2020-06-28,3,0,7
2020-06-29,10,0,19
2020-06-30,13,0,7
2020-07-01,5,0,12
2020-07-02,8,0,5
2020-07-03,7,0,2
2020-07-04,3,0,3
2020-07-05,0,0,2
2020-07-06,10,0,69
2020-07-07,21,0,43
2020-07-08,19,0,13
2020-07-09,7,0,4
2020-07-10,10,0,51
2020-07-11,1,0,8
2020-07-12,0,0,19
2020-07-13,8,0,15
2020-07-14,6,0,14
2020-07-15,7,0,11
2020-07-16,5,0,6
2020-07-17,6,0,11
2020-07-18,0,0,21
2020-07-19,0,0,1
2020-07-20,1,0,21
2020-07-21,7,0,26
2020-07-22,8,0,17
2020-07-23,1,0,24
2020-07-24,3,0,15
2020-07-25,0,0,2
2020-07-26,0,0,3
2020-07-27,5,0,11
2020-07-28,3,0,30
2020-07-29,3,0,15
2020-07-30,11,0,12
2020-07-31,1,0,22
2020-08-01,1,0,7
2020-08-02,0,0,5
2020-08-03,12,0,7
2020-08-04,11,0,4
2020-08-05,8,0,11
2020-08-06,4,0,22
2020-08-07,1,0,4
2020-08-08,1,0,16
2020-08-09,0,0,4
2020-08-10,2,0,13
2020-08-11,2,0,13
2020-08-12,2,0,28
2020-08-13,5,0,30
2020-08-14,3,0,17
2020-08-15,1,0,4
2020-08-16,1,0,8
2020-08-17,5,0,20
2020-08-18,11,0,6
2020-08-19,9,0,19
2020-08-20,8,0,12
2020-08-21,8,1,33
2020-08-22,5,0,7
2020-08-23,1,0,19
2020-08-24,2,0,11
2020-08-25,6,0,12
2020-08-26,6,0,22
2020-08-27,10,0,29
2020-08-28,4,0,66
2020-08-29,4,0,5
2020-08-30,0,0,10
2020-08-31,4,0,25
2020-09-01,6,0,23
2020-09-02,3,0,16
2020-09-03,4,0,22
2020-09-04,8,0,5
2020-09-05,4,0,4
2020-09-06,0,0,4
2020-09-07,0,0,6
2020-09-08,11,0,62
2020-09-09,4,0,23
2020-09-10,13,0,34
2020-09-11,12,0,50
2020-09-12,6,0,5
2020-09-13,2,0,2
2020-09-14,12,0,69
2020-09-15,10,0,16
2020-09-16,4,0,26
2020-09-17,4,0,50
2020-09-18,3,0,30
2020-09-19,3,0,4
2020-09-20,0,0,2
2020-09-21,7,0,52
2020-09-22,10,0,64
2020-09-23,11,0,208
2020-09-24,8,0,26
2020-09-25,11,0,19
2020-09-26,6,0,6
2020-09-27,2,0,2
2020-09-28,4,0,13
2020-09-29,8,2,43
2020-09-30,5,2,59
2020-10-01,11,0,37
2020-10-02,8,0,13
2020-10-03,2,0,30
2020-10-04,0,0,5
2020-10-05,11,0,26
2020-10-06,21,0,10
2020-10-07,14,0,7
2020-10-08,5,0,24
2020-10-09,11,0,18
2020-10-10,2,0,10
2020-10-11,1,0,9
2020-10-12,9,0,38
2020-10-13,7,3,40
2020-10-14,7,0,6
2020-10-15,7,0,23
2020-10-16,0,0,61
2020-10-17,3,0,13
2020-10-18,0,0,4
2020-10-19,13,0,12
2020-10-20,3,0,55
2020-10-21,7,0,16
2020-10-22,7,0,17
2020-10-23,8,0,19
2020-10-24,3,0,14
2020-10-25,0,0,13
2020-10-26,8,0,21
2020-10-27,18,0,14
2020-10-28,13,0,39
2020-10-29,9,0,23
2020-10-30,12,0,23
2020-10-31,1,0,9
2020-11-01,1,0,2
2020-11-02,15,0,16
2020-11-03,11,0,24
2020-11-04,5,0,18
2020-11-05,3,0,17
2020-11-06,10,0,17
2020-11-07,2,0,19
2020-11-08,0,0,1
2020-11-09,3,0,34
2020-11-10,8,0,21
2020-11-11,15,0,18
2020-11-12,6,3,14
2020-11-13,1,0,6
2020-11-14,0,0,5
2020-11-15,1,0,7
2020-11-16,1,2,31
2020-11-17,1,0,42
2020-11-18,4,0,11
2020-11-19,2,0,24
2020-11-20,4,1,18
2020-11-21,2,0,12
2020-11-22,0,0,3
2020-11-23,3,0,27
2020-11-24,12,1,26
2020-11-25,5,5,11
2020-11-26,4,0,5
2020-11-27,1,2,1
2020-11-28,0,0,3
2020-11-29,0,0,3
2020-11-30,5,0,13
2020-12-01,10,0,21
2020-12-02,7,0,46
2020-12-03,8,1,30
2020-12-04,7,0,13
2020-12-05,5,0,4
2020-12-06,1,0,4
2020-12-07,4,1,12
2020-12-08,5,0,37
2020-12-09,10,0,13
2020-12-10,4,0,23
2020-12-11,5,0,13
2020-12-12,2,0,13
2020-12-13,1,0,5
2020-12-14,1,0,24
2020-12-15,5,0,15
2020-12-16,5,3,21
2020-12-17,5,0,3
2020-12-18,11,0,19
2020-12-19,2,0,7
2020-12-20,0,0,2
2020-12-21,1,0,10
2020-12-22,6,0,19
2020-12-23,2,0,30
2020-12-24,1,0,6
2020-12-25,0,0,4
2020-12-26,0,0,3
2020-12-27,0,0,2
2020-12-28,4,0,11
2020-12-29,0,0,12
2020-12-30,4,0,6
2020-12-31,1,1,5
2021-01-01,1,0,32
2021-01-02,1,0,5
2021-01-03,0,1,9
2021-01-04,13,0,8
2021-01-05,4,0,16
2021-01-06,3,0,18
2021-01-07,2,0,24
2021-01-08,6,0,27
2021-01-09,3,0,4
2021-01-10,3,0,11
2021-01-11,3,0,29
2021-01-12,6,0,18
2021-01-13,2,0,18
2021-01-14,2,0,34
2021-01-15,6,0,15
2021-01-16,3,0,8
2021-01-17,0,0,4
2021-01-18,2,0,25
2021-01-19,3,0,14
2021-01-20,7,0,17
2021-01-21,2,0,14
2021-01-22,3,0,14
2021-01-23,3,0,3
2021-01-24,0,0,2
2021-01-25,8,1,32
2021-01-26,1,0,22
2021-01-27,4,0,12
2021-01-28,3,0,19
2021-01-29,7,0,16
2021-01-30,0,0,6
2021-01-31,0,0,9
2021-02-01,2,0,14
2021-02-02,4,0,18
2021-02-03,7,0,15
2021-02-04,8,0,29
2021-02-05,6,0,18
2021-02-06,0,0,8
2021-02-07,1,0,7
2021-02-08,2,0,15
2021-02-09,4,0,14
2021-02-10,3,0,9
2021-02-11,5,0,11
2021-02-12,7,2,17
2021-02-13,2,0,13
2021-02-14,1,0,8
2021-02-15,1,2,11
2021-02-16,6,0,9
2021-02-17,3,0,37
2021-02-18,11,0,26
2021-02-19,6,0,25
2021-02-20,1,0,6
2021-02-21,1,0,3
2021-02-22,2,2,13
2021-02-23,7,0,8
2021-02-24,6,0,9
2021-02-25,8,0,9
2021-02-26,4,0,7
2021-02-27,1,0,6
2021-02-28,1,0,7
2021-03-01,7,0,24
2021-03-02,7,0,9
2021-03-03,8,0,9
2021-03-04,5,0,5
2021-03-05,6,0,10
2021-03-06,3,0,8
2021-03-07,1,0,73
2021-03-08,1,1,27
2021-03-09,5,0,17
2021-03-10,6,2,16
2021-03-11,11,0,13
2021-03-12,5,0,18
2021-03-13,3,0,6
2021-03-14,0,0,3
2021-03-15,0,0,41
2021-03-16,5,0,28
2021-03-17,0,0,10
2021-03-18,2,0,5
2021-03-19,5,1,11
2021-03-20,3,1,21
2021-03-21,1,1,3
2021-03-22,5,2,17
2021-03-23,1,2,13
2021-03-24,2,0,22
2021-03-25,6,0,39
2021-03-26,7,0,16
2021-03-27,2,0,6
2021-03-28,2,0,2
2021-03-29,4,0,11
2021-03-30,9,0,23
2021-03-31,3,0,16
2021-04-01,2,0,13
2021-04-02,2,0,22
2021-04-03,1,0,7
2021-04-04,1,0,3
2021-04-05,13,0,11
2021-04-06,7,0,15
2021-04-07,9,0,21
2021-04-08,2,0,24
2021-04-09,3,0,13
2021-04-10,1,0,7
2021-04-11,0,0,4
2021-04-12,3,0,12
2021-04-13,8,2,6
2021-04-14,3,0,16
2021-04-15,3,0,10
2021-04-16,2,0,8
2021-04-17,2,0,9
2021-04-18,1,1,5
2021-04-19,7,0,9
2021-04-20,6,0,16
2021-04-21,5,0,3
2021-04-22,4,0,28
2021-04-23,4,0,16
2021-04-24,2,0,3
2021-04-25,1,0,4
2021-04-26,3,0,42
2021-04-27,4,0,12
2021-04-28,6,0,16
2021-04-29,5,0,8
2021-04-30,5,0,8
2021-05-01,0,0,2
2021-05-02,1,0,3
2021-05-03,1,1,5
2021-05-04,0,1,47
2021-05-05,5,1,14
2021-05-06,7,0,30
2021-05-07,10,2,11
2021-05-08,1,2,8
2021-05-09,1,0,12
2021-05-10,3,0,37
2021-05-11,2,0,15
2021-05-12,3,0,21
2021-05-13,3,0,26
2021-05-14,0,0,22
2021-05-15,1,0,4
2021-05-16,0,0,6
2021-05-17,1,0,12
2021-05-18,6,2,57
2021-05-19,6,2,69
2021-05-20,9,0,25
2021-05-21,3,0,32
2021-05-22,1,0,23
2021-05-23,0,0,18
2021-05-24,8,0,148
2021-05-25,6,0,14
2021-05-26,11,0,28
2021-05-27,4,0,20
2021-05-28,4,0,24
2021-05-29,2,0,7
2021-05-30,0,0,8
2021-05-31,0,0,12
2021-06-01,3,2,21
2021-06-02,3,0,21
2021-06-03,7,0,17
2021-06-04,5,0,23
2021-06-05,1,0,2
2021-06-06,0,0,5
2021-06-07,2,0,23
2021-06-08,4,0,22
2021-06-09,1,0,21
2021-06-10,4,0,15
2021-06-11,3,0,12
2021-06-12,1,0,11
2021-06-13,2,0,6
2021-06-14,2,0,14
2021-06-15,3,0,9
2021-06-16,5,2,7
2021-06-17,6,1,14
2021-06-18,6,0,26
2021-06-19,1,0,9
2021-06-20,1,0,5
2021-06-21,7,0,13
2021-06-22,6,0,11
2021-06-23,7,0,26
2021-06-24,6,0,11
2021-06-25,9,0,31
2021-06-26,4,0,3
2021-06-27,4,0,4
2021-06-28,7,0,13
2021-06-29,6,0,10
2021-06-30,3,0,14
2021-07-01,3,0,50
2021-07-02,2,0,20
2021-07-03,2,0,6
2021-07-04,3,0,6
2021-07-05,1,0,13
2021-07-06,5,0,16
2021-07-07,3,0,20
2021-07-08,3,2,30
2021-07-09,1,0,22
2021-07-10,2,0,3
2021-07-11,2,0,6
2021-07-12,3,0,14
2021-07-13,5,0,17
2021-07-14,5,0,14
2021-07-15,2,0,14
2021-07-16,12,0,16
2021-07-17,4,0,3
2021-07-18,2,0,4
2021-07-19,3,0,27
2021-07-20,1,0,17
2021-07-21,3,0,7
2021-07-22,1,0,16
2021-07-23,3,0,7
2021-07-24,1,0,4
2021-07-25,1,0,6
2021-07-26,6,0,13
2021-07-27,1,0,40
2021-07-28,2,0,17
2021-07-29,6,2,18
2021-07-30,7,0,11
2021-07-31,1,2,4
2021-08-01,1,0,2
2021-08-02,10,0,11
2021-08-03,5,2,22
2021-08-04,7,1,16
2021-08-05,5,3,16
2021-08-06,9,5,13
2021-08-07,4,0,8
2021-08-08,5,1,1
2021-08-09,2,0,16
2021-08-10,6,0,23
2021-08-11,1,0,18
2021-08-12,2,0,15
2021-08-13,5,0,12
2021-08-14,2,1,15
2021-08-15,0,0,5
2021-08-16,4,0,15
2021-08-17,4,0,11
2021-08-18,2,0,13
2021-08-19,3,0,8
2021-08-20,4,1,14
2021-08-21,2,0,10
2021-08-22,0,0,5
2021-08-23,3,3,31
2021-08-24,5,0,22
2021-08-25,3,0,18
2021-08-26,4,0,10
2021-08-27,1,0,12
2021-08-28,2,0,15
2021-08-29,1,0,14
2021-08-30,4,1,16
2021-08-31,1,0,11
2021-09-01,4,0,9
2021-09-02,4,0,17
2021-09-03,5,0,9
2021-09-04,2,0,3
2021-09-05,0,3,6
2021-09-06,1,0,27
2021-09-07,3,0,29
2021-09-08,8,0,11
2021-09-09,5,0,14
2021-09-10,7,11,5
2021-09-11,4,0,9
2021-09-12,2,0,5
2021-09-13,4,0,13
2021-09-14,3,0,39
2021-09-15,6,0,20
2021-09-16,9,0,25
2021-09-17,6,3,14
2021-09-18,0,0,8
2021-09-19,0,2,6
2021-09-20,4,0,19
2021-09-21,8,0,31
2021-09-22,8,1,8
2021-09-23,5,0,13
2021-09-24,6,0,8
2021-09-25,3,0,25
2021-09-26,5,1,9
2021-09-27,13,0,12
2021-09-28,6,0,9
2021-09-29,8,0,19
2021-09-30,7,0,23
2021-10-01,10,0,30
2021-10-02,3,0,7
2021-10-03,2,0,8
2021-10-04,2,0,10
2021-10-05,5,0,16
2021-10-06,5,0,17
2021-10-07,5,0,41
2021-10-08,2,0,18
2021-10-09,1,0,4
2021-10-10,0,1,0
2021-10-11,2,3,15
2021-10-12,2,2,24
2021-10-13,3,0,23
2021-10-14,7,0,44
2021-10-15,6,0,45
2021-10-16,2,0,3
2021-10-17,1,2,14
2021-10-18,4,0,12
2021-10-19,4,0,21
2021-10-20,4,0,21
2021-10-21,5,0,18
2021-10-22,7,0,14
2021-10-23,2,0,12
2021-10-24,3,0,11
2021-10-25,4,0,27
2021-10-26,4,0,8
2021-10-27,3,3,9
2021-10-28,4,0,39
2021-10-29,10,0,15
2021-10-30,1,0,5
2021-10-31,0,0,9
2021-11-01,4,0,12
2021-11-02,9,0,23
2021-11-03,4,0,29
2021-11-04,2,1,12
2021-11-05,3,1,15
2021-11-06,0,0,6
2021-11-07,0,0,11
2021-11-08,2,0,30
2021-11-09,5,3,11
2021-11-10,0,0,8
2021-11-11,2,0,4
2021-11-12,2,1,20
2021-11-13,0,0,13
2021-11-14,0,0,6
2021-11-15,1,0,40
2021-11-16,2,0,18
2021-11-17,3,2,19
2021-11-18,3,0,19
2021-11-19,2,0,14
2021-11-20,1,0,7
2021-11-21,0,1,8
2021-11-22,0,0,12
2021-11-23,0,2,13
2021-11-24,2,0,8
2021-11-25,0,0,23
2021-11-26,0,0,4
2021-11-27,2,0,1
2021-11-28,0,0,7
2021-11-29,3,0,21
2021-11-30,3,4,21
2021-12-01,1,4,24
2021-12-02,2,0,23
2021-12-03,7,0,14
2021-12-04,2,0,4
2021-12-05,0,0,3
2021-12-06,5,0,24
2021-12-07,6,0,18
2021-12-08,4,0,13
2021-12-09,6,0,15
2021-12-10,1,0,8
2021-12-11,1,0,6
2021-12-12,0,0,5
2021-12-13,3,0,12
2021-12-14,3,0,8
2021-12-15,2,0,7
2021-12-16,5,0,16
2021-12-17,2,0,7
2021-12-18,0,0,1
2021-12-19,1,0,4
2021-12-20,1,0,7
2021-12-21,1,0,7
2021-12-22,0,0,4
2021-12-23,2,0,9
2021-12-24,1,0,2
2021-12-25,0,0,5
2021-12-26,0,0,9
2021-12-27,1,0,4
2021-12-28,0,0,6
2021-12-29,0,0,11
2021-12-30,0,0,5
2021-12-31,0,0,18
2022-01-01,0,0,11
2022-01-02,1,0,9
2022-01-03,1,0,26
2022-01-04,3,0,12
2022-01-05,1,0,14
2022-01-06,3,5,19
2022-01-07,7,1,15
2022-01-08,1,1,7
2022-01-09,0,2,8
2022-01-10,1,0,34
2022-01-11,6,0,17
2022-01-12,2,0,11
2022-01-13,4,0,17
2022-01-14,4,0,6
2022-01-15,1,0,1
2022-01-16,1,0,5
2022-01-17,0,2,20
2022-01-18,8,0,10
2022-01-19,9,0,23
2022-01-20,9,3,18
2022-01-21,3,1,19
2022-01-22,1,0,5
2022-01-23,1,0,2
2022-01-24,1,0,18
2022-01-25,5,0,21
2022-01-26,7,0,9
2022-01-27,8,4,19
2022-01-28,8,0,15
2022-01-29,4,0,8
2022-01-30,3,0,3
2022-01-31,1,3,10
2022-02-01,8,0,20
2022-02-02,4,0,6
2022-02-03,4,0,12
2022-02-04,4,0,9
2022-02-05,3,0,9
2022-02-06,1,0,9
2022-02-07,4,0,12
2022-02-08,7,2,10
2022-02-09,4,1,8
2022-02-10,5,0,14
2022-02-11,9,0,2
2022-02-12,4,0,10
2022-02-13,1,0,3
2022-02-14,4,0,13
2022-02-15,12,0,11
