,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2016-10-05,4,14,0
2016-10-06,12,5,0
2016-10-07,2,5,0
2016-10-08,5,5,14
2016-10-09,7,0,2
2016-10-10,4,1,0
2016-10-11,0,4,1
2016-10-12,1,1,1
2016-10-13,2,0,0
2016-10-14,2,7,0
2016-10-15,8,0,1
2016-10-16,8,0,0
2016-10-17,17,3,0
2016-10-18,2,5,0
2016-10-19,3,1,18
2016-10-20,2,0,12
2016-10-21,1,0,2
2016-10-22,1,0,2
2016-10-23,2,0,0
2016-10-24,7,0,0
2016-10-25,51,13,3
2016-10-26,12,1,0
2016-10-27,1,12,0
2016-10-28,9,0,3
2016-10-29,5,0,0
2016-10-30,2,1,0
2016-10-31,4,3,1
2016-11-01,2,14,0
2016-11-02,2,11,12
2016-11-03,3,2,5
2016-11-04,5,7,0
2016-11-05,7,0,0
2016-11-06,6,0,0
2016-11-07,1,3,0
2016-11-08,0,0,7
2016-11-09,1,3,6
2016-11-10,0,1,0
2016-11-11,0,1,2
2016-11-12,0,2,0
2016-11-13,1,3,8
2016-11-14,4,4,7
2016-11-15,0,1,9
2016-11-16,3,1,2
2016-11-17,3,7,5
2016-11-18,2,5,0
2016-11-19,0,0,2
2016-11-20,0,0,0
2016-11-21,2,4,8
2016-11-22,5,0,12
2016-11-23,3,0,2
2016-11-24,1,0,2
2016-11-25,0,1,3
2016-11-26,0,0,0
2016-11-27,0,0,0
2016-11-28,3,7,1
2016-11-29,0,0,1
2016-11-30,0,2,13
2016-12-01,9,9,4
2016-12-02,16,0,0
2016-12-03,4,0,0
2016-12-04,0,0,0
2016-12-05,3,0,0
2016-12-06,6,7,0
2016-12-07,0,1,0
2016-12-08,1,1,2
2016-12-09,6,10,0
2016-12-10,0,4,0
2016-12-11,2,0,0
2016-12-12,1,2,0
2016-12-13,1,0,0
2016-12-14,0,1,0
2016-12-15,5,0,0
2016-12-16,7,1,5
2016-12-17,12,0,0
2016-12-18,2,0,0
2016-12-19,16,8,5
2016-12-20,30,0,0
2016-12-21,10,0,0
2016-12-22,20,0,0
2016-12-23,7,0,0
2016-12-24,9,0,0
2016-12-25,2,0,0
2016-12-26,9,0,0
2016-12-27,8,10,0
2016-12-28,9,3,0
2016-12-29,6,1,0
2016-12-30,6,1,0
2016-12-31,11,0,0
2017-01-01,9,0,0
2017-01-02,6,8,1
2017-01-03,5,9,0
2017-01-04,0,0,0
2017-01-05,12,3,0
2017-01-06,6,2,0
2017-01-07,4,0,0
2017-01-08,5,0,0
2017-01-09,4,6,0
2017-01-10,5,0,4
2017-01-11,2,7,0
2017-01-12,10,10,3
2017-01-13,3,7,0
2017-01-14,1,0,0
2017-01-15,5,0,0
2017-01-16,15,0,3
2017-01-17,4,1,0
2017-01-18,2,3,0
2017-01-19,3,6,0
2017-01-20,12,4,0
2017-01-21,4,0,0
2017-01-22,5,1,0
2017-01-23,2,0,0
2017-01-24,2,15,0
2017-01-25,2,5,0
2017-01-26,7,0,5
2017-01-27,3,2,4
2017-01-28,3,3,6
2017-01-29,3,0,0
2017-01-30,1,0,0
2017-01-31,3,0,0
2017-02-01,2,1,0
2017-02-02,11,2,0
2017-02-03,5,3,0
2017-02-04,1,8,0
2017-02-05,4,0,1
2017-02-06,2,16,0
2017-02-07,1,15,0
2017-02-08,6,6,0
2017-02-09,14,13,0
2017-02-10,2,1,0
2017-02-11,2,0,0
2017-02-12,8,0,0
2017-02-13,3,0,0
2017-02-14,8,2,0
2017-02-15,16,0,0
2017-02-16,14,0,0
2017-02-17,8,2,0
2017-02-18,5,0,0
2017-02-19,2,0,0
2017-02-20,2,0,1
2017-02-21,4,0,1
2017-02-22,1,9,0
2017-02-23,2,0,7
2017-02-24,1,0,0
2017-02-25,3,0,0
2017-02-26,7,0,0
2017-02-27,8,6,0
2017-02-28,8,0,2
2017-03-01,3,1,0
2017-03-02,4,2,0
2017-03-03,1,1,0
2017-03-04,1,2,0
2017-03-05,3,0,0
2017-03-06,6,0,0
2017-03-07,4,1,0
2017-03-08,2,0,0
2017-03-09,0,3,0
2017-03-10,2,2,0
2017-03-11,0,2,0
2017-03-12,3,1,0
2017-03-13,5,0,0
2017-03-14,5,4,0
