,highcharts/highcharts,plotly/plotly.js,d3/d3
2020-06-19,3,1,0
2020-06-20,0,0,0
2020-06-21,0,0,0
2020-06-22,0,13,0
2020-06-23,16,4,0
2020-06-24,0,10,0
2020-06-25,5,0,0
2020-06-26,0,0,0
2020-06-27,0,0,0
2020-06-28,0,0,0
2020-06-29,6,0,0
2020-06-30,5,7,0
2020-07-01,39,2,0
2020-07-02,4,6,0
2020-07-03,0,0,0
2020-07-04,0,0,0
2020-07-05,0,0,0
2020-07-06,18,11,0
2020-07-07,23,6,0
2020-07-08,8,5,0
2020-07-09,10,5,0
2020-07-10,33,1,0
2020-07-11,0,0,0
2020-07-12,0,0,0
2020-07-13,9,2,0
2020-07-14,1,0,0
2020-07-15,16,0,0
2020-07-16,8,3,0
2020-07-17,0,3,0
2020-07-18,0,0,0
2020-07-19,0,0,0
2020-07-20,8,9,0
2020-07-21,2,2,0
2020-07-22,2,5,0
2020-07-23,6,8,1
2020-07-24,2,7,0
2020-07-25,0,0,0
2020-07-26,0,0,0
2020-07-27,5,3,1
2020-07-28,10,3,2
2020-07-29,9,5,0
2020-07-30,9,8,0
2020-07-31,7,3,1
2020-08-01,0,0,0
2020-08-02,0,0,0
2020-08-03,19,0,0
2020-08-04,15,9,0
2020-08-05,6,0,0
2020-08-06,11,2,0
2020-08-07,10,4,0
2020-08-08,0,0,0
2020-08-09,0,0,0
2020-08-10,4,5,0
2020-08-11,10,6,0
2020-08-12,6,22,0
2020-08-13,29,17,0
2020-08-14,16,20,0
2020-08-15,0,0,0
2020-08-16,0,0,0
2020-08-17,27,15,0
2020-08-18,8,17,0
2020-08-19,4,17,0
2020-08-20,6,6,0
2020-08-21,18,11,0
2020-08-22,0,0,0
2020-08-23,0,0,4
2020-08-24,18,0,27
2020-08-25,13,5,4
2020-08-26,23,1,6
2020-08-27,6,2,10
2020-08-28,5,1,1
2020-08-29,0,0,2
2020-08-30,1,0,0
2020-08-31,4,15,2
2020-09-01,16,11,0
2020-09-02,4,23,1
2020-09-03,4,16,0
2020-09-04,3,6,0
2020-09-05,0,0,0
