,ansible/ansible,cfengine/core,saltstack/salt
2012-03-05,17,2,17
2012-03-06,17,8,43
2012-03-07,11,14,16
2012-03-08,7,9,19
2012-03-09,22,1,22
2012-03-10,21,4,11
2012-03-11,12,0,11
2012-03-12,14,9,10
2012-03-13,14,7,17
2012-03-14,20,4,24
2012-03-15,8,5,21
2012-03-16,14,9,50
2012-03-17,2,0,61
2012-03-18,20,6,41
2012-03-19,3,16,72
2012-03-20,8,2,50
2012-03-21,8,16,25
2012-03-22,18,1,11
2012-03-23,5,3,11
2012-03-24,14,1,4
2012-03-25,2,2,9
2012-03-26,9,4,2
2012-03-27,30,1,14
2012-03-28,15,12,27
2012-03-29,9,3,23
2012-03-30,6,3,4
2012-03-31,41,0,13
2012-04-01,6,0,10
2012-04-02,16,8,8
2012-04-03,14,6,46
2012-04-04,20,6,29
2012-04-05,10,5,20
2012-04-06,6,6,15
2012-04-07,2,2,12
2012-04-08,0,0,7
2012-04-09,1,3,13
2012-04-10,9,16,17
2012-04-11,8,3,14
2012-04-12,14,5,2
2012-04-13,26,2,8
2012-04-14,10,0,5
2012-04-15,1,0,0
2012-04-16,8,5,11
2012-04-17,39,13,10
2012-04-18,20,4,30
2012-04-19,42,4,19
2012-04-20,6,0,42
2012-04-21,15,1,21
2012-04-22,13,1,7
2012-04-23,7,1,14
2012-04-24,34,3,18
2012-04-25,8,20,43
2012-04-26,22,2,23
2012-04-27,22,3,7
2012-04-28,9,0,3
2012-04-29,0,0,13
2012-04-30,0,9,7
2012-05-01,13,2,24
2012-05-02,32,10,52
2012-05-03,13,3,17
2012-05-04,5,3,14
2012-05-05,4,1,16
2012-05-06,17,0,5
2012-05-07,7,8,7
2012-05-08,25,3,9
2012-05-09,5,6,13
2012-05-10,36,4,39
2012-05-11,16,6,13
2012-05-12,2,3,17
2012-05-13,6,0,40
2012-05-14,10,13,22
2012-05-15,8,1,11
2012-05-16,2,0,8
2012-05-17,2,1,15
2012-05-18,0,5,8
2012-05-19,4,21,17
2012-05-20,6,0,10
2012-05-21,0,5,14
2012-05-22,3,5,15
2012-05-23,2,13,34
2012-05-24,1,20,13
2012-05-25,5,8,2
2012-05-26,3,9,19
2012-05-27,2,0,22
2012-05-28,0,0,14
2012-05-29,6,5,12
2012-05-30,9,10,31
2012-05-31,3,7,13
2012-06-01,10,11,7
2012-06-02,0,16,4
2012-06-03,0,1,20
2012-06-04,0,9,19
2012-06-05,3,1,20
2012-06-06,1,5,28
2012-06-07,4,3,9
2012-06-08,5,2,12
2012-06-09,2,0,12
2012-06-10,2,0,9
2012-06-11,3,0,15
2012-06-12,1,6,10
2012-06-13,3,5,13
2012-06-14,12,4,3
2012-06-15,8,7,11
2012-06-16,5,4,18
2012-06-17,4,0,3
2012-06-18,3,2,25
2012-06-19,6,0,53
2012-06-20,14,5,6
2012-06-21,9,3,1
2012-06-22,3,7,33
2012-06-23,1,0,31
2012-06-24,0,1,6
2012-06-25,6,1,21
2012-06-26,4,6,24
2012-06-27,2,15,13
2012-06-28,0,3,4
2012-06-29,3,3,4
2012-06-30,2,3,85
2012-07-01,2,0,30
2012-07-02,8,2,13
2012-07-03,8,1,13
2012-07-04,10,10,9
2012-07-05,2,2,13
2012-07-06,4,3,45
