,spring-projects/spring-framework,apache/struts,apache/tomcat
2020-08-10,18,0,2
2020-08-11,6,2,4
2020-08-12,1,0,8
2020-08-13,0,0,3
2020-08-14,3,0,3
2020-08-15,0,1,0
2020-08-16,2,0,3
2020-08-17,4,3,10
2020-08-18,0,4,7
2020-08-19,9,0,8
2020-08-20,1,1,1
2020-08-21,0,1,9
2020-08-22,3,2,0
2020-08-23,0,0,0
2020-08-24,2,0,2
2020-08-25,8,0,3
2020-08-26,4,0,5
2020-08-27,14,0,17
2020-08-28,14,1,2
2020-08-29,0,0,0
2020-08-30,4,1,0
2020-08-31,7,1,1
2020-09-01,12,0,5
2020-09-02,6,0,1
2020-09-03,6,0,0
2020-09-04,0,1,0
2020-09-05,6,0,2
2020-09-06,0,0,0
2020-09-07,21,1,3
2020-09-08,11,0,8
2020-09-09,1,0,5
2020-09-10,1,2,6
2020-09-11,5,1,3
2020-09-12,2,0,0
2020-09-13,6,0,0
2020-09-14,16,0,3
2020-09-15,15,0,12
2020-09-16,1,0,19
2020-09-17,1,2,12
2020-09-18,11,0,9
2020-09-19,1,0,0
2020-09-20,0,0,0
2020-09-21,2,1,4
2020-09-22,1,0,1
2020-09-23,1,0,4
2020-09-24,3,0,11
2020-09-25,36,0,10
2020-09-26,3,0,0
2020-09-27,0,0,0
2020-09-28,1,0,2
2020-09-29,2,0,7
2020-09-30,4,0,3
2020-10-01,2,0,6
2020-10-02,6,0,3
2020-10-03,0,0,4
2020-10-04,0,0,0
2020-10-05,0,0,7
2020-10-06,17,0,5
2020-10-07,9,0,1
2020-10-08,2,0,2
2020-10-09,5,1,8
2020-10-10,1,0,3
2020-10-11,0,0,1
2020-10-12,28,0,4
2020-10-13,13,2,1
2020-10-14,4,4,1
2020-10-15,11,0,9
2020-10-16,11,0,12
2020-10-17,0,4,0
2020-10-18,0,0,3
2020-10-19,5,0,3
2020-10-20,3,0,1
2020-10-21,5,0,3
2020-10-22,8,0,1
2020-10-23,15,0,0
2020-10-24,5,0,0
2020-10-25,2,0,0
2020-10-26,35,0,4
2020-10-27,16,0,1
2020-10-28,0,0,1
2020-10-29,4,0,3
2020-10-30,3,0,6
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,5,0,4
2020-11-03,5,0,2
2020-11-04,15,0,0
2020-11-05,8,2,4
2020-11-06,1,0,10
2020-11-07,0,0,0
2020-11-08,3,1,0
2020-11-09,18,0,4
2020-11-10,5,0,4
2020-11-11,1,0,3
2020-11-12,13,0,1
2020-11-13,3,3,0
2020-11-14,0,1,0
2020-11-15,1,0,0
2020-11-16,9,0,0
2020-11-17,9,1,2
2020-11-18,5,1,6
2020-11-19,11,4,6
2020-11-20,4,3,1
2020-11-21,0,1,0
2020-11-22,0,1,0
2020-11-23,8,1,2
2020-11-24,4,0,0
2020-11-25,3,0,3
2020-11-26,4,0,3
2020-11-27,2,0,0
2020-11-28,0,3,0
