,netdata/netdata,cacti/cacti,grafana/grafana
2022-01-23,0,0,1
2022-01-24,2,2,17
2022-01-25,2,45,17
2022-01-26,4,0,15
2022-01-27,4,0,21
2022-01-28,4,0,17
2022-01-29,1,27,1
2022-01-30,0,69,0
2022-01-31,1,2,30
2022-02-01,2,0,22
2022-02-02,5,0,25
2022-02-03,3,2,33
2022-02-04,4,27,26
2022-02-05,1,3,1
2022-02-06,0,29,0
2022-02-07,2,0,25
2022-02-08,5,3,39
2022-02-09,2,2,40
2022-02-10,8,0,36
2022-02-11,6,0,33
2022-02-12,1,1,0
2022-02-13,0,6,0
2022-02-14,4,1,1
2022-02-15,4,15,27
2022-02-16,5,2,25
2022-02-17,11,0,30
2022-02-18,7,2,28
2022-02-19,2,13,2
2022-02-20,1,12,0
2022-02-21,10,35,17
2022-02-22,12,5,13
2022-02-23,7,8,20
2022-02-24,7,30,25
2022-02-25,6,2,22
2022-02-26,2,0,1
2022-02-27,1,27,0
2022-02-28,7,3,17
2022-03-01,7,18,18
2022-03-02,6,14,27
2022-03-03,8,4,33
2022-03-04,4,1,23
2022-03-05,0,0,0
2022-03-06,2,0,0
2022-03-07,4,0,8
2022-03-08,11,0,11
2022-03-09,9,2,11
2022-03-10,6,6,12
2022-03-11,6,11,11
2022-03-12,1,3,1
2022-03-13,1,7,0
2022-03-14,11,3,17
2022-03-15,12,25,18
2022-03-16,12,13,21
2022-03-17,7,4,19
2022-03-18,8,2,17
2022-03-19,1,3,1
2022-03-20,0,2,0
2022-03-21,5,1,25
2022-03-22,5,2,19
2022-03-23,7,0,22
2022-03-24,10,0,18
2022-03-25,3,2,12
2022-03-26,1,0,4
2022-03-27,0,0,0
2022-03-28,9,1,0
2022-03-29,4,4,23
2022-03-30,11,1,26
2022-03-31,11,2,31
2022-04-01,7,0,24
2022-04-02,1,24,2
2022-04-03,0,1,0
2022-04-04,7,0,28
2022-04-05,5,2,32
2022-04-06,7,1,35
2022-04-07,3,0,19
2022-04-08,3,0,22
2022-04-09,1,2,0
2022-04-10,0,0,0
2022-04-11,12,3,15
2022-04-12,8,6,33
2022-04-13,7,8,27
2022-04-14,3,16,23
2022-04-15,8,53,13
2022-04-16,1,8,0
2022-04-17,0,0,0
2022-04-18,2,3,4
2022-04-19,10,4,13
2022-04-20,11,4,41
2022-04-21,2,0,35
2022-04-22,2,0,22
2022-04-23,2,1,2
2022-04-24,1,4,2
2022-04-25,8,1,19
2022-04-26,4,0,22
2022-04-27,7,0,24
2022-04-28,8,0,38
2022-04-29,2,0,28
2022-04-30,1,1,0
2022-05-01,0,1,0
2022-05-02,15,2,22
2022-05-03,12,1,26
2022-05-04,8,1,31
2022-05-05,9,0,36
2022-05-06,5,1,24
2022-05-07,4,0,0
2022-05-08,1,1,1
2022-05-09,6,0,6
2022-05-10,8,0,4
2022-05-11,9,0,8
2022-05-12,5,0,13
2022-05-13,7,0,8
2022-05-14,3,0,0
2022-05-15,3,1,2
2022-05-16,11,0,28
2022-05-17,10,0,35
2022-05-18,7,1,29
2022-05-19,4,0,30
2022-05-20,7,0,27
2022-05-21,3,0,5
2022-05-22,1,0,4
2022-05-23,7,0,62
2022-05-24,10,0,36
2022-05-25,4,0,39
2022-05-26,4,0,36
2022-05-27,8,0,9
2022-05-28,2,0,1
2022-05-29,1,0,0
2022-05-30,3,0,24
2022-05-31,9,0,39
2022-06-01,7,0,35
2022-06-02,7,0,37
2022-06-03,4,0,32
2022-06-04,1,2,5
2022-06-05,0,0,3
2022-06-06,5,1,15
2022-06-07,4,0,33
2022-06-08,5,1,31
2022-06-09,3,1,38
2022-06-10,4,5,29
2022-06-11,1,5,3
2022-06-12,0,0,0
2022-06-13,4,1,32
2022-06-14,9,4,40
2022-06-15,7,1,24
2022-06-16,12,3,25
2022-06-17,8,42,34
2022-06-18,1,12,1
2022-06-19,0,34,0
2022-06-20,4,3,30
2022-06-21,3,6,30
2022-06-22,8,6,40
2022-06-23,4,2,29
2022-06-24,2,6,21
2022-06-25,2,0,1
2022-06-26,2,6,0
2022-06-27,9,0,29
2022-06-28,12,3,22
2022-06-29,8,0,34
2022-06-30,19,28,27
2022-07-01,4,2,2
2022-07-02,1,0,0
2022-07-03,0,1,0
2022-07-04,2,0,17
2022-07-05,6,1,14
2022-07-06,8,1,39
2022-07-07,8,1,46
2022-07-08,6,0,27
2022-07-09,2,0,1
2022-07-10,1,0,0
2022-07-11,6,3,19
2022-07-12,9,0,20
2022-07-13,8,0,20
2022-07-14,4,0,37
2022-07-15,2,0,22
2022-07-16,1,0,1
2022-07-17,0,0,1
2022-07-18,2,0,24
2022-07-19,3,3,37
2022-07-20,5,6,33
2022-07-21,4,0,22
2022-07-22,3,4,23
2022-07-23,1,0,7
2022-07-24,1,0,3
2022-07-25,3,0,31
2022-07-26,4,0,28
2022-07-27,4,0,32
2022-07-28,7,0,22
2022-07-29,5,0,18
2022-07-30,1,0,0
2022-07-31,0,1,0
2022-08-01,4,0,30
2022-08-02,5,0,30
2022-08-03,4,0,42
2022-08-04,7,0,18
2022-08-05,5,0,5
2022-08-06,2,0,0
2022-08-07,1,4,0
2022-08-08,2,0,30
2022-08-09,4,25,26
2022-08-10,3,6,37
2022-08-11,4,0,34
2022-08-12,3,4,26
2022-08-13,5,0,2
2022-08-14,1,1,0
2022-08-15,3,0,9
2022-08-16,4,0,21
2022-08-17,2,0,21
2022-08-18,8,2,27
2022-08-19,4,2,15
2022-08-20,1,0,0
2022-08-21,0,9,0
2022-08-22,4,5,30
2022-08-23,7,2,22
2022-08-24,3,2,26
2022-08-25,4,0,28
2022-08-26,3,0,34
2022-08-27,4,0,1
2022-08-28,1,0,1
2022-08-29,0,0,12
2022-08-30,0,0,19
2022-08-31,6,0,21
2022-09-01,6,0,28
2022-09-02,4,0,30
2022-09-03,2,0,0
2022-09-04,2,0,0
2022-09-05,3,0,24
2022-09-06,4,0,28
2022-09-07,9,0,23
2022-09-08,4,0,20
2022-09-09,2,1,34
2022-09-10,1,0,1
2022-09-11,0,2,0
2022-09-12,1,0,27
2022-09-13,2,0,22
2022-09-14,7,0,34
2022-09-15,2,1,23
2022-09-16,3,2,26
2022-09-17,1,0,1
2022-09-18,1,2,0
2022-09-19,5,2,35
2022-09-20,2,0,42
2022-09-21,7,0,40
2022-09-22,5,0,29
2022-09-23,3,0,29
2022-09-24,3,4,0
2022-09-25,1,0,0
2022-09-26,4,2,29
2022-09-27,2,0,47
2022-09-28,4,0,36
2022-09-29,2,3,23
2022-09-30,5,0,27
2022-10-01,1,1,1
2022-10-02,0,1,0
2022-10-03,3,3,23
2022-10-04,5,0,49
2022-10-05,4,7,32
2022-10-06,5,1,29
2022-10-07,2,27,28
2022-10-08,1,9,2
2022-10-09,3,1,0
2022-10-10,13,3,32
2022-10-11,7,0,47
2022-10-12,2,0,24
2022-10-13,9,0,25
2022-10-14,6,0,27
2022-10-15,1,6,3
2022-10-16,1,43,2
2022-10-17,8,12,31
2022-10-18,5,29,32
2022-10-19,3,4,42
2022-10-20,2,1,34
2022-10-21,4,0,25
2022-10-22,2,0,3
2022-10-23,3,0,0
2022-10-24,7,0,26
2022-10-25,9,2,31
2022-10-26,7,0,26
2022-10-27,4,0,31
2022-10-28,4,0,25
2022-10-29,2,0,0
2022-10-30,1,0,0
2022-10-31,8,2,27
2022-11-01,9,3,24
2022-11-02,6,8,32
2022-11-03,6,2,41
2022-11-04,2,2,28
2022-11-05,1,4,2
2022-11-06,0,36,1
2022-11-07,3,8,32
2022-11-08,3,3,40
2022-11-09,4,2,25
2022-11-10,5,0,26
2022-11-11,6,1,21
2022-11-12,1,51,2
2022-11-13,1,6,1
2022-11-14,4,3,16
2022-11-15,8,0,17
2022-11-16,3,4,30
2022-11-17,2,3,14
2022-11-18,8,2,26
2022-11-19,0,0,0
2022-11-20,2,7,0
2022-11-21,5,0,25
2022-11-22,6,0,38
2022-11-23,2,1,45
2022-11-24,3,10,29
2022-11-25,7,30,2
2022-11-26,1,47,0
2022-11-27,0,56,0
2022-11-28,6,6,32
2022-11-29,7,4,30
2022-11-30,2,11,47
2022-12-01,7,16,32
2022-12-02,6,4,27
2022-12-03,3,11,0
2022-12-04,1,12,1
2022-12-05,1,13,16
2022-12-06,5,4,17
2022-12-07,3,2,26
2022-12-08,3,6,24
2022-12-09,10,9,21
2022-12-10,1,4,1
2022-12-11,0,2,1
2022-12-12,1,6,31
2022-12-13,6,1,32
2022-12-14,8,3,41
2022-12-15,1,13,34
2022-12-16,3,0,15
2022-12-17,1,11,0
2022-12-18,0,10,0
2022-12-19,2,4,34
2022-12-20,2,1,30
2022-12-21,6,10,31
2022-12-22,9,2,23
2022-12-23,7,2,11
2022-12-24,1,0,0
2022-12-25,0,1,1
2022-12-26,0,0,5
2022-12-27,0,0,6
2022-12-28,1,0,5
2022-12-29,1,2,12
2022-12-30,0,1,4
2022-12-31,1,0,0
2023-01-01,1,14,0
2023-01-02,0,2,7
2023-01-03,1,3,21
2023-01-04,7,3,31
2023-01-05,3,4,22
2023-01-06,4,1,21
2023-01-07,1,2,2
2023-01-08,0,26,0
2023-01-09,2,0,25
2023-01-10,5,3,36
2023-01-11,6,0,32
2023-01-12,6,0,38
2023-01-13,11,2,44
2023-01-14,3,4,1
2023-01-15,0,0,0
2023-01-16,7,2,25
2023-01-17,10,2,39
2023-01-18,5,0,37
2023-01-19,4,6,38
2023-01-20,9,0,26
2023-01-21,1,0,2
2023-01-22,0,16,1
2023-01-23,3,0,48
2023-01-24,2,1,35
2023-01-25,10,0,44
2023-01-26,3,0,57
2023-01-27,4,0,60
2023-01-28,1,0,1
2023-01-29,0,0,0
2023-01-30,24,0,54
2023-01-31,7,0,43
2023-02-01,8,2,39
2023-02-02,11,0,47
2023-02-03,10,0,38
2023-02-04,1,0,0
2023-02-05,0,0,0
2023-02-06,10,0,26
2023-02-07,10,0,41
2023-02-08,22,0,26
2023-02-09,9,0,27
2023-02-10,12,0,25
2023-02-11,2,0,3
2023-02-12,6,0,2
2023-02-13,2,0,2
2023-02-14,8,0,4
2023-02-15,9,0,0
2023-02-16,7,0,4
2023-02-17,9,0,1
2023-02-18,1,0,1
2023-02-19,0,0,0
2023-02-20,9,0,15
2023-02-21,13,0,16
2023-02-22,7,0,27
2023-02-23,8,0,33
2023-02-24,5,1,24
2023-02-25,4,0,0
2023-02-26,6,0,0
2023-02-27,6,0,20
2023-02-28,14,0,30
2023-03-01,7,0,31
2023-03-02,6,0,31
2023-03-03,5,0,32
2023-03-04,1,0,1
2023-03-05,0,0,0
2023-03-06,1,0,40
2023-03-07,11,1,34
2023-03-08,9,0,48
2023-03-09,3,0,37
2023-03-10,5,1,31
2023-03-11,0,0,1
2023-03-12,0,0,1
2023-03-13,7,0,18
2023-03-14,7,1,25
2023-03-15,6,0,20
2023-03-16,10,0,26
2023-03-17,9,0,21
2023-03-18,1,0,0
2023-03-19,0,0,1
2023-03-20,5,0,36
2023-03-21,16,0,28
2023-03-22,6,0,41
2023-03-23,5,0,25
2023-03-24,1,0,0
2023-03-25,0,0,0
2023-03-26,0,6,0
2023-03-27,7,0,23
2023-03-28,5,0,38
2023-03-29,12,0,25
2023-03-30,5,0,43
2023-03-31,2,0,37
2023-04-01,1,15,1
2023-04-02,0,20,0
2023-04-03,3,9,39
2023-04-04,4,0,26
2023-04-05,3,0,35
2023-04-06,3,3,19
2023-04-07,6,4,12
2023-04-08,1,18,0
2023-04-09,1,0,1
2023-04-10,3,2,3
2023-04-11,5,0,33
2023-04-12,10,2,33
2023-04-13,4,0,47
2023-04-14,3,0,31
2023-04-15,0,0,2
2023-04-16,0,3,0
2023-04-17,4,11,29
2023-04-18,7,3,39
2023-04-19,3,0,30
2023-04-20,14,2,37
2023-04-21,5,1,37
2023-04-22,3,4,2
2023-04-23,2,14,0
2023-04-24,3,3,36
2023-04-25,8,1,37
2023-04-26,11,0,35
2023-04-27,7,1,56
2023-04-28,1,0,53
2023-04-29,0,2,1
2023-04-30,0,5,0
2023-05-01,2,1,13
2023-05-02,10,0,21
2023-05-03,5,3,33
2023-05-04,2,0,20
2023-05-05,4,1,27
2023-05-06,1,0,3
2023-05-07,1,1,1
2023-05-08,4,0,21
2023-05-09,4,0,35
2023-05-10,6,0,41
2023-05-11,7,0,25
2023-05-12,3,0,27
2023-05-13,1,0,0
2023-05-14,0,1,1
2023-05-15,4,1,27
2023-05-16,3,0,27
2023-05-17,7,0,22
2023-05-18,4,0,13
2023-05-19,3,0,0
2023-05-20,1,1,0
2023-05-21,0,0,0
2023-05-22,2,1,33
2023-05-23,3,0,21
2023-05-24,9,0,22
2023-05-25,3,0,35
2023-05-26,2,0,33
2023-05-27,2,0,0
2023-05-28,1,0,0
2023-05-29,3,3,8
2023-05-30,6,0,29
2023-05-31,5,3,20
2023-06-01,5,1,22
2023-06-02,4,0,27
2023-06-03,1,1,1
2023-06-04,0,0,0
2023-06-05,3,1,22
2023-06-06,4,3,31
2023-06-07,7,0,22
2023-06-08,7,0,31
2023-06-09,1,0,14
2023-06-10,1,0,1
2023-06-11,0,1,2
2023-06-12,4,16,23
2023-06-13,4,0,18
2023-06-14,5,0,31
2023-06-15,4,1,28
2023-06-16,5,0,36
2023-06-17,0,12,4
2023-06-18,0,0,0
2023-06-19,5,6,12
2023-06-20,8,0,27
2023-06-21,8,4,38
2023-06-22,4,0,26
2023-06-23,2,0,30
2023-06-24,1,3,0
2023-06-25,0,1,0
2023-06-26,6,0,26
2023-06-27,3,2,25
2023-06-28,9,0,34
2023-06-29,7,0,23
2023-06-30,6,0,15
2023-07-01,1,3,0
2023-07-02,0,0,0
2023-07-03,7,0,1
2023-07-04,6,1,21
2023-07-05,5,0,24
2023-07-06,11,0,20
2023-07-07,4,0,25
2023-07-08,1,1,0
2023-07-09,2,0,0
2023-07-10,7,0,20
2023-07-11,17,0,33
2023-07-12,14,0,31
2023-07-13,11,0,33
2023-07-14,10,0,32
2023-07-15,10,1,1
2023-07-16,5,5,1
2023-07-17,23,0,37
2023-07-18,37,0,44
2023-07-19,16,0,35
2023-07-20,22,0,21
2023-07-21,11,1,34
2023-07-22,3,4,0
2023-07-23,2,2,0
2023-07-24,18,4,39
2023-07-25,27,7,44
2023-07-26,27,1,39
2023-07-27,54,4,18
2023-07-28,37,1,25
2023-07-29,0,0,1
2023-07-30,1,0,0
2023-07-31,14,1,19
2023-08-01,34,0,28
2023-08-02,20,0,25
2023-08-03,17,0,34
2023-08-04,9,14,19
2023-08-05,2,1,0
2023-08-06,1,0,0
2023-08-07,7,0,11
2023-08-08,10,3,14
2023-08-09,8,0,13
2023-08-10,14,3,14
2023-08-11,6,4,8
2023-08-12,1,5,0
2023-08-13,1,3,1
2023-08-14,8,2,12
2023-08-15,6,1,13
2023-08-16,4,0,18
2023-08-17,14,0,21
2023-08-18,6,0,25
2023-08-19,1,4,0
2023-08-20,0,20,0
2023-08-21,13,0,14
2023-08-22,5,0,18
2023-08-23,3,0,23
2023-08-24,5,2,17
2023-08-25,5,0,24
2023-08-26,1,0,0
2023-08-27,0,0,1
2023-08-28,0,0,33
2023-08-29,0,0,31
2023-08-30,1,0,29
2023-08-31,4,0,27
2023-09-01,6,1,17
2023-09-02,1,0,0
2023-09-03,0,0,1
2023-09-04,2,0,19
2023-09-05,5,0,21
2023-09-06,3,10,29
2023-09-07,1,2,29
2023-09-08,3,0,16
2023-09-09,1,1,1
2023-09-10,0,0,0
2023-09-11,3,0,31
2023-09-12,8,0,37
2023-09-13,9,0,39
2023-09-14,9,0,30
2023-09-15,6,0,1
2023-09-16,3,0,0
2023-09-17,1,0,0
2023-09-18,6,0,33
2023-09-19,9,0,33
2023-09-20,7,0,30
2023-09-21,4,0,24
2023-09-22,2,0,33
2023-09-23,1,8,2
2023-09-24,0,1,0
2023-09-25,3,0,28
2023-09-26,11,1,26
2023-09-27,7,2,29
2023-09-28,4,1,40
2023-09-29,3,0,39
2023-09-30,1,13,0
2023-10-01,0,12,0
2023-10-02,20,8,26
2023-10-03,22,5,42
2023-10-04,8,6,44
2023-10-05,14,1,32
2023-10-06,11,1,31
2023-10-07,9,3,1
2023-10-08,11,0,0
2023-10-09,3,0,22
2023-10-10,9,0,36
2023-10-11,4,0,41
2023-10-12,1,0,46
2023-10-13,14,0,59
2023-10-14,10,11,1
2023-10-15,8,7,0
2023-10-16,11,0,21
2023-10-17,26,1,32
2023-10-18,24,0,18
2023-10-19,4,0,26
2023-10-20,12,0,23
2023-10-21,3,0,3
2023-10-22,2,0,0
2023-10-23,4,0,44
2023-10-24,5,0,40
2023-10-25,3,0,39
2023-10-26,4,0,28
2023-10-27,11,0,39
2023-10-28,8,7,1
2023-10-29,4,1,0
2023-10-30,7,4,33
2023-10-31,4,0,35
2023-11-01,8,0,32
2023-11-02,7,0,30
2023-11-03,9,0,30
2023-11-04,3,0,0
2023-11-05,2,3,0
2023-11-06,12,2,34
2023-11-07,13,0,34
2023-11-08,4,0,34
2023-11-09,10,0,26
2023-11-10,8,1,22
2023-11-11,3,0,0
2023-11-12,7,15,1
2023-11-13,9,17,24
2023-11-14,3,9,35
2023-11-15,6,1,42
2023-11-16,5,5,25
2023-11-17,7,7,29
2023-11-18,1,10,2
2023-11-19,0,15,0
2023-11-20,2,13,28
2023-11-21,7,0,34
2023-11-22,14,5,31
2023-11-23,5,13,23
2023-11-24,5,9,20
2023-11-25,1,3,0
2023-11-26,1,7,0
2023-11-27,7,4,21
2023-11-28,11,1,24
2023-11-29,9,0,44
2023-11-30,14,2,27
2023-12-01,6,3,19
2023-12-02,1,2,1
2023-12-03,2,1,1
2023-12-04,8,0,16
2023-12-05,9,2,15
2023-12-06,8,0,23
2023-12-07,11,3,23
2023-12-08,4,2,12
2023-12-09,1,0,0
2023-12-10,0,0,0
2023-12-11,6,0,25
2023-12-12,9,7,44
2023-12-13,8,0,28
2023-12-14,9,0,23
2023-12-15,5,0,27
2023-12-16,1,0,3
2023-12-17,1,0,2
2023-12-18,3,0,23
2023-12-19,4,0,27
2023-12-20,6,0,25
2023-12-21,10,0,15
2023-12-22,2,0,1
2023-12-23,1,0,1
2023-12-24,2,1,0
2023-12-25,1,0,0
2023-12-26,1,0,4
2023-12-27,8,0,5
2023-12-28,5,3,4
2023-12-29,14,0,6
2023-12-30,1,0,0
2023-12-31,0,1,0
2024-01-01,0,2,1
2024-01-02,2,0,16
2024-01-03,3,0,21
2024-01-04,10,1,32
2024-01-05,2,0,38
2024-01-06,3,2,1
2024-01-07,1,0,1
2024-01-08,3,0,26
2024-01-09,3,1,26
2024-01-10,6,0,28
2024-01-11,13,1,36
2024-01-12,8,0,33
2024-01-13,5,2,0
2024-01-14,3,0,0
2024-01-15,9,0,25
2024-01-16,2,0,41
2024-01-17,8,1,37
2024-01-18,5,0,39
2024-01-19,4,0,28
2024-01-20,3,0,2
2024-01-21,1,0,0
2024-01-22,4,0,37
2024-01-23,3,0,44
2024-01-24,6,0,34
2024-01-25,6,0,45
2024-01-26,3,0,41
2024-01-27,1,3,0
2024-01-28,0,2,1
2024-01-29,13,5,39
2024-01-30,7,0,38
2024-01-31,10,1,30
2024-02-01,16,0,46
2024-02-02,4,0,35
2024-02-03,5,4,1
2024-02-04,2,0,2
2024-02-05,14,1,33
2024-02-06,17,0,47
2024-02-07,6,2,42
2024-02-08,9,0,32
2024-02-09,2,0,35
2024-02-10,5,0,2
2024-02-11,2,0,1
2024-02-12,9,0,27
2024-02-13,3,0,26
2024-02-14,5,0,36
2024-02-15,3,0,33
2024-02-16,5,0,38
2024-02-17,1,0,3
2024-02-18,0,7,1
2024-02-19,2,1,9
2024-02-20,9,2,30
2024-02-21,3,2,30
2024-02-22,6,0,27
2024-02-23,1,1,37
2024-02-24,1,0,1
2024-02-25,4,0,1
2024-02-26,12,0,35
2024-02-27,5,1,33
2024-02-28,2,0,35
2024-02-29,4,0,31
2024-03-01,3,0,33
2024-03-02,4,0,1
2024-03-03,1,1,0
2024-03-04,6,1,28
2024-03-05,14,0,29
2024-03-06,12,0,32
2024-03-07,4,0,25
2024-03-08,4,0,2
2024-03-09,1,0,1
2024-03-10,0,1,0
2024-03-11,5,1,42
2024-03-12,3,0,42
2024-03-13,2,0,36
2024-03-14,8,0,30
2024-03-15,8,6,42
2024-03-16,1,0,3
2024-03-17,2,0,0
2024-03-18,4,7,42
2024-03-19,6,0,34
2024-03-20,9,0,31
2024-03-21,9,0,45
2024-03-22,9,0,57
2024-03-23,5,0,1
2024-03-24,2,1,1
2024-03-25,3,1,37
2024-03-26,22,0,33
2024-03-27,19,2,25
2024-03-28,4,0,35
2024-03-29,10,1,5
2024-03-30,1,0,2
2024-03-31,0,0,1
2024-04-01,8,0,1
2024-04-02,3,0,14
2024-04-03,3,0,67
2024-04-04,3,1,31
2024-04-05,4,8,32
2024-04-06,1,3,1
2024-04-07,0,4,0
2024-04-08,6,0,33
2024-04-09,9,0,29
2024-04-10,20,0,27
2024-04-11,17,0,32
2024-04-12,8,1,28
2024-04-13,3,0,0
2024-04-14,1,0,0
2024-04-15,3,12,40
2024-04-16,10,0,37
2024-04-17,14,0,44
2024-04-18,7,1,45
2024-04-19,8,1,44
2024-04-20,3,4,0
2024-04-21,5,0,1
2024-04-22,16,0,23
2024-04-23,18,0,35
2024-04-24,10,0,27
2024-04-25,5,0,28
2024-04-26,7,0,16
2024-04-27,1,0,1
2024-04-28,0,0,0
2024-04-29,2,0,55
2024-04-30,12,0,28
2024-05-01,12,0,20
2024-05-02,11,0,42
2024-05-03,4,0,37
2024-05-04,1,0,1
2024-05-05,0,0,1
2024-05-06,6,0,16
2024-05-07,6,0,23
2024-05-08,4,0,21
2024-05-09,8,0,25
2024-05-10,5,0,33
2024-05-11,3,0,2
2024-05-12,3,0,1
2024-05-13,2,0,37
2024-05-14,9,0,38
2024-05-15,11,1,31
2024-05-16,12,0,22
2024-05-17,12,0,3
2024-05-18,1,6,0
2024-05-19,5,0,0
2024-05-20,10,2,25
2024-05-21,9,0,23
2024-05-22,5,0,21
2024-05-23,6,0,20
2024-05-24,7,0,26
2024-05-25,1,1,0
2024-05-26,2,0,0
2024-05-27,9,0,19
2024-05-28,5,0,31
2024-05-29,4,0,27
2024-05-30,10,0,26
2024-05-31,7,0,22
2024-06-01,1,0,0
2024-06-02,0,0,1
2024-06-03,8,0,25
2024-06-04,11,0,34
2024-06-05,8,1,33
2024-06-06,9,1,37
2024-06-07,9,2,33
2024-06-08,1,0,0
2024-06-09,4,0,0
2024-06-10,2,0,27
2024-06-11,3,0,29
2024-06-12,5,0,24
2024-06-13,15,1,29
2024-06-14,13,0,29
2024-06-15,1,0,1
2024-06-16,5,2,0
2024-06-17,12,1,21
2024-06-18,13,0,29
2024-06-19,9,0,28
2024-06-20,13,11,30
2024-06-21,4,20,26
2024-06-22,1,1,1
2024-06-23,0,1,1
