,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2019-05-20,2,1,2
2019-05-21,17,0,3
2019-05-22,12,0,2
2019-05-23,2,3,0
2019-05-24,4,2,0
2019-05-25,1,0,0
2019-05-26,0,0,0
2019-05-27,1,2,2
2019-05-28,3,5,3
2019-05-29,8,0,3
2019-05-30,0,2,3
2019-05-31,1,2,4
2019-06-01,1,0,2
2019-06-02,0,0,0
2019-06-03,2,1,11
2019-06-04,5,1,3
2019-06-05,13,0,5
2019-06-06,0,0,4
2019-06-07,0,2,0
2019-06-08,5,0,0
2019-06-09,0,0,0
2019-06-10,1,4,2
2019-06-11,2,1,1
2019-06-12,4,0,0
2019-06-13,1,6,7
2019-06-14,3,0,3
2019-06-15,0,0,0
2019-06-16,0,0,5
2019-06-17,6,2,6
2019-06-18,4,0,0
2019-06-19,9,0,3
2019-06-20,2,0,12
2019-06-21,2,0,2
2019-06-22,0,0,0
2019-06-23,0,0,1
2019-06-24,5,0,7
2019-06-25,9,0,0
2019-06-26,4,1,1
2019-06-27,4,0,4
2019-06-28,4,2,3
2019-06-29,9,0,1
2019-06-30,4,0,0
2019-07-01,4,1,12
2019-07-02,4,10,0
2019-07-03,5,0,8
2019-07-04,0,3,25
2019-07-05,0,10,0
2019-07-06,0,0,0
2019-07-07,0,0,0
2019-07-08,2,0,12
2019-07-09,13,1,12
2019-07-10,3,4,5
2019-07-11,2,3,10
2019-07-12,6,1,10
2019-07-13,0,0,9
2019-07-14,0,0,0
2019-07-15,4,0,0
2019-07-16,5,1,6
2019-07-17,8,5,8
2019-07-18,6,1,6
2019-07-19,1,0,2
2019-07-20,0,0,6
2019-07-21,0,0,1
2019-07-22,4,2,2
2019-07-23,5,0,0
2019-07-24,1,1,3
2019-07-25,4,2,0
2019-07-26,6,1,4
2019-07-27,0,0,2
2019-07-28,0,0,0
2019-07-29,12,1,0
2019-07-30,4,2,0
2019-07-31,1,2,0
2019-08-01,7,4,13
2019-08-02,2,0,6
2019-08-03,0,0,13
2019-08-04,1,0,0
2019-08-05,8,0,5
2019-08-06,3,11,0
2019-08-07,2,3,0
2019-08-08,1,4,14
2019-08-09,2,1,1
2019-08-10,0,0,0
2019-08-11,0,0,0
2019-08-12,0,0,0
2019-08-13,1,0,9
2019-08-14,0,1,0
2019-08-15,0,4,0
2019-08-16,0,2,0
2019-08-17,0,0,0
2019-08-18,0,0,1
2019-08-19,0,5,2
2019-08-20,0,1,0
2019-08-21,1,1,0
2019-08-22,1,1,2
2019-08-23,0,0,0
2019-08-24,0,0,9
2019-08-25,0,0,0
2019-08-26,2,0,4
2019-08-27,0,5,12
2019-08-28,0,3,6
2019-08-29,2,2,0
2019-08-30,0,0,2
2019-08-31,0,0,1
2019-09-01,0,0,0
2019-09-02,0,4,1
2019-09-03,1,2,5
2019-09-04,0,2,13
2019-09-05,0,4,8
2019-09-06,0,2,4
2019-09-07,0,0,0
2019-09-08,0,0,2
2019-09-09,7,2,6
2019-09-10,3,3,7
2019-09-11,0,4,5
2019-09-12,1,7,0
2019-09-13,0,1,0
2019-09-14,0,0,0
2019-09-15,0,0,11
2019-09-16,0,4,6
2019-09-17,5,1,2
2019-09-18,0,4,6
2019-09-19,1,0,6
2019-09-20,2,0,2
2019-09-21,0,0,8
2019-09-22,0,0,0
2019-09-23,2,3,1
2019-09-24,4,2,5
2019-09-25,9,1,14
2019-09-26,8,1,6
2019-09-27,4,0,3
2019-09-28,0,0,8
2019-09-29,8,0,12
2019-09-30,2,0,2
2019-10-01,2,0,13
2019-10-02,3,3,5
2019-10-03,2,0,7
2019-10-04,1,0,7
2019-10-05,0,0,5
2019-10-06,0,0,2
2019-10-07,3,0,7
2019-10-08,0,2,1
2019-10-09,4,3,1
2019-10-10,4,3,2
2019-10-11,10,0,5
2019-10-12,2,5,6
2019-10-13,0,0,0
2019-10-14,0,1,4
2019-10-15,2,1,16
2019-10-16,4,4,3
2019-10-17,5,3,9
2019-10-18,1,2,4
2019-10-19,0,0,2
2019-10-20,0,0,0
2019-10-21,2,2,7
2019-10-22,4,1,1
2019-10-23,11,0,0
2019-10-24,5,3,0
2019-10-25,4,0,2
2019-10-26,0,0,1
2019-10-27,0,0,2
2019-10-28,0,2,2
2019-10-29,17,0,3
2019-10-30,9,0,20
2019-10-31,16,2,2
2019-11-01,0,0,3
2019-11-02,0,0,0
2019-11-03,0,0,6
2019-11-04,2,0,3
2019-11-05,1,4,9
2019-11-06,3,3,0
2019-11-07,12,1,2
2019-11-08,11,2,4
2019-11-09,0,0,0
2019-11-10,0,0,0
2019-11-11,0,1,10
2019-11-12,1,1,10
2019-11-13,2,0,3
2019-11-14,2,4,1
2019-11-15,5,2,1
2019-11-16,0,0,4
2019-11-17,0,0,5
2019-11-18,3,0,2
2019-11-19,4,2,4
2019-11-20,0,7,1
2019-11-21,0,2,1
2019-11-22,0,2,1
2019-11-23,0,0,2
2019-11-24,0,0,0
2019-11-25,1,1,1
2019-11-26,9,2,0
2019-11-27,11,1,2
2019-11-28,7,0,3
2019-11-29,0,0,6
2019-11-30,0,0,0
2019-12-01,0,0,0
2019-12-02,9,1,6
2019-12-03,3,1,2
2019-12-04,5,0,1
2019-12-05,6,0,0
2019-12-06,12,1,1
2019-12-07,0,0,0
2019-12-08,0,0,1
2019-12-09,7,1,0
2019-12-10,3,0,0
2019-12-11,7,0,1
2019-12-12,13,0,0
2019-12-13,1,2,0
2019-12-14,0,0,1
2019-12-15,0,0,0
2019-12-16,3,0,0
2019-12-17,1,4,1
2019-12-18,2,7,0
2019-12-19,5,2,1
2019-12-20,0,2,0
2019-12-21,3,0,1
2019-12-22,1,0,0
2019-12-23,5,0,1
2019-12-24,2,0,0
2019-12-25,0,1,0
2019-12-26,5,0,1
2019-12-27,5,3,1
2019-12-28,1,0,0
2019-12-29,0,0,0
2019-12-30,1,3,0
2019-12-31,0,0,0
2020-01-01,0,0,3
2020-01-02,1,0,2
2020-01-03,1,0,8
2020-01-04,1,0,11
2020-01-05,0,0,0
2020-01-06,2,0,5
2020-01-07,6,0,2
2020-01-08,1,0,10
2020-01-09,9,1,3
2020-01-10,7,2,4
2020-01-11,2,0,1
2020-01-12,0,0,0
2020-01-13,7,1,0
2020-01-14,0,1,0
2020-01-15,4,0,3
2020-01-16,4,2,15
2020-01-17,0,7,0
2020-01-18,0,0,0
2020-01-19,0,0,0
2020-01-20,1,0,0
2020-01-21,0,2,1
2020-01-22,2,0,0
2020-01-23,1,3,4
2020-01-24,3,0,0
2020-01-25,2,0,0
2020-01-26,1,0,0
2020-01-27,5,0,1
2020-01-28,0,1,0
2020-01-29,2,2,0
2020-01-30,4,0,2
2020-01-31,5,0,0
2020-02-01,1,0,0
2020-02-02,0,0,0
2020-02-03,6,0,0
2020-02-04,3,4,14
2020-02-05,7,1,0
2020-02-06,7,3,0
2020-02-07,10,2,0
2020-02-08,0,0,1
2020-02-09,0,0,0
2020-02-10,4,1,0
2020-02-11,3,0,0
2020-02-12,4,2,2
2020-02-13,5,0,0
2020-02-14,10,2,2
2020-02-15,2,0,3
2020-02-16,0,0,0
2020-02-17,1,6,1
2020-02-18,2,2,0
2020-02-19,3,1,0
2020-02-20,5,0,0
2020-02-21,6,1,0
2020-02-22,1,0,0
2020-02-23,0,0,0
2020-02-24,8,0,2
2020-02-25,10,3,0
2020-02-26,5,1,1
2020-02-27,3,0,1
2020-02-28,14,0,4
2020-02-29,3,0,1
2020-03-01,0,0,0
2020-03-02,5,4,1
2020-03-03,6,5,1
2020-03-04,1,2,3
2020-03-05,2,2,7
2020-03-06,4,0,1
2020-03-07,3,0,3
2020-03-08,0,0,2
2020-03-09,5,0,1
2020-03-10,1,0,6
2020-03-11,4,0,2
2020-03-12,2,1,9
2020-03-13,1,0,5
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,10,2,4
2020-03-17,8,2,13
2020-03-18,2,0,4
2020-03-19,1,1,2
2020-03-20,0,2,10
2020-03-21,2,0,3
2020-03-22,0,0,9
2020-03-23,3,1,2
2020-03-24,12,1,2
2020-03-25,4,2,1
2020-03-26,4,2,0
2020-03-27,15,1,1
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,4,2,15
2020-03-31,0,3,38
2020-04-01,1,1,8
2020-04-02,4,0,7
2020-04-03,7,1,17
