,quarto-dev/quarto-cli,executablebooks/jupyter-book,fastai/fastpages
2020-10-25,3,0,0
2020-10-26,30,2,0
2020-10-27,9,0,0
2020-10-28,20,0,0
2020-10-29,24,0,0
2020-10-30,16,0,0
2020-10-31,5,1,0
2020-11-01,5,0,2
2020-11-02,5,0,0
2020-11-03,12,0,0
2020-11-04,12,1,0
2020-11-05,23,0,1
2020-11-06,16,2,0
2020-11-07,5,0,1
2020-11-08,9,1,0
2020-11-09,15,2,2
2020-11-10,8,0,0
2020-11-11,6,0,0
2020-11-12,10,2,0
2020-11-13,7,0,0
2020-11-14,9,0,1
2020-11-15,5,1,0
2020-11-16,5,0,0
2020-11-17,2,0,3
2020-11-18,14,0,1
2020-11-19,11,0,8
2020-11-20,10,2,1
2020-11-21,11,1,0
2020-11-22,14,0,1
2020-11-23,14,1,1
2020-11-24,14,0,0
2020-11-25,11,2,0
2020-11-26,20,1,2
2020-11-27,4,0,3
2020-11-28,11,0,0
2020-11-29,10,0,1
2020-11-30,27,0,1
2020-12-01,42,0,5
2020-12-02,14,1,2
2020-12-03,12,0,0
2020-12-04,42,1,0
2020-12-05,29,0,0
2020-12-06,18,0,0
2020-12-07,28,0,0
2020-12-08,28,1,0
2020-12-09,35,0,0
2020-12-10,7,0,1
2020-12-11,13,0,0
2020-12-12,3,0,0
2020-12-13,3,2,0
2020-12-14,11,0,3
2020-12-15,20,0,0
2020-12-16,13,0,1
2020-12-17,12,0,0
2020-12-18,18,0,0
2020-12-19,1,0,0
2020-12-20,0,0,0
2020-12-21,10,1,0
2020-12-22,30,2,0
2020-12-23,18,0,0
2020-12-24,7,0,0
2020-12-25,4,0,0
2020-12-26,6,0,0
2020-12-27,4,0,0
2020-12-28,15,1,0
2020-12-29,3,0,0
2020-12-30,6,0,2
2020-12-31,0,0,0
2021-01-01,5,0,0
2021-01-02,0,0,0
2021-01-03,1,0,0
2021-01-04,8,1,1
2021-01-05,9,0,1
2021-01-06,6,0,0
2021-01-07,39,0,0
2021-01-08,37,0,0
2021-01-09,16,0,0
2021-01-10,10,0,0
2021-01-11,32,0,1
2021-01-12,26,0,0
2021-01-13,30,0,0
2021-01-14,13,0,0
2021-01-15,6,0,0
2021-01-16,0,0,0
2021-01-17,0,1,1
2021-01-18,13,0,0
2021-01-19,9,0,0
2021-01-20,0,0,0
2021-01-21,0,0,0
2021-01-22,14,0,8
2021-01-23,2,0,0
2021-01-24,7,0,0
2021-01-25,16,0,0
2021-01-26,27,0,0
2021-01-27,14,0,1
2021-01-28,23,0,1
2021-01-29,15,0,5
2021-01-30,0,1,0
2021-01-31,0,0,0
2021-02-01,8,0,0
2021-02-02,12,1,0
2021-02-03,32,2,0
2021-02-04,10,2,0
2021-02-05,9,0,0
2021-02-06,0,0,0
2021-02-07,9,0,0
2021-02-08,13,1,0
2021-02-09,20,1,0
2021-02-10,16,0,0
2021-02-11,12,0,0
2021-02-12,27,2,0
2021-02-13,12,2,0
2021-02-14,2,0,3
2021-02-15,0,0,0
2021-02-16,12,0,0
2021-02-17,2,0,0
2021-02-18,14,1,0
2021-02-19,22,3,0
2021-02-20,2,0,0
2021-02-21,0,0,0
2021-02-22,18,0,0
2021-02-23,14,1,0
2021-02-24,24,0,0
2021-02-25,16,0,0
2021-02-26,10,0,0
2021-02-27,4,1,3
2021-02-28,13,0,0
2021-03-01,11,0,0
2021-03-02,29,0,0
2021-03-03,25,0,0
2021-03-04,25,1,0
2021-03-05,10,0,2
2021-03-06,10,0,0
2021-03-07,6,0,0
2021-03-08,18,0,0
2021-03-09,34,1,0
2021-03-10,16,1,2
2021-03-11,8,0,0
2021-03-12,13,1,3
2021-03-13,28,0,0
