,mastodon/mastodon,diaspora/diaspora,friendica/friendica
2016-03-20,2,2,4
2016-03-21,13,6,5
2016-03-22,6,10,3
2016-03-23,0,2,7
2016-03-24,6,0,5
2016-03-25,8,0,0
2016-03-26,6,0,0
2016-03-27,3,1,3
2016-03-28,0,0,5
2016-03-29,0,0,1
2016-03-30,0,14,7
2016-03-31,0,3,3
2016-04-01,0,0,5
2016-04-02,0,0,9
2016-04-03,0,2,16
2016-04-04,0,3,2
2016-04-05,0,1,2
2016-04-06,0,0,5
2016-04-07,0,2,3
2016-04-08,0,1,1
2016-04-09,0,0,1
2016-04-10,0,0,3
2016-04-11,0,1,1
2016-04-12,0,0,1
2016-04-13,0,7,7
2016-04-14,0,0,9
2016-04-15,0,0,5
2016-04-16,0,0,12
2016-04-17,0,0,16
2016-04-18,0,1,8
2016-04-19,0,1,13
2016-04-20,0,0,32
2016-04-21,0,4,11
2016-04-22,0,0,4
2016-04-23,0,0,6
2016-04-24,0,0,4
2016-04-25,0,2,22
2016-04-26,0,0,6
2016-04-27,0,2,6
2016-04-28,0,1,11
2016-04-29,0,0,11
2016-04-30,0,0,2
2016-05-01,0,0,210
2016-05-02,0,0,6
2016-05-03,0,1,5
2016-05-04,0,1,6
2016-05-05,0,3,8
2016-05-06,0,5,17
2016-05-07,0,2,3
2016-05-08,0,2,0
2016-05-09,0,0,2
2016-05-10,0,0,2
2016-05-11,0,1,5
2016-05-12,0,62,5
2016-05-13,0,1,3
2016-05-14,0,0,0
2016-05-15,0,0,5
2016-05-16,0,0,5
2016-05-17,0,3,0
2016-05-18,0,0,6
2016-05-19,0,0,6
2016-05-20,0,0,5
2016-05-21,0,3,2
2016-05-22,0,0,5
2016-05-23,0,0,8
2016-05-24,0,0,2
2016-05-25,0,0,6
2016-05-26,0,0,6
2016-05-27,0,1,5
2016-05-28,0,0,7
2016-05-29,0,0,14
2016-05-30,0,0,12
2016-05-31,0,3,4
2016-06-01,0,0,23
2016-06-02,0,0,5
2016-06-03,0,0,4
2016-06-04,0,0,8
2016-06-05,0,0,9
2016-06-06,0,1,20
2016-06-07,0,8,15
2016-06-08,0,2,9
2016-06-09,0,2,7
2016-06-10,0,0,15
2016-06-11,0,0,15
2016-06-12,0,3,24
2016-06-13,0,0,14
2016-06-14,0,1,4
2016-06-15,0,0,5
2016-06-16,0,24,4
2016-06-17,0,1,11
2016-06-18,0,10,7
2016-06-19,0,20,5
2016-06-20,0,9,13
2016-06-21,0,0,5
2016-06-22,0,0,4
2016-06-23,0,0,5
2016-06-24,0,0,3
2016-06-25,0,0,12
2016-06-26,0,115,4
2016-06-27,0,15,4
2016-06-28,0,7,2
2016-06-29,0,2,7
2016-06-30,0,1,11
2016-07-01,0,0,3
2016-07-02,0,0,19
2016-07-03,0,4,7
2016-07-04,0,1,4
2016-07-05,0,8,5
2016-07-06,0,1,0
2016-07-07,0,1,7
2016-07-08,0,2,5
2016-07-09,0,5,4
2016-07-10,0,0,11
2016-07-11,0,4,7
2016-07-12,0,1,2
2016-07-13,0,0,8
2016-07-14,0,0,5
2016-07-15,0,3,11
2016-07-16,0,3,1
2016-07-17,0,5,2
2016-07-18,0,2,1
2016-07-19,0,0,2
2016-07-20,0,2,0
2016-07-21,0,0,5
2016-07-22,0,0,2
2016-07-23,0,0,1
2016-07-24,0,0,3
2016-07-25,0,0,2
2016-07-26,0,0,9
2016-07-27,0,0,2
2016-07-28,0,0,7
2016-07-29,0,0,0
2016-07-30,0,0,3
2016-07-31,0,1,0
2016-08-01,0,4,12
2016-08-02,0,0,8
2016-08-03,0,0,9
2016-08-04,0,0,19
2016-08-05,0,1,3
2016-08-06,0,0,6
2016-08-07,0,6,2
2016-08-08,0,43,14
2016-08-09,0,15,6
2016-08-10,0,20,12
2016-08-11,0,30,7
2016-08-12,0,14,2
2016-08-13,0,11,9
2016-08-14,0,40,16
2016-08-15,0,7,0
2016-08-16,0,3,2
2016-08-17,1,3,5
2016-08-18,6,16,1
2016-08-19,0,0,2
2016-08-20,0,2,1
2016-08-21,0,22,0
2016-08-22,0,9,0
2016-08-23,0,0,8
2016-08-24,6,0,0
