,etcd-io/etcd,apache/zookeeper,hashicorp/consul
2022-03-20,2,0,0
2022-03-21,5,1,4
2022-03-22,2,0,9
2022-03-23,17,0,13
2022-03-24,6,0,7
2022-03-25,1,0,6
2022-03-26,2,0,1
2022-03-27,0,0,0
2022-03-28,1,1,11
2022-03-29,3,1,7
2022-03-30,0,2,12
2022-03-31,6,0,14
2022-04-01,3,1,8
2022-04-02,7,0,0
2022-04-03,6,0,0
2022-04-04,7,0,8
2022-04-05,5,1,21
2022-04-06,11,1,5
2022-04-07,10,0,13
2022-04-08,9,1,1
2022-04-09,5,1,0
2022-04-10,2,0,0
2022-04-11,3,0,14
2022-04-12,9,0,14
2022-04-13,6,0,9
2022-04-14,1,0,15
2022-04-15,0,0,5
2022-04-16,1,1,0
2022-04-17,2,0,1
2022-04-18,6,0,11
2022-04-19,6,0,3
2022-04-20,3,0,6
2022-04-21,4,0,16
2022-04-22,6,0,16
2022-04-23,4,0,0
2022-04-24,5,0,0
2022-04-25,6,0,8
2022-04-26,3,0,13
2022-04-27,1,0,34
2022-04-28,5,0,6
2022-04-29,2,0,10
2022-04-30,0,0,0
2022-05-01,1,0,0
2022-05-02,1,0,3
2022-05-03,3,0,8
2022-05-04,1,1,11
2022-05-05,14,2,8
2022-05-06,19,2,4
2022-05-07,4,0,0
2022-05-08,0,0,0
2022-05-09,0,0,17
2022-05-10,2,0,9
2022-05-11,4,0,9
2022-05-12,2,0,9
2022-05-13,11,0,11
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,4,1,7
2022-05-17,2,1,7
2022-05-18,4,0,4
2022-05-19,2,0,13
2022-05-20,23,0,4
2022-05-21,0,0,0
2022-05-22,1,0,0
2022-05-23,0,0,9
2022-05-24,1,1,7
2022-05-25,2,0,16
2022-05-26,0,0,10
2022-05-27,1,0,10
2022-05-28,3,0,0
2022-05-29,0,0,0
2022-05-30,1,0,1
2022-05-31,0,0,9
2022-06-01,0,1,20
2022-06-02,0,0,5
2022-06-03,0,0,2
2022-06-04,1,0,0
2022-06-05,0,0,0
2022-06-06,0,0,11
2022-06-07,5,0,8
2022-06-08,2,0,10
2022-06-09,6,0,6
2022-06-10,3,0,20
2022-06-11,0,0,1
2022-06-12,0,0,0
2022-06-13,29,0,18
2022-06-14,3,0,23
2022-06-15,9,0,23
2022-06-16,4,0,14
2022-06-17,14,2,17
2022-06-18,0,0,1
2022-06-19,0,0,2
2022-06-20,2,1,14
2022-06-21,3,0,49
2022-06-22,2,0,16
2022-06-23,2,0,9
2022-06-24,4,2,8
2022-06-25,2,0,0
2022-06-26,7,0,1
2022-06-27,1,1,8
2022-06-28,2,0,5
2022-06-29,2,0,10
2022-06-30,2,0,2
2022-07-01,0,0,1
2022-07-02,2,0,0
2022-07-03,0,0,0
2022-07-04,4,0,9
2022-07-05,6,0,4
2022-07-06,2,0,7
2022-07-07,2,0,18
2022-07-08,4,0,5
2022-07-09,0,0,0
2022-07-10,1,0,0
2022-07-11,4,0,6
2022-07-12,5,1,8
2022-07-13,6,1,14
2022-07-14,0,0,26
2022-07-15,2,0,12
2022-07-16,0,0,0
2022-07-17,1,0,0
2022-07-18,1,0,10
2022-07-19,3,0,8
2022-07-20,4,0,18
2022-07-21,5,0,28
2022-07-22,1,0,16
2022-07-23,1,0,1
2022-07-24,2,0,0
2022-07-25,6,0,26
2022-07-26,13,1,17
2022-07-27,2,0,24
2022-07-28,4,0,20
2022-07-29,3,0,9
2022-07-30,0,0,0
2022-07-31,7,0,0
2022-08-01,2,0,23
2022-08-02,4,0,34
2022-08-03,1,0,5
2022-08-04,0,0,2
2022-08-05,3,0,20
2022-08-06,4,0,0
2022-08-07,0,0,0
2022-08-08,5,0,50
2022-08-09,1,0,30
2022-08-10,7,0,21
2022-08-11,3,0,14
2022-08-12,1,0,13
2022-08-13,1,0,0
2022-08-14,2,0,2
2022-08-15,5,0,17
2022-08-16,2,0,7
2022-08-17,5,0,5
2022-08-18,6,0,7
2022-08-19,1,0,3
2022-08-20,1,0,0
2022-08-21,1,0,0
2022-08-22,1,0,21
2022-08-23,4,0,18
2022-08-24,8,0,10
2022-08-25,6,0,21
2022-08-26,11,0,28
2022-08-27,5,0,0
2022-08-28,0,0,6
2022-08-29,5,0,30
2022-08-30,4,0,12
2022-08-31,4,0,15
2022-09-01,0,0,17
2022-09-02,0,0,9
2022-09-03,3,0,0
2022-09-04,1,1,0
2022-09-05,4,0,1
2022-09-06,7,0,19
2022-09-07,4,0,8
2022-09-08,3,0,49
2022-09-09,6,0,16
2022-09-10,1,0,0
2022-09-11,0,0,0
2022-09-12,1,0,4
2022-09-13,8,0,31
2022-09-14,9,0,20
2022-09-15,12,0,23
2022-09-16,13,0,13
2022-09-17,7,0,1
2022-09-18,1,0,0
2022-09-19,7,0,4
2022-09-20,49,0,5
2022-09-21,1,0,9
2022-09-22,11,0,4
2022-09-23,3,0,18
2022-09-24,1,0,0
2022-09-25,0,1,0
2022-09-26,5,0,3
2022-09-27,3,0,15
2022-09-28,4,0,18
2022-09-29,8,1,25
2022-09-30,5,0,32
2022-10-01,0,0,1
2022-10-02,0,0,0
2022-10-03,1,0,23
2022-10-04,1,0,33
2022-10-05,3,1,11
2022-10-06,2,0,6
2022-10-07,3,0,14
2022-10-08,1,0,0
2022-10-09,4,0,0
2022-10-10,3,0,10
2022-10-11,0,1,20
2022-10-12,5,0,17
2022-10-13,9,0,97
2022-10-14,6,0,15
2022-10-15,0,0,4
2022-10-16,3,0,0
2022-10-17,15,0,7
2022-10-18,1,0,23
2022-10-19,0,0,17
2022-10-20,6,0,16
2022-10-21,3,0,18
2022-10-22,3,0,3
2022-10-23,8,0,0
2022-10-24,6,0,21
2022-10-25,3,0,17
2022-10-26,10,0,14
2022-10-27,11,0,6
2022-10-28,11,0,5
2022-10-29,4,0,0
2022-10-30,1,0,0
2022-10-31,6,0,7
2022-11-01,3,0,2
2022-11-02,10,1,3
2022-11-03,2,1,3
2022-11-04,3,0,4
2022-11-05,3,0,0
2022-11-06,5,0,0
2022-11-07,10,0,4
2022-11-08,18,0,6
2022-11-09,8,1,7
2022-11-10,6,0,4
2022-11-11,11,0,2
2022-11-12,2,0,0
2022-11-13,14,0,0
2022-11-14,23,1,10
2022-11-15,16,0,5
2022-11-16,10,0,6
2022-11-17,11,0,11
2022-11-18,10,0,7
2022-11-19,0,0,4
2022-11-20,0,0,1
2022-11-21,5,0,6
2022-11-22,5,0,2
2022-11-23,9,0,0
2022-11-24,1,0,3
2022-11-25,10,0,1
2022-11-26,11,0,1
2022-11-27,5,0,0
2022-11-28,4,0,8
2022-11-29,2,0,8
2022-11-30,2,0,5
2022-12-01,7,0,4
2022-12-02,19,0,3
2022-12-03,5,0,3
2022-12-04,3,0,0
2022-12-05,7,0,5
2022-12-06,23,0,3
2022-12-07,8,0,4
2022-12-08,4,0,7
2022-12-09,7,0,3
2022-12-10,2,1,1
2022-12-11,0,0,0
2022-12-12,9,0,4
2022-12-13,28,1,7
2022-12-14,7,0,8
2022-12-15,3,1,5
2022-12-16,10,0,2
2022-12-17,3,0,0
2022-12-18,0,1,0
2022-12-19,5,0,9
2022-12-20,13,0,6
2022-12-21,1,0,1
2022-12-22,1,0,6
2022-12-23,6,0,1
2022-12-24,2,0,0
2022-12-25,1,0,0
2022-12-26,2,0,0
2022-12-27,0,0,0
2022-12-28,7,0,0
2022-12-29,11,0,0
2022-12-30,11,0,0
2022-12-31,0,0,0
2023-01-01,2,0,0
2023-01-02,0,0,0
2023-01-03,0,0,3
2023-01-04,0,1,7
2023-01-05,2,0,6
2023-01-06,0,0,10
2023-01-07,5,0,0
2023-01-08,0,0,0
2023-01-09,6,0,3
2023-01-10,8,0,1
2023-01-11,6,0,5
2023-01-12,7,1,2
2023-01-13,5,0,2
2023-01-14,3,0,0
2023-01-15,1,0,0
2023-01-16,10,0,2
2023-01-17,7,0,3
2023-01-18,6,0,6
2023-01-19,3,1,3
2023-01-20,4,1,8
2023-01-21,1,0,1
2023-01-22,0,0,0
2023-01-23,4,2,1
2023-01-24,15,1,3
2023-01-25,0,1,4
2023-01-26,0,1,8
2023-01-27,2,0,7
2023-01-28,1,0,1
2023-01-29,0,0,0
2023-01-30,9,0,3
2023-01-31,3,0,4
2023-02-01,4,0,6
2023-02-02,3,1,2
2023-02-03,6,0,10
2023-02-04,0,0,1
2023-02-05,1,0,0
2023-02-06,4,0,14
2023-02-07,1,0,9
2023-02-08,3,3,9
2023-02-09,4,0,11
2023-02-10,3,1,6
2023-02-11,1,0,0
2023-02-12,0,0,0
2023-02-13,4,2,8
2023-02-14,9,0,2
2023-02-15,17,1,6
2023-02-16,4,0,3
2023-02-17,1,1,13
2023-02-18,1,0,1
2023-02-19,0,0,0
2023-02-20,2,0,0
2023-02-21,0,0,5
2023-02-22,0,1,16
2023-02-23,2,0,14
2023-02-24,4,1,6
2023-02-25,2,1,2
2023-02-26,3,0,0
2023-02-27,7,2,7
2023-02-28,2,0,10
2023-03-01,1,0,8
2023-03-02,3,0,7
2023-03-03,13,0,13
2023-03-04,0,0,0
2023-03-05,0,0,0
2023-03-06,4,2,9
2023-03-07,2,0,6
2023-03-08,5,2,5
2023-03-09,3,0,6
2023-03-10,5,0,6
2023-03-11,2,0,0
2023-03-12,1,0,0
2023-03-13,5,0,3
2023-03-14,9,0,5
2023-03-15,4,0,6
2023-03-16,6,0,2
2023-03-17,5,1,4
2023-03-18,5,0,1
2023-03-19,2,0,0
2023-03-20,7,0,14
2023-03-21,7,0,7
2023-03-22,6,0,6
2023-03-23,3,0,3
2023-03-24,6,0,6
2023-03-25,0,0,0
2023-03-26,1,1,0
2023-03-27,1,0,11
2023-03-28,9,0,7
2023-03-29,6,0,3
2023-03-30,18,0,4
2023-03-31,8,0,7
2023-04-01,4,0,0
2023-04-02,3,0,0
2023-04-03,10,0,6
2023-04-04,19,0,3
2023-04-05,10,0,5
2023-04-06,11,0,5
2023-04-07,7,0,4
2023-04-08,2,0,1
2023-04-09,2,0,0
2023-04-10,9,0,6
2023-04-11,11,0,10
2023-04-12,7,1,8
2023-04-13,6,0,1
2023-04-14,4,0,7
2023-04-15,0,0,0
2023-04-16,5,0,0
2023-04-17,3,1,3
2023-04-18,5,0,6
2023-04-19,0,0,8
2023-04-20,10,0,6
2023-04-21,0,0,6
2023-04-22,3,0,0
2023-04-23,1,0,0
2023-04-24,4,0,8
2023-04-25,7,0,7
2023-04-26,9,0,12
2023-04-27,4,0,3
2023-04-28,4,0,8
2023-04-29,3,0,1
2023-04-30,0,0,0
2023-05-01,2,0,1
2023-05-02,1,0,1
2023-05-03,7,0,1
2023-05-04,5,0,0
2023-05-05,6,1,3
2023-05-06,0,0,0
2023-05-07,5,0,0
2023-05-08,5,0,9
2023-05-09,8,0,10
2023-05-10,10,0,3
2023-05-11,8,0,4
2023-05-12,6,0,7
2023-05-13,8,0,1
2023-05-14,1,0,0
2023-05-15,11,0,11
2023-05-16,5,0,5
2023-05-17,2,0,6
2023-05-18,1,0,1
2023-05-19,5,0,3
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,2,0,4
2023-05-23,9,0,6
2023-05-24,3,0,9
2023-05-25,9,0,9
2023-05-26,5,0,5
2023-05-27,1,0,0
2023-05-28,0,0,0
2023-05-29,2,0,3
2023-05-30,5,0,10
2023-05-31,0,0,8
2023-06-01,4,0,3
2023-06-02,3,0,4
2023-06-03,0,0,0
2023-06-04,1,0,0
2023-06-05,7,0,5
2023-06-06,4,0,5
2023-06-07,4,0,6
2023-06-08,6,0,5
2023-06-09,8,0,3
2023-06-10,2,0,1
2023-06-11,0,0,0
2023-06-12,7,0,16
2023-06-13,6,2,16
2023-06-14,6,1,7
2023-06-15,3,2,11
2023-06-16,11,5,5
2023-06-17,2,1,1
2023-06-18,0,0,0
2023-06-19,10,1,0
2023-06-20,5,0,7
2023-06-21,5,1,6
2023-06-22,8,0,2
2023-06-23,9,1,6
2023-06-24,6,0,0
2023-06-25,2,0,0
2023-06-26,8,0,7
2023-06-27,7,0,12
2023-06-28,5,0,7
2023-06-29,3,0,6
2023-06-30,0,0,7
2023-07-01,1,0,1
2023-07-02,1,3,0
2023-07-03,6,0,0
2023-07-04,3,2,2
2023-07-05,5,1,8
2023-07-06,7,0,4
2023-07-07,6,1,2
2023-07-08,0,0,0
2023-07-09,1,0,0
2023-07-10,8,0,2
2023-07-11,7,0,6
2023-07-12,4,0,8
2023-07-13,8,1,4
2023-07-14,6,0,7
2023-07-15,5,0,1
2023-07-16,0,0,0
2023-07-17,7,5,8
2023-07-18,10,2,3
2023-07-19,2,0,7
2023-07-20,1,0,6
2023-07-21,2,0,9
2023-07-22,1,0,1
2023-07-23,2,0,1
2023-07-24,3,0,9
2023-07-25,2,0,2
2023-07-26,9,0,7
2023-07-27,10,0,1
2023-07-28,6,0,1
2023-07-29,0,0,0
2023-07-30,0,0,0
2023-07-31,6,0,5
2023-08-01,3,0,6
2023-08-02,6,0,3
2023-08-03,5,0,4
2023-08-04,5,1,4
2023-08-05,1,0,1
2023-08-06,3,0,0
2023-08-07,3,0,2
2023-08-08,0,0,7
2023-08-09,1,0,4
2023-08-10,3,0,6
2023-08-11,3,0,6
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,7,0,0
2023-08-15,12,0,5
2023-08-16,2,0,7
2023-08-17,1,0,7
2023-08-18,11,0,4
2023-08-19,3,0,0
2023-08-20,2,0,0
2023-08-21,14,0,5
2023-08-22,9,0,11
2023-08-23,7,2,4
2023-08-24,1,0,6
2023-08-25,4,0,2
2023-08-26,0,0,0
2023-08-27,1,0,0
2023-08-28,8,0,5
2023-08-29,3,1,3
2023-08-30,5,1,3
2023-08-31,1,0,7
2023-09-01,9,0,12
2023-09-02,3,1,0
2023-09-03,3,0,0
2023-09-04,4,0,0
2023-09-05,4,0,3
2023-09-06,5,0,8
2023-09-07,3,0,5
2023-09-08,5,0,13
2023-09-09,9,0,0
2023-09-10,2,1,1
2023-09-11,5,0,7
2023-09-12,5,0,9
2023-09-13,2,0,7
2023-09-14,1,0,11
2023-09-15,1,0,13
2023-09-16,2,0,1
2023-09-17,2,0,0
2023-09-18,9,0,13
2023-09-19,9,0,16
2023-09-20,1,0,10
2023-09-21,13,0,12
2023-09-22,2,0,19
2023-09-23,0,0,0
2023-09-24,1,1,0
2023-09-25,11,0,7
2023-09-26,4,0,3
2023-09-27,1,0,3
2023-09-28,4,0,1
2023-09-29,4,0,2
2023-09-30,7,1,0
2023-10-01,2,0,0
2023-10-02,4,1,2
2023-10-03,5,5,6
2023-10-04,6,0,6
2023-10-05,7,1,9
2023-10-06,1,0,5
2023-10-07,6,0,0
2023-10-08,3,0,1
2023-10-09,8,0,1
2023-10-10,10,0,10
2023-10-11,7,1,10
2023-10-12,11,0,13
2023-10-13,12,0,12
2023-10-14,0,0,1
2023-10-15,1,0,0
2023-10-16,8,0,9
2023-10-17,16,2,9
2023-10-18,6,0,3
2023-10-19,2,0,8
2023-10-20,2,0,7
2023-10-21,0,0,0
2023-10-22,0,0,0
2023-10-23,3,0,5
2023-10-24,10,0,8
2023-10-25,7,0,3
2023-10-26,3,0,8
2023-10-27,3,0,5
2023-10-28,0,0,0
2023-10-29,5,0,0
2023-10-30,2,0,3
2023-10-31,0,0,4
2023-11-01,0,0,2
2023-11-02,0,1,9
2023-11-03,3,0,7
2023-11-04,2,0,0
2023-11-05,2,0,0
2023-11-06,0,0,8
2023-11-07,6,0,16
2023-11-08,7,0,10
2023-11-09,14,0,14
2023-11-10,5,0,5
2023-11-11,6,0,0
2023-11-12,0,0,0
2023-11-13,5,0,4
2023-11-14,1,0,6
2023-11-15,6,0,14
2023-11-16,15,0,5
2023-11-17,1,0,3
2023-11-18,2,0,2
2023-11-19,5,0,1
2023-11-20,3,0,9
2023-11-21,10,0,4
2023-11-22,6,0,5
2023-11-23,11,0,0
2023-11-24,8,0,1
2023-11-25,4,0,0
2023-11-26,2,0,0
2023-11-27,7,0,6
2023-11-28,4,0,8
2023-11-29,0,0,5
2023-11-30,7,1,2
2023-12-01,1,1,4
2023-12-02,1,0,1
2023-12-03,4,0,0
