,elastic/elasticsearch,blevesearch/bleve,apache/solr
2018-05-17,24,6,6
2018-05-18,20,0,14
2018-05-19,3,0,0
2018-05-20,2,1,1
2018-05-21,12,3,10
2018-05-22,32,0,5
2018-05-23,28,0,8
2018-05-24,20,0,2
2018-05-25,17,2,12
2018-05-26,3,0,0
2018-05-27,1,0,1
2018-05-28,7,0,12
2018-05-29,17,0,6
2018-05-30,34,3,14
2018-05-31,24,0,4
2018-06-01,25,0,3
2018-06-02,5,0,3
2018-06-03,1,0,1
2018-06-04,38,0,7
2018-06-05,30,0,15
2018-06-06,28,0,10
2018-06-07,28,0,12
2018-06-08,17,0,11
2018-06-09,6,0,4
2018-06-10,2,0,1
2018-06-11,18,1,15
2018-06-12,30,0,6
2018-06-13,37,0,13
2018-06-14,22,0,9
2018-06-15,36,0,7
2018-06-16,2,0,0
2018-06-17,2,0,1
2018-06-18,18,0,7
2018-06-19,20,0,5
2018-06-20,21,0,5
2018-06-21,20,0,8
2018-06-22,19,0,3
2018-06-23,5,0,0
2018-06-24,3,0,0
2018-06-25,18,0,5
2018-06-26,16,2,6
2018-06-27,14,3,8
2018-06-28,27,0,6
2018-06-29,22,0,5
2018-06-30,1,0,2
2018-07-01,3,0,0
2018-07-02,10,0,2
2018-07-03,20,0,4
2018-07-04,11,0,8
2018-07-05,20,0,11
2018-07-06,18,0,2
2018-07-07,2,0,1
2018-07-08,3,0,1
2018-07-09,14,0,4
2018-07-10,16,0,6
2018-07-11,21,0,1
2018-07-12,23,2,5
2018-07-13,30,1,2
2018-07-14,3,0,6
2018-07-15,0,0,3
2018-07-16,28,4,10
2018-07-17,25,1,7
2018-07-18,23,1,10
2018-07-19,15,3,2
2018-07-20,30,0,7
2018-07-21,4,0,2
2018-07-22,2,0,2
2018-07-23,21,0,6
2018-07-24,23,0,8
2018-07-25,26,1,6
2018-07-26,24,1,2
2018-07-27,15,0,9
2018-07-28,5,1,0
2018-07-29,0,1,2
2018-07-30,19,3,6
2018-07-31,28,1,13
