,elastic/elasticsearch,blevesearch/bleve,apache/solr
2022-09-08,34,0,0
2022-09-09,23,0,2
2022-09-10,1,0,0
2022-09-11,0,0,1
2022-09-12,25,0,2
2022-09-13,22,1,4
2022-09-14,16,0,3
2022-09-15,22,0,2
2022-09-16,1,0,3
2022-09-17,0,0,1
2022-09-18,0,0,0
2022-09-19,18,0,6
2022-09-20,28,0,5
2022-09-21,18,0,8
2022-09-22,15,0,4
2022-09-23,13,0,6
2022-09-24,1,0,0
2022-09-25,1,0,1
2022-09-26,33,0,0
2022-09-27,28,0,2
2022-09-28,18,0,2
2022-09-29,23,0,1
2022-09-30,17,0,0
2022-10-01,1,0,0
2022-10-02,0,0,2
2022-10-03,15,0,2
2022-10-04,21,0,1
2022-10-05,23,0,0
2022-10-06,15,1,0
2022-10-07,3,0,1
2022-10-08,0,0,0
2022-10-09,1,0,0
2022-10-10,25,1,0
2022-10-11,28,0,3
2022-10-12,31,2,4
2022-10-13,19,0,3
2022-10-14,38,0,8
2022-10-15,1,0,6
2022-10-16,0,0,3
2022-10-17,15,0,6
2022-10-18,21,1,9
2022-10-19,13,2,3
2022-10-20,19,1,13
2022-10-21,4,0,12
2022-10-22,0,0,0
2022-10-23,0,0,2
2022-10-24,15,0,13
2022-10-25,15,0,4
2022-10-26,13,0,27
2022-10-27,6,0,2
2022-10-28,7,0,17
2022-10-29,0,0,0
2022-10-30,0,0,3
2022-10-31,18,0,3
2022-11-01,25,0,4
2022-11-02,20,0,0
2022-11-03,25,0,3
2022-11-04,23,0,4
2022-11-05,3,0,0
2022-11-06,0,0,0
2022-11-07,19,0,0
2022-11-08,31,0,4
2022-11-09,28,0,3
2022-11-10,35,0,9
2022-11-11,9,2,6
2022-11-12,0,0,0
2022-11-13,0,0,3
2022-11-14,24,0,1
2022-11-15,29,0,0
2022-11-16,26,0,0
2022-11-17,22,1,1
2022-11-18,27,1,0
2022-11-19,3,0,0
2022-11-20,1,0,0
2022-11-21,21,0,1
2022-11-22,28,0,1
2022-11-23,24,0,0
2022-11-24,30,0,1
2022-11-25,1,0,5
2022-11-26,0,0,0
2022-11-27,1,0,0
2022-11-28,17,0,7
2022-11-29,14,0,2
2022-11-30,13,1,3
2022-12-01,9,1,1
2022-12-02,11,1,4
2022-12-03,0,0,2
2022-12-04,0,0,0
2022-12-05,20,0,1
2022-12-06,24,0,2
2022-12-07,28,0,8
2022-12-08,19,0,1
2022-12-09,3,0,2
2022-12-10,0,0,0
2022-12-11,3,0,0
2022-12-12,31,0,3
2022-12-13,18,0,1
2022-12-14,25,0,0
2022-12-15,15,1,4
2022-12-16,15,0,3
2022-12-17,2,0,0
2022-12-18,1,0,1
2022-12-19,12,1,0
2022-12-20,18,0,3
2022-12-21,27,0,1
2022-12-22,28,0,3
2022-12-23,12,0,0
2022-12-24,1,0,1
2022-12-25,0,0,0
2022-12-26,6,0,0
2022-12-27,9,0,1
2022-12-28,7,0,0
2022-12-29,3,0,0
2022-12-30,7,0,0
2022-12-31,1,0,3
2023-01-01,0,0,0
2023-01-02,0,0,2
2023-01-03,18,0,0
2023-01-04,24,0,4
2023-01-05,17,0,3
2023-01-06,3,0,5
2023-01-07,0,0,0
2023-01-08,0,0,1
2023-01-09,29,0,6
2023-01-10,24,0,5
2023-01-11,30,0,2
2023-01-12,23,0,3
2023-01-13,34,0,6
2023-01-14,3,0,0
2023-01-15,0,0,0
2023-01-16,24,0,2
2023-01-17,30,1,2
2023-01-18,24,0,4
2023-01-19,32,0,5
2023-01-20,4,1,3
2023-01-21,3,0,3
2023-01-22,1,0,1
2023-01-23,39,0,7
2023-01-24,43,0,1
2023-01-25,31,1,2
2023-01-26,30,0,0
2023-01-27,35,0,1
2023-01-28,1,0,0
2023-01-29,0,0,0
2023-01-30,33,0,3
2023-01-31,26,0,0
2023-02-01,30,0,2
2023-02-02,40,0,3
2023-02-03,3,0,3
2023-02-04,3,0,0
2023-02-05,0,0,0
2023-02-06,37,0,13
2023-02-07,47,0,0
2023-02-08,25,0,4
2023-02-09,27,0,1
2023-02-10,26,0,2
2023-02-11,5,0,0
2023-02-12,1,0,0
2023-02-13,25,0,1
2023-02-14,28,0,4
2023-02-15,13,0,3
2023-02-16,19,0,3
2023-02-17,6,0,1
2023-02-18,1,0,1
2023-02-19,0,0,1
2023-02-20,21,0,2
2023-02-21,26,2,2
2023-02-22,25,0,6
2023-02-23,27,0,3
2023-02-24,14,0,1
2023-02-25,1,0,1
2023-02-26,0,0,3
2023-02-27,18,0,5
2023-02-28,24,0,7
2023-03-01,27,0,17
2023-03-02,26,2,17
2023-03-03,3,0,2
2023-03-04,2,0,1
2023-03-05,0,0,0
2023-03-06,26,0,4
2023-03-07,23,0,5
2023-03-08,35,0,2
2023-03-09,17,0,2
2023-03-10,32,0,1
2023-03-11,3,0,1
2023-03-12,0,0,0
2023-03-13,3,0,4
2023-03-14,7,0,4
2023-03-15,5,0,3
2023-03-16,6,0,4
2023-03-17,1,3,4
2023-03-18,3,0,1
2023-03-19,0,0,0
2023-03-20,22,0,5
2023-03-21,32,0,5
2023-03-22,28,0,1
2023-03-23,20,0,4
2023-03-24,22,0,3
2023-03-25,1,0,0
2023-03-26,2,0,0
2023-03-27,41,0,6
2023-03-28,36,0,1
2023-03-29,29,0,6
2023-03-30,34,0,6
2023-03-31,34,0,3
2023-04-01,0,0,1
2023-04-02,0,0,11
2023-04-03,12,1,7
2023-04-04,23,0,8
2023-04-05,34,1,7
2023-04-06,20,0,9
2023-04-07,6,1,2
2023-04-08,0,0,0
2023-04-09,2,0,0
2023-04-10,16,0,5
2023-04-11,39,0,2
2023-04-12,25,0,8
2023-04-13,24,0,0
2023-04-14,5,0,3
2023-04-15,1,0,2
2023-04-16,0,0,1
2023-04-17,48,0,3
2023-04-18,40,0,2
2023-04-19,22,0,4
2023-04-20,43,0,1
2023-04-21,35,0,1
2023-04-22,4,0,0
2023-04-23,0,0,0
2023-04-24,33,0,5
2023-04-25,24,1,7
2023-04-26,22,0,4
2023-04-27,29,0,2
2023-04-28,20,0,1
2023-04-29,3,0,2
2023-04-30,1,0,2
2023-05-01,13,1,4
2023-05-02,28,0,5
2023-05-03,39,0,2
2023-05-04,33,1,1
2023-05-05,21,0,2
2023-05-06,1,0,0
2023-05-07,2,0,0
2023-05-08,18,0,1
2023-05-09,32,0,3
2023-05-10,25,0,3
2023-05-11,25,0,2
2023-05-12,17,0,3
2023-05-13,1,0,0
2023-05-14,0,0,0
2023-05-15,22,0,5
2023-05-16,31,0,1
2023-05-17,28,0,3
2023-05-18,10,1,2
2023-05-19,1,0,1
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,29,1,2
2023-05-23,24,0,4
2023-05-24,29,0,0
2023-05-25,29,0,2
2023-05-26,22,0,5
2023-05-27,2,0,0
2023-05-28,2,0,0
2023-05-29,8,0,0
2023-05-30,24,0,4
2023-05-31,16,0,2
2023-06-01,32,0,1
2023-06-02,20,0,0
2023-06-03,3,0,0
2023-06-04,0,0,0
2023-06-05,24,0,2
2023-06-06,32,0,2
2023-06-07,33,0,4
2023-06-08,29,0,2
2023-06-09,20,0,4
2023-06-10,2,0,1
2023-06-11,0,0,1
2023-06-12,27,0,0
2023-06-13,25,1,2
2023-06-14,39,0,10
2023-06-15,22,1,4
2023-06-16,6,0,0
2023-06-17,1,0,1
2023-06-18,3,0,0
2023-06-19,17,0,1
2023-06-20,36,0,0
2023-06-21,16,0,1
2023-06-22,36,0,2
2023-06-23,16,1,9
2023-06-24,7,0,0
2023-06-25,1,0,0
2023-06-26,29,0,2
2023-06-27,27,0,4
2023-06-28,28,0,3
2023-06-29,34,0,4
2023-06-30,21,0,3
2023-07-01,2,0,0
2023-07-02,3,0,0
2023-07-03,19,0,0
2023-07-04,20,0,1
2023-07-05,20,0,4
2023-07-06,20,0,12
2023-07-07,33,1,6
2023-07-08,2,0,1
2023-07-09,2,0,1
2023-07-10,36,0,4
2023-07-11,34,0,0
2023-07-12,29,2,1
2023-07-13,22,0,2
2023-07-14,20,1,0
2023-07-15,3,0,1
2023-07-16,0,0,0
2023-07-17,19,0,6
2023-07-18,29,0,1
2023-07-19,22,0,7
2023-07-20,27,0,0
2023-07-21,4,0,5
2023-07-22,0,0,1
2023-07-23,0,0,1
2023-07-24,20,0,2
2023-07-25,28,0,6
2023-07-26,27,0,1
2023-07-27,27,1,2
2023-07-28,18,1,1
2023-07-29,4,0,0
2023-07-30,1,0,0
2023-07-31,20,0,2
2023-08-01,31,0,2
2023-08-02,25,0,0
2023-08-03,26,0,4
2023-08-04,29,0,0
2023-08-05,1,0,2
2023-08-06,2,0,0
2023-08-07,15,0,1
2023-08-08,25,0,4
2023-08-09,28,0,2
2023-08-10,24,0,1
2023-08-11,25,0,1
2023-08-12,4,0,0
2023-08-13,4,0,0
2023-08-14,25,0,1
2023-08-15,36,0,2
2023-08-16,36,0,4
2023-08-17,38,1,4
2023-08-18,6,0,6
2023-08-19,1,0,0
2023-08-20,2,0,0
2023-08-21,26,1,2
2023-08-22,53,0,6
2023-08-23,36,0,4
2023-08-24,21,2,4
2023-08-25,24,1,0
2023-08-26,5,0,0
2023-08-27,4,0,1
2023-08-28,20,0,0
2023-08-29,35,0,3
2023-08-30,24,0,2
2023-08-31,30,3,3
2023-09-01,14,0,9
2023-09-02,2,0,0
2023-09-03,1,0,1
2023-09-04,18,0,0
2023-09-05,16,1,1
2023-09-06,41,0,5
2023-09-07,33,2,1
2023-09-08,47,2,1
2023-09-09,1,0,0
2023-09-10,1,0,1
2023-09-11,36,2,5
2023-09-12,24,0,5
2023-09-13,30,1,4
2023-09-14,19,0,3
2023-09-15,5,1,11
2023-09-16,1,0,1
2023-09-17,1,0,0
2023-09-18,24,0,3
2023-09-19,29,0,7
2023-09-20,26,0,4
2023-09-21,24,0,2
2023-09-22,25,0,4
2023-09-23,3,0,3
2023-09-24,1,0,0
2023-09-25,21,0,0
2023-09-26,22,0,3
2023-09-27,27,0,3
2023-09-28,35,0,0
2023-09-29,39,0,5
2023-09-30,3,0,2
2023-10-01,5,0,2
2023-10-02,38,0,9
2023-10-03,45,0,16
2023-10-04,37,0,3
2023-10-05,28,0,2
2023-10-06,37,0,2
2023-10-07,6,0,0
2023-10-08,3,0,2
2023-10-09,43,0,1
2023-10-10,46,0,4
2023-10-11,46,0,2
2023-10-12,28,0,11
2023-10-13,36,0,2
2023-10-14,3,0,0
2023-10-15,4,0,3
2023-10-16,33,0,1
2023-10-17,33,0,1
2023-10-18,40,0,1
2023-10-19,40,0,2
2023-10-20,5,0,1
2023-10-21,1,0,0
2023-10-22,1,0,0
2023-10-23,20,0,15
2023-10-24,20,0,2
2023-10-25,31,0,0
2023-10-26,34,0,2
2023-10-27,35,0,0
2023-10-28,6,0,0
2023-10-29,3,0,0
2023-10-30,33,0,3
2023-10-31,35,0,3
2023-11-01,23,0,1
2023-11-02,39,0,0
2023-11-03,32,1,0
2023-11-04,3,0,0
2023-11-05,1,0,0
2023-11-06,23,0,1
2023-11-07,30,0,4
2023-11-08,22,1,3
2023-11-09,32,0,0
2023-11-10,30,1,0
2023-11-11,2,0,1
2023-11-12,5,0,0
2023-11-13,38,0,2
2023-11-14,42,0,1
2023-11-15,48,0,2
2023-11-16,46,1,2
2023-11-17,5,0,1
2023-11-18,3,0,0
2023-11-19,4,0,0
2023-11-20,31,0,3
2023-11-21,31,0,1
2023-11-22,35,0,4
2023-11-23,43,0,2
2023-11-24,42,0,1
2023-11-25,2,0,2
2023-11-26,1,0,0
2023-11-27,50,0,1
2023-11-28,35,0,1
2023-11-29,25,0,3
2023-11-30,39,0,4
2023-12-01,45,0,4
2023-12-02,2,0,0
2023-12-03,4,0,1
2023-12-04,33,0,6
2023-12-05,48,0,7
2023-12-06,30,0,1
2023-12-07,36,0,2
2023-12-08,21,0,12
2023-12-09,4,0,0
2023-12-10,3,0,0
2023-12-11,42,0,1
2023-12-12,45,0,6
2023-12-13,17,0,3
2023-12-14,38,0,1
2023-12-15,6,0,2
2023-12-16,3,0,0
2023-12-17,1,0,1
2023-12-18,20,0,1
2023-12-19,25,0,2
2023-12-20,23,0,1
2023-12-21,21,1,1
2023-12-22,19,0,1
2023-12-23,2,0,1
2023-12-24,2,0,0
2023-12-25,2,0,0
2023-12-26,4,0,0
2023-12-27,18,0,0
2023-12-28,8,0,0
2023-12-29,8,0,0
2023-12-30,6,0,0
2023-12-31,2,0,0
2024-01-01,1,0,1
2024-01-02,40,0,0
2024-01-03,34,0,1
2024-01-04,38,0,4
2024-01-05,30,0,2
2024-01-06,4,0,0
2024-01-07,3,0,0
2024-01-08,46,0,2
2024-01-09,50,0,2
2024-01-10,41,1,2
2024-01-11,33,0,0
2024-01-12,35,0,4
2024-01-13,6,0,0
2024-01-14,2,0,1
2024-01-15,17,0,4
2024-01-16,26,0,0
2024-01-17,38,0,3
2024-01-18,46,0,6
2024-01-19,4,0,4
2024-01-20,3,0,1
2024-01-21,4,0,1
2024-01-22,25,0,7
2024-01-23,11,0,1
2024-01-24,31,0,2
2024-01-25,23,0,2
2024-01-26,24,0,3
2024-01-27,3,0,0
2024-01-28,2,0,0
2024-01-29,42,0,1
2024-01-30,42,0,2
2024-01-31,26,0,1
2024-02-01,26,0,2
2024-02-02,28,0,2
2024-02-03,1,0,3
2024-02-04,4,0,1
2024-02-05,30,0,3
2024-02-06,53,0,3
2024-02-07,31,0,1
2024-02-08,35,0,5
2024-02-09,38,0,1
2024-02-10,2,0,0
2024-02-11,2,0,0
2024-02-12,40,0,6
2024-02-13,24,0,4
2024-02-14,30,0,4
2024-02-15,38,0,5
2024-02-16,5,0,4
2024-02-17,1,0,0
2024-02-18,5,0,0
2024-02-19,18,0,5
2024-02-20,18,0,4
2024-02-21,31,0,1
2024-02-22,33,0,0
2024-02-23,26,0,3
2024-02-24,5,0,5
2024-02-25,2,0,1
2024-02-26,6,0,3
2024-02-27,5,0,10
2024-02-28,6,0,3
2024-02-29,4,0,4
2024-03-01,6,0,2
2024-03-02,2,0,1
2024-03-03,4,0,0
2024-03-04,29,0,1
2024-03-05,25,0,3
2024-03-06,29,0,0
2024-03-07,22,0,2
2024-03-08,33,0,2
2024-03-09,5,0,0
2024-03-10,1,0,0
2024-03-11,26,0,2
2024-03-12,42,0,1
2024-03-13,42,0,1
2024-03-14,27,0,3
2024-03-15,2,0,1
2024-03-16,1,0,1
2024-03-17,3,0,0
2024-03-18,25,2,2
2024-03-19,41,0,3
2024-03-20,32,2,4
2024-03-21,42,1,3
2024-03-22,34,0,2
2024-03-23,2,0,2
2024-03-24,2,0,0
2024-03-25,20,0,3
2024-03-26,29,2,3
2024-03-27,34,1,2
2024-03-28,27,0,3
2024-03-29,17,0,0
2024-03-30,7,0,0
2024-03-31,5,0,0
2024-04-01,21,0,0
2024-04-02,28,1,1
2024-04-03,34,0,2
2024-04-04,29,1,1
2024-04-05,23,0,2
2024-04-06,1,0,0
2024-04-07,0,0,0
2024-04-08,27,0,0
2024-04-09,27,2,0
2024-04-10,39,1,12
2024-04-11,30,0,2
2024-04-12,27,0,4
2024-04-13,3,0,0
2024-04-14,2,0,0
2024-04-15,33,1,1
2024-04-16,37,0,2
2024-04-17,24,0,0
2024-04-18,29,2,2
2024-04-19,3,0,3
2024-04-20,4,0,0
2024-04-21,2,0,1
2024-04-22,38,3,1
2024-04-23,30,0,2
2024-04-24,37,0,0
2024-04-25,30,2,0
2024-04-26,24,1,1
2024-04-27,2,0,3
2024-04-28,3,0,1
2024-04-29,38,3,2
2024-04-30,33,0,3
2024-05-01,31,1,2
2024-05-02,35,0,2
2024-05-03,25,4,2
2024-05-04,5,0,0
2024-05-05,2,0,0
2024-05-06,24,0,6
2024-05-07,33,0,0
2024-05-08,30,0,5
2024-05-09,28,0,4
2024-05-10,29,0,0
2024-05-11,4,0,1
2024-05-12,2,0,0
2024-05-13,42,0,1
2024-05-14,35,3,2
2024-05-15,31,0,1
2024-05-16,27,2,1
