,spring-projects/spring-boot,dropwizard/dropwizard,apache/tomee
2021-10-22,25,0,0
2021-10-23,2,0,0
2021-10-24,0,6,0
2021-10-25,0,3,4
2021-10-26,0,2,0
2021-10-27,0,0,0
2021-10-28,37,2,0
2021-10-29,19,0,0
2021-10-30,0,0,0
2021-10-31,0,1,0
2021-11-01,4,0,0
2021-11-02,6,2,0
2021-11-03,0,3,1
2021-11-04,0,1,0
2021-11-05,27,2,0
2021-11-06,4,2,0
2021-11-07,0,0,0
2021-11-08,34,0,0
2021-11-09,20,2,0
2021-11-10,7,3,0
2021-11-11,18,0,0
2021-11-12,10,0,0
2021-11-13,12,3,0
2021-11-14,5,0,0
2021-11-15,18,0,0
2021-11-16,28,0,1
2021-11-17,25,1,0
2021-11-18,16,0,0
2021-11-19,20,0,2
2021-11-20,4,0,0
2021-11-21,0,0,0
2021-11-22,4,1,0
2021-11-23,2,0,0
2021-11-24,7,3,4
2021-11-25,5,1,4
2021-11-26,1,0,1
2021-11-27,0,0,0
2021-11-28,6,7,0
2021-11-29,10,1,1
2021-11-30,40,0,0
2021-12-01,15,0,0
2021-12-02,5,0,1
2021-12-03,5,1,0
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,1,0,0
2021-12-07,4,0,0
2021-12-08,1,1,4
2021-12-09,40,6,0
2021-12-10,31,0,0
2021-12-11,5,0,0
2021-12-12,0,0,0
2021-12-13,10,1,0
2021-12-14,19,4,0
2021-12-15,60,1,0
2021-12-16,29,6,0
2021-12-17,18,0,0
2021-12-18,20,1,0
2021-12-19,6,1,0
2021-12-20,36,4,3
2021-12-21,52,0,2
2021-12-22,0,0,0
2021-12-23,0,0,2
2021-12-24,5,2,0
2021-12-25,5,0,0
2021-12-26,0,1,0
2021-12-27,4,0,0
2021-12-28,0,4,0
2021-12-29,7,0,0
2021-12-30,4,1,0
2021-12-31,0,2,0
2022-01-01,0,1,0
2022-01-02,9,1,0
2022-01-03,62,0,0
2022-01-04,53,0,0
2022-01-05,11,0,2
2022-01-06,6,0,2
2022-01-07,15,0,0
2022-01-08,3,4,0
2022-01-09,9,0,0
2022-01-10,14,2,0
2022-01-11,25,0,0
2022-01-12,53,0,0
2022-01-13,32,5,0
2022-01-14,34,2,0
2022-01-15,32,0,1
2022-01-16,9,0,0
2022-01-17,15,1,3
2022-01-18,20,0,0
2022-01-19,71,0,1
2022-01-20,35,2,3
2022-01-21,2,4,5
2022-01-22,0,3,2
2022-01-23,0,0,0
2022-01-24,20,3,1
2022-01-25,13,1,2
2022-01-26,0,2,3
2022-01-27,12,0,2
2022-01-28,0,1,1
2022-01-29,8,1,2
2022-01-30,0,1,0
2022-01-31,12,0,0
2022-02-01,15,4,2
2022-02-02,8,12,0
2022-02-03,16,0,1
2022-02-04,11,2,0
2022-02-05,28,0,0
2022-02-06,0,1,0
2022-02-07,0,1,0
2022-02-08,4,0,12
2022-02-09,23,0,14
2022-02-10,23,9,8
2022-02-11,42,1,0
2022-02-12,0,0,0
2022-02-13,8,0,0
2022-02-14,56,0,0
2022-02-15,16,2,4
2022-02-16,69,1,3
2022-02-17,41,9,3
2022-02-18,30,5,0
2022-02-19,11,1,0
2022-02-20,0,0,5
2022-02-21,44,1,6
2022-02-22,31,0,2
2022-02-23,47,2,0
2022-02-24,28,4,0
2022-02-25,0,7,0
2022-02-26,0,6,0
2022-02-27,0,5,0
2022-02-28,8,4,2
2022-03-01,14,0,0
2022-03-02,23,4,0
2022-03-03,38,5,0
2022-03-04,13,3,1
2022-03-05,0,5,0
2022-03-06,0,2,0
2022-03-07,21,1,3
2022-03-08,32,3,1
2022-03-09,71,4,1
2022-03-10,18,5,0
2022-03-11,25,1,0
2022-03-12,16,6,0
2022-03-13,3,17,0
2022-03-14,5,2,0
2022-03-15,21,0,0
2022-03-16,41,1,3
2022-03-17,38,0,1
2022-03-18,50,0,1
2022-03-19,14,0,0
2022-03-20,5,5,0
2022-03-21,64,1,2
2022-03-22,28,2,1
2022-03-23,46,0,121
2022-03-24,28,0,13
2022-03-25,33,0,7
2022-03-26,0,4,8
2022-03-27,0,2,0
2022-03-28,8,3,0
2022-03-29,15,1,0
2022-03-30,11,0,10
2022-03-31,23,0,6
2022-04-01,6,3,3
2022-04-02,0,6,0
2022-04-03,12,1,0
2022-04-04,19,0,5
2022-04-05,15,14,12
2022-04-06,9,2,3
2022-04-07,35,9,5
2022-04-08,22,7,1
2022-04-09,21,0,0
2022-04-10,0,0,1
2022-04-11,2,0,6
2022-04-12,26,1,4
2022-04-13,26,3,3
2022-04-14,19,0,2
2022-04-15,30,0,5
2022-04-16,11,0,1
2022-04-17,2,2,3
2022-04-18,24,2,0
2022-04-19,62,0,0
2022-04-20,47,8,6
2022-04-21,21,1,5
2022-04-22,0,5,1
2022-04-23,0,0,0
2022-04-24,0,1,0
2022-04-25,31,0,12
2022-04-26,0,0,1
2022-04-27,3,0,1
2022-04-28,23,0,1
2022-04-29,7,0,0
2022-04-30,0,0,0
2022-05-01,0,0,2
2022-05-02,0,3,2
2022-05-03,35,0,4
2022-05-04,17,0,1
2022-05-05,21,0,7
2022-05-06,17,0,8
2022-05-07,0,0,0
2022-05-08,0,0,0
2022-05-09,2,0,4
2022-05-10,75,0,1
2022-05-11,6,0,8
2022-05-12,63,0,1
2022-05-13,18,0,2
2022-05-14,0,0,4
2022-05-15,0,0,0
2022-05-16,47,0,1
2022-05-17,51,0,1
2022-05-18,50,0,0
2022-05-19,24,0,0
2022-05-20,6,0,3
2022-05-21,0,0,0
2022-05-22,0,1,0
2022-05-23,11,2,3
2022-05-24,1,0,0
2022-05-25,3,0,0
2022-05-26,20,0,0
2022-05-27,19,0,0
2022-05-28,0,1,0
2022-05-29,0,0,0
2022-05-30,18,0,1
2022-05-31,8,3,0
2022-06-01,1,0,0
2022-06-02,1,0,1
2022-06-03,3,3,1
2022-06-04,1,0,0
2022-06-05,0,0,0
2022-06-06,2,0,0
2022-06-07,8,3,0
2022-06-08,10,0,0
2022-06-09,28,0,0
2022-06-10,28,0,0
2022-06-11,0,0,0
2022-06-12,0,0,0
2022-06-13,38,0,2
2022-06-14,35,0,2
2022-06-15,14,0,2
2022-06-16,18,0,0
2022-06-17,44,0,0
2022-06-18,2,2,0
2022-06-19,16,3,0
2022-06-20,36,2,1
2022-06-21,17,2,5
2022-06-22,39,0,2
2022-06-23,17,0,1
2022-06-24,11,0,7
2022-06-25,2,0,0
2022-06-26,3,0,5
2022-06-27,0,0,9
2022-06-28,0,1,3
2022-06-29,0,0,0
2022-06-30,8,13,7
2022-07-01,0,0,1
2022-07-02,0,0,0
2022-07-03,0,0,0
2022-07-04,0,0,4
2022-07-05,0,0,4
2022-07-06,1,0,1
2022-07-07,68,0,2
2022-07-08,23,0,1
2022-07-09,0,0,0
2022-07-10,0,0,0
2022-07-11,6,0,1
2022-07-12,30,0,0
2022-07-13,23,0,0
2022-07-14,49,0,2
2022-07-15,10,0,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,29,0,0
2022-07-19,27,0,0
2022-07-20,53,0,0
2022-07-21,15,0,0
2022-07-22,14,0,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,2,0,0
2022-07-26,36,0,2
2022-07-27,24,0,1
2022-07-28,21,0,0
2022-07-29,16,2,3
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,32,0,0
2022-08-02,7,3,1
2022-08-03,19,1,0
2022-08-04,17,0,0
2022-08-05,3,0,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,19,1,0
2022-08-09,31,0,0
2022-08-10,22,0,0
2022-08-11,5,3,0
2022-08-12,1,0,0
2022-08-13,1,0,0
2022-08-14,0,0,0
2022-08-15,1,2,0
2022-08-16,15,0,2
2022-08-17,24,2,0
2022-08-18,6,0,0
2022-08-19,3,0,0
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,7,1,0
2022-08-23,20,0,3
2022-08-24,10,0,0
2022-08-25,20,0,0
2022-08-26,0,0,1
2022-08-27,0,2,6
2022-08-28,0,1,0
2022-08-29,0,0,0
2022-08-30,0,0,2
2022-08-31,14,1,2
2022-09-01,10,1,0
2022-09-02,10,1,3
2022-09-03,0,0,1
2022-09-04,0,0,0
2022-09-05,17,0,0
2022-09-06,8,2,0
2022-09-07,25,0,0
2022-09-08,12,1,0
2022-09-09,25,3,6
2022-09-10,29,0,3
2022-09-11,0,0,0
2022-09-12,8,5,2
2022-09-13,8,0,4
2022-09-14,84,0,6
2022-09-15,33,2,2
2022-09-16,17,0,4
2022-09-17,0,0,0
2022-09-18,0,1,0
2022-09-19,13,0,0
2022-09-20,37,1,1
2022-09-21,36,3,2
2022-09-22,16,0,2
2022-09-23,8,0,2
2022-09-24,0,0,1
2022-09-25,0,0,0
2022-09-26,7,0,1
2022-09-27,27,0,2
2022-09-28,7,0,2
2022-09-29,25,0,3
2022-09-30,14,0,3
2022-10-01,6,0,1
2022-10-02,1,1,3
2022-10-03,6,1,3
2022-10-04,7,0,1
2022-10-05,5,0,0
2022-10-06,35,0,1
2022-10-07,26,0,0
2022-10-08,0,0,5
2022-10-09,0,0,0
2022-10-10,8,0,2
2022-10-11,26,1,2
2022-10-12,30,9,8
2022-10-13,63,0,1
2022-10-14,27,0,0
2022-10-15,3,0,0
2022-10-16,0,0,0
2022-10-17,25,0,2
2022-10-18,35,3,4
2022-10-19,34,0,0
2022-10-20,36,5,0
2022-10-21,28,0,0
2022-10-22,0,0,0
2022-10-23,0,0,0
2022-10-24,5,0,4
2022-10-25,17,0,3
2022-10-26,3,0,4
2022-10-27,20,0,1
2022-10-28,2,0,1
2022-10-29,0,0,0
2022-10-30,0,0,0
2022-10-31,10,0,2
2022-11-01,33,0,0
2022-11-02,16,0,1
2022-11-03,13,0,0
2022-11-04,16,0,0
2022-11-05,8,0,0
2022-11-06,14,0,0
2022-11-07,9,0,1
2022-11-08,56,3,3
2022-11-09,24,0,4
2022-11-10,20,0,0
2022-11-11,5,0,0
2022-11-12,0,1,0
2022-11-13,0,0,0
2022-11-14,56,0,6
2022-11-15,40,0,6
2022-11-16,44,1,2
2022-11-17,9,0,1
2022-11-18,48,1,3
2022-11-19,1,0,0
2022-11-20,0,0,3
