,microsoft/terminal,alacritty/alacritty,mintty/mintty
2017-09-11,3.0,1,1
2017-09-12,-1.8000000000000003,0,0
2017-09-13,-0.36,0,0
2017-09-14,-0.16799999999999998,0,0
2017-09-15,-0.10079999999999992,0,0
2017-09-16,-0.06854400000000001,0,3
2017-09-17,-0.05026560000000002,0,0
2017-09-18,-0.038776320000000024,0,0
2017-09-19,-0.031021056000000026,0,3
2017-09-20,-0.025506201600000028,0,0
2017-09-21,0.0,0,1
2017-09-22,0.0,0,0
2017-09-23,0.0,0,1
2017-09-24,0.0,0,1
2017-09-25,0.0,0,0
2017-09-26,0.0,0,2
2017-09-27,0.0,0,1
2017-09-28,0.0,1,0
2017-09-29,0.0,0,0
2017-09-30,0.0,2,0
2017-10-01,0.0,0,0
2017-10-02,0.0,0,7
2017-10-03,0.0,0,1
2017-10-04,0.0,1,2
2017-10-05,0.0,0,1
2017-10-06,0.0,2,0
2017-10-07,0.0,1,0
2017-10-08,2.0,0,1
2017-10-09,-1.2000000000000002,11,0
2017-10-10,-0.24,0,0
2017-10-11,-0.11199999999999999,0,4
2017-10-12,-0.06719999999999994,0,1
2017-10-13,1.954304,0,0
2017-10-14,-1.2335104000000001,2,2
2017-10-15,-0.26585088,2,0
2017-10-16,-0.132680704,1,0
2017-10-17,-0.08420413439999996,3,0
2017-10-18,-0.04569600000000001,0,0
2017-10-19,-0.03351040000000002,0,0
2017-10-20,-0.025850880000000017,1,0
2017-10-21,-0.02068070400000002,4,0
2017-10-22,-0.01700413440000002,4,2
2017-10-23,1.0,0,3
2017-10-24,-0.6000000000000001,0,1
2017-10-25,-0.12,0,1
2017-10-26,-0.055999999999999994,0,2
2017-10-27,-0.03359999999999997,2,0
2017-10-28,-0.022848000000000004,0,1
2017-10-29,-0.01675520000000001,0,3
2017-10-30,-0.012925440000000009,2,3
2017-10-31,-0.01034035200000001,1,3
2017-11-01,-0.00850206720000001,0,1
2017-11-02,0.0,0,4
2017-11-03,0.0,0,1
2017-11-04,0.0,0,0
2017-11-05,0.0,0,2
2017-11-06,0.0,0,0
2017-11-07,0.0,0,0
2017-11-08,0.0,0,0
2017-11-09,0.0,0,3
2017-11-10,0.0,0,0
2017-11-11,0.0,9,0
2017-11-12,0.0,2,0
2017-11-13,0.0,0,3
2017-11-14,0.0,0,0
2017-11-15,0.0,0,0
2017-11-16,0.0,0,0
2017-11-17,0.0,0,0
2017-11-18,0.0,0,0
2017-11-19,0.0,2,5
2017-11-20,0.0,1,3
2017-11-21,0.0,0,0
2017-11-22,0.0,0,4
2017-11-23,0.0,0,0
2017-11-24,0.0,0,0
2017-11-25,0.0,0,0
2017-11-26,0.0,0,0
2017-11-27,0.0,0,4
2017-11-28,0.0,0,6
2017-11-29,0.0,0,2
2017-11-30,0.0,0,0
2017-12-01,0.0,0,3
2017-12-02,0.0,0,0
2017-12-03,0.0,8,0
2017-12-04,0.0,0,0
2017-12-05,0.0,0,2
2017-12-06,0.0,0,2
2017-12-07,0.0,0,2
2017-12-08,0.0,0,1
2017-12-09,0.0,0,0
2017-12-10,0.0,0,1
2017-12-11,0.0,0,3
2017-12-12,0.0,0,0
2017-12-13,0.0,2,2
2017-12-14,0.0,0,3
2017-12-15,0.0,0,2
2017-12-16,0.0,0,2
2017-12-17,0.0,1,0
2017-12-18,0.0,0,0
2017-12-19,0.0,0,0
2017-12-20,0.0,0,4
2017-12-21,0.0,0,1
2017-12-22,0.0,17,0
2017-12-23,0.0,4,1
2017-12-24,0.0,23,0
2017-12-25,0.0,0,0
2017-12-26,0.0,0,0
2017-12-27,0.0,0,0
2017-12-28,0.0,0,0
2017-12-29,0.0,1,1
2017-12-30,0.0,0,0
2017-12-31,0.0,0,0
2018-01-01,0.0,0,0
2018-01-02,0.0,4,1
2018-01-03,0.0,7,7
2018-01-04,0.0,0,0
2018-01-05,0.0,1,1
2018-01-06,0.0,4,0
2018-01-07,0.0,2,0
2018-01-08,0.0,3,1
2018-01-09,0.0,0,1
2018-01-10,0.0,2,0
2018-01-11,0.0,1,0
2018-01-12,0.0,0,0
2018-01-13,0.0,0,0
2018-01-14,0.0,0,0
2018-01-15,0.0,1,2
2018-01-16,0.0,1,0
2018-01-17,0.0,0,1
2018-01-18,0.0,1,0
2018-01-19,4.0,0,0
2018-01-20,-2.4000000000000004,0,0
2018-01-21,-0.48,1,0
2018-01-22,-0.22399999999999998,0,0
2018-01-23,-0.13439999999999988,0,1
2018-01-24,-0.09139200000000001,0,0
2018-01-25,-0.06702080000000003,0,5
2018-01-26,-0.051701760000000034,1,2
2018-01-27,-0.04136140800000004,0,3
2018-01-28,-0.03400826880000004,0,0
2018-01-29,0.0,0,0
2018-01-30,0.0,1,2
2018-01-31,0.0,1,0
2018-02-01,0.0,0,0
2018-02-02,0.0,0,0
2018-02-03,0.0,0,7
