,primer/css,twbs/bootstrap,zurb/foundation-sites
2015-05-20,0,0,5
2015-05-21,6,1,1
2015-05-22,0,2,6
2015-05-23,0,7,0
2015-05-24,0,1,0
2015-05-25,0,0,2
2015-05-26,3,3,0
2015-05-27,1,1,1
2015-05-28,0,7,11
2015-05-29,2,18,6
2015-05-30,2,5,5
2015-05-31,3,1,0
2015-06-01,11,11,0
2015-06-02,0,2,5
2015-06-03,0,2,15
2015-06-04,0,0,5
2015-06-05,0,2,2
2015-06-06,0,0,5
2015-06-07,0,0,1
2015-06-08,0,2,4
2015-06-09,3,9,2
2015-06-10,15,2,1
2015-06-11,0,3,3
2015-06-12,3,0,3
2015-06-13,1,3,0
2015-06-14,0,0,0
2015-06-15,0,1,0
2015-06-16,0,6,3
2015-06-17,0,1,0
2015-06-18,0,11,5
2015-06-19,0,11,12
2015-06-20,0,1,3
2015-06-21,0,1,1
2015-06-22,0,6,4
2015-06-23,1,16,7
2015-06-24,19,0,1
2015-06-25,2,1,2
2015-06-26,0,0,0
2015-06-27,0,2,0
2015-06-28,0,0,0
2015-06-29,0,0,3
2015-06-30,0,0,2
2015-07-01,0,7,1
2015-07-02,0,1,5
2015-07-03,0,4,0
2015-07-04,0,7,0
2015-07-05,0,0,0
2015-07-06,0,0,4
2015-07-07,0,2,2
2015-07-08,0,1,5
2015-07-09,4,1,11
2015-07-10,0,0,3
2015-07-11,0,1,0
2015-07-12,0,1,0
2015-07-13,0,3,3
2015-07-14,0,0,1
2015-07-15,0,0,1
2015-07-16,0,0,0
2015-07-17,0,1,11
2015-07-18,0,8,3
2015-07-19,0,0,2
2015-07-20,6,0,0
2015-07-21,5,0,0
2015-07-22,0,0,0
2015-07-23,0,0,4
2015-07-24,0,1,0
2015-07-25,0,7,0
2015-07-26,0,3,0
2015-07-27,2,3,1
2015-07-28,0,4,17
2015-07-29,3,3,17
2015-07-30,0,0,8
2015-07-31,0,4,13
2015-08-01,0,2,0
2015-08-02,0,0,0
2015-08-03,0,0,7
2015-08-04,0,0,8
2015-08-05,3,31,9
2015-08-06,0,9,11
2015-08-07,0,0,2
2015-08-08,0,8,0
2015-08-09,0,1,3
2015-08-10,0,44,13
2015-08-11,0,13,16
2015-08-12,0,0,23
2015-08-13,0,32,15
2015-08-14,0,9,8
2015-08-15,0,5,6
2015-08-16,0,0,0
2015-08-17,0,14,29
2015-08-18,0,37,25
2015-08-19,0,72,20
2015-08-20,0,44,12
2015-08-21,0,43,18
2015-08-22,0,7,3
2015-08-23,0,45,1
2015-08-24,0,25,6
2015-08-25,0,27,2
2015-08-26,0,25,11
2015-08-27,2,15,5
2015-08-28,0,2,0
2015-08-29,0,10,0
2015-08-30,0,2,0
2015-08-31,0,3,2
2015-09-01,0,6,17
2015-09-02,0,36,9
2015-09-03,0,9,5
2015-09-04,0,0,3
2015-09-05,0,14,1
2015-09-06,0,17,6
2015-09-07,0,3,0
2015-09-08,2,9,12
2015-09-09,1,4,6
2015-09-10,0,10,5
2015-09-11,15,3,3
2015-09-12,0,2,1
2015-09-13,0,1,0
2015-09-14,0,1,3
2015-09-15,0,2,5
2015-09-16,0,6,4
2015-09-17,0,1,2
2015-09-18,0,0,9
2015-09-19,0,3,0
2015-09-20,0,3,2
2015-09-21,0,1,3
2015-09-22,0,5,23
2015-09-23,0,4,30
2015-09-24,0,7,35
2015-09-25,2,9,31
2015-09-26,0,2,4
2015-09-27,0,6,3
2015-09-28,0,6,14
2015-09-29,2,5,12
2015-09-30,1,0,28
2015-10-01,0,10,9
2015-10-02,2,2,12
2015-10-03,0,0,3
2015-10-04,0,3,3
2015-10-05,0,0,10
2015-10-06,0,2,20
2015-10-07,0,7,4
2015-10-08,0,4,23
2015-10-09,0,3,43
2015-10-10,4,3,2
2015-10-11,0,5,1
2015-10-12,1,5,7
2015-10-13,2,11,23
2015-10-14,2,2,14
2015-10-15,0,3,3
2015-10-16,2,5,19
2015-10-17,0,4,0
2015-10-18,0,0,3
2015-10-19,7,4,22
2015-10-20,0,3,29
2015-10-21,1,2,32
2015-10-22,0,1,17
2015-10-23,0,10,6
2015-10-24,0,14,0
2015-10-25,0,4,14
2015-10-26,0,7,11
2015-10-27,0,14,7
2015-10-28,0,7,11
2015-10-29,0,9,2
2015-10-30,0,8,6
2015-10-31,0,3,0
2015-11-01,0,0,2
2015-11-02,1,5,14
2015-11-03,0,9,13
2015-11-04,0,2,30
2015-11-05,0,1,35
2015-11-06,0,1,30
2015-11-07,0,0,12
2015-11-08,0,0,9
2015-11-09,0,0,12
2015-11-10,0,0,23
2015-11-11,0,7,16
2015-11-12,0,6,16
2015-11-13,0,44,7
2015-11-14,0,1,14
2015-11-15,0,45,2
2015-11-16,6,11,26
2015-11-17,0,0,53
2015-11-18,0,0,31
2015-11-19,0,9,60
2015-11-20,0,0,50
2015-11-21,0,0,20
2015-11-22,0,0,4
2015-11-23,0,4,26
2015-11-24,0,3,42
2015-11-25,0,1,22
2015-11-26,0,5,5
2015-11-27,0,1,11
2015-11-28,0,1,3
2015-11-29,0,1,2
2015-11-30,0,35,29
2015-12-01,0,7,26
2015-12-02,0,2,26
2015-12-03,0,5,11
2015-12-04,0,8,9
2015-12-05,0,19,7
2015-12-06,0,9,2
2015-12-07,0,24,6
2015-12-08,7,78,9
2015-12-09,0,12,11
2015-12-10,0,4,17
2015-12-11,0,6,25
2015-12-12,0,5,11
2015-12-13,0,6,10
2015-12-14,0,1,18
2015-12-15,0,1,42
2015-12-16,0,2,28
2015-12-17,0,6,29
2015-12-18,0,1,28
2015-12-19,0,0,10
2015-12-20,0,3,2
2015-12-21,0,9,12
2015-12-22,0,3,21
2015-12-23,0,8,31
2015-12-24,0,26,1
2015-12-25,0,25,5
2015-12-26,0,9,1
2015-12-27,0,4,1
2015-12-28,0,0,1
2015-12-29,0,4,2
2015-12-30,0,2,5
2015-12-31,0,4,3
2016-01-01,0,5,1
2016-01-02,0,1,0
2016-01-03,0,0,0
2016-01-04,0,20,29
2016-01-05,0,4,15
2016-01-06,0,58,32
2016-01-07,0,22,9
2016-01-08,0,3,13
2016-01-09,0,13,0
2016-01-10,0,3,0
2016-01-11,0,16,7
2016-01-12,0,0,6
2016-01-13,0,7,20
2016-01-14,0,10,18
2016-01-15,0,6,19
2016-01-16,0,4,2
2016-01-17,0,16,0
2016-01-18,0,14,17
2016-01-19,2,7,33
2016-01-20,0,4,28
2016-01-21,1,11,12
2016-01-22,0,0,11
2016-01-23,0,6,9
2016-01-24,0,8,1
2016-01-25,0,5,14
2016-01-26,0,5,6
2016-01-27,0,3,2
2016-01-28,0,0,8
2016-01-29,0,1,2
2016-01-30,0,0,0
2016-01-31,0,1,0
2016-02-01,0,0,23
2016-02-02,1,0,21
2016-02-03,0,2,13
2016-02-04,0,15,21
2016-02-05,0,5,14
2016-02-06,0,61,2
2016-02-07,0,43,0
2016-02-08,0,28,8
2016-02-09,0,29,11
2016-02-10,0,0,10
2016-02-11,4,6,8
2016-02-12,1,0,4
2016-02-13,0,0,0
2016-02-14,0,5,1
2016-02-15,0,2,10
2016-02-16,9,33,16
2016-02-17,4,49,19
2016-02-18,1,6,22
2016-02-19,7,15,8
2016-02-20,0,0,1
2016-02-21,0,0,0
2016-02-22,0,0,1
2016-02-23,0,9,16
2016-02-24,0,1,24
2016-02-25,0,3,15
2016-02-26,0,2,19
2016-02-27,0,10,0
2016-02-28,0,11,3
2016-02-29,0,1,15
2016-03-01,0,1,23
2016-03-02,0,1,12
2016-03-03,0,4,7
2016-03-04,8,4,10
2016-03-05,0,2,0
2016-03-06,0,3,0
2016-03-07,0,15,2
2016-03-08,0,0,16
2016-03-09,0,0,2
2016-03-10,2,4,8
2016-03-11,1,6,12
2016-03-12,2,0,4
2016-03-13,2,1,2
2016-03-14,11,7,13
2016-03-15,0,2,4
2016-03-16,2,7,24
2016-03-17,4,1,8
2016-03-18,0,0,1
2016-03-19,1,2,1
2016-03-20,1,0,0
2016-03-21,3,0,1
2016-03-22,0,5,5
2016-03-23,0,0,3
2016-03-24,0,7,5
2016-03-25,0,0,0
2016-03-26,0,0,1
2016-03-27,0,2,6
2016-03-28,0,0,13
2016-03-29,1,0,4
2016-03-30,1,2,3
2016-03-31,2,2,0
2016-04-01,0,0,9
2016-04-02,0,3,4
2016-04-03,0,0,4
2016-04-04,0,3,5
2016-04-05,0,1,9
2016-04-06,0,7,6
2016-04-07,0,2,9
2016-04-08,0,0,15
2016-04-09,0,7,4
2016-04-10,0,5,0
2016-04-11,0,9,5
2016-04-12,0,2,13
2016-04-13,0,1,5
2016-04-14,0,3,4
2016-04-15,0,1,10
2016-04-16,0,0,1
2016-04-17,0,6,1
2016-04-18,0,1,4
2016-04-19,0,1,3
2016-04-20,0,0,3
2016-04-21,0,4,3
2016-04-22,0,0,5
2016-04-23,0,4,0
2016-04-24,0,2,3
2016-04-25,0,1,6
2016-04-26,0,0,16
2016-04-27,0,0,21
2016-04-28,0,2,12
2016-04-29,0,0,7
2016-04-30,0,0,9
2016-05-01,0,0,4
2016-05-02,3,0,2
2016-05-03,0,0,4
2016-05-04,0,0,13
2016-05-05,0,0,17
2016-05-06,0,1,3
2016-05-07,0,0,2
2016-05-08,0,32,2
2016-05-09,0,17,1
2016-05-10,1,3,10
2016-05-11,0,20,18
2016-05-12,0,20,6
2016-05-13,0,8,4
2016-05-14,0,3,0
2016-05-15,0,2,0
2016-05-16,0,4,4
2016-05-17,0,1,1
2016-05-18,0,1,12
2016-05-19,0,1,2
2016-05-20,0,3,1
2016-05-21,0,0,0
2016-05-22,0,2,3
2016-05-23,0,0,3
2016-05-24,0,0,0
2016-05-25,3,0,2
2016-05-26,1,6,5
2016-05-27,0,0,4
2016-05-28,3,2,1
2016-05-29,2,0,1
2016-05-30,0,2,1
2016-05-31,6,22,15
2016-06-01,1,0,4
2016-06-02,3,2,2
2016-06-03,2,4,3
2016-06-04,0,15,0
2016-06-05,0,9,0
2016-06-06,0,0,1
2016-06-07,0,0,2
2016-06-08,0,2,1
2016-06-09,2,1,2
2016-06-10,0,1,4
2016-06-11,0,0,0
2016-06-12,0,0,0
2016-06-13,0,6,0
2016-06-14,4,0,0
2016-06-15,0,0,0
2016-06-16,0,1,1
2016-06-17,0,0,3
2016-06-18,0,0,1
2016-06-19,0,0,1
2016-06-20,0,6,2
2016-06-21,0,0,1
2016-06-22,0,2,0
2016-06-23,0,0,2
2016-06-24,0,2,0
2016-06-25,0,0,0
2016-06-26,0,3,2
2016-06-27,0,3,0
2016-06-28,0,6,0
2016-06-29,0,7,3
